Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.051,108,EVEN,Total SG:T: -2.608,Measured Rounds: 51
SG: Tee-to-Green,-0.028,102,EVEN,SG:OTT: 0.162,Measured Rounds: 51
SG: Off-the-Tee,0.162,65,EVEN,Total SG:OTT: 8.258,Measured Rounds: 51
SG: Approach the Green,-0.025,105,EVEN,Total SG:APP: -1.300,Measured Rounds: 51
SG: Around-the-Green,-0.164,134,EVEN,Total SG:ARG: -8.375,Measured Rounds: 51
SG: Putting,-0.023,100,EVEN,Total SG:Putting: -1.191,Measured Rounds: 51
Longest Drives,395,63,EVEN,Tournament: Truist,Round: 4
Driving Distance,302.3,80,EVEN,"Total Distance: 32,044",Total Drives: 106
Driving Distance - All Drives,289.7,122,EVEN,"Total Distance: 205,689",# of Drives: 710
Driving Accuracy Percentage,62.06%,51,EVEN,Fairways Hit: 458,Possible Fairways: 738
Left Rough Tendency,11.91%,49,EVEN,Total Left rough: 84,Possible Fwys: 705
Right Rough Tendency,14.47%,62,EVEN,Total Right rough: 102,Possible Fwys: 705
Distance from Edge of Fairway,29' 2,92,EVEN,"Total Distance (Feet): 7,572.750",Total Strokes: 260
Club Head Speed,116.54,84,EVEN,"Total Club Head Speed: 26,337.35",Total Attempts: 226
Total Driving Efficiency,168,81,EVEN,: ,Carry Efficiency Rank: 55
Greens in Regulation Percentage,64.26%,129,EVEN,Greens Hit: 613,# Holes: 954
Proximity to Hole,37' 6,94,EVEN,"Total Distance (feet): 33,984.000",# of Attempts: 906
Approaches from > 275 yards,75' 3,44,EVEN,"Total Distance (feet): 1,505.000",# of Attempts: 20
Approaches from 250-275 yards,65' 6,104,EVEN,"Total Distance (feet): 1,767.917",# of Attempts: 27
Approaches from 225-250 yards,50' 6,90,EVEN,"Total Distance (feet): 2,473.750",# of Attempts: 49
Approaches from 200-225 yards,41' 7,80,EVEN,"Total Distance (feet): 2,951.833",# of Attempts: 71
Approaches from > 200 yards,52' 1,108,EVEN,"Total Distance (feet): 8,698.500",# of Attempts: 167
Approaches from 175-200 yards,36' 10,147,EVEN,"Total Distance (feet): 4,382.000",# of Attempts: 119
Approaches from 150-175 yards,28' 1,76,EVEN,"Total Distance (feet): 3,824.333",# of Attempts: 136
Approaches from 125-150 yards,23' 2,62,EVEN,"Total Distance (feet): 2,806.250",# of Attempts: 121
Approaches from 50-125 yards,19' 4,113,EVEN,"Total Distance (feet): 2,396.417",# of Attempts: 124
Approaches from 100-125 yards,20' 1,96,EVEN,"Total Distance (feet): 1,589.333",# of Attempts: 79
Approaches from 75-100 yards,17' 6,83,EVEN,Total Distance (feet): 630.583,# of Attempts: 36
Approaches from 50-75 yards,19' 7,139,EVEN,Total Distance (feet): 176.500,# of Attempts: 9
Approaches from inside 100 yards,17' 5,101,EVEN,Total Distance (feet): 834.917,# of Attempts: 48
Approaches from > 100 yards,34' 3,82,EVEN,"Total Distance (feet): 21,300.417",# of Attempts: 622
Fairway Proximity,33' 0,95,EVEN,: ,Attempts: 670
Rough Proximity,47' 11,152,EVEN,"Total Distance (inches): 96,534",Attempts: 168
Left Rough Proximity,46' 9,124,EVEN,: ,Attempts: 79
Right Rough Proximity,48' 11,144,EVEN,: ,Attempts: 89
Approaches from > 275 yards (Rgh),139' 9,157,EVEN,Total Distance (feet): 419.167,# of Attempts: 3
Approaches from 250-275 yards (Rgh),105' 10,161,EVEN,Total Distance (feet): 635.083,# of Attempts: 6
Approaches from 225-250 yards (Rgh),56' 8,20,EVEN,Total Distance (feet): 509.667,# of Attempts: 9
Approaches from 200-225 yards (Rgh),84' 9,165,EVEN,Total Distance (feet): 593.250,# of Attempts: 7
Approaches from > 100 yards (Rgh),50' 2,129,EVEN,"Total Distance (feet): 7,572.250",# of Attempts: 151
Approaches from inside 100 yards (Rgh),27' 9,135,EVEN,Total Distance (feet): 472.250,# of Attempts: 17
Approaches from > 200 yards (Rgh),86' 3,168,EVEN,"Total Distance (feet): 2,157.167",# of Attempts: 25
Approaches from 175-200 yards (Rgh),56' 3,130,EVEN,"Total Distance (feet): 1,800.500",# of Attempts: 32
Approaches from 150-175 yards (Rgh),45' 10,115,EVEN,"Total Distance (feet): 1,605.000",# of Attempts: 35
Approaches from 125-150 yards (Rgh),36' 2,75,EVEN,"Total Distance (feet): 1,664.167",# of Attempts: 46
Approaches from 50-125 yards (Rgh),27' 4,76,EVEN,Total Distance (feet): 765.333,# of Attempts: 28
Approaches from 100-125 yards (Rgh),26' 7,29,EVEN,Total Distance (feet): 345.417,# of Attempts: 13
Approaches from 75-100 yards (Rgh),28' 9,130,EVEN,Total Distance (feet): 287.667,# of Attempts: 10
Approaches from 50-75 yards (Rgh),26' 5,118,EVEN,Total Distance (feet): 132.250,# of Attempts: 5
Going for the Green,60.71%,71,EVEN,Attempts: 119,Non-Attempts: 77
Going for the Green - Hit Green Pct.,27.73%,31,EVEN,Successes: 33,Attempts: 119
Going for the Green - Birdie or Better,58.82%,94,EVEN,# of Birdie or Better: 70,Attempts: 119
Total Hole Outs,16,22,EVEN,: ,: 
Longest Hole Outs (in yards),180,19,EVEN,Tournament: Houston Open,Round- Course: 2
Scrambling,61.00%,70,EVEN,Par or Better: 208,Missed GIR: 341
Scrambling from the Rough,56.45%,94,EVEN,Successes: 70,Attempts: 124
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.48%,71,EVEN,Successes: 17,Attempts: 54
Scrambling from 20-30 yards,52.31%,103,EVEN,Successes: 34,Attempts: 65
Scrambling from 10-20 yards,66.22%,81,EVEN,Successes: 98,Attempts: 148
Scrambling from < 10 yards,91.80%,33,EVEN,Successes: 56,Attempts: 61
Sand Save Percentage,57.14%,97,EVEN,# Saves: 44,# Bunkers: 77
Proximity to Hole from Sand,8' 9,57,EVEN,Total Distance (feet): 558.500,# of Shots: 64
Total Putting,165.0,63,EVEN,: ,: 
Putting Average,1.763,104,EVEN,"GIR Putts: 1,081",Greens Hit: 613
Overall Putting Average,1.584,42,EVEN,"# of Putts: 1,511",# of Holes: 954
Birdie or Better Conversion Percentage,31.05%,96,EVEN,# Birdies: 190,Greens Hit: 612
Putts Per Round,28.51,42,EVEN,"Total Putts: 1,511",Total Rounds: 53
Putts per Round - Round 1,28.73,73,EVEN,Total Putts: 431,Total Rounds: 15
Putts per Round - Round 2,28.64,72,EVEN,Total Putts: 401,Total Rounds: 14
Putts per Round - Round 3,27.67,19,EVEN,Total Putts: 332,Total Rounds: 12
Putts per Round - Round 4,28.92,98,EVEN,Total Putts: 347,Total Rounds: 12
One-Putt Percentage,39.94%,89,EVEN,# of 1 putts: 381,# of holes: 954
Longest Putts,43' 0,172,EVEN,Year/Tourn#: Charles Schwab,Round: 4
3-Putt Avoidance,1.68%,7,EVEN,Total 3 Putts: 16,Total Holes (overall): 954
Putting from - > 25',5.61%,72,EVEN,Attempts: 214,Putts made: 12
Putting from - 20-25',12.33%,77,EVEN,Attempts: 73,Putts made: 9
Putting from - 15-20',13.48%,156,EVEN,Attempts: 89,Putts made: 12
Putting from - 10-15',32.33%,62,EVEN,Attempts: 133,Putts made: 43
Putting - Inside 10',87.41%,114,EVEN,Attempts: 945,Putts made: 826
Putting from 10',29.63%,154,EVEN,Attempts: 27,: 
Putting from 9',47.73%,70,EVEN,Attempts: 44,: 
Putting from 8',45.24%,138,EVEN,Attempts: 42,: 
Putting from 7',54.24%,138,EVEN,Attempts: 59,: 
Putting from 6',75.68%,44,EVEN,Attempts: 37,: 
Putting from 5',79.66%,105,EVEN,Attempts: 59,: 
Putting from 4-8',63.96%,149,EVEN,Attempts: 197,Putts made: 126
Putting from 4',96.26%,19,EVEN,Attempts: 107,: 
Putting from 3',99.65%,80,EVEN,Attempts: 570,: 
Average Distance of Putts made,68' 4,138,EVEN,"Total Dist. (inches): 41,826",Total Rounds: 51
Approach Putt Performance,2' 0,9,EVEN,: ,Attempts: 537
Scoring Average (Adjusted),71.145,101,EVEN,"Total Strokes: 3,738",Total Adjustment: 32.690
Scoring Average (Actual),70.53,108,EVEN,"Total Strokes: 3,738",Total Rounds: 53
Lowest Round,62,9,EVEN,Tourn/Course: The American Ex,Round: 2
Birdie Average,3.77,92,EVEN,# of Birdies: 200,Total Rounds: 53
Total Birdies,200,81,EVEN,: ,: 
Eagles (Holes per),318.0,149,EVEN,# of Holes: 954,# of Eagles: 3
Total Eagles,3,127,EVEN,: ,: 
