Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.308,69,EVEN,Total SG:T: 12.609,Measured Rounds: 41
SG: Tee-to-Green,0.661,33,EVEN,SG:OTT: 0.328,Measured Rounds: 41
SG: Off-the-Tee,0.328,32,EVEN,Total SG:OTT: 13.456,Measured Rounds: 41
SG: Approach the Green,0.188,63,EVEN,Total SG:APP: 7.690,Measured Rounds: 41
SG: Around-the-Green,0.145,48,EVEN,Total SG:ARG: 5.949,Measured Rounds: 41
SG: Putting,-0.353,149,EVEN,Total SG:Putting: -14.487,Measured Rounds: 41
Longest Drives,359,223,EVEN,Tournament: Cognizant Classic,Round: 1
Driving Distance,308.7,29,EVEN,"Total Distance: 32,109",Total Drives: 104
Driving Distance - All Drives,297.4,50,EVEN,"Total Distance: 167,745",# of Drives: 564
Driving Accuracy Percentage,60.72%,72,EVEN,Fairways Hit: 436,Possible Fairways: 718
Left Rough Tendency,16.88%,155,EVEN,Total Left rough: 94,Possible Fwys: 557
Right Rough Tendency,12.93%,24,EVEN,Total Right rough: 72,Possible Fwys: 557
Distance from Edge of Fairway,32' 1,131,EVEN,"Total Distance (Feet): 6,964.750",Total Strokes: 217
Club Head Speed,118.15,60,EVEN,"Total Club Head Speed: 21,267.69",Total Attempts: 180
Total Driving Efficiency,76,36,EVEN,: ,Carry Efficiency Rank: 38
Greens in Regulation Percentage,69.02%,30,EVEN,Greens Hit: 646,# Holes: 936
Proximity to Hole,35' 1,10,EVEN,"Total Distance (feet): 25,694.333",# of Attempts: 732
Approaches from > 275 yards,66' 6,12,EVEN,Total Distance (feet): 864.333,# of Attempts: 13
Approaches from 250-275 yards,73' 1,151,EVEN,"Total Distance (feet): 1,023.667",# of Attempts: 14
Approaches from 225-250 yards,49' 9,79,EVEN,"Total Distance (feet): 2,336.417",# of Attempts: 47
Approaches from 200-225 yards,39' 2,38,EVEN,"Total Distance (feet): 2,311.250",# of Attempts: 59
Approaches from > 200 yards,49' 2,40,EVEN,"Total Distance (feet): 6,535.667",# of Attempts: 133
Approaches from 175-200 yards,35' 2,122,EVEN,"Total Distance (feet): 3,625.917",# of Attempts: 103
Approaches from 150-175 yards,27' 11,70,EVEN,"Total Distance (feet): 2,732.083",# of Attempts: 98
Approaches from 125-150 yards,24' 7,114,EVEN,"Total Distance (feet): 2,040.583",# of Attempts: 83
Approaches from 50-125 yards,18' 3,66,EVEN,"Total Distance (feet): 1,953.750",# of Attempts: 107
Approaches from 100-125 yards,19' 4,61,EVEN,"Total Distance (feet): 1,024.583",# of Attempts: 53
Approaches from 75-100 yards,19' 9,131,EVEN,Total Distance (feet): 731.500,# of Attempts: 37
Approaches from 50-75 yards,11' 8,20,EVEN,Total Distance (feet): 197.667,# of Attempts: 17
Approaches from inside 100 yards,17' 2,94,EVEN,Total Distance (feet): 942.083,# of Attempts: 55
Approaches from > 100 yards,33' 11,59,EVEN,"Total Distance (feet): 15,958.833",# of Attempts: 470
Fairway Proximity,32' 2,53,EVEN,: ,Attempts: 525
