Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.332,-,EVEN,Total SG:T: -9.625,Measured Rounds: 29
SG: Tee-to-Green,-0.275,-,EVEN,SG:OTT: -0.045,Measured Rounds: 29
SG: Off-the-Tee,-0.045,-,EVEN,Total SG:OTT: -1.296,Measured Rounds: 29
SG: Approach the Green,-0.197,-,EVEN,Total SG:APP: -5.708,Measured Rounds: 29
SG: Around-the-Green,-0.033,-,EVEN,Total SG:ARG: -0.969,Measured Rounds: 29
SG: Putting,-0.057,-,EVEN,Total SG:Putting: -1.652,Measured Rounds: 29
Longest Drives,362,286,EVEN,Tournament: Corales Puntacana,Round: 4
Driving Distance,299.3,-,EVEN,"Total Distance: 25,137",Total Drives: 84
Driving Distance - All Drives,288.1,-,EVEN,"Total Distance: 115,248",# of Drives: 400
Driving Accuracy Percentage,60.48%,-,EVEN,Fairways Hit: 352,Possible Fairways: 582
Left Rough Tendency,16.08%,-,EVEN,Total Left rough: 64,Possible Fwys: 398
Right Rough Tendency,18.59%,-,EVEN,Total Right rough: 74,Possible Fwys: 398
Distance from Edge of Fairway,24' 3,-,EVEN,"Total Distance (Feet): 3,757.250",Total Strokes: 155
Club Head Speed,115.25,-,EVEN,"Total Club Head Speed: 16,019.31",Total Attempts: 139
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,64.02%,-,EVEN,Greens Hit: 484,# Holes: 756
Proximity to Hole,36' 10,-,EVEN,"Total Distance (feet): 19,074.917",# of Attempts: 518
Approaches from > 275 yards,85' 1,-,EVEN,Total Distance (feet): 765.917,# of Attempts: 9
Approaches from 250-275 yards,71' 6,-,EVEN,Total Distance (feet): 930.000,# of Attempts: 13
Approaches from 225-250 yards,47' 1,-,EVEN,"Total Distance (feet): 1,411.833",# of Attempts: 30
Approaches from 200-225 yards,38' 9,-,EVEN,"Total Distance (feet): 1,705.583",# of Attempts: 44
