Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-3.056,-,EVEN,Total SG:T: -12.223,Measured Rounds: 4
SG: Tee-to-Green,-2.156,-,EVEN,SG:OTT: -1.571,Measured Rounds: 4
SG: Off-the-Tee,-1.571,-,EVEN,Total SG:OTT: -6.284,Measured Rounds: 4
SG: Approach the Green,-0.139,-,EVEN,Total SG:APP: -0.555,Measured Rounds: 4
SG: Around-the-Green,-0.446,-,EVEN,Total SG:ARG: -1.785,Measured Rounds: 4
SG: Putting,-0.899,-,EVEN,Total SG:Putting: -3.598,Measured Rounds: 4
Longest Drives,352,266,EVEN,Tournament: Puerto Rico,Round: 3
Driving Distance,297.1,-,EVEN,"Total Distance: 4,753",Total Drives: 16
Driving Distance - All Drives,285.4,-,EVEN,"Total Distance: 15,984",# of Drives: 56
Driving Accuracy Percentage,46.43%,-,EVEN,Fairways Hit: 52,Possible Fairways: 112
Left Rough Tendency,16.07%,-,EVEN,Total Left rough: 9,Possible Fwys: 56
Right Rough Tendency,21.43%,-,EVEN,Total Right rough: 12,Possible Fwys: 56
Distance from Edge of Fairway,44' 4,-,EVEN,"Total Distance (Feet): 1,462.750",Total Strokes: 33
Club Head Speed,114.43,-,EVEN,"Total Club Head Speed: 1,830.82",Total Attempts: 16
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,63.19%,-,EVEN,Greens Hit: 91,# Holes: 144
Proximity to Hole,39' 2,-,EVEN,"Total Distance (feet): 2,822.583",# of Attempts: 72
Approaches from > 275 yards,94' 0,-,EVEN,Total Distance (feet): 282.000,# of Attempts: 3
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,67' 11,-,EVEN,Total Distance (feet): 203.667,# of Attempts: 3
Approaches from 200-225 yards,18' 10,-,EVEN,Total Distance (feet): 37.667,# of Attempts: 2
Approaches from > 200 yards,65' 5,-,EVEN,Total Distance (feet): 523.333,# of Attempts: 8
Approaches from 175-200 yards,25' 9,-,EVEN,Total Distance (feet): 308.500,# of Attempts: 12
Approaches from 150-175 yards,26' 2,-,EVEN,Total Distance (feet): 261.333,# of Attempts: 10
Approaches from 125-150 yards,18' 9,-,EVEN,Total Distance (feet): 75.000,# of Attempts: 4
Approaches from 50-125 yards,15' 4,-,EVEN,Total Distance (feet): 76.667,# of Attempts: 5
Approaches from 100-125 yards,16' 7,-,EVEN,Total Distance (feet): 66.417,# of Attempts: 4
Approaches from 75-100 yards,-,-,EVEN,,
Approaches from 50-75 yards,10' 3,-,EVEN,Total Distance (feet): 10.250,# of Attempts: 1
Approaches from inside 100 yards,14' 5,-,EVEN,Total Distance (feet): 28.833,# of Attempts: 2
Approaches from > 100 yards,32' 6,-,EVEN,"Total Distance (feet): 1,234.583",# of Attempts: 38
Fairway Proximity,31' 7,-,EVEN,: ,Attempts: 40
Rough Proximity,48' 7,-,EVEN,"Total Distance (inches): 12,823",Attempts: 22
Left Rough Proximity,51' 11,-,EVEN,: ,Attempts: 10
Right Rough Proximity,45' 9,-,EVEN,: ,Attempts: 12
Approaches from > 275 yards (Rgh),-,-,EVEN,,
