Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.894,15,EVEN,Total SG:T: 69.767,Measured Rounds: 78
SG: Tee-to-Green,0.644,29,EVEN,SG:OTT: 0.228,Measured Rounds: 78
SG: Off-the-Tee,0.228,50,EVEN,Total SG:OTT: 17.820,Measured Rounds: 78
SG: Approach the Green,0.312,40,EVEN,Total SG:APP: 24.310,Measured Rounds: 78
SG: Around-the-Green,0.103,58,EVEN,Total SG:ARG: 8.065,Measured Rounds: 78
SG: Putting,0.251,36,EVEN,Total SG:Putting: 19.573,Measured Rounds: 78
Longest Drives,395,68,EVEN,Tournament: Sentry,Round: 1
Driving Distance,302.7,88,EVEN,"Total Distance: 50,846",Total Drives: 168
Driving Distance - All Drives,296.4,59,EVEN,"Total Distance: 323,634","# of Drives: 1,092"
Driving Accuracy Percentage,61.48%,55,EVEN,Fairways Hit: 723,"Possible Fairways: 1,176"
Left Rough Tendency,11.86%,49,EVEN,Total Left rough: 129,"Possible Fwys: 1,088"
Right Rough Tendency,13.14%,31,EVEN,Total Right rough: 143,"Possible Fwys: 1,088"
Distance from Edge of Fairway,25' 5,51,EVEN,"Total Distance (Feet): 10,202.250",Total Strokes: 402
Club Head Speed,117.10,73,EVEN,"Total Club Head Speed: 40,868.15",Total Attempts: 349
Total Driving Efficiency,198,101,EVEN,: ,Carry Efficiency Rank: 110
Greens in Regulation Percentage,68.65%,40,EVEN,"Greens Hit: 1,038","# Holes: 1,512"
Proximity to Hole,37' 1,87,EVEN,"Total Distance (feet): 51,696.083","# of Attempts: 1,395"
Approaches from > 275 yards,84' 6,95,EVEN,"Total Distance (feet): 2,450.667",# of Attempts: 29
Approaches from 250-275 yards,52' 4,14,EVEN,"Total Distance (feet): 1,360.250",# of Attempts: 26
Approaches from 225-250 yards,49' 11,83,EVEN,"Total Distance (feet): 3,842.000",# of Attempts: 77
Approaches from 200-225 yards,38' 6,35,EVEN,"Total Distance (feet): 5,233.167",# of Attempts: 136
Approaches from > 200 yards,48' 1,39,EVEN,"Total Distance (feet): 12,886.083",# of Attempts: 268
Approaches from 175-200 yards,33' 0,72,EVEN,"Total Distance (feet): 5,706.500",# of Attempts: 173
Approaches from 150-175 yards,26' 0,22,EVEN,"Total Distance (feet): 4,467.167",# of Attempts: 172
Approaches from 125-150 yards,25' 2,145,EVEN,"Total Distance (feet): 3,949.583",# of Attempts: 157
Approaches from 50-125 yards,19' 9,138,EVEN,"Total Distance (feet): 4,047.083",# of Attempts: 205
Approaches from 100-125 yards,20' 7,123,EVEN,"Total Distance (feet): 2,711.667",# of Attempts: 132
Approaches from 75-100 yards,17' 8,84,EVEN,"Total Distance (feet): 1,059.917",# of Attempts: 60
Approaches from 50-75 yards,21' 2,152,EVEN,Total Distance (feet): 275.500,# of Attempts: 13
Approaches from inside 100 yards,18' 1,125,EVEN,"Total Distance (feet): 1,337.333",# of Attempts: 74
Approaches from > 100 yards,32' 11,50,EVEN,"Total Distance (feet): 29,721.000",# of Attempts: 902
Fairway Proximity,31' 10,69,EVEN,: ,Attempts: 976
Rough Proximity,43' 8,45,EVEN,"Total Distance (inches): 130,392",Attempts: 249
Left Rough Proximity,41' 9,32,EVEN,: ,Attempts: 117
Right Rough Proximity,45' 3,74,EVEN,: ,Attempts: 132
Approaches from > 275 yards (Rgh),114' 8,129,EVEN,Total Distance (feet): 229.333,# of Attempts: 2
Approaches from 250-275 yards (Rgh),74' 10,67,EVEN,Total Distance (feet): 449.000,# of Attempts: 6
Approaches from 225-250 yards (Rgh),81' 0,134,EVEN,Total Distance (feet): 405.000,# of Attempts: 5
Approaches from 200-225 yards (Rgh),56' 3,24,EVEN,"Total Distance (feet): 1,238.250",# of Attempts: 22
Approaches from > 100 yards (Rgh),47' 5,58,EVEN,"Total Distance (feet): 9,817.250",# of Attempts: 207
Approaches from inside 100 yards (Rgh),25' 0,70,EVEN,"Total Distance (feet): 1,048.750",# of Attempts: 42
Approaches from > 200 yards (Rgh),66' 4,27,EVEN,"Total Distance (feet): 2,321.583",# of Attempts: 35
Approaches from 175-200 yards (Rgh),55' 3,110,EVEN,"Total Distance (feet): 2,375.417",# of Attempts: 43
Approaches from 150-175 yards (Rgh),46' 5,103,EVEN,"Total Distance (feet): 2,272.583",# of Attempts: 49
Approaches from 125-150 yards (Rgh),35' 5,42,EVEN,"Total Distance (feet): 1,912.417",# of Attempts: 54
Approaches from 50-125 yards (Rgh),29' 3,93,EVEN,"Total Distance (feet): 1,845.167",# of Attempts: 63
Approaches from 100-125 yards (Rgh),36' 0,145,EVEN,Total Distance (feet): 935.250,# of Attempts: 26
Approaches from 75-100 yards (Rgh),27' 4,92,EVEN,Total Distance (feet): 601.417,# of Attempts: 22
Approaches from 50-75 yards (Rgh),20' 7,47,EVEN,Total Distance (feet): 308.500,# of Attempts: 15
Going for the Green,64.00%,50,EVEN,Attempts: 176,Non-Attempts: 99
Going for the Green - Hit Green Pct.,24.02%,77,EVEN,Successes: 43,Attempts: 179
Going for the Green - Birdie or Better,64.25%,21,EVEN,# of Birdie or Better: 115,Attempts: 179
Total Hole Outs,17,43,EVEN,: ,: 
Longest Hole Outs (in yards),20,205,EVEN,Tournament: Travelers,Round- Course: 2
Scrambling,60.76%,56,EVEN,Par or Better: 288,Missed GIR: 474
Scrambling from the Rough,53.18%,130,EVEN,Successes: 92,Attempts: 173
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.77%,78,EVEN,Successes: 24,Attempts: 78
Scrambling from 20-30 yards,55.42%,63,EVEN,Successes: 46,Attempts: 83
Scrambling from 10-20 yards,65.91%,82,EVEN,Successes: 116,Attempts: 176
Scrambling from < 10 yards,87.91%,70,EVEN,Successes: 80,Attempts: 91
