Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
Total Driving,69,17,EVEN,Distance Rank: 41,Accuracy Rank: 28
Longest Drives,354,53,EVEN,Tournament: Sanford Int,Round: 2
Driving Distance,285.9,41,EVEN,"Total Distance: 25,731",Total Drives: 90
Driving Accuracy Percentage,66.94%,28,EVEN,Fairways Hit: 415,Possible Fairways: 620
Greens in Regulation Percentage,66.91%,55,EVEN,Greens Hit: 542,# Holes: 810
Scrambling,57.09%,54,EVEN,Par or Better: 153,Missed GIR: 268
Sand Save Percentage,62.34%,13,EVEN,# Saves: 48,# Bunkers: 77
Putting Average,1.773,23,EVEN,GIR Putts: 961,Greens Hit: 542
Birdie or Better Conversion Percentage,29.94%,33,EVEN,# Birdies: 162,Greens Hit: 541
Putts Per Round,29.31,21,EVEN,"Total Putts: 1,319",Total Rounds: 45
Putts per Round - Round 1,28.29%,3,EVEN,Total Putts: 396,Total Rounds: 14
Putts per Round - Round 2,30.07%,63,EVEN,Total Putts: 421,Total Rounds: 14
Putts per Round - Round 3,29.64%,45,EVEN,Total Putts: 415,Total Rounds: 14
Putts per Round - Round 4,29.00%,19,EVEN,Total Putts: 87,Total Rounds: 3
Overall Putting Average,1.495,49,EVEN,"# of Putts: 1,319",# of Holes: 882
One Putt Percentage,34.58%,27,EVEN,# of 1 putts: 305,# of holes: 882
3 Putt Avoidance,1.81%,4,EVEN,Total 3 Putts: 16,Total Holes (overall): 882
Scoring Average (Actual),71.27,49,EVEN,"Total Strokes: 3,706",Total Rounds: 52
Bounce Back,20.95%,41,EVEN,: ,: 
Bogey Avoidance,-,-,EVEN,,
Round 1 Scoring Average,70.47,24,EVEN,"Total Strokes: 1,198",Total Rounds: 17
Round 2 Scoring Average,72.65,72,EVEN,"Total Strokes: 1,235",Total Rounds: 17
Round 3 Scoring Average,70.27,26,EVEN,"Total Strokes: 1,054",Total Rounds: 15
Round 4 Scoring Average,-,-,EVEN,,
Par 3 Scoring Average,3.11,57,EVEN,Total Strokes: 668,Total Holes: 215
Par 3 Birdie or Better Leaders,12.09%,47,EVEN,Par 3 Birdies or Better: 26,Par 3 Holes: 215
Par 4 Scoring Average,4.06,46,EVEN,"Total Strokes: 2,185",Total Holes: 538
Par 4 Birdie or Better Leaders,13.94%,58,EVEN,Par 4 Birdies or Better: 75,Par 4 Holes: 538
Par 5 Scoring Average,4.66,42,EVEN,Total Strokes: 853,Total Holes: 183
Par 5 Birdie or Better Leaders,44.81%,31,EVEN,Par 5 Birdies or Better: 82,Par 5 Holes: 183
Front 9 Scoring Average,-,-,EVEN,,
Back 9 Scoring Average,-,-,EVEN,,
Early Scoring Average,-,-,EVEN,,
Late Scoring Average,-,-,EVEN,,
Lowest Round,66,67,EVEN,Tourn/Course: Cologuard/La Pa,Round: 1
Birdie Average,3.40,48,EVEN,# of Birdies: 177,: 
Total Birdies,177,52,EVEN,: ,: 
Birdie or Better Percentage,19.55%,48,EVEN,Total Birdies: 183,Total Holes: 936
Eagles (Holes per),156.0,28,EVEN,# of Holes: 936,# of Eagles: 6
Total Eagles,6,26,EVEN,: ,: 
Par Breakers,19.55%,48,EVEN,# Birdies/Eagles: 183,# Holes: 936
Scoring Average Final Rnd,71.27,48,EVEN,"Total Strokes: 1,069",Total Rounds: 15
Final Round Performance,43.75%,65,EVEN,: ,: 
Consecutive Fairways Hit,21,22,EVEN,Current Streak: 4,: 
Consecutive Par 3 Birdies,2,32,EVEN,: ,: 
Consecutive Holes below Par,3,67,EVEN,: ,: 
Consecutive GIR,16,43,EVEN,Current Streak: 3,Round: 1
Consecutive Sand Saves,11,1,EVEN,Current Streak: 0,Round: 2
Best YTD Streak w/o a 3-Putt,231,1,EVEN,Current Streak: 25,: 
Current Streak without a 3 Putt,-,-,EVEN,,
YTD Par or Better Streak,7,52,EVEN,: ,: 
Consecutive Birdies Streak,3,62,EVEN,: ,: 
Consecutive Birdies/Eagles streak,1,72,EVEN,: ,: 
Charles Schwab Cup Money List,"$376,618",44,EVEN,: ,YTD Victories: 
2024 Charles Schwab Cup Points,-,-,EVEN,,
