Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.638,-,EVEN,Total SG:T: -3.275,Measured Rounds: 2
SG: Tee-to-Green,-1.974,-,EVEN,SG:OTT: 0.211,Measured Rounds: 2
SG: Off-the-Tee,0.211,-,EVEN,Total SG:OTT: 0.422,Measured Rounds: 2
SG: Approach the Green,-1.600,-,EVEN,Total SG:APP: -3.200,Measured Rounds: 2
SG: Around-the-Green,-0.584,-,EVEN,Total SG:ARG: -1.169,Measured Rounds: 2
SG: Putting,0.336,-,EVEN,Total SG:Putting: 0.671,Measured Rounds: 2
Longest Drives,348,285,EVEN,Tournament: Rocket Classic,Round: 1
Driving Distance,315.4,-,EVEN,"Total Distance: 2,523",Total Drives: 8
Driving Distance - All Drives,310.3,-,EVEN,"Total Distance: 8,690",# of Drives: 28
Driving Accuracy Percentage,53.57%,-,EVEN,Fairways Hit: 30,Possible Fairways: 56
Left Rough Tendency,3.57%,-,EVEN,Total Left rough: 1,Possible Fwys: 28
Right Rough Tendency,25.00%,-,EVEN,Total Right rough: 7,Possible Fwys: 28
Distance from Edge of Fairway,34' 7,-,EVEN,Total Distance (Feet): 345.667,Total Strokes: 10
Club Head Speed,125.18,-,EVEN,"Total Club Head Speed: 1,251.75",Total Attempts: 10
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.50%,-,EVEN,Greens Hit: 45,# Holes: 72
Proximity to Hole,36' 3,-,EVEN,"Total Distance (feet): 1,306.167",# of Attempts: 36
Approaches from > 275 yards,45' 2,-,EVEN,Total Distance (feet): 45.167,# of Attempts: 1
Approaches from 250-275 yards,68' 0,-,EVEN,Total Distance (feet): 68.000,# of Attempts: 1
Approaches from 225-250 yards,59' 6,-,EVEN,Total Distance (feet): 238.000,# of Attempts: 4
Approaches from 200-225 yards,69' 6,-,EVEN,Total Distance (feet): 208.417,# of Attempts: 3
Approaches from > 200 yards,62' 2,-,EVEN,Total Distance (feet): 559.583,# of Attempts: 9
Approaches from 175-200 yards,-,-,EVEN,,
Approaches from 150-175 yards,33' 10,-,EVEN,Total Distance (feet): 237.000,# of Attempts: 7
Approaches from 125-150 yards,20' 0,-,EVEN,Total Distance (feet): 100.167,# of Attempts: 5
Approaches from 50-125 yards,28' 11,-,EVEN,Total Distance (feet): 202.250,# of Attempts: 7
Approaches from 100-125 yards,45' 9,-,EVEN,Total Distance (feet): 91.500,# of Attempts: 2
Approaches from 75-100 yards,31' 0,-,EVEN,Total Distance (feet): 61.917,# of Attempts: 2
