Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.314,67,EVEN,Total SG:T: 26.050,Measured Rounds: 83
SG: Tee-to-Green,0.605,33,EVEN,SG:OTT: 0.185,Measured Rounds: 83
SG: Off-the-Tee,0.185,59,EVEN,Total SG:OTT: 15.317,Measured Rounds: 83
SG: Approach the Green,0.408,29,EVEN,Total SG:APP: 33.831,Measured Rounds: 83
SG: Around-the-Green,0.013,82,EVEN,Total SG:ARG: 1.046,Measured Rounds: 83
SG: Putting,-0.291,140,EVEN,Total SG:Putting: -24.145,Measured Rounds: 83
Longest Drives,394,73,EVEN,Tournament: Truist,Round: 4
Driving Distance,302.3,94,EVEN,"Total Distance: 53,196",Total Drives: 176
Driving Distance - All Drives,292.1,103,EVEN,"Total Distance: 334,710","# of Drives: 1,146"
Driving Accuracy Percentage,61.68%,53,EVEN,Fairways Hit: 750,"Possible Fairways: 1,216"
Left Rough Tendency,10.15%,10,EVEN,Total Left rough: 116,"Possible Fwys: 1,143"
Right Rough Tendency,15.40%,92,EVEN,Total Right rough: 176,"Possible Fwys: 1,143"
Distance from Edge of Fairway,24' 0,38,EVEN,"Total Distance (Feet): 9,866.917",Total Strokes: 411
Club Head Speed,115.86,96,EVEN,"Total Club Head Speed: 37,655.57",Total Attempts: 325
Total Driving Efficiency,236,122,EVEN,: ,Carry Efficiency Rank: 133
Greens in Regulation Percentage,64.46%,135,EVEN,"Greens Hit: 1,021","# Holes: 1,584"
Proximity to Hole,37' 10,121,EVEN,"Total Distance (feet): 56,313.583","# of Attempts: 1,488"
Approaches from > 275 yards,69' 4,15,EVEN,"Total Distance (feet): 2,773.250",# of Attempts: 40
Approaches from 250-275 yards,57' 2,42,EVEN,"Total Distance (feet): 2,685.750",# of Attempts: 47
Approaches from 225-250 yards,41' 9,3,EVEN,"Total Distance (feet): 2,965.750",# of Attempts: 71
Approaches from 200-225 yards,38' 6,35,EVEN,"Total Distance (feet): 5,700.333",# of Attempts: 148
Approaches from > 200 yards,46' 2,13,EVEN,"Total Distance (feet): 14,125.083",# of Attempts: 306
Approaches from 175-200 yards,35' 3,124,EVEN,"Total Distance (feet): 7,649.583",# of Attempts: 217
Approaches from 150-175 yards,27' 0,45,EVEN,"Total Distance (feet): 5,422.667",# of Attempts: 201
Approaches from 125-150 yards,22' 4,47,EVEN,"Total Distance (feet): 3,398.917",# of Attempts: 152
Approaches from 50-125 yards,20' 0,143,EVEN,"Total Distance (feet): 3,673.083",# of Attempts: 184
Approaches from 100-125 yards,22' 6,154,EVEN,"Total Distance (feet): 2,223.417",# of Attempts: 99
Approaches from 75-100 yards,18' 11,124,EVEN,"Total Distance (feet): 1,190.083",# of Attempts: 63
Approaches from 50-75 yards,11' 10,20,EVEN,Total Distance (feet): 259.583,# of Attempts: 22
Approaches from inside 100 yards,17' 1,89,EVEN,"Total Distance (feet): 1,466.250",# of Attempts: 86
Approaches from > 100 yards,33' 8,85,EVEN,"Total Distance (feet): 32,819.667",# of Attempts: 975
Fairway Proximity,32' 4,98,EVEN,: ,"Attempts: 1,061"
Rough Proximity,47' 0,136,EVEN,"Total Distance (inches): 141,654",Attempts: 251
Left Rough Proximity,45' 3,100,EVEN,: ,Attempts: 103
Right Rough Proximity,48' 3,133,EVEN,: ,Attempts: 148
Approaches from > 275 yards (Rgh),94' 9,83,EVEN,"Total Distance (feet): 1,042.583",# of Attempts: 11
Approaches from 250-275 yards (Rgh),70' 3,55,EVEN,Total Distance (feet): 491.917,# of Attempts: 7
Approaches from 225-250 yards (Rgh),92' 1,159,EVEN,Total Distance (feet): 736.917,# of Attempts: 8
Approaches from 200-225 yards (Rgh),72' 9,131,EVEN,"Total Distance (feet): 1,164.000",# of Attempts: 16
Approaches from > 100 yards (Rgh),49' 4,112,EVEN,"Total Distance (feet): 11,044.500",# of Attempts: 224
Approaches from inside 100 yards (Rgh),28' 2,131,EVEN,Total Distance (feet): 760.000,# of Attempts: 27
Approaches from > 200 yards (Rgh),81' 10,156,EVEN,"Total Distance (feet): 3,435.417",# of Attempts: 42
Approaches from 175-200 yards (Rgh),59' 9,142,EVEN,"Total Distance (feet): 2,389.417",# of Attempts: 40
