Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.013,109,EVEN,Total SG:T: 0.849,Measured Rounds: 64
SG: Tee-to-Green,0.593,35,EVEN,SG:OTT: -0.048,Measured Rounds: 64
SG: Off-the-Tee,-0.048,118,EVEN,Total SG:OTT: -3.085,Measured Rounds: 64
SG: Approach the Green,0.427,24,EVEN,Total SG:APP: 27.348,Measured Rounds: 64
SG: Around-the-Green,0.214,37,EVEN,Total SG:ARG: 13.700,Measured Rounds: 64
SG: Putting,-0.580,177,EVEN,Total SG:Putting: -37.132,Measured Rounds: 64
Longest Drives,366,242,EVEN,Tournament: Shriners Children's Open,Round: 2
Driving Distance,288.3,174,EVEN,"Total Distance: 41,516",Total Drives: 144
Driving Distance - All Drives,281.0,175,EVEN,"Total Distance: 248,423",# of Drives: 884
Driving Accuracy Percentage,70.38%,6,EVEN,Fairways Hit: 701,Possible Fairways: 996
Left Rough Tendency,12.59%,73,EVEN,Total Left rough: 111,Possible Fwys: 882
Right Rough Tendency,11.45%,10,EVEN,Total Right rough: 101,Possible Fwys: 882
Distance from Edge of Fairway,23' 1,25,EVEN,"Total Distance (Feet): 5,938.833",Total Strokes: 257
Club Head Speed,109.27,178,EVEN,"Total Club Head Speed: 35,838.95",Total Attempts: 328
Total Driving Efficiency,184,99,EVEN,: ,Carry Efficiency Rank: 157
Greens in Regulation Percentage,68.83%,55,EVEN,Greens Hit: 892,"# Holes: 1,296"
Proximity to Hole,36' 1,35,EVEN,"Total Distance (feet): 41,312.500","# of Attempts: 1,146"
Approaches from > 275 yards,90' 7,139,EVEN,"Total Distance (feet): 2,084.333",# of Attempts: 23
Approaches from 250-275 yards,54' 1,21,EVEN,"Total Distance (feet): 1,731.167",# of Attempts: 32
Approaches from 225-250 yards,53' 7,129,EVEN,"Total Distance (feet): 2,838.333",# of Attempts: 53
Approaches from 200-225 yards,41' 0,95,EVEN,"Total Distance (feet): 4,674.333",# of Attempts: 114
Approaches from > 200 yards,51' 0,113,EVEN,"Total Distance (feet): 11,328.167",# of Attempts: 222
Approaches from 175-200 yards,32' 11,60,EVEN,"Total Distance (feet): 6,486.917",# of Attempts: 197
Approaches from 150-175 yards,25' 3,7,EVEN,"Total Distance (feet): 4,915.917",# of Attempts: 195
Approaches from 125-150 yards,20' 9,11,EVEN,"Total Distance (feet): 2,780.583",# of Attempts: 134
Approaches from 50-125 yards,17' 10,44,EVEN,"Total Distance (feet): 2,688.083",# of Attempts: 151
Approaches from 100-125 yards,17' 6,13,EVEN,"Total Distance (feet): 1,571.917",# of Attempts: 90
Approaches from 75-100 yards,17' 4,90,EVEN,Total Distance (feet): 884.833,# of Attempts: 51
Approaches from 50-75 yards,23' 2,175,EVEN,Total Distance (feet): 231.333,# of Attempts: 10
Approaches from inside 100 yards,18' 5,136,EVEN,"Total Distance (feet): 1,177.333",# of Attempts: 64
Approaches from > 100 yards,32' 4,27,EVEN,"Total Distance (feet): 27,083.500",# of Attempts: 838
Fairway Proximity,31' 4,42,EVEN,: ,Attempts: 902
Rough Proximity,50' 2,178,EVEN,"Total Distance (inches): 109,485",Attempts: 182
Left Rough Proximity,49' 3,163,EVEN,: ,Attempts: 94
Right Rough Proximity,51' 1,169,EVEN,: ,Attempts: 88
