Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-2.875,-,EVEN,Total SG:T: -100.611,Measured Rounds: 35
SG: Tee-to-Green,-1.764,-,EVEN,SG:OTT: -0.112,Measured Rounds: 35
SG: Off-the-Tee,-0.112,-,EVEN,Total SG:OTT: -3.916,Measured Rounds: 35
SG: Approach the Green,-1.472,-,EVEN,Total SG:APP: -51.537,Measured Rounds: 35
SG: Around-the-Green,-0.180,-,EVEN,Total SG:ARG: -6.287,Measured Rounds: 35
SG: Putting,-1.111,-,EVEN,Total SG:Putting: -38.869,Measured Rounds: 35
Longest Drives,377,153,EVEN,Tournament: Sony Open,Round: 2
Driving Distance,297.0,-,EVEN,"Total Distance: 24,945",Total Drives: 84
Driving Distance - All Drives,291.6,-,EVEN,"Total Distance: 141,723",# of Drives: 486
Driving Accuracy Percentage,56.68%,-,EVEN,Fairways Hit: 331,Possible Fairways: 584
Left Rough Tendency,17.56%,-,EVEN,Total Left rough: 85,Possible Fwys: 484
Right Rough Tendency,14.26%,-,EVEN,Total Right rough: 69,Possible Fwys: 484
Distance from Edge of Fairway,28' 3,-,EVEN,"Total Distance (Feet): 5,573.250",Total Strokes: 197
Club Head Speed,113.02,-,EVEN,"Total Club Head Speed: 18,308.55",Total Attempts: 162
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,60.71%,-,EVEN,Greens Hit: 459,# Holes: 756
Proximity to Hole,40' 1,-,EVEN,"Total Distance (feet): 24,710.500",# of Attempts: 617
Approaches from > 275 yards,69' 10,-,EVEN,Total Distance (feet): 977.250,# of Attempts: 14
Approaches from 250-275 yards,52' 1,-,EVEN,Total Distance (feet): 885.417,# of Attempts: 17
Approaches from 225-250 yards,60' 2,-,EVEN,"Total Distance (feet): 1,866.333",# of Attempts: 31
Approaches from 200-225 yards,48' 11,-,EVEN,"Total Distance (feet): 2,152.083",# of Attempts: 44
Approaches from > 200 yards,55' 6,-,EVEN,"Total Distance (feet): 5,881.083",# of Attempts: 106
Approaches from 175-200 yards,39' 6,-,EVEN,"Total Distance (feet): 3,078.333",# of Attempts: 78
Approaches from 150-175 yards,33' 1,-,EVEN,"Total Distance (feet): 2,913.250",# of Attempts: 88
Approaches from 125-150 yards,27' 1,-,EVEN,"Total Distance (feet): 2,029.750",# of Attempts: 75
Approaches from 50-125 yards,18' 5,-,EVEN,"Total Distance (feet): 1,599.917",# of Attempts: 87
Approaches from 100-125 yards,21' 11,-,EVEN,Total Distance (feet): 987.083,# of Attempts: 45
Approaches from 75-100 yards,15' 1,-,EVEN,Total Distance (feet): 422.917,# of Attempts: 28
Approaches from 50-75 yards,13' 7,-,EVEN,Total Distance (feet): 189.917,# of Attempts: 14
Approaches from inside 100 yards,14' 7,-,EVEN,Total Distance (feet): 612.833,# of Attempts: 42
Approaches from > 100 yards,38' 0,-,EVEN,"Total Distance (feet): 14,889.500",# of Attempts: 392
Fairway Proximity,35' 9,-,EVEN,: ,Attempts: 434
Rough Proximity,47' 5,-,EVEN,"Total Distance (inches): 79,642",Attempts: 140
Left Rough Proximity,44' 10,-,EVEN,: ,Attempts: 74
Right Rough Proximity,50' 3,-,EVEN,: ,Attempts: 66
Approaches from > 275 yards (Rgh),100' 11,-,EVEN,Total Distance (feet): 302.750,# of Attempts: 3
Approaches from 250-275 yards (Rgh),61' 5,-,EVEN,Total Distance (feet): 184.250,# of Attempts: 3
Approaches from 225-250 yards (Rgh),73' 10,-,EVEN,Total Distance (feet): 886.000,# of Attempts: 12
Approaches from 200-225 yards (Rgh),72' 3,-,EVEN,"Total Distance (feet): 1,301.083",# of Attempts: 18
Approaches from > 100 yards (Rgh),49' 11,-,EVEN,"Total Distance (feet): 6,291.000",# of Attempts: 126
Approaches from inside 100 yards (Rgh),24' 8,-,EVEN,Total Distance (feet): 345.833,# of Attempts: 14
Approaches from > 200 yards (Rgh),74' 3,-,EVEN,"Total Distance (feet): 2,674.083",# of Attempts: 36
Approaches from 175-200 yards (Rgh),49' 10,-,EVEN,Total Distance (feet): 647.750,# of Attempts: 13
Approaches from 150-175 yards (Rgh),46' 7,-,EVEN,"Total Distance (feet): 1,489.333",# of Attempts: 32
Approaches from 125-150 yards (Rgh),35' 6,-,EVEN,"Total Distance (feet): 1,101.583",# of Attempts: 31
Approaches from 50-125 yards (Rgh),26' 3,-,EVEN,Total Distance (feet): 709.250,# of Attempts: 27
Approaches from 100-125 yards (Rgh),27' 0,-,EVEN,Total Distance (feet): 378.250,# of Attempts: 14
Approaches from 75-100 yards (Rgh),25' 11,-,EVEN,Total Distance (feet): 233.000,# of Attempts: 9
Approaches from 50-75 yards (Rgh),24' 6,-,EVEN,Total Distance (feet): 98.000,# of Attempts: 4
Going for the Green,59.35%,-,EVEN,Attempts: 73,Non-Attempts: 50
Going for the Green - Hit Green Pct.,26.03%,-,EVEN,Successes: 19,Attempts: 73
Going for the Green - Birdie or Better,64.38%,-,EVEN,# of Birdie or Better: 47,Attempts: 73
Total Hole Outs,11,-,EVEN,: ,: 
Longest Hole Outs (in yards),22,191,EVEN,Tournament: 3M Open,Round- Course: 1
Scrambling,52.53%,-,EVEN,Par or Better: 156,Missed GIR: 297
Scrambling from the Rough,49.57%,-,EVEN,Successes: 57,Attempts: 115
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,24.32%,-,EVEN,Successes: 9,Attempts: 37
Scrambling from 20-30 yards,40.00%,-,EVEN,Successes: 22,Attempts: 55
Scrambling from 10-20 yards,53.92%,-,EVEN,Successes: 55,Attempts: 102
Scrambling from < 10 yards,82.50%,-,EVEN,Successes: 33,Attempts: 40
Sand Save Percentage,62.50%,-,EVEN,# Saves: 40,# Bunkers: 64
Proximity to Hole from Sand,7' 3,-,EVEN,Total Distance (feet): 327.500,# of Shots: 45
Total Putting,-,-,EVEN,,
Putting Average,1.806,-,EVEN,GIR Putts: 829,Greens Hit: 459
Overall Putting Average,1.630,-,EVEN,"# of Putts: 1,232",# of Holes: 756
Birdie or Better Conversion Percentage,29.26%,-,EVEN,# Birdies: 134,Greens Hit: 458
Putts Per Round,29.33,-,EVEN,"Total Putts: 1,232",Total Rounds: 42
Putts per Round - Round 1,29.78,-,EVEN,Total Putts: 536,Total Rounds: 18
Putts per Round - Round 2,29.33,-,EVEN,Total Putts: 528,Total Rounds: 18
Putts per Round - Round 3,28.33,-,EVEN,Total Putts: 85,Total Rounds: 3
Putts per Round - Round 4,27.67,-,EVEN,Total Putts: 83,Total Rounds: 3
One-Putt Percentage,38.23%,-,EVEN,# of 1 putts: 289,# of holes: 756
Longest Putts,36' 2,294,EVEN,Year/Tourn#: 3M Open,Round: 1
