Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.652,34,EVEN,Total SG:T: 35.846,Measured Rounds: 55
SG: Tee-to-Green,0.594,37,EVEN,SG:OTT: 0.076,Measured Rounds: 55
SG: Off-the-Tee,0.076,90,EVEN,Total SG:OTT: 4.195,Measured Rounds: 55
SG: Approach the Green,0.249,53,EVEN,Total SG:APP: 13.707,Measured Rounds: 55
SG: Around-the-Green,0.268,27,EVEN,Total SG:ARG: 14.750,Measured Rounds: 55
SG: Putting,0.058,85,EVEN,Total SG:Putting: 3.195,Measured Rounds: 55
Longest Drives,358,233,EVEN,Tournament: RBC Canadian,Round: 4
Driving Distance,297.9,120,EVEN,"Total Distance: 34,551",Total Drives: 116
Driving Distance - All Drives,292.4,93,EVEN,"Total Distance: 221,669",# of Drives: 758
Driving Accuracy Percentage,59.25%,91,EVEN,Fairways Hit: 474,Possible Fairways: 800
Left Rough Tendency,13.18%,90,EVEN,Total Left rough: 99,Possible Fwys: 751
Right Rough Tendency,15.05%,70,EVEN,Total Right rough: 113,Possible Fwys: 751
Distance from Edge of Fairway,26' 4,56,EVEN,"Total Distance (Feet): 7,650.917",Total Strokes: 291
Club Head Speed,113.40,142,EVEN,"Total Club Head Speed: 29,483.46",Total Attempts: 260
Total Driving Efficiency,34,11,EVEN,: ,Carry Efficiency Rank: 10
Greens in Regulation Percentage,68.39%,35,EVEN,Greens Hit: 714,"# Holes: 1,044"
Proximity to Hole,36' 11,60,EVEN,"Total Distance (feet): 36,332.000",# of Attempts: 984
Approaches from > 275 yards,83' 4,94,EVEN,"Total Distance (feet): 1,999.250",# of Attempts: 24
Approaches from 250-275 yards,53' 1,16,EVEN,"Total Distance (feet): 1,114.083",# of Attempts: 21
Approaches from 225-250 yards,50' 9,92,EVEN,"Total Distance (feet): 2,538.833",# of Attempts: 50
Approaches from 200-225 yards,41' 7,80,EVEN,"Total Distance (feet): 3,785.000",# of Attempts: 91
Approaches from > 200 yards,50' 9,66,EVEN,"Total Distance (feet): 9,437.167",# of Attempts: 186
Approaches from 175-200 yards,33' 9,86,EVEN,"Total Distance (feet): 5,197.000",# of Attempts: 154
Approaches from 150-175 yards,26' 11,36,EVEN,"Total Distance (feet): 3,336.083",# of Attempts: 124
Approaches from 125-150 yards,24' 6,111,EVEN,"Total Distance (feet): 2,453.167",# of Attempts: 100
Approaches from 50-125 yards,18' 11,99,EVEN,"Total Distance (feet): 2,538.083",# of Attempts: 134
Approaches from 100-125 yards,18' 9,41,EVEN,"Total Distance (feet): 1,463.917",# of Attempts: 78
Approaches from 75-100 yards,20' 2,140,EVEN,Total Distance (feet): 685.000,# of Attempts: 34
Approaches from 50-75 yards,17' 8,121,EVEN,Total Distance (feet): 389.167,# of Attempts: 22
Approaches from inside 100 yards,18' 11,137,EVEN,"Total Distance (feet): 1,098.667",# of Attempts: 58
Approaches from > 100 yards,34' 1,66,EVEN,"Total Distance (feet): 21,887.333",# of Attempts: 642
Fairway Proximity,32' 10,90,EVEN,: ,Attempts: 700
Rough Proximity,43' 11,61,EVEN,"Total Distance (inches): 101,174",Attempts: 192
Left Rough Proximity,41' 3,35,EVEN,: ,Attempts: 84
Right Rough Proximity,46' 0,102,EVEN,: ,Attempts: 108
Approaches from > 275 yards (Rgh),104' 5,110,EVEN,Total Distance (feet): 522.083,# of Attempts: 5
Approaches from 250-275 yards (Rgh),93' 11,141,EVEN,Total Distance (feet): 281.833,# of Attempts: 3
Approaches from 225-250 yards (Rgh),61' 0,35,EVEN,Total Distance (feet): 487.833,# of Attempts: 8
Approaches from 200-225 yards (Rgh),78' 1,159,EVEN,"Total Distance (feet): 1,093.333",# of Attempts: 14
Approaches from > 100 yards (Rgh),47' 10,70,EVEN,"Total Distance (feet): 7,695.750",# of Attempts: 161
Approaches from inside 100 yards (Rgh),23' 9,78,EVEN,Total Distance (feet): 735.417,# of Attempts: 31
Approaches from > 200 yards (Rgh),79' 6,144,EVEN,"Total Distance (feet): 2,385.083",# of Attempts: 30
Approaches from 175-200 yards (Rgh),53' 0,94,EVEN,"Total Distance (feet): 1,802.333",# of Attempts: 34
Approaches from 150-175 yards (Rgh),38' 5,16,EVEN,"Total Distance (feet): 1,881.833",# of Attempts: 49
Approaches from 125-150 yards (Rgh),31' 10,28,EVEN,"Total Distance (feet): 1,018.333",# of Attempts: 32
Approaches from 50-125 yards (Rgh),29' 11,124,EVEN,"Total Distance (feet): 1,257.083",# of Attempts: 42
Approaches from 100-125 yards (Rgh),38' 0,158,EVEN,Total Distance (feet): 608.167,# of Attempts: 16
Approaches from 75-100 yards (Rgh),22' 10,58,EVEN,Total Distance (feet): 273.667,# of Attempts: 12
Approaches from 50-75 yards (Rgh),26' 10,125,EVEN,Total Distance (feet): 375.250,# of Attempts: 14
Going for the Green,56.19%,115,EVEN,Attempts: 118,Non-Attempts: 92
Going for the Green - Hit Green Pct.,21.19%,107,EVEN,Successes: 25,Attempts: 118
Going for the Green - Birdie or Better,63.56%,27,EVEN,# of Birdie or Better: 75,Attempts: 118
Total Hole Outs,14,36,EVEN,: ,: 
Longest Hole Outs (in yards),29,125,EVEN,Tournament: Farmers,Round- Course: 1
Scrambling,66.06%,9,EVEN,Par or Better: 218,Missed GIR: 330
Scrambling from the Rough,64.89%,15,EVEN,Successes: 85,Attempts: 131
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,25.71%,125,EVEN,Successes: 9,Attempts: 35
Scrambling from 20-30 yards,63.16%,15,EVEN,Successes: 48,Attempts: 76
Scrambling from 10-20 yards,73.83%,11,EVEN,Successes: 110,Attempts: 149
Scrambling from < 10 yards,86.96%,86,EVEN,Successes: 40,Attempts: 46
Sand Save Percentage,72.94%,2,EVEN,# Saves: 62,# Bunkers: 85
Proximity to Hole from Sand,7' 6,7,EVEN,Total Distance (feet): 562.750,# of Shots: 75
Total Putting,136.0,36,EVEN,: ,: 
Putting Average,1.777,137,EVEN,"GIR Putts: 1,269",Greens Hit: 714
Overall Putting Average,1.612,105,EVEN,"# of Putts: 1,683","# of Holes: 1,044"
Birdie or Better Conversion Percentage,27.81%,165,EVEN,# Birdies: 198,Greens Hit: 712
Putts Per Round,29.02,105,EVEN,"Total Putts: 1,683",Total Rounds: 58
Putts per Round - Round 1,29.41,131,EVEN,Total Putts: 500,Total Rounds: 17
Putts per Round - Round 2,29.06,102,EVEN,Total Putts: 494,Total Rounds: 17
Putts per Round - Round 3,29.17,111,EVEN,Total Putts: 350,Total Rounds: 12
Putts per Round - Round 4,28.25,41,EVEN,Total Putts: 339,Total Rounds: 12
One-Putt Percentage,38.31%,141,EVEN,# of 1 putts: 400,"# of holes: 1,044"
Longest Putts,62' 6,33,EVEN,Year/Tourn#: Mexico Open,Round: 1
3-Putt Avoidance,2.20%,31,EVEN,Total 3 Putts: 23,"Total Holes (overall): 1,044"
Putting from - > 25',3.66%,142,EVEN,Attempts: 246,Putts made: 9
Putting from - 20-25',15.85%,36,EVEN,Attempts: 82,Putts made: 13
Putting from - 15-20',20.34%,67,EVEN,Attempts: 118,Putts made: 24
Putting from - 10-15',28.30%,116,EVEN,Attempts: 159,Putts made: 45
Putting - Inside 10',89.61%,15,EVEN,Attempts: 991,Putts made: 888
Putting from 10',58.62%,5,EVEN,Attempts: 29,: 
Putting from 9',35.48%,151,EVEN,Attempts: 31,: 
Putting from 8',52.38%,92,EVEN,Attempts: 42,: 
Putting from 7',73.47%,16,EVEN,Attempts: 49,: 
Putting from 6',73.58%,68,EVEN,Attempts: 53,: 
Putting from 5',77.78%,124,EVEN,Attempts: 72,: 
Putting from 4-8',70.83%,59,EVEN,Attempts: 216,Putts made: 153
Putting from 4',94.12%,50,EVEN,Attempts: 102,: 
Putting from 3',99.67%,72,EVEN,Attempts: 613,: 
Average Distance of Putts made,72' 2,80,EVEN,"Total Dist. (inches): 47,617",Total Rounds: 55
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 596
Scoring Average (Adjusted),70.414,27,EVEN,"Total Strokes: 4,042",Total Adjustment: 42.008
Scoring Average (Actual),69.69,14,EVEN,"Total Strokes: 4,042",Total Rounds: 58
Lowest Round,66,181,EVEN,Tourn/Course: Charles Schwab/,Round: 1
Birdie Average,3.55,135,EVEN,# of Birdies: 206,Total Rounds: 58
Total Birdies,206,73,EVEN,: ,: 
Eagles (Holes per),261.0,128,EVEN,"# of Holes: 1,044",# of Eagles: 4
Total Eagles,4,100,EVEN,: ,: 
Par Breakers,20.11%,139,EVEN,# Birdies/Eagles: 210,"# Holes: 1,044"
Bounce Back,19.35%,122,EVEN,: ,: 
Par 3 Birdie or Better Leaders,15.16%,31,EVEN,Par 3 Birdies or Better: 37,Par 3 Holes: 244
Par 4 Birdie or Better Leaders,13.84%,167,EVEN,Par 4 Birdies or Better: 85,Par 4 Holes: 614
Par 5 Birdie or Better Leaders,47.31%,72,EVEN,Par 5 Birdies or Better: 88,Par 5 Holes: 186
Birdie or Better Percentage,20.11%,139,EVEN,Total Birdies: 210,"Total Holes: 1,044"
Bogey Avoidance,12.55%,5,EVEN,Bogeys: 131,"Holes Played: 1,044"
Final Round Scoring Average,69.75,38,EVEN,Total Strokes: 837,Total Rounds: 12
Final Round Performance,69.23%,26,EVEN,: ,: 
Round 1 Scoring Average,69.59,38,EVEN,"Total Strokes: 1,183",Total Rounds: 17
Round 2 Scoring Average,69.29,13,EVEN,"Total Strokes: 1,178",Total Rounds: 17
Round 3 Scoring Average,70.33,85,EVEN,Total Strokes: 844,Total Rounds: 12
Round 4 Scoring Average,69.75,38,EVEN,Total Strokes: 837,Total Rounds: 12
Par 3 Scoring Average,2.99,10,EVEN,Total Strokes: 729,Total Holes: 244
Par 4 Scoring Average,4.00,35,EVEN,"Total Strokes: 2,459",Total Holes: 614
Par 5 Scoring Average,4.59,63,EVEN,Total Strokes: 854,Total Holes: 186
Front 9 Scoring Average,34.79,32,EVEN,"Total Strokes: 2,018",Total Holes: 58
Back 9 Scoring Average,34.90,15,EVEN,"Total Strokes: 2,024",Total Holes: 58
Early Scoring Average,69.20,12,EVEN,"Total Strokes: 1,730",Total Early Rounds: 25
Late Scoring Average,70.06,39,EVEN,"Total Strokes: 2,312",Total Late Rounds: 33
Consecutive Cuts,5,32,EVEN,: ,: 
Current Streak without a 3-Putt,12,265,EVEN,: ,: 
Consecutive Fairways Hit,16,42,EVEN,Current Streak: 0,: 
Consecutive GIR,19,54,EVEN,Current Streak: 0,Round: 3
Consecutive Sand Saves,16,2,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,6,141,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,119,130,EVEN,Current Streak: 12,: 
YTD Par or Better Streak,10,74,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,3,24,EVEN,: ,: 
Official Money,"$1,622,931",75,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,493,71,EVEN,# of Wins: 0,# of Top 10's: 4
