Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-8.434,-,EVEN,Total SG:T: -8.434,Measured Rounds: 1
SG: Tee-to-Green,-5.463,-,EVEN,SG:OTT: 0.528,Measured Rounds: 1
SG: Off-the-Tee,0.528,-,EVEN,Total SG:OTT: 0.528,Measured Rounds: 1
SG: Approach the Green,-3.435,-,EVEN,Total SG:APP: -3.435,Measured Rounds: 1
SG: Around-the-Green,-2.556,-,EVEN,Total SG:ARG: -2.556,Measured Rounds: 1
SG: Putting,-2.971,-,EVEN,Total SG:Putting: -2.971,Measured Rounds: 1
Longest Drives,337,341,EVEN,Tournament: Farmers,Round: 2
Driving Distance,297.8,-,EVEN,"Total Distance: 1,191",Total Drives: 4
Driving Distance - All Drives,298.3,-,EVEN,"Total Distance: 4,177",# of Drives: 14
Driving Accuracy Percentage,57.14%,-,EVEN,Fairways Hit: 16,Possible Fairways: 28
Left Rough Tendency,.00%,-,EVEN,Total Left rough: 0,Possible Fwys: 14
Right Rough Tendency,21.43%,-,EVEN,Total Right rough: 3,Possible Fwys: 14
Distance from Edge of Fairway,50' 9,-,EVEN,Total Distance (Feet): 253.917,Total Strokes: 5
Club Head Speed,117.77,-,EVEN,Total Club Head Speed: 706.65,Total Attempts: 6
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,50.00%,-,EVEN,Greens Hit: 18,# Holes: 36
Proximity to Hole,51' 6,-,EVEN,Total Distance (feet): 926.667,# of Attempts: 18
Approaches from > 275 yards,105' 4,-,EVEN,Total Distance (feet): 105.333,# of Attempts: 1
Approaches from 250-275 yards,39' 7,-,EVEN,Total Distance (feet): 39.583,# of Attempts: 1
Approaches from 225-250 yards,57' 2,-,EVEN,Total Distance (feet): 57.167,# of Attempts: 1
Approaches from 200-225 yards,60' 9,-,EVEN,Total Distance (feet): 60.750,# of Attempts: 1
Approaches from > 200 yards,65' 9,-,EVEN,Total Distance (feet): 262.833,# of Attempts: 4
Approaches from 175-200 yards,66' 9,-,EVEN,Total Distance (feet): 66.750,# of Attempts: 1
Approaches from 150-175 yards,35' 9,-,EVEN,Total Distance (feet): 107.250,# of Attempts: 3
Approaches from 125-150 yards,47' 2,-,EVEN,Total Distance (feet): 94.250,# of Attempts: 2
Approaches from 50-125 yards,16' 10,-,EVEN,Total Distance (feet): 16.833,# of Attempts: 1
Approaches from 100-125 yards,16' 10,-,EVEN,Total Distance (feet): 16.833,# of Attempts: 1
Approaches from 75-100 yards,-,-,EVEN,,
Approaches from 50-75 yards,-,-,EVEN,,
Approaches from inside 100 yards,-,-,EVEN,,
Approaches from > 100 yards,49' 10,-,EVEN,Total Distance (feet): 547.917,# of Attempts: 11
Fairway Proximity,49' 10,-,EVEN,: ,Attempts: 11
Rough Proximity,52' 9,-,EVEN,"Total Distance (inches): 3,166",Attempts: 5
Left Rough Proximity,54' 0,-,EVEN,: ,Attempts: 2
Right Rough Proximity,51' 11,-,EVEN,: ,Attempts: 3
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),73' 11,-,EVEN,Total Distance (feet): 73.917,# of Attempts: 1
Approaches from 200-225 yards (Rgh),35' 6,-,EVEN,Total Distance (feet): 35.500,# of Attempts: 1
Approaches from > 100 yards (Rgh),59' 6,-,EVEN,Total Distance (feet): 237.917,# of Attempts: 4
Approaches from inside 100 yards (Rgh),25' 11,-,EVEN,Total Distance (feet): 25.917,# of Attempts: 1
Approaches from > 200 yards (Rgh),54' 9,-,EVEN,Total Distance (feet): 109.417,# of Attempts: 2
Approaches from 175-200 yards (Rgh),-,-,EVEN,,
Approaches from 150-175 yards (Rgh),-,-,EVEN,,
Approaches from 125-150 yards (Rgh),46' 5,-,EVEN,Total Distance (feet): 46.417,# of Attempts: 1
Approaches from 50-125 yards (Rgh),54' 0,-,EVEN,Total Distance (feet): 108.000,# of Attempts: 2
Approaches from 100-125 yards (Rgh),82' 1,-,EVEN,Total Distance (feet): 82.083,# of Attempts: 1
Approaches from 75-100 yards (Rgh),-,-,EVEN,,
Approaches from 50-75 yards (Rgh),25' 11,-,EVEN,Total Distance (feet): 25.917,# of Attempts: 1
Going for the Green,50.00%,-,EVEN,Attempts: 2,Non-Attempts: 2
Going for the Green - Hit Green Pct.,.00%,-,EVEN,Successes: 0,Attempts: 2
Going for the Green - Birdie or Better,50.00%,-,EVEN,# of Birdie or Better: 1,Attempts: 2
Total Hole Outs,-,-,EVEN,,
Longest Hole Outs (in yards),-,-,EVEN,,
Scrambling,55.56%,-,EVEN,Par or Better: 10,Missed GIR: 18
Scrambling from the Rough,80.00%,-,EVEN,Successes: 8,Attempts: 10
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,.00%,-,EVEN,Successes: 0,Attempts: 2
Scrambling from 20-30 yards,25.00%,-,EVEN,Successes: 1,Attempts: 4
Scrambling from 10-20 yards,25.00%,-,EVEN,Successes: 1,Attempts: 4
Scrambling from < 10 yards,100.00%,-,EVEN,Successes: 3,Attempts: 3
Sand Save Percentage,50.00%,-,EVEN,# Saves: 3,# Bunkers: 6
Proximity to Hole from Sand,17' 1,-,EVEN,Total Distance (feet): 85.417,# of Shots: 5
Total Putting,-,-,EVEN,,
Putting Average,1.833,-,EVEN,GIR Putts: 33,Greens Hit: 18
Overall Putting Average,1.639,-,EVEN,# of Putts: 59,# of Holes: 36
Birdie or Better Conversion Percentage,33.33%,-,EVEN,# Birdies: 6,Greens Hit: 18
Putts Per Round,29.50,-,EVEN,Total Putts: 59,Total Rounds: 2
Putts per Round - Round 1,28.00,-,EVEN,Total Putts: 28,Total Rounds: 1
Putts per Round - Round 2,31.00,-,EVEN,Total Putts: 31,Total Rounds: 1
Putts per Round - Round 3,-,-,EVEN,,
Putts per Round - Round 4,-,-,EVEN,,
One-Putt Percentage,41.67%,-,EVEN,# of 1 putts: 15,# of holes: 36
Longest Putts,9' 4,423,EVEN,Year/Tourn#: Farmers,Round: 2
3-Putt Avoidance,5.56%,-,EVEN,Total 3 Putts: 2,Total Holes (overall): 36
Putting from - > 25',0.00%,-,EVEN,Attempts: 2,Putts made: 0
Putting from - 20-25',0.00%,-,EVEN,Attempts: 1,Putts made: 0
Putting from - 15-20',0.00%,-,EVEN,Attempts: 2,Putts made: 0
Putting from - 10-15',0.00%,-,EVEN,Attempts: 2,Putts made: 0
Putting - Inside 10',75.00%,-,EVEN,Attempts: 24,Putts made: 18
Putting from 10',100.00%,-,EVEN,Attempts: 1,: 
Putting from 9',.00%,-,EVEN,Attempts: 1,: 
Putting from 8',-,-,EVEN,,
Putting from 7',33.33%,-,EVEN,Attempts: 3,: 
Putting from 6',50.00%,-,EVEN,Attempts: 2,: 
Putting from 5',50.00%,-,EVEN,Attempts: 2,: 
Putting from 4-8',42.86%,-,EVEN,Attempts: 7,Putts made: 3
Putting from 4',100.00%,-,EVEN,Attempts: 1,: 
