Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.788,-,EVEN,Total SG:T: -1.575,Measured Rounds: 2
SG: Tee-to-Green,-0.931,-,EVEN,SG:OTT: -0.675,Measured Rounds: 2
SG: Off-the-Tee,-0.675,-,EVEN,Total SG:OTT: -1.351,Measured Rounds: 2
SG: Approach the Green,-0.104,-,EVEN,Total SG:APP: -0.209,Measured Rounds: 2
SG: Around-the-Green,-0.152,-,EVEN,Total SG:ARG: -0.303,Measured Rounds: 2
SG: Putting,0.144,-,EVEN,Total SG:Putting: 0.287,Measured Rounds: 2
Longest Drives,359,317,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,318.3,-,EVEN,"Total Distance: 2,546",Total Drives: 8
Driving Distance - All Drives,297.7,-,EVEN,"Total Distance: 8,335",# of Drives: 28
Driving Accuracy Percentage,60.71%,-,EVEN,Fairways Hit: 34,Possible Fairways: 56
Left Rough Tendency,7.41%,-,EVEN,Total Left rough: 2,Possible Fwys: 27
Right Rough Tendency,18.52%,-,EVEN,Total Right rough: 5,Possible Fwys: 27
Distance from Edge of Fairway,21' 3,-,EVEN,Total Distance (Feet): 233.667,Total Strokes: 11
Club Head Speed,114.78,-,EVEN,"Total Club Head Speed: 1,262.54",Total Attempts: 11
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,58.33%,-,EVEN,Greens Hit: 42,# Holes: 72
Proximity to Hole,28' 4,-,EVEN,Total Distance (feet): 990.917,# of Attempts: 35
Approaches from > 275 yards,-,-,EVEN,,
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,53' 4,-,EVEN,Total Distance (feet): 213.250,# of Attempts: 4
Approaches from 200-225 yards,49' 7,-,EVEN,Total Distance (feet): 99.167,# of Attempts: 2
Approaches from > 200 yards,52' 1,-,EVEN,Total Distance (feet): 312.417,# of Attempts: 6
Approaches from 175-200 yards,50' 4,-,EVEN,Total Distance (feet): 50.333,# of Attempts: 1
Approaches from 150-175 yards,35' 0,-,EVEN,Total Distance (feet): 175.167,# of Attempts: 5
Approaches from 125-150 yards,21' 4,-,EVEN,Total Distance (feet): 42.667,# of Attempts: 2
Approaches from 50-125 yards,13' 7,-,EVEN,Total Distance (feet): 149.500,# of Attempts: 11
Approaches from 100-125 yards,12' 3,-,EVEN,Total Distance (feet): 85.500,# of Attempts: 7
Approaches from 75-100 yards,16' 0,-,EVEN,Total Distance (feet): 64.000,# of Attempts: 4
Approaches from 50-75 yards,-,-,EVEN,,
Approaches from inside 100 yards,16' 0,-,EVEN,Total Distance (feet): 64.000,# of Attempts: 4
