Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.585,146,EVEN,Total SG:T: -31.606,Measured Rounds: 54
SG: Tee-to-Green,-0.419,143,EVEN,SG:OTT: -0.199,Measured Rounds: 54
SG: Off-the-Tee,-0.199,126,EVEN,Total SG:OTT: -10.772,Measured Rounds: 54
SG: Approach the Green,-0.194,132,EVEN,Total SG:APP: -10.476,Measured Rounds: 54
SG: Around-the-Green,-0.025,94,EVEN,Total SG:ARG: -1.376,Measured Rounds: 54
SG: Putting,-0.166,125,EVEN,Total SG:Putting: -8.983,Measured Rounds: 54
Longest Drives,421,9,EVEN,Tournament: Sentry,Round: 4
Driving Distance,301.6,100,EVEN,"Total Distance: 36,798",Total Drives: 122
Driving Distance - All Drives,292.3,101,EVEN,"Total Distance: 219,797",# of Drives: 752
Driving Accuracy Percentage,53.88%,145,EVEN,Fairways Hit: 458,Possible Fairways: 850
Left Rough Tendency,13.88%,95,EVEN,Total Left rough: 103,Possible Fwys: 742
Right Rough Tendency,20.75%,161,EVEN,Total Right rough: 154,Possible Fwys: 742
Distance from Edge of Fairway,31' 11,139,EVEN,"Total Distance (Feet): 10,619.583",Total Strokes: 333
Club Head Speed,117.01,75,EVEN,"Total Club Head Speed: 28,784.33",Total Attempts: 246
Total Driving Efficiency,238,125,EVEN,: ,Carry Efficiency Rank: 113
Greens in Regulation Percentage,63.84%,142,EVEN,Greens Hit: 701,"# Holes: 1,098"
Proximity to Hole,38' 6,142,EVEN,"Total Distance (feet): 36,944.083",# of Attempts: 960
Approaches from > 275 yards,87' 9,120,EVEN,"Total Distance (feet): 1,666.500",# of Attempts: 19
Approaches from 250-275 yards,60' 7,72,EVEN,"Total Distance (feet): 1,091.000",# of Attempts: 18
Approaches from 225-250 yards,51' 5,110,EVEN,"Total Distance (feet): 2,569.583",# of Attempts: 50
Approaches from 200-225 yards,43' 8,136,EVEN,"Total Distance (feet): 3,364.333",# of Attempts: 77
Approaches from > 200 yards,53' 0,141,EVEN,"Total Distance (feet): 8,691.417",# of Attempts: 164
Approaches from 175-200 yards,34' 6,114,EVEN,"Total Distance (feet): 4,452.583",# of Attempts: 129
