Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.962,19,EVEN,Total SG:T: 57.714,Measured Rounds: 60
SG: Tee-to-Green,-0.016,100,EVEN,SG:OTT: 0.095,Measured Rounds: 60
SG: Off-the-Tee,0.095,83,EVEN,Total SG:OTT: 5.694,Measured Rounds: 60
SG: Approach the Green,-0.158,124,EVEN,Total SG:APP: -9.475,Measured Rounds: 60
SG: Around-the-Green,0.047,79,EVEN,Total SG:ARG: 2.847,Measured Rounds: 60
SG: Putting,0.977,1,EVEN,Total SG:Putting: 58.646,Measured Rounds: 60
Longest Drives,414,16,EVEN,Tournament: Sentry,Round: 2
Driving Distance,305.8,52,EVEN,"Total Distance: 40,365",Total Drives: 132
Driving Distance - All Drives,297.2,52,EVEN,"Total Distance: 250,206",# of Drives: 842
Driving Accuracy Percentage,60.48%,78,EVEN,Fairways Hit: 560,Possible Fairways: 926
Left Rough Tendency,10.02%,12,EVEN,Total Left rough: 84,Possible Fwys: 838
Right Rough Tendency,18.14%,141,EVEN,Total Right rough: 152,Possible Fwys: 838
Distance from Edge of Fairway,26' 8,64,EVEN,"Total Distance (Feet): 8,322.417",Total Strokes: 312
Club Head Speed,118.22,57,EVEN,"Total Club Head Speed: 32,864.60",Total Attempts: 278
Total Driving Efficiency,108,57,EVEN,: ,Carry Efficiency Rank: 35
Greens in Regulation Percentage,65.57%,92,EVEN,Greens Hit: 779,"# Holes: 1,188"
Proximity to Hole,38' 6,119,EVEN,"Total Distance (feet): 40,923.167","# of Attempts: 1,063"
Approaches from > 275 yards,87' 11,124,EVEN,"Total Distance (feet): 2,197.917",# of Attempts: 25
Approaches from 250-275 yards,54' 5,24,EVEN,"Total Distance (feet): 1,631.333",# of Attempts: 30
Approaches from 225-250 yards,57' 6,161,EVEN,"Total Distance (feet): 3,393.667",# of Attempts: 59
Approaches from 200-225 yards,45' 2,152,EVEN,"Total Distance (feet): 4,787.417",# of Attempts: 106
Approaches from > 200 yards,54' 7,143,EVEN,"Total Distance (feet): 12,010.333",# of Attempts: 220
Approaches from 175-200 yards,34' 9,112,EVEN,"Total Distance (feet): 4,696.583",# of Attempts: 135
Approaches from 150-175 yards,27' 10,66,EVEN,"Total Distance (feet): 3,612.917",# of Attempts: 130
Approaches from 125-150 yards,21' 11,26,EVEN,"Total Distance (feet): 2,980.500",# of Attempts: 136
Approaches from 50-125 yards,18' 10,88,EVEN,"Total Distance (feet): 2,975.333",# of Attempts: 158
Approaches from 100-125 yards,20' 2,98,EVEN,"Total Distance (feet): 1,838.583",# of Attempts: 91
Approaches from 75-100 yards,18' 5,110,EVEN,Total Distance (feet): 976.083,# of Attempts: 53
Approaches from 50-75 yards,11' 6,18,EVEN,Total Distance (feet): 160.667,# of Attempts: 14
Approaches from inside 100 yards,16' 11,83,EVEN,"Total Distance (feet): 1,183.583",# of Attempts: 70
Approaches from > 100 yards,35' 4,116,EVEN,"Total Distance (feet): 25,138.917",# of Attempts: 712
Fairway Proximity,33' 8,118,EVEN,: ,Attempts: 782
Rough Proximity,42' 6,31,EVEN,"Total Distance (inches): 98,932",Attempts: 194
Left Rough Proximity,46' 4,115,EVEN,: ,Attempts: 76
Right Rough Proximity,40' 0,14,EVEN,: ,Attempts: 118
Approaches from > 275 yards (Rgh),124' 10,143,EVEN,Total Distance (feet): 249.583,# of Attempts: 2
Approaches from 250-275 yards (Rgh),84' 10,118,EVEN,Total Distance (feet): 678.750,# of Attempts: 8
Approaches from 225-250 yards (Rgh),74' 1,105,EVEN,Total Distance (feet): 296.417,# of Attempts: 4
Approaches from 200-225 yards (Rgh),72' 7,137,EVEN,Total Distance (feet): 871.000,# of Attempts: 12
Approaches from > 100 yards (Rgh),45' 1,23,EVEN,"Total Distance (feet): 7,399.833",# of Attempts: 164
Approaches from inside 100 yards (Rgh),28' 2,143,EVEN,Total Distance (feet): 844.500,# of Attempts: 30
Approaches from > 200 yards (Rgh),80' 7,152,EVEN,"Total Distance (feet): 2,095.750",# of Attempts: 26
Approaches from 175-200 yards (Rgh),51' 1,68,EVEN,"Total Distance (feet): 1,532.000",# of Attempts: 30
Approaches from 150-175 yards (Rgh),40' 7,36,EVEN,"Total Distance (feet): 2,230.917",# of Attempts: 55
Approaches from 125-150 yards (Rgh),32' 6,31,EVEN,"Total Distance (feet): 1,201.500",# of Attempts: 37
Approaches from 50-125 yards (Rgh),25' 9,42,EVEN,"Total Distance (feet): 1,184.167",# of Attempts: 46
Approaches from 100-125 yards (Rgh),21' 3,4,EVEN,Total Distance (feet): 339.667,# of Attempts: 16
Approaches from 75-100 yards (Rgh),23' 6,68,EVEN,Total Distance (feet): 305.583,# of Attempts: 13
Approaches from 50-75 yards (Rgh),31' 8,153,EVEN,Total Distance (feet): 538.917,# of Attempts: 17
Going for the Green,66.80%,28,EVEN,Attempts: 163,Non-Attempts: 81
Going for the Green - Hit Green Pct.,22.42%,88,EVEN,Successes: 37,Attempts: 165
Going for the Green - Birdie or Better,60.00%,79,EVEN,# of Birdie or Better: 99,Attempts: 165
Total Hole Outs,19,11,EVEN,: ,: 
Longest Hole Outs (in yards),49,85,EVEN,Tournament: U.S. Open,Round- Course: 1
Scrambling,58.44%,118,EVEN,Par or Better: 239,Missed GIR: 409
Scrambling from the Rough,52.45%,145,EVEN,Successes: 75,Attempts: 143
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,39.00%,14,EVEN,Successes: 39,Attempts: 100
Scrambling from 20-30 yards,56.92%,50,EVEN,Successes: 37,Attempts: 65
Scrambling from 10-20 yards,65.28%,94,EVEN,Successes: 94,Attempts: 144
Scrambling from < 10 yards,90.91%,41,EVEN,Successes: 50,Attempts: 55
Sand Save Percentage,67.78%,9,EVEN,# Saves: 61,# Bunkers: 90
Proximity to Hole from Sand,10' 7,140,EVEN,Total Distance (feet): 749.667,# of Shots: 71
Total Putting,51.4,3,EVEN,: ,: 
Putting Average,1.706,3,EVEN,"GIR Putts: 1,329",Greens Hit: 779
Overall Putting Average,1.552,7,EVEN,"# of Putts: 1,844","# of Holes: 1,188"
Birdie or Better Conversion Percentage,35.35%,7,EVEN,# Birdies: 275,Greens Hit: 778
Putts Per Round,27.94,8,EVEN,"Total Putts: 1,844",Total Rounds: 66
Putts per Round - Round 1,28.50,51,EVEN,Total Putts: 513,Total Rounds: 18
Putts per Round - Round 2,27.17,2,EVEN,Total Putts: 489,Total Rounds: 18
Putts per Round - Round 3,28.67,76,EVEN,Total Putts: 430,Total Rounds: 15
Putts per Round - Round 4,27.47,9,EVEN,Total Putts: 412,Total Rounds: 15
One-Putt Percentage,43.18%,19,EVEN,# of 1 putts: 513,"# of holes: 1,188"
Longest Putts,47' 8,124,EVEN,Year/Tourn#: The American Express,Round: 3
3-Putt Avoidance,1.60%,5,EVEN,Total 3 Putts: 19,"Total Holes (overall): 1,188"
Putting from - > 25',6.88%,25,EVEN,Attempts: 247,Putts made: 17
Putting from - 20-25',17.02%,24,EVEN,Attempts: 94,Putts made: 16
Putting from - 15-20',18.80%,91,EVEN,Attempts: 117,Putts made: 22
Putting from - 10-15',38.32%,9,EVEN,Attempts: 167,Putts made: 64
Putting - Inside 10',90.06%,11,EVEN,"Attempts: 1,046",Putts made: 942
Putting from 10',53.49%,14,EVEN,Attempts: 43,: 
Putting from 9',55.26%,26,EVEN,Attempts: 38,: 
Putting from 8',67.44%,9,EVEN,Attempts: 43,: 
Putting from 7',61.54%,80,EVEN,Attempts: 52,: 
Putting from 6',79.10%,20,EVEN,Attempts: 67,: 
Putting from 5',88.76%,16,EVEN,Attempts: 89,: 
Putting from 4-8',76.89%,7,EVEN,Attempts: 251,Putts made: 193
Putting from 4',93.14%,75,EVEN,Attempts: 102,: 
Putting from 3',99.67%,72,EVEN,Attempts: 612,: 
Average Distance of Putts made,79' 10,9,EVEN,"Total Dist. (inches): 57,466",Total Rounds: 60
Approach Putt Performance,2' 0,9,EVEN,: ,Attempts: 592
Scoring Average (Adjusted),70.434,29,EVEN,"Total Strokes: 4,614",Total Adjustment: 34.647
Scoring Average (Actual),69.91,30,EVEN,"Total Strokes: 4,614",Total Rounds: 66
Lowest Round,62,9,EVEN,Tourn/Course: RBC Canadian/TP,Round: 4
Birdie Average,4.32,10,EVEN,# of Birdies: 285,Total Rounds: 66
Total Birdies,285,4,EVEN,: ,: 
Eagles (Holes per),169.7,79,EVEN,"# of Holes: 1,188",# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,24.58%,11,EVEN,# Birdies/Eagles: 292,"# Holes: 1,188"
Bounce Back,28.65%,7,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.74%,71,EVEN,Par 3 Birdies or Better: 36,Par 3 Holes: 262
Par 4 Birdie or Better Leaders,20.85%,6,EVEN,Par 4 Birdies or Better: 148,Par 4 Holes: 710
Par 5 Birdie or Better Leaders,50.00%,36,EVEN,Par 5 Birdies or Better: 108,Par 5 Holes: 216
Birdie or Better Percentage,24.58%,11,EVEN,Total Birdies: 292,"Total Holes: 1,188"
Bogey Avoidance,15.66%,81,EVEN,Bogeys: 186,"Holes Played: 1,188"
Final Round Scoring Average,69.33,18,EVEN,"Total Strokes: 1,040",Total Rounds: 15
Final Round Performance,66.67%,30,EVEN,: ,: 
Round 1 Scoring Average,70.39,84,EVEN,"Total Strokes: 1,267",Total Rounds: 18
Round 2 Scoring Average,69.39,17,EVEN,"Total Strokes: 1,249",Total Rounds: 18
Round 3 Scoring Average,70.53,102,EVEN,"Total Strokes: 1,058",Total Rounds: 15
Round 4 Scoring Average,69.33,18,EVEN,"Total Strokes: 1,040",Total Rounds: 15
Par 3 Scoring Average,3.04,51,EVEN,Total Strokes: 797,Total Holes: 262
Par 4 Scoring Average,3.99,21,EVEN,"Total Strokes: 2,834",Total Holes: 710
Par 5 Scoring Average,4.55,26,EVEN,Total Strokes: 983,Total Holes: 216
Front 9 Scoring Average,34.94,55,EVEN,"Total Strokes: 2,306",Total Holes: 66
Back 9 Scoring Average,34.97,26,EVEN,"Total Strokes: 2,308",Total Holes: 66
Early Scoring Average,69.48,18,EVEN,"Total Strokes: 2,015",Total Early Rounds: 29
Late Scoring Average,70.24,57,EVEN,"Total Strokes: 2,599",Total Late Rounds: 37
Consecutive Cuts,9,10,EVEN,: ,: 
Current Streak without a 3-Putt,88,14,EVEN,: ,: 
Consecutive Fairways Hit,22,7,EVEN,Current Streak: 0,: 
Consecutive GIR,21,32,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,6,102,EVEN,Current Streak: 2,Round: 3
Best YTD 1-Putt or Better Streak,8,42,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,158,57,EVEN,Current Streak: 88,: 
YTD Par or Better Streak,13,37,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,5,10,EVEN,: ,: 
Consecutive Birdies Streak,5,9,EVEN,: ,: 
Consecutive Birdies/Eagles streak,4,8,EVEN,: ,: 
Official Money,"$4,410,873",20,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,"1,237",21,EVEN,# of Wins: 0,# of Top 10's: 4
