Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.340,65,EVEN,Total SG:T: 22.082,Measured Rounds: 65
SG: Tee-to-Green,-0.278,133,EVEN,SG:OTT: -0.241,Measured Rounds: 65
SG: Off-the-Tee,-0.241,134,EVEN,Total SG:OTT: -15.653,Measured Rounds: 65
SG: Approach the Green,-0.019,99,EVEN,Total SG:APP: -1.205,Measured Rounds: 65
SG: Around-the-Green,-0.019,92,EVEN,Total SG:ARG: -1.220,Measured Rounds: 65
SG: Putting,0.618,6,EVEN,Total SG:Putting: 40.160,Measured Rounds: 65
Longest Drives,364,272,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,300.0,112,EVEN,"Total Distance: 40,795",Total Drives: 136
Driving Distance - All Drives,290.1,122,EVEN,"Total Distance: 260,549",# of Drives: 898
Driving Accuracy Percentage,59.57%,84,EVEN,Fairways Hit: 560,Possible Fairways: 940
Left Rough Tendency,14.43%,105,EVEN,Total Left rough: 128,Possible Fwys: 887
Right Rough Tendency,15.22%,87,EVEN,Total Right rough: 135,Possible Fwys: 887
Distance from Edge of Fairway,27' 2,76,EVEN,"Total Distance (Feet): 9,169.167",Total Strokes: 337
Club Head Speed,116.83,77,EVEN,"Total Club Head Speed: 36,450.01",Total Attempts: 312
Total Driving Efficiency,277,142,EVEN,: ,Carry Efficiency Rank: 133
Greens in Regulation Percentage,65.03%,118,EVEN,Greens Hit: 796,"# Holes: 1,224"
Proximity to Hole,36' 9,66,EVEN,"Total Distance (feet): 42,449.083","# of Attempts: 1,154"
Approaches from > 275 yards,78' 8,65,EVEN,"Total Distance (feet): 1,337.000",# of Attempts: 17
Approaches from 250-275 yards,75' 5,157,EVEN,"Total Distance (feet): 2,112.583",# of Attempts: 28
Approaches from 225-250 yards,47' 11,47,EVEN,"Total Distance (feet): 3,018.667",# of Attempts: 63
Approaches from 200-225 yards,41' 6,93,EVEN,"Total Distance (feet): 4,022.083",# of Attempts: 97
Approaches from > 200 yards,51' 2,109,EVEN,"Total Distance (feet): 10,490.333",# of Attempts: 205
Approaches from 175-200 yards,30' 5,12,EVEN,"Total Distance (feet): 5,103.250",# of Attempts: 168
Approaches from 150-175 yards,26' 0,22,EVEN,"Total Distance (feet): 4,491.000",# of Attempts: 173
