Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.405,56,EVEN,Total SG:T: 28.737,Measured Rounds: 71
SG: Tee-to-Green,0.297,66,EVEN,SG:OTT: 0.266,Measured Rounds: 71
SG: Off-the-Tee,0.266,44,EVEN,Total SG:OTT: 18.911,Measured Rounds: 71
SG: Approach the Green,-0.175,125,EVEN,Total SG:APP: -12.428,Measured Rounds: 71
SG: Around-the-Green,0.205,36,EVEN,Total SG:ARG: 14.579,Measured Rounds: 71
SG: Putting,0.108,71,EVEN,Total SG:Putting: 7.676,Measured Rounds: 71
Longest Drives,397,54,EVEN,Tournament: U.S. Open,Round: 2
Driving Distance,304.8,59,EVEN,"Total Distance: 45,109",Total Drives: 148
Driving Distance - All Drives,294.8,74,EVEN,"Total Distance: 290,085",# of Drives: 984
Driving Accuracy Percentage,59.45%,90,EVEN,Fairways Hit: 610,"Possible Fairways: 1,026"
Left Rough Tendency,12.26%,60,EVEN,Total Left rough: 120,Possible Fwys: 979
Right Rough Tendency,18.90%,152,EVEN,Total Right rough: 185,Possible Fwys: 979
Distance from Edge of Fairway,31' 1,125,EVEN,"Total Distance (Feet): 11,804.917",Total Strokes: 380
Club Head Speed,117.43,69,EVEN,"Total Club Head Speed: 40,042.55",Total Attempts: 341
Total Driving Efficiency,136,66,EVEN,: ,Carry Efficiency Rank: 61
Greens in Regulation Percentage,64.79%,118,EVEN,Greens Hit: 863,"# Holes: 1,332"
Proximity to Hole,37' 6,94,EVEN,"Total Distance (feet): 47,319.667","# of Attempts: 1,262"
Approaches from > 275 yards,74' 1,39,EVEN,"Total Distance (feet): 1,555.917",# of Attempts: 21
Approaches from 250-275 yards,58' 11,54,EVEN,"Total Distance (feet): 2,296.250",# of Attempts: 39
Approaches from 225-250 yards,51' 6,110,EVEN,"Total Distance (feet): 3,502.083",# of Attempts: 68
Approaches from 200-225 yards,41' 8,84,EVEN,"Total Distance (feet): 4,916.750",# of Attempts: 118
Approaches from > 200 yards,49' 11,46,EVEN,"Total Distance (feet): 12,271.000",# of Attempts: 246
Approaches from 175-200 yards,34' 0,91,EVEN,"Total Distance (feet): 5,711.083",# of Attempts: 168
Approaches from 150-175 yards,27' 9,62,EVEN,"Total Distance (feet): 5,361.583",# of Attempts: 193
Approaches from 125-150 yards,23' 9,79,EVEN,"Total Distance (feet): 3,399.333",# of Attempts: 143
Approaches from 50-125 yards,18' 11,99,EVEN,"Total Distance (feet): 3,241.750",# of Attempts: 171
Approaches from 100-125 yards,19' 6,69,EVEN,"Total Distance (feet): 2,030.583",# of Attempts: 104
Approaches from 75-100 yards,19' 11,135,EVEN,Total Distance (feet): 977.167,# of Attempts: 49
Approaches from 50-75 yards,13' 0,36,EVEN,Total Distance (feet): 234.000,# of Attempts: 18
Approaches from inside 100 yards,17' 9,111,EVEN,"Total Distance (feet): 1,243.167",# of Attempts: 70
Approaches from > 100 yards,33' 8,47,EVEN,"Total Distance (feet): 28,773.583",# of Attempts: 854
Fairway Proximity,32' 6,65,EVEN,: ,Attempts: 924
Rough Proximity,46' 1,116,EVEN,"Total Distance (inches): 138,308",Attempts: 250
Left Rough Proximity,42' 8,57,EVEN,: ,Attempts: 107
Right Rough Proximity,48' 8,138,EVEN,: ,Attempts: 143
Approaches from > 275 yards (Rgh),93' 10,88,EVEN,Total Distance (feet): 657.000,# of Attempts: 7
Approaches from 250-275 yards (Rgh),85' 0,119,EVEN,Total Distance (feet): 594.917,# of Attempts: 7
Approaches from 225-250 yards (Rgh),89' 7,155,EVEN,Total Distance (feet): 806.333,# of Attempts: 9
Approaches from 200-225 yards (Rgh),63' 3,75,EVEN,Total Distance (feet): 948.667,# of Attempts: 15
Approaches from > 100 yards (Rgh),48' 11,98,EVEN,"Total Distance (feet): 10,369.917",# of Attempts: 212
Approaches from inside 100 yards (Rgh),30' 5,158,EVEN,"Total Distance (feet): 1,155.750",# of Attempts: 38
Approaches from > 200 yards (Rgh),79' 2,142,EVEN,"Total Distance (feet): 3,006.917",# of Attempts: 38
Approaches from 175-200 yards (Rgh),57' 6,137,EVEN,"Total Distance (feet): 2,299.833",# of Attempts: 40
Approaches from 150-175 yards (Rgh),37' 1,11,EVEN,"Total Distance (feet): 1,929.083",# of Attempts: 52
Approaches from 125-150 yards (Rgh),39' 5,118,EVEN,"Total Distance (feet): 2,088.583",# of Attempts: 53
Approaches from 50-125 yards (Rgh),33' 2,159,EVEN,"Total Distance (feet): 2,124.583",# of Attempts: 64
Approaches from 100-125 yards (Rgh),36' 1,141,EVEN,"Total Distance (feet): 1,045.500",# of Attempts: 29
Approaches from 75-100 yards (Rgh),30' 0,139,EVEN,Total Distance (feet): 570.583,# of Attempts: 19
Approaches from 50-75 yards (Rgh),31' 9,155,EVEN,Total Distance (feet): 508.500,# of Attempts: 16
Going for the Green,57.66%,96,EVEN,Attempts: 158,Non-Attempts: 116
Going for the Green - Hit Green Pct.,21.74%,100,EVEN,Successes: 35,Attempts: 161
Going for the Green - Birdie or Better,54.66%,145,EVEN,# of Birdie or Better: 88,Attempts: 161
Total Hole Outs,15,27,EVEN,: ,: 
Longest Hole Outs (in yards),22,162,EVEN,Tournament: Houston Open,Round- Course: 1
Scrambling,63.54%,25,EVEN,Par or Better: 298,Missed GIR: 469
Scrambling from the Rough,63.04%,32,EVEN,Successes: 116,Attempts: 184
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,40.23%,11,EVEN,Successes: 35,Attempts: 87
