Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.646,35,EVEN,Total SG:T: 32.284,Measured Rounds: 50
SG: Tee-to-Green,0.008,97,EVEN,SG:OTT: -0.328,Measured Rounds: 50
SG: Off-the-Tee,-0.328,145,EVEN,Total SG:OTT: -16.408,Measured Rounds: 50
SG: Approach the Green,0.447,27,EVEN,Total SG:APP: 22.330,Measured Rounds: 50
SG: Around-the-Green,-0.110,123,EVEN,Total SG:ARG: -5.513,Measured Rounds: 50
SG: Putting,0.637,8,EVEN,Total SG:Putting: 31.874,Measured Rounds: 50
Longest Drives,388,83,EVEN,Tournament: WM Phoenix Open,Round: 1
Driving Distance,298.3,111,EVEN,"Total Distance: 31,621",Total Drives: 106
Driving Distance - All Drives,288.7,136,EVEN,"Total Distance: 198,651",# of Drives: 688
Driving Accuracy Percentage,59.04%,95,EVEN,Fairways Hit: 431,Possible Fairways: 730
Left Rough Tendency,10.91%,24,EVEN,Total Left rough: 74,Possible Fwys: 678
Right Rough Tendency,19.17%,154,EVEN,Total Right rough: 130,Possible Fwys: 678
Distance from Edge of Fairway,30' 0,106,EVEN,"Total Distance (Feet): 7,892.583",Total Strokes: 263
Club Head Speed,115.89,97,EVEN,"Total Club Head Speed: 25,033.20",Total Attempts: 216
Total Driving Efficiency,221,112,EVEN,: ,Carry Efficiency Rank: 105
Greens in Regulation Percentage,66.77%,63,EVEN,Greens Hit: 637,# Holes: 954
Proximity to Hole,37' 4,82,EVEN,"Total Distance (feet): 33,176.083",# of Attempts: 889
Approaches from > 275 yards,97' 11,162,EVEN,"Total Distance (feet): 1,958.250",# of Attempts: 20
Approaches from 250-275 yards,57' 5,42,EVEN,"Total Distance (feet): 1,147.917",# of Attempts: 20
Approaches from 225-250 yards,49' 9,79,EVEN,"Total Distance (feet): 2,289.083",# of Attempts: 46
Approaches from 200-225 yards,39' 0,34,EVEN,"Total Distance (feet): 3,084.250",# of Attempts: 79
Approaches from > 200 yards,51' 5,91,EVEN,"Total Distance (feet): 8,479.500",# of Attempts: 165
Approaches from 175-200 yards,32' 4,43,EVEN,"Total Distance (feet): 4,556.750",# of Attempts: 141
Approaches from 150-175 yards,26' 6,26,EVEN,"Total Distance (feet): 3,741.333",# of Attempts: 141
Approaches from 125-150 yards,23' 2,62,EVEN,"Total Distance (feet): 2,247.750",# of Attempts: 97
Approaches from 50-125 yards,20' 1,139,EVEN,"Total Distance (feet): 1,989.500",# of Attempts: 99
Approaches from 100-125 yards,21' 2,126,EVEN,"Total Distance (feet): 1,332.833",# of Attempts: 63
Approaches from 75-100 yards,16' 6,58,EVEN,Total Distance (feet): 379.500,# of Attempts: 23
Approaches from 50-75 yards,21' 4,155,EVEN,Total Distance (feet): 277.167,# of Attempts: 13
Approaches from inside 100 yards,18' 3,125,EVEN,Total Distance (feet): 656.667,# of Attempts: 36
Approaches from > 100 yards,33' 6,44,EVEN,"Total Distance (feet): 20,358.167",# of Attempts: 607
Fairway Proximity,32' 8,82,EVEN,: ,Attempts: 643
Rough Proximity,47' 4,142,EVEN,"Total Distance (inches): 101,133",Attempts: 178
Left Rough Proximity,47' 7,142,EVEN,: ,Attempts: 62
Right Rough Proximity,47' 3,119,EVEN,: ,Attempts: 116
Approaches from > 275 yards (Rgh),86' 3,57,EVEN,Total Distance (feet): 517.500,# of Attempts: 6
