Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.551,-,EVEN,Total SG:T: -9.306,Measured Rounds: 6
SG: Tee-to-Green,-1.168,-,EVEN,SG:OTT: -0.256,Measured Rounds: 6
SG: Off-the-Tee,-0.256,-,EVEN,Total SG:OTT: -1.537,Measured Rounds: 6
SG: Approach the Green,-0.583,-,EVEN,Total SG:APP: -3.500,Measured Rounds: 6
SG: Around-the-Green,-0.329,-,EVEN,Total SG:ARG: -1.972,Measured Rounds: 6
SG: Putting,-0.383,-,EVEN,Total SG:Putting: -2.296,Measured Rounds: 6
Longest Drives,369,158,EVEN,Tournament: Mexico Open,Round: 2
Driving Distance,294.9,-,EVEN,"Total Distance: 7,078",Total Drives: 24
Driving Distance - All Drives,291.1,-,EVEN,"Total Distance: 23,288",# of Drives: 80
Driving Accuracy Percentage,69.51%,-,EVEN,Fairways Hit: 114,Possible Fairways: 164
Left Rough Tendency,8.75%,-,EVEN,Total Left rough: 7,Possible Fwys: 80
Right Rough Tendency,8.75%,-,EVEN,Total Right rough: 7,Possible Fwys: 80
Distance from Edge of Fairway,33' 10,-,EVEN,Total Distance (Feet): 811.417,Total Strokes: 24
Club Head Speed,110.87,-,EVEN,"Total Club Head Speed: 2,660.99",Total Attempts: 24
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,57.87%,-,EVEN,Greens Hit: 125,# Holes: 216
Proximity to Hole,43' 6,-,EVEN,"Total Distance (feet): 4,655.583",# of Attempts: 107
Approaches from > 275 yards,99' 2,-,EVEN,Total Distance (feet): 297.500,# of Attempts: 3
Approaches from 250-275 yards,66' 11,-,EVEN,Total Distance (feet): 133.833,# of Attempts: 2
Approaches from 225-250 yards,64' 7,-,EVEN,Total Distance (feet): 580.917,# of Attempts: 9
Approaches from 200-225 yards,47' 6,-,EVEN,Total Distance (feet): 664.833,# of Attempts: 14
Approaches from > 200 yards,59' 11,-,EVEN,"Total Distance (feet): 1,677.083",# of Attempts: 28
Approaches from 175-200 yards,35' 6,-,EVEN,Total Distance (feet): 603.333,# of Attempts: 17
Approaches from 150-175 yards,32' 9,-,EVEN,Total Distance (feet): 523.917,# of Attempts: 16
Approaches from 125-150 yards,23' 3,-,EVEN,Total Distance (feet): 139.667,# of Attempts: 6
Approaches from 50-125 yards,10' 11,-,EVEN,Total Distance (feet): 142.167,# of Attempts: 13
Approaches from 100-125 yards,10' 0,-,EVEN,Total Distance (feet): 90.083,# of Attempts: 9
Approaches from 75-100 yards,15' 7,-,EVEN,Total Distance (feet): 46.750,# of Attempts: 3
Approaches from 50-75 yards,5' 4,-,EVEN,Total Distance (feet): 5.333,# of Attempts: 1
Approaches from inside 100 yards,13' 0,-,EVEN,Total Distance (feet): 52.083,# of Attempts: 4
Approaches from > 100 yards,39' 11,-,EVEN,"Total Distance (feet): 3,034.083",# of Attempts: 76
Fairway Proximity,38' 7,-,EVEN,: ,Attempts: 80
Rough Proximity,51' 1,-,EVEN,"Total Distance (inches): 10,423",Attempts: 17
Left Rough Proximity,37' 2,-,EVEN,: ,Attempts: 9
Right Rough Proximity,66' 9,-,EVEN,: ,Attempts: 8
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),81' 8,-,EVEN,Total Distance (feet): 245.000,# of Attempts: 3
Approaches from 200-225 yards (Rgh),118' 5,-,EVEN,Total Distance (feet): 355.167,# of Attempts: 3
Approaches from > 100 yards (Rgh),58' 11,-,EVEN,Total Distance (feet): 824.917,# of Attempts: 14
Approaches from inside 100 yards (Rgh),14' 7,-,EVEN,Total Distance (feet): 43.667,# of Attempts: 3
Approaches from > 200 yards (Rgh),100' 0,-,EVEN,Total Distance (feet): 600.167,# of Attempts: 6
Approaches from 175-200 yards (Rgh),36' 11,-,EVEN,Total Distance (feet): 73.750,# of Attempts: 2
Approaches from 150-175 yards (Rgh),64' 2,-,EVEN,Total Distance (feet): 64.167,# of Attempts: 1
Approaches from 125-150 yards (Rgh),21' 0,-,EVEN,Total Distance (feet): 41.917,# of Attempts: 2
Approaches from 50-125 yards (Rgh),16' 10,-,EVEN,Total Distance (feet): 84.250,# of Attempts: 5
Approaches from 100-125 yards (Rgh),15' 0,-,EVEN,Total Distance (feet): 44.917,# of Attempts: 3
Approaches from 75-100 yards (Rgh),33' 7,-,EVEN,Total Distance (feet): 33.583,# of Attempts: 1
Approaches from 50-75 yards (Rgh),5' 9,-,EVEN,Total Distance (feet): 5.750,# of Attempts: 1
Going for the Green,57.69%,-,EVEN,Attempts: 15,Non-Attempts: 11
Going for the Green - Hit Green Pct.,13.33%,-,EVEN,Successes: 2,Attempts: 15
Going for the Green - Birdie or Better,53.33%,-,EVEN,# of Birdie or Better: 8,Attempts: 15
