Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,2.663,1,EVEN,Total SG:T: 138.495,Measured Rounds: 52
SG: Tee-to-Green,2.245,1,EVEN,SG:OTT: 0.707,Measured Rounds: 52
SG: Off-the-Tee,0.707,1,EVEN,Total SG:OTT: 36.781,Measured Rounds: 52
SG: Approach the Green,1.283,1,EVEN,Total SG:APP: 66.693,Measured Rounds: 52
SG: Around-the-Green,0.255,28,EVEN,Total SG:ARG: 13.283,Measured Rounds: 52
SG: Putting,0.418,17,EVEN,Total SG:Putting: 21.738,Measured Rounds: 52
Longest Drives,370,155,EVEN,Tournament: WM Phoenix Open,Round: 2
Driving Distance,303.3,72,EVEN,"Total Distance: 33,964",Total Drives: 112
Driving Distance - All Drives,297.1,54,EVEN,"Total Distance: 215,131",# of Drives: 724
Driving Accuracy Percentage,63.85%,34,EVEN,Fairways Hit: 498,Possible Fairways: 780
Left Rough Tendency,14.31%,115,EVEN,Total Left rough: 103,Possible Fwys: 720
Right Rough Tendency,9.72%,3,EVEN,Total Right rough: 70,Possible Fwys: 720
Distance from Edge of Fairway,23' 10,33,EVEN,"Total Distance (Feet): 5,870.167",Total Strokes: 246
Club Head Speed,119.48,43,EVEN,"Total Club Head Speed: 31,899.84",Total Attempts: 267
Total Driving Efficiency,233,121,EVEN,: ,Carry Efficiency Rank: 94
Greens in Regulation Percentage,70.24%,10,EVEN,Greens Hit: 708,"# Holes: 1,008"
Proximity to Hole,33' 10,1,EVEN,"Total Distance (feet): 31,357.333",# of Attempts: 927
Approaches from > 275 yards,55' 10,1,EVEN,"Total Distance (feet): 1,395.417",# of Attempts: 25
Approaches from 250-275 yards,62' 11,89,EVEN,"Total Distance (feet): 1,636.250",# of Attempts: 26
Approaches from 225-250 yards,41' 0,6,EVEN,"Total Distance (feet): 1,966.333",# of Attempts: 48
Approaches from 200-225 yards,41' 11,90,EVEN,"Total Distance (feet): 3,813.417",# of Attempts: 91
Approaches from > 200 yards,46' 5,5,EVEN,"Total Distance (feet): 8,811.417",# of Attempts: 190
Approaches from 175-200 yards,30' 2,9,EVEN,"Total Distance (feet): 3,920.750",# of Attempts: 130
Approaches from 150-175 yards,25' 0,5,EVEN,"Total Distance (feet): 2,998.833",# of Attempts: 120
Approaches from 125-150 yards,22' 6,47,EVEN,"Total Distance (feet): 2,789.583",# of Attempts: 124
Approaches from 50-125 yards,15' 9,3,EVEN,"Total Distance (feet): 1,901.417",# of Attempts: 121
Approaches from 100-125 yards,15' 11,2,EVEN,"Total Distance (feet): 1,031.917",# of Attempts: 65
Approaches from 75-100 yards,16' 6,58,EVEN,Total Distance (feet): 659.917,# of Attempts: 40
Approaches from 50-75 yards,13' 1,37,EVEN,Total Distance (feet): 209.583,# of Attempts: 16
Approaches from inside 100 yards,14' 11,28,EVEN,Total Distance (feet): 878.500,# of Attempts: 59
Approaches from > 100 yards,31' 1,3,EVEN,"Total Distance (feet): 19,552.500",# of Attempts: 629
Fairway Proximity,29' 8,2,EVEN,: ,Attempts: 688
Rough Proximity,38' 6,1,EVEN,"Total Distance (inches): 73,532",Attempts: 159
Left Rough Proximity,38' 0,8,EVEN,: ,Attempts: 103
Right Rough Proximity,39' 6,9,EVEN,: ,Attempts: 56
Approaches from > 275 yards (Rgh),101' 8,106,EVEN,Total Distance (feet): 406.750,# of Attempts: 4
Approaches from 250-275 yards (Rgh),122' 0,165,EVEN,Total Distance (feet): 122.000,# of Attempts: 1
Approaches from 225-250 yards (Rgh),42' 3,1,EVEN,Total Distance (feet): 380.167,# of Attempts: 9
Approaches from 200-225 yards (Rgh),49' 10,9,EVEN,Total Distance (feet): 348.917,# of Attempts: 7
Approaches from > 100 yards (Rgh),41' 8,1,EVEN,"Total Distance (feet): 5,416.750",# of Attempts: 130
Approaches from inside 100 yards (Rgh),24' 6,87,EVEN,Total Distance (feet): 710.917,# of Attempts: 29
Approaches from > 200 yards (Rgh),59' 11,3,EVEN,"Total Distance (feet): 1,257.833",# of Attempts: 21
Approaches from 175-200 yards (Rgh),41' 7,9,EVEN,"Total Distance (feet): 1,207.000",# of Attempts: 29
Approaches from 150-175 yards (Rgh),39' 9,26,EVEN,"Total Distance (feet): 1,390.167",# of Attempts: 35
Approaches from 125-150 yards (Rgh),32' 10,32,EVEN,Total Distance (feet): 886.667,# of Attempts: 27
Approaches from 50-125 yards (Rgh),31' 0,140,EVEN,"Total Distance (feet): 1,302.917",# of Attempts: 42
Approaches from 100-125 yards (Rgh),37' 6,153,EVEN,Total Distance (feet): 675.083,# of Attempts: 18
Approaches from 75-100 yards (Rgh),29' 10,137,EVEN,Total Distance (feet): 417.500,# of Attempts: 14
Approaches from 50-75 yards (Rgh),21' 0,67,EVEN,Total Distance (feet): 210.333,# of Attempts: 10
Going for the Green,67.62%,22,EVEN,Attempts: 142,Non-Attempts: 68
Going for the Green - Hit Green Pct.,23.78%,62,EVEN,Successes: 34,Attempts: 143
Going for the Green - Birdie or Better,68.53%,2,EVEN,# of Birdie or Better: 98,Attempts: 143
Total Hole Outs,13,42,EVEN,: ,: 
Longest Hole Outs (in yards),104,61,EVEN,Tournament: WM Phoenix Open,Round- Course: 1
Scrambling,68.33%,3,EVEN,Par or Better: 205,Missed GIR: 300
Scrambling from the Rough,66.99%,5,EVEN,Successes: 69,Attempts: 103
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,46.00%,2,EVEN,Successes: 23,Attempts: 50
Scrambling from 20-30 yards,61.54%,22,EVEN,Successes: 24,Attempts: 39
Scrambling from 10-20 yards,71.19%,25,EVEN,Successes: 84,Attempts: 118
Scrambling from < 10 yards,91.53%,35,EVEN,Successes: 54,Attempts: 59
Sand Save Percentage,59.21%,73,EVEN,# Saves: 45,# Bunkers: 76
Proximity to Hole from Sand,8' 10,64,EVEN,Total Distance (feet): 512.917,# of Shots: 58
Total Putting,111.3,19,EVEN,: ,: 
Putting Average,1.706,3,EVEN,"GIR Putts: 1,208",Greens Hit: 708
Overall Putting Average,1.562,13,EVEN,"# of Putts: 1,574","# of Holes: 1,008"
Birdie or Better Conversion Percentage,35.23%,12,EVEN,# Birdies: 248,Greens Hit: 704
Putts Per Round,28.11,13,EVEN,"Total Putts: 1,574",Total Rounds: 56
Putts per Round - Round 1,27.64,10,EVEN,Total Putts: 387,Total Rounds: 14
Putts per Round - Round 2,28.57,65,EVEN,Total Putts: 400,Total Rounds: 14
Putts per Round - Round 3,28.71,82,EVEN,Total Putts: 402,Total Rounds: 14
Putts per Round - Round 4,27.50,10,EVEN,Total Putts: 385,Total Rounds: 14
One-Putt Percentage,43.35%,17,EVEN,# of 1 putts: 437,"# of holes: 1,008"
Longest Putts,34' 8,244,EVEN,Year/Tourn#: Houston Open,Round: 1
3-Putt Avoidance,2.28%,36,EVEN,Total 3 Putts: 23,"Total Holes (overall): 1,008"
