Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,1.072,8,EVEN,Total SG:T: 72.908,Measured Rounds: 68
SG: Tee-to-Green,0.835,16,EVEN,SG:OTT: 0.228,Measured Rounds: 68
SG: Off-the-Tee,0.228,50,EVEN,Total SG:OTT: 15.537,Measured Rounds: 68
SG: Approach the Green,0.677,7,EVEN,Total SG:APP: 46.037,Measured Rounds: 68
SG: Around-the-Green,-0.070,110,EVEN,Total SG:ARG: -4.778,Measured Rounds: 68
SG: Putting,0.237,38,EVEN,Total SG:Putting: 16.112,Measured Rounds: 68
Longest Drives,404,34,EVEN,Tournament: WM Phoenix Open,Round: 1
Driving Distance,297.9,133,EVEN,"Total Distance: 45,286",Total Drives: 152
Driving Distance - All Drives,288.7,138,EVEN,"Total Distance: 273,709",# of Drives: 948
Driving Accuracy Percentage,65.66%,22,EVEN,Fairways Hit: 696,"Possible Fairways: 1,060"
Left Rough Tendency,9.55%,7,EVEN,Total Left rough: 90,Possible Fwys: 942
Right Rough Tendency,12.21%,18,EVEN,Total Right rough: 115,Possible Fwys: 942
Distance from Edge of Fairway,21' 8,13,EVEN,"Total Distance (Feet): 6,552.583",Total Strokes: 302
Club Head Speed,112.22,147,EVEN,"Total Club Head Speed: 32,769.13",Total Attempts: 292
Total Driving Efficiency,26,8,EVEN,: ,Carry Efficiency Rank: 9
Greens in Regulation Percentage,70.18%,15,EVEN,Greens Hit: 960,"# Holes: 1,368"
Proximity to Hole,35' 4,20,EVEN,"Total Distance (feet): 42,788.500","# of Attempts: 1,212"
Approaches from > 275 yards,79' 2,67,EVEN,"Total Distance (feet): 1,266.500",# of Attempts: 16
Approaches from 250-275 yards,63' 1,91,EVEN,"Total Distance (feet): 2,080.500",# of Attempts: 33
Approaches from 225-250 yards,49' 5,70,EVEN,"Total Distance (feet): 3,657.000",# of Attempts: 74
Approaches from 200-225 yards,37' 8,20,EVEN,"Total Distance (feet): 4,628.833",# of Attempts: 123
Approaches from > 200 yards,47' 3,24,EVEN,"Total Distance (feet): 11,632.833",# of Attempts: 246
Approaches from 175-200 yards,31' 7,36,EVEN,"Total Distance (feet): 4,926.417",# of Attempts: 156
Approaches from 150-175 yards,26' 4,30,EVEN,"Total Distance (feet): 4,814.833",# of Attempts: 183
Approaches from 125-150 yards,20' 7,10,EVEN,"Total Distance (feet): 2,835.167",# of Attempts: 138
Approaches from 50-125 yards,15' 11,3,EVEN,"Total Distance (feet): 2,632.750",# of Attempts: 165
Approaches from 100-125 yards,15' 11,3,EVEN,"Total Distance (feet): 1,656.333",# of Attempts: 104
Approaches from 75-100 yards,13' 8,3,EVEN,Total Distance (feet): 587.000,# of Attempts: 43
Approaches from 50-75 yards,21' 8,156,EVEN,Total Distance (feet): 389.417,# of Attempts: 18
Approaches from inside 100 yards,15' 10,46,EVEN,Total Distance (feet): 998.500,# of Attempts: 63
Approaches from > 100 yards,31' 3,9,EVEN,"Total Distance (feet): 25,865.583",# of Attempts: 827
Fairway Proximity,30' 2,11,EVEN,: ,Attempts: 890
Rough Proximity,45' 2,88,EVEN,"Total Distance (inches): 102,396",Attempts: 189
Left Rough Proximity,41' 3,23,EVEN,: ,Attempts: 83
Right Rough Proximity,48' 3,133,EVEN,: ,Attempts: 106
Approaches from > 275 yards (Rgh),72' 10,16,EVEN,Total Distance (feet): 145.667,# of Attempts: 2
Approaches from 250-275 yards (Rgh),87' 6,120,EVEN,Total Distance (feet): 612.583,# of Attempts: 7
Approaches from 225-250 yards (Rgh),58' 9,16,EVEN,Total Distance (feet): 293.583,# of Attempts: 5
Approaches from 200-225 yards (Rgh),62' 1,65,EVEN,Total Distance (feet): 869.667,# of Attempts: 14
Approaches from > 100 yards (Rgh),47' 1,51,EVEN,"Total Distance (feet): 7,763.667",# of Attempts: 165
Approaches from inside 100 yards (Rgh),32' 1,159,EVEN,Total Distance (feet): 769.333,# of Attempts: 24
Approaches from > 200 yards (Rgh),68' 8,48,EVEN,"Total Distance (feet): 1,921.500",# of Attempts: 28
Approaches from 175-200 yards (Rgh),49' 6,47,EVEN,"Total Distance (feet): 1,337.583",# of Attempts: 27
Approaches from 150-175 yards (Rgh),47' 5,116,EVEN,"Total Distance (feet): 2,466.667",# of Attempts: 52
Approaches from 125-150 yards (Rgh),36' 7,62,EVEN,"Total Distance (feet): 1,390.417",# of Attempts: 38
Approaches from 50-125 yards (Rgh),33' 2,152,EVEN,"Total Distance (feet): 1,359.750",# of Attempts: 41
Approaches from 100-125 yards (Rgh),32' 5,95,EVEN,Total Distance (feet): 647.500,# of Attempts: 20
Approaches from 75-100 yards (Rgh),40' 0,165,EVEN,Total Distance (feet): 399.917,# of Attempts: 10
Approaches from 50-75 yards (Rgh),28' 5,125,EVEN,Total Distance (feet): 312.333,# of Attempts: 11
Going for the Green,67.86%,24,EVEN,Attempts: 171,Non-Attempts: 81
Going for the Green - Hit Green Pct.,25.00%,62,EVEN,Successes: 43,Attempts: 172
Going for the Green - Birdie or Better,63.95%,24,EVEN,# of Birdie or Better: 110,Attempts: 172
Total Hole Outs,16,49,EVEN,: ,: 
Longest Hole Outs (in yards),117,80,EVEN,Tournament: RBC Heritage,Round- Course: 2
Scrambling,59.31%,92,EVEN,Par or Better: 242,Missed GIR: 408
Scrambling from the Rough,56.20%,83,EVEN,Successes: 77,Attempts: 137
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.99%,76,EVEN,Successes: 22,Attempts: 71
Scrambling from 20-30 yards,53.33%,83,EVEN,Successes: 32,Attempts: 60
Scrambling from 10-20 yards,65.00%,92,EVEN,Successes: 104,Attempts: 160
Scrambling from < 10 yards,85.71%,101,EVEN,Successes: 54,Attempts: 63
Sand Save Percentage,57.39%,85,EVEN,# Saves: 66,# Bunkers: 115
Proximity to Hole from Sand,11' 0,144,EVEN,Total Distance (feet): 976.167,# of Shots: 89
Total Putting,106.0,19,EVEN,: ,: 
Putting Average,1.728,20,EVEN,"GIR Putts: 1,659",Greens Hit: 960
Overall Putting Average,1.596,56,EVEN,"# of Putts: 2,183","# of Holes: 1,368"
Birdie or Better Conversion Percentage,33.40%,29,EVEN,# Birdies: 320,Greens Hit: 958
Putts Per Round,28.72,56,EVEN,"Total Putts: 2,183",Total Rounds: 76
Putts per Round - Round 1,28.71,57,EVEN,Total Putts: 603,Total Rounds: 21
Putts per Round - Round 2,28.48,42,EVEN,Total Putts: 598,Total Rounds: 21
Putts per Round - Round 3,28.82,77,EVEN,Total Putts: 490,Total Rounds: 17
Putts per Round - Round 4,28.94,87,EVEN,Total Putts: 492,Total Rounds: 17
One-Putt Percentage,40.20%,73,EVEN,# of 1 putts: 550,"# of holes: 1,368"
Longest Putts,57' 3,71,EVEN,Year/Tourn#: RBC Heritage,Round: 1
3-Putt Avoidance,2.12%,24,EVEN,Total 3 Putts: 29,"Total Holes (overall): 1,368"
Putting from - > 25',5.56%,77,EVEN,Attempts: 306,Putts made: 17
Putting from - 20-25',13.27%,64,EVEN,Attempts: 98,Putts made: 13
Putting from - 15-20',21.88%,42,EVEN,Attempts: 128,Putts made: 28
Putting from - 10-15',34.85%,28,EVEN,Attempts: 198,Putts made: 69
Putting - Inside 10',88.53%,47,EVEN,"Attempts: 1,221","Putts made: 1,081"
Putting from 10',37.78%,114,EVEN,Attempts: 45,: 
Putting from 9',43.48%,110,EVEN,Attempts: 46,: 
Putting from 8',59.18%,44,EVEN,Attempts: 49,: 
Putting from 7',58.62%,104,EVEN,Attempts: 58,: 
Putting from 6',73.85%,58,EVEN,Attempts: 65,: 
Putting from 5',80.25%,100,EVEN,Attempts: 81,: 
Putting from 4-8',69.57%,74,EVEN,Attempts: 253,Putts made: 176
Putting from 4',94.37%,36,EVEN,Attempts: 142,: 
Putting from 3',99.86%,21,EVEN,Attempts: 735,: 
Average Distance of Putts made,76' 4,31,EVEN,"Total Dist. (inches): 62,321",Total Rounds: 68
Approach Putt Performance,2' 3,82,EVEN,: ,Attempts: 717
Scoring Average (Adjusted),70.047,9,EVEN,"Total Strokes: 5,279",Total Adjustment: 44.598
Scoring Average (Actual),69.46,12,EVEN,"Total Strokes: 5,279",Total Rounds: 76
Lowest Round,63,40,EVEN,Tourn/Course: Truist/The Phil,Round: 1
Birdie Average,4.29,10,EVEN,# of Birdies: 326,Total Rounds: 76
Total Birdies,326,20,EVEN,: ,: 
Eagles (Holes per),171.0,77,EVEN,"# of Holes: 1,368",# of Eagles: 8
Total Eagles,8,56,EVEN,: ,: 
Par Breakers,24.42%,12,EVEN,# Birdies/Eagles: 334,"# Holes: 1,368"
Bounce Back,21.91%,88,EVEN,: ,: 
Par 3 Birdie or Better Leaders,14.94%,40,EVEN,Par 3 Birdies or Better: 46,Par 3 Holes: 308
Par 4 Birdie or Better Leaders,19.34%,31,EVEN,Par 4 Birdies or Better: 159,Par 4 Holes: 822
Par 5 Birdie or Better Leaders,54.20%,10,EVEN,Par 5 Birdies or Better: 129,Par 5 Holes: 238
