Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,1.050,14,EVEN,Total SG:T: 51.426,Measured Rounds: 49
SG: Tee-to-Green,1.187,4,EVEN,SG:OTT: 0.195,Measured Rounds: 49
SG: Off-the-Tee,0.195,59,EVEN,Total SG:OTT: 9.551,Measured Rounds: 49
SG: Approach the Green,0.932,2,EVEN,Total SG:APP: 45.690,Measured Rounds: 49
SG: Around-the-Green,0.060,72,EVEN,Total SG:ARG: 2.928,Measured Rounds: 49
SG: Putting,-0.138,122,EVEN,Total SG:Putting: -6.743,Measured Rounds: 49
Longest Drives,364,189,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,296.2,134,EVEN,"Total Distance: 31,994",Total Drives: 108
Driving Distance - All Drives,286.3,151,EVEN,"Total Distance: 195,278",# of Drives: 682
Driving Accuracy Percentage,64.89%,28,EVEN,Fairways Hit: 488,Possible Fairways: 752
Left Rough Tendency,9.56%,7,EVEN,Total Left rough: 65,Possible Fwys: 680
Right Rough Tendency,16.03%,94,EVEN,Total Right rough: 109,Possible Fwys: 680
Distance from Edge of Fairway,22' 3,18,EVEN,"Total Distance (Feet): 5,143.833",Total Strokes: 231
Club Head Speed,114.51,126,EVEN,"Total Club Head Speed: 25,765.01",Total Attempts: 225
Total Driving Efficiency,196,95,EVEN,: ,Carry Efficiency Rank: 90
Greens in Regulation Percentage,67.39%,47,EVEN,Greens Hit: 655,# Holes: 972
Proximity to Hole,34' 5,5,EVEN,"Total Distance (feet): 30,088.250",# of Attempts: 874
Approaches from > 275 yards,77' 5,52,EVEN,"Total Distance (feet): 1,239.250",# of Attempts: 16
Approaches from 250-275 yards,71' 7,144,EVEN,"Total Distance (feet): 2,075.250",# of Attempts: 29
Approaches from 225-250 yards,50' 11,97,EVEN,"Total Distance (feet): 2,649.333",# of Attempts: 52
Approaches from 200-225 yards,37' 2,11,EVEN,"Total Distance (feet): 2,790.083",# of Attempts: 75
Approaches from > 200 yards,50' 11,73,EVEN,"Total Distance (feet): 8,753.917",# of Attempts: 172
Approaches from 175-200 yards,29' 2,5,EVEN,"Total Distance (feet): 3,495.250",# of Attempts: 120
Approaches from 150-175 yards,27' 5,49,EVEN,"Total Distance (feet): 3,673.667",# of Attempts: 134
Approaches from 125-150 yards,23' 2,62,EVEN,"Total Distance (feet): 2,431.583",# of Attempts: 105
Approaches from 50-125 yards,17' 4,29,EVEN,"Total Distance (feet): 2,411.833",# of Attempts: 139
Approaches from 100-125 yards,17' 0,10,EVEN,"Total Distance (feet): 1,412.667",# of Attempts: 83
Approaches from 75-100 yards,17' 6,83,EVEN,Total Distance (feet): 716.583,# of Attempts: 41
Approaches from 50-75 yards,18' 10,130,EVEN,Total Distance (feet): 282.583,# of Attempts: 15
Approaches from inside 100 yards,17' 3,97,EVEN,"Total Distance (feet): 1,017.500",# of Attempts: 59
Approaches from > 100 yards,32' 2,14,EVEN,"Total Distance (feet): 19,767.083",# of Attempts: 614
Fairway Proximity,30' 11,15,EVEN,: ,Attempts: 673
Rough Proximity,44' 6,74,EVEN,"Total Distance (inches): 76,358",Attempts: 143
Left Rough Proximity,42' 6,52,EVEN,: ,Attempts: 54
Right Rough Proximity,45' 9,95,EVEN,: ,Attempts: 89
Approaches from > 275 yards (Rgh),127' 2,147,EVEN,Total Distance (feet): 127.167,# of Attempts: 1
Approaches from 250-275 yards (Rgh),86' 3,124,EVEN,Total Distance (feet): 431.333,# of Attempts: 5
Approaches from 225-250 yards (Rgh),78' 6,127,EVEN,Total Distance (feet): 628.083,# of Attempts: 8
Approaches from 200-225 yards (Rgh),75' 7,151,EVEN,Total Distance (feet): 831.750,# of Attempts: 11
Approaches from > 100 yards (Rgh),47' 3,57,EVEN,"Total Distance (feet): 6,049.500",# of Attempts: 128
Approaches from inside 100 yards (Rgh),20' 11,28,EVEN,Total Distance (feet): 313.667,# of Attempts: 15
Approaches from > 200 yards (Rgh),80' 9,154,EVEN,"Total Distance (feet): 2,018.333",# of Attempts: 25
Approaches from 175-200 yards (Rgh),42' 10,15,EVEN,Total Distance (feet): 985.750,# of Attempts: 23
Approaches from 150-175 yards (Rgh),43' 7,78,EVEN,"Total Distance (feet): 1,526.333",# of Attempts: 35
Approaches from 125-150 yards (Rgh),33' 8,45,EVEN,Total Distance (feet): 841.167,# of Attempts: 25
Approaches from 50-125 yards (Rgh),27' 10,88,EVEN,Total Distance (feet): 918.917,# of Attempts: 33
Approaches from 100-125 yards (Rgh),33' 11,121,EVEN,Total Distance (feet): 677.917,# of Attempts: 20
Approaches from 75-100 yards (Rgh),19' 0,18,EVEN,Total Distance (feet): 209.167,# of Attempts: 11
Approaches from 50-75 yards (Rgh),15' 11,16,EVEN,Total Distance (feet): 31.833,# of Attempts: 2
Going for the Green,54.01%,135,EVEN,Attempts: 101,Non-Attempts: 86
Going for the Green - Hit Green Pct.,21.78%,99,EVEN,Successes: 22,Attempts: 101
Going for the Green - Birdie or Better,50.50%,165,EVEN,# of Birdie or Better: 51,Attempts: 101
Total Hole Outs,15,27,EVEN,: ,: 
Longest Hole Outs (in yards),160,27,EVEN,Tournament: U.S. Open,Round- Course: 1
Scrambling,61.51%,55,EVEN,Par or Better: 195,Missed GIR: 317
Scrambling from the Rough,60.55%,50,EVEN,Successes: 66,Attempts: 109
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,34.69%,38,EVEN,Successes: 17,Attempts: 49
Scrambling from 20-30 yards,46.67%,139,EVEN,Successes: 21,Attempts: 45
Scrambling from 10-20 yards,72.73%,18,EVEN,Successes: 80,Attempts: 110
Scrambling from < 10 yards,86.57%,97,EVEN,Successes: 58,Attempts: 67
Sand Save Percentage,57.32%,96,EVEN,# Saves: 47,# Bunkers: 82
Proximity to Hole from Sand,8' 4,32,EVEN,Total Distance (feet): 541.917,# of Shots: 65
Total Putting,220.8,125,EVEN,: ,: 
Putting Average,1.763,104,EVEN,"GIR Putts: 1,155",Greens Hit: 655
Overall Putting Average,1.607,93,EVEN,"# of Putts: 1,562",# of Holes: 972
Birdie or Better Conversion Percentage,29.25%,140,EVEN,# Birdies: 191,Greens Hit: 653
Putts Per Round,28.93,93,EVEN,"Total Putts: 1,562",Total Rounds: 54
Putts per Round - Round 1,28.87,80,EVEN,Total Putts: 433,Total Rounds: 15
Putts per Round - Round 2,28.87,87,EVEN,Total Putts: 433,Total Rounds: 15
Putts per Round - Round 3,29.17,111,EVEN,Total Putts: 350,Total Rounds: 12
Putts per Round - Round 4,28.83,91,EVEN,Total Putts: 346,Total Rounds: 12
One-Putt Percentage,38.58%,136,EVEN,# of 1 putts: 375,# of holes: 972
Longest Putts,68' 3,15,EVEN,Year/Tourn#: PGA Championship,Round: 1
3-Putt Avoidance,2.57%,64,EVEN,Total 3 Putts: 25,Total Holes (overall): 972
Putting from - > 25',5.31%,86,EVEN,Attempts: 207,Putts made: 11
Putting from - 20-25',10.59%,112,EVEN,Attempts: 85,Putts made: 9
Putting from - 15-20',17.98%,100,EVEN,Attempts: 89,Putts made: 16
Putting from - 10-15',28.70%,110,EVEN,Attempts: 115,Putts made: 33
Putting - Inside 10',86.93%,134,EVEN,Attempts: 918,Putts made: 798
Putting from 10',30.23%,151,EVEN,Attempts: 43,: 
Putting from 9',60.00%,12,EVEN,Attempts: 35,: 
Putting from 8',59.46%,48,EVEN,Attempts: 37,: 
Putting from 7',46.67%,162,EVEN,Attempts: 45,: 
Putting from 6',65.31%,136,EVEN,Attempts: 49,: 
Putting from 5',85.00%,51,EVEN,Attempts: 60,: 
Putting from 4-8',65.97%,121,EVEN,Attempts: 191,Putts made: 126
Putting from 4',88.78%,144,EVEN,Attempts: 98,: 
Putting from 3',100.00%,1,EVEN,Attempts: 551,: 
Average Distance of Putts made,68' 8,134,EVEN,"Total Dist. (inches): 40,395",Total Rounds: 49
Approach Putt Performance,2' 0,9,EVEN,: ,Attempts: 527
Scoring Average (Adjusted),70.289,19,EVEN,"Total Strokes: 3,793",Total Adjustment: 2.615
Scoring Average (Actual),70.24,68,EVEN,"Total Strokes: 3,793",Total Rounds: 54
Lowest Round,64,70,EVEN,Tourn/Course: RBC Canadian/TP,Round: 1
Birdie Average,3.67,114,EVEN,# of Birdies: 198,Total Rounds: 54
Total Birdies,198,83,EVEN,: ,: 
Eagles (Holes per),138.9,52,EVEN,# of Holes: 972,# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,21.09%,116,EVEN,# Birdies/Eagles: 205,# Holes: 972
Bounce Back,14.07%,170,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.18%,94,EVEN,Par 3 Birdies or Better: 29,Par 3 Holes: 220
Par 4 Birdie or Better Leaders,18.47%,36,EVEN,Par 4 Birdies or Better: 106,Par 4 Holes: 574
Par 5 Birdie or Better Leaders,39.33%,163,EVEN,Par 5 Birdies or Better: 70,Par 5 Holes: 178
Birdie or Better Percentage,21.09%,116,EVEN,Total Birdies: 205,Total Holes: 972
Bogey Avoidance,14.71%,41,EVEN,Bogeys: 143,Holes Played: 972
Final Round Scoring Average,70.50,85,EVEN,Total Strokes: 846,Total Rounds: 12
Final Round Performance,61.54%,54,EVEN,: ,: 
Round 1 Scoring Average,69.93,54,EVEN,"Total Strokes: 1,049",Total Rounds: 15
Round 2 Scoring Average,70.40,93,EVEN,"Total Strokes: 1,056",Total Rounds: 15
Round 3 Scoring Average,70.17,71,EVEN,Total Strokes: 842,Total Rounds: 12
Round 4 Scoring Average,70.50,85,EVEN,Total Strokes: 846,Total Rounds: 12
Par 3 Scoring Average,3.01,19,EVEN,Total Strokes: 662,Total Holes: 220
Par 4 Scoring Average,4.00,35,EVEN,"Total Strokes: 2,298",Total Holes: 574
Par 5 Scoring Average,4.68,147,EVEN,Total Strokes: 833,Total Holes: 178
