Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.643,36,EVEN,Total SG:T: 42.457,Measured Rounds: 66
SG: Tee-to-Green,0.882,14,EVEN,SG:OTT: 0.300,Measured Rounds: 66
SG: Off-the-Tee,0.300,37,EVEN,Total SG:OTT: 19.789,Measured Rounds: 66
SG: Approach the Green,0.225,55,EVEN,Total SG:APP: 14.860,Measured Rounds: 66
SG: Around-the-Green,0.357,13,EVEN,Total SG:ARG: 23.574,Measured Rounds: 66
SG: Putting,-0.239,142,EVEN,Total SG:Putting: -15.767,Measured Rounds: 66
Longest Drives,442,2,EVEN,Tournament: Sentry,Round: 4
Driving Distance,295.2,138,EVEN,"Total Distance: 40,741",Total Drives: 138
Driving Distance - All Drives,292.7,90,EVEN,"Total Distance: 271,034",# of Drives: 926
Driving Accuracy Percentage,65.39%,24,EVEN,Fairways Hit: 633,Possible Fairways: 968
Left Rough Tendency,8.68%,3,EVEN,Total Left rough: 80,Possible Fwys: 922
Right Rough Tendency,14.10%,49,EVEN,Total Right rough: 130,Possible Fwys: 922
Distance from Edge of Fairway,22' 1,16,EVEN,"Total Distance (Feet): 6,482.083",Total Strokes: 293
Club Head Speed,114.97,121,EVEN,"Total Club Head Speed: 38,973.16",Total Attempts: 339
Total Driving Efficiency,262,136,EVEN,: ,Carry Efficiency Rank: 142
Greens in Regulation Percentage,65.70%,88,EVEN,Greens Hit: 816,"# Holes: 1,242"
Proximity to Hole,38' 0,107,EVEN,"Total Distance (feet): 44,703.333","# of Attempts: 1,176"
Approaches from > 275 yards,83' 10,96,EVEN,"Total Distance (feet): 3,102.333",# of Attempts: 37
Approaches from 250-275 yards,59' 4,56,EVEN,"Total Distance (feet): 2,610.500",# of Attempts: 44
Approaches from 225-250 yards,52' 6,120,EVEN,"Total Distance (feet): 3,726.500",# of Attempts: 71
Approaches from 200-225 yards,37' 11,21,EVEN,"Total Distance (feet): 4,174.667",# of Attempts: 110
Approaches from > 200 yards,52' 0,105,EVEN,"Total Distance (feet): 13,614.000",# of Attempts: 262
Approaches from 175-200 yards,31' 3,20,EVEN,"Total Distance (feet): 5,163.000",# of Attempts: 165
Approaches from 150-175 yards,29' 1,114,EVEN,"Total Distance (feet): 4,821.250",# of Attempts: 166
Approaches from 125-150 yards,24' 4,102,EVEN,"Total Distance (feet): 3,215.083",# of Attempts: 132
Approaches from 50-125 yards,17' 8,41,EVEN,"Total Distance (feet): 2,709.083",# of Attempts: 153
Approaches from 100-125 yards,19' 8,79,EVEN,"Total Distance (feet): 1,416.500",# of Attempts: 72
Approaches from 75-100 yards,16' 1,51,EVEN,Total Distance (feet): 901.000,# of Attempts: 56
Approaches from 50-75 yards,15' 8,95,EVEN,Total Distance (feet): 391.583,# of Attempts: 25
Approaches from inside 100 yards,15' 10,46,EVEN,"Total Distance (feet): 1,345.000",# of Attempts: 85
Approaches from > 100 yards,35' 5,123,EVEN,"Total Distance (feet): 28,229.833",# of Attempts: 797
Fairway Proximity,33' 6,113,EVEN,: ,Attempts: 882
Rough Proximity,42' 10,37,EVEN,"Total Distance (inches): 94,536",Attempts: 184
Left Rough Proximity,39' 3,18,EVEN,: ,Attempts: 68
Right Rough Proximity,44' 11,73,EVEN,: ,Attempts: 116
Approaches from > 275 yards (Rgh),86' 8,58,EVEN,Total Distance (feet): 260.083,# of Attempts: 3
Approaches from 250-275 yards (Rgh),69' 0,41,EVEN,Total Distance (feet): 414.000,# of Attempts: 6
Approaches from 225-250 yards (Rgh),80' 6,138,EVEN,Total Distance (feet): 483.167,# of Attempts: 6
Approaches from 200-225 yards (Rgh),62' 11,73,EVEN,"Total Distance (feet): 1,258.333",# of Attempts: 20
Approaches from > 100 yards (Rgh),48' 1,79,EVEN,"Total Distance (feet): 6,873.167",# of Attempts: 143
Approaches from inside 100 yards (Rgh),24' 6,87,EVEN,"Total Distance (feet): 1,004.833",# of Attempts: 41
Approaches from > 200 yards (Rgh),69' 0,51,EVEN,"Total Distance (feet): 2,415.583",# of Attempts: 35
Approaches from 175-200 yards (Rgh),38' 4,2,EVEN,Total Distance (feet): 996.500,# of Attempts: 26
Approaches from 150-175 yards (Rgh),47' 1,131,EVEN,"Total Distance (feet): 1,882.917",# of Attempts: 40
Approaches from 125-150 yards (Rgh),47' 9,170,EVEN,"Total Distance (feet): 1,145.083",# of Attempts: 24
Approaches from 50-125 yards (Rgh),25' 0,30,EVEN,"Total Distance (feet): 1,398.000",# of Attempts: 56
Approaches from 100-125 yards (Rgh),24' 1,16,EVEN,Total Distance (feet): 433.083,# of Attempts: 18
Approaches from 75-100 yards (Rgh),28' 8,125,EVEN,Total Distance (feet): 775.083,# of Attempts: 27
Approaches from 50-75 yards (Rgh),17' 3,28,EVEN,Total Distance (feet): 189.833,# of Attempts: 11
Going for the Green,67.29%,23,EVEN,Attempts: 181,Non-Attempts: 88
Going for the Green - Hit Green Pct.,20.88%,112,EVEN,Successes: 38,Attempts: 182
Going for the Green - Birdie or Better,63.19%,32,EVEN,# of Birdie or Better: 115,Attempts: 182
Total Hole Outs,22,2,EVEN,: ,: 
Longest Hole Outs (in yards),252,2,EVEN,Tournament: PGA Championship,Round- Course: 2
Scrambling,62.68%,36,EVEN,Par or Better: 267,Missed GIR: 426
Scrambling from the Rough,64.50%,19,EVEN,Successes: 109,Attempts: 169
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,24.64%,132,EVEN,Successes: 17,Attempts: 69
Scrambling from 20-30 yards,46.27%,143,EVEN,Successes: 31,Attempts: 67
Scrambling from 10-20 yards,73.63%,13,EVEN,Successes: 134,Attempts: 182
Scrambling from < 10 yards,87.21%,82,EVEN,Successes: 75,Attempts: 86
Sand Save Percentage,68.38%,8,EVEN,# Saves: 80,# Bunkers: 117
Proximity to Hole from Sand,8' 2,24,EVEN,Total Distance (feet): 812.833,# of Shots: 100
Total Putting,224.5,128,EVEN,: ,: 
Putting Average,1.745,62,EVEN,"GIR Putts: 1,424",Greens Hit: 816
Overall Putting Average,1.581,34,EVEN,"# of Putts: 1,963","# of Holes: 1,242"
Birdie or Better Conversion Percentage,32.55%,49,EVEN,# Birdies: 264,Greens Hit: 811
Putts Per Round,28.45,33,EVEN,"Total Putts: 1,963",Total Rounds: 69
Putts per Round - Round 1,29.55,141,EVEN,Total Putts: 591,Total Rounds: 20
Putts per Round - Round 2,28.21,30,EVEN,Total Putts: 536,Total Rounds: 19
Putts per Round - Round 3,27.80,23,EVEN,Total Putts: 417,Total Rounds: 15
Putts per Round - Round 4,27.93,22,EVEN,Total Putts: 419,Total Rounds: 15
One-Putt Percentage,41.14%,52,EVEN,# of 1 putts: 511,"# of holes: 1,242"
Longest Putts,41' 8,186,EVEN,Year/Tourn#: Houston Open,Round: 2
3-Putt Avoidance,2.74%,83,EVEN,Total 3 Putts: 34,"Total Holes (overall): 1,242"
Putting from - > 25',3.83%,140,EVEN,Attempts: 261,Putts made: 10
Putting from - 20-25',8.70%,139,EVEN,Attempts: 92,Putts made: 8
Putting from - 15-20',8.00%,169,EVEN,Attempts: 125,Putts made: 10
Putting from - 10-15',28.05%,120,EVEN,Attempts: 164,Putts made: 46
Putting - Inside 10',88.42%,54,EVEN,"Attempts: 1,235","Putts made: 1,092"
Putting from 10',44.44%,57,EVEN,Attempts: 36,: 
Putting from 9',43.75%,103,EVEN,Attempts: 48,: 
Putting from 8',50.00%,106,EVEN,Attempts: 46,: 
Putting from 7',60.00%,91,EVEN,Attempts: 55,: 
Putting from 6',80.43%,11,EVEN,Attempts: 92,: 
Putting from 5',81.00%,95,EVEN,Attempts: 100,: 
Putting from 4-8',72.01%,39,EVEN,Attempts: 293,Putts made: 211
Putting from 4',92.37%,93,EVEN,Attempts: 118,: 
Putting from 3',99.32%,134,EVEN,Attempts: 740,: 
Average Distance of Putts made,62' 10,169,EVEN,"Total Dist. (inches): 49,792",Total Rounds: 66
Approach Putt Performance,2' 1,26,EVEN,: ,Attempts: 678
Scoring Average (Adjusted),70.759,55,EVEN,"Total Strokes: 4,843",Total Adjustment: 39.405
Scoring Average (Actual),70.19,59,EVEN,"Total Strokes: 4,843",Total Rounds: 69
Lowest Round,64,70,EVEN,Tourn/Course: Charles Schwab/,Round: 2
Birdie Average,3.99,38,EVEN,# of Birdies: 275,Total Rounds: 69
Total Birdies,275,7,EVEN,: ,: 
Eagles (Holes per),177.4,84,EVEN,"# of Holes: 1,242",# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,22.71%,43,EVEN,# Birdies/Eagles: 282,"# Holes: 1,242"
Bounce Back,21.84%,82,EVEN,: ,: 
Par 3 Birdie or Better Leaders,9.49%,157,EVEN,Par 3 Birdies or Better: 26,Par 3 Holes: 274
Par 4 Birdie or Better Leaders,18.51%,32,EVEN,Par 4 Birdies or Better: 137,Par 4 Holes: 740
Par 5 Birdie or Better Leaders,52.19%,17,EVEN,Par 5 Birdies or Better: 119,Par 5 Holes: 228
Birdie or Better Percentage,22.71%,43,EVEN,Total Birdies: 282,"Total Holes: 1,242"
Bogey Avoidance,15.06%,54,EVEN,Bogeys: 187,"Holes Played: 1,242"
Final Round Scoring Average,70.40,77,EVEN,"Total Strokes: 1,056",Total Rounds: 15
Final Round Performance,40.00%,136,EVEN,: ,: 
Round 1 Scoring Average,70.40,86,EVEN,"Total Strokes: 1,408",Total Rounds: 20
Round 2 Scoring Average,69.42,19,EVEN,"Total Strokes: 1,319",Total Rounds: 19
Round 3 Scoring Average,70.67,111,EVEN,"Total Strokes: 1,060",Total Rounds: 15
Round 4 Scoring Average,70.40,77,EVEN,"Total Strokes: 1,056",Total Rounds: 15
Par 3 Scoring Average,3.10,137,EVEN,Total Strokes: 849,Total Holes: 274
Par 4 Scoring Average,4.00,35,EVEN,"Total Strokes: 2,962",Total Holes: 740
Par 5 Scoring Average,4.53,15,EVEN,"Total Strokes: 1,032",Total Holes: 228
Front 9 Scoring Average,34.86,40,EVEN,"Total Strokes: 2,405",Total Holes: 69
Back 9 Scoring Average,35.33,104,EVEN,"Total Strokes: 2,438",Total Holes: 69
Early Scoring Average,70.03,64,EVEN,"Total Strokes: 2,101",Total Early Rounds: 30
Late Scoring Average,70.31,66,EVEN,"Total Strokes: 2,742",Total Late Rounds: 39
Consecutive Cuts,8,13,EVEN,: ,: 
Current Streak without a 3-Putt,2,406,EVEN,: ,: 
Consecutive Fairways Hit,15,53,EVEN,Current Streak: 1,: 
Consecutive GIR,15,110,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,11,15,EVEN,Current Streak: 0,Round: 4
Best YTD 1-Putt or Better Streak,8,42,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,158,57,EVEN,Current Streak: 2,: 
YTD Par or Better Streak,6,164,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,5,10,EVEN,: ,: 
Consecutive Birdies Streak,5,9,EVEN,: ,: 
Consecutive Birdies/Eagles streak,5,2,EVEN,: ,: 
Official Money,"$2,947,594",42,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,805,45,EVEN,# of Wins: 0,# of Top 10's: 2
