Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.282,75,EVEN,Total SG:T: 19.716,Measured Rounds: 70
SG: Tee-to-Green,0.065,93,EVEN,SG:OTT: -0.269,Measured Rounds: 70
SG: Off-the-Tee,-0.269,140,EVEN,Total SG:OTT: -18.802,Measured Rounds: 70
SG: Approach the Green,0.206,60,EVEN,Total SG:APP: 14.419,Measured Rounds: 70
SG: Around-the-Green,0.127,54,EVEN,Total SG:ARG: 8.904,Measured Rounds: 70
SG: Putting,0.217,44,EVEN,Total SG:Putting: 15.192,Measured Rounds: 70
Longest Drives,396,65,EVEN,Tournament: Sentry,Round: 1
Driving Distance,305.9,64,EVEN,"Total Distance: 47,112",Total Drives: 154
Driving Distance - All Drives,297.6,46,EVEN,"Total Distance: 289,231",# of Drives: 972
Driving Accuracy Percentage,53.08%,153,EVEN,Fairways Hit: 568,"Possible Fairways: 1,070"
Left Rough Tendency,14.09%,97,EVEN,Total Left rough: 134,Possible Fwys: 951
Right Rough Tendency,17.46%,130,EVEN,Total Right rough: 166,Possible Fwys: 951
Distance from Edge of Fairway,36' 7,159,EVEN,"Total Distance (Feet): 15,192.333",Total Strokes: 415
Club Head Speed,120.33,30,EVEN,"Total Club Head Speed: 35,616.93",Total Attempts: 296
Total Driving Efficiency,241,127,EVEN,: ,Carry Efficiency Rank: 89
Greens in Regulation Percentage,63.78%,144,EVEN,Greens Hit: 884,"# Holes: 1,386"
Proximity to Hole,38' 1,129,EVEN,"Total Distance (feet): 47,382.333","# of Attempts: 1,245"
Approaches from > 275 yards,90' 2,138,EVEN,"Total Distance (feet): 2,164.333",# of Attempts: 24
Approaches from 250-275 yards,68' 1,127,EVEN,"Total Distance (feet): 1,769.083",# of Attempts: 26
Approaches from 225-250 yards,49' 4,67,EVEN,"Total Distance (feet): 2,908.917",# of Attempts: 59
Approaches from 200-225 yards,39' 6,50,EVEN,"Total Distance (feet): 4,618.167",# of Attempts: 117
Approaches from > 200 yards,50' 9,95,EVEN,"Total Distance (feet): 11,460.500",# of Attempts: 226
Approaches from 175-200 yards,33' 9,93,EVEN,"Total Distance (feet): 5,333.417",# of Attempts: 158
Approaches from 150-175 yards,27' 7,63,EVEN,"Total Distance (feet): 4,296.500",# of Attempts: 156
Approaches from 125-150 yards,21' 11,36,EVEN,"Total Distance (feet): 2,957.333",# of Attempts: 135
Approaches from 50-125 yards,17' 4,28,EVEN,"Total Distance (feet): 2,784.417",# of Attempts: 161
Approaches from 100-125 yards,19' 6,87,EVEN,"Total Distance (feet): 1,831.333",# of Attempts: 94
Approaches from 75-100 yards,16' 3,50,EVEN,Total Distance (feet): 715.500,# of Attempts: 44
Approaches from 50-75 yards,10' 4,3,EVEN,Total Distance (feet): 237.583,# of Attempts: 23
Approaches from inside 100 yards,14' 2,7,EVEN,Total Distance (feet): 991.750,# of Attempts: 70
Approaches from > 100 yards,33' 8,85,EVEN,"Total Distance (feet): 25,879.083",# of Attempts: 769
Fairway Proximity,32' 0,77,EVEN,: ,Attempts: 839
Rough Proximity,47' 7,145,EVEN,"Total Distance (inches): 160,528",Attempts: 281
Left Rough Proximity,41' 7,28,EVEN,: ,Attempts: 136
Right Rough Proximity,53' 4,164,EVEN,: ,Attempts: 145
Approaches from > 275 yards (Rgh),117' 8,136,EVEN,"Total Distance (feet): 1,294.417",# of Attempts: 11
Approaches from 250-275 yards (Rgh),102' 3,157,EVEN,Total Distance (feet): 715.583,# of Attempts: 7
