Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.154,86,EVEN,Total SG:T: 8.636,Measured Rounds: 56
SG: Tee-to-Green,0.729,24,EVEN,SG:OTT: 0.412,Measured Rounds: 56
SG: Off-the-Tee,0.412,19,EVEN,Total SG:OTT: 23.076,Measured Rounds: 56
SG: Approach the Green,0.225,56,EVEN,Total SG:APP: 12.615,Measured Rounds: 56
SG: Around-the-Green,0.092,62,EVEN,Total SG:ARG: 5.125,Measured Rounds: 56
SG: Putting,-0.575,160,EVEN,Total SG:Putting: -32.180,Measured Rounds: 56
Longest Drives,393,78,EVEN,Tournament: John Deere,Round: 2
Driving Distance,313.2,21,EVEN,"Total Distance: 40,710",Total Drives: 130
Driving Distance - All Drives,298.9,33,EVEN,"Total Distance: 231,344",# of Drives: 774
Driving Accuracy Percentage,59.78%,81,EVEN,Fairways Hit: 538,Possible Fairways: 900
Left Rough Tendency,15.54%,125,EVEN,Total Left rough: 120,Possible Fwys: 772
Right Rough Tendency,15.03%,83,EVEN,Total Right rough: 116,Possible Fwys: 772
Distance from Edge of Fairway,25' 1,46,EVEN,"Total Distance (Feet): 7,825.333",Total Strokes: 312
Club Head Speed,116.55,82,EVEN,"Total Club Head Speed: 29,954.15",Total Attempts: 257
Total Driving Efficiency,33,14,EVEN,: ,Carry Efficiency Rank: 28
Greens in Regulation Percentage,71.11%,8,EVEN,Greens Hit: 832,"# Holes: 1,170"
Proximity to Hole,36' 1,41,EVEN,"Total Distance (feet): 36,150.250","# of Attempts: 1,003"
Approaches from > 275 yards,62' 8,6,EVEN,Total Distance (feet): 815.000,# of Attempts: 13
Approaches from 250-275 yards,62' 4,84,EVEN,"Total Distance (feet): 1,495.167",# of Attempts: 24
Approaches from 225-250 yards,44' 3,10,EVEN,"Total Distance (feet): 1,948.417",# of Attempts: 44
Approaches from 200-225 yards,43' 10,139,EVEN,"Total Distance (feet): 3,859.083",# of Attempts: 88
Approaches from > 200 yards,48' 0,37,EVEN,"Total Distance (feet): 8,117.667",# of Attempts: 169
Approaches from 175-200 yards,34' 2,105,EVEN,"Total Distance (feet): 4,889.667",# of Attempts: 143
Approaches from 150-175 yards,31' 5,156,EVEN,"Total Distance (feet): 4,425.500",# of Attempts: 141
Approaches from 125-150 yards,25' 6,151,EVEN,"Total Distance (feet): 2,323.000",# of Attempts: 91
Approaches from 50-125 yards,17' 6,37,EVEN,"Total Distance (feet): 2,979.083",# of Attempts: 170
Approaches from 100-125 yards,19' 11,100,EVEN,"Total Distance (feet): 1,794.083",# of Attempts: 90
Approaches from 75-100 yards,13' 9,4,EVEN,Total Distance (feet): 770.167,# of Attempts: 56
Approaches from 50-75 yards,17' 3,113,EVEN,Total Distance (feet): 414.833,# of Attempts: 24
Approaches from inside 100 yards,14' 11,24,EVEN,"Total Distance (feet): 1,239.833",# of Attempts: 83
Approaches from > 100 yards,34' 0,102,EVEN,"Total Distance (feet): 21,549.917",# of Attempts: 634
Fairway Proximity,31' 9,66,EVEN,: ,Attempts: 717
Rough Proximity,44' 2,57,EVEN,"Total Distance (inches): 115,485",Attempts: 218
Left Rough Proximity,41' 8,31,EVEN,: ,Attempts: 103
Right Rough Proximity,46' 4,101,EVEN,: ,Attempts: 115
Approaches from > 275 yards (Rgh),73' 6,17,EVEN,Total Distance (feet): 367.333,# of Attempts: 5
Approaches from 250-275 yards (Rgh),90' 10,135,EVEN,Total Distance (feet): 454.167,# of Attempts: 5
Approaches from 225-250 yards (Rgh),87' 3,148,EVEN,Total Distance (feet): 611.000,# of Attempts: 7
Approaches from 200-225 yards (Rgh),60' 10,53,EVEN,"Total Distance (feet): 1,215.917",# of Attempts: 20
Approaches from > 100 yards (Rgh),47' 5,58,EVEN,"Total Distance (feet): 8,681.417",# of Attempts: 183
Approaches from inside 100 yards (Rgh),26' 11,110,EVEN,Total Distance (feet): 942.333,# of Attempts: 35
Approaches from > 200 yards (Rgh),71' 7,77,EVEN,"Total Distance (feet): 2,648.417",# of Attempts: 37
Approaches from 175-200 yards (Rgh),56' 7,124,EVEN,"Total Distance (feet): 1,810.583",# of Attempts: 32
Approaches from 150-175 yards (Rgh),38' 11,13,EVEN,"Total Distance (feet): 1,168.583",# of Attempts: 30
Approaches from 125-150 yards (Rgh),41' 8,140,EVEN,"Total Distance (feet): 2,251.000",# of Attempts: 54
Approaches from 50-125 yards (Rgh),27' 5,53,EVEN,"Total Distance (feet): 1,728.500",# of Attempts: 63
Approaches from 100-125 yards (Rgh),26' 9,19,EVEN,Total Distance (feet): 802.833,# of Attempts: 30
Approaches from 75-100 yards (Rgh),25' 3,66,EVEN,Total Distance (feet): 656.833,# of Attempts: 26
Approaches from 50-75 yards (Rgh),38' 5,157,EVEN,Total Distance (feet): 268.833,# of Attempts: 7
Going for the Green,62.31%,60,EVEN,Attempts: 124,Non-Attempts: 75
Going for the Green - Hit Green Pct.,33.60%,5,EVEN,Successes: 42,Attempts: 125
Going for the Green - Birdie or Better,56.00%,139,EVEN,# of Birdie or Better: 70,Attempts: 125
Total Hole Outs,16,49,EVEN,: ,: 
Longest Hole Outs (in yards),194,14,EVEN,Tournament: Valspar,Round- Course: 2
Scrambling,58.28%,110,EVEN,Par or Better: 197,Missed GIR: 338
Scrambling from the Rough,55.38%,98,EVEN,Successes: 72,Attempts: 130
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,28.57%,100,EVEN,Successes: 14,Attempts: 49
Scrambling from 20-30 yards,49.18%,126,EVEN,Successes: 30,Attempts: 61
Scrambling from 10-20 yards,64.12%,105,EVEN,Successes: 84,Attempts: 131
Scrambling from < 10 yards,83.33%,123,EVEN,Successes: 50,Attempts: 60
Sand Save Percentage,46.43%,161,EVEN,# Saves: 39,# Bunkers: 84
Proximity to Hole from Sand,11' 2,146,EVEN,Total Distance (feet): 701.500,# of Shots: 63
Total Putting,289.7,162,EVEN,: ,: 
Putting Average,1.803,163,EVEN,"GIR Putts: 1,500",Greens Hit: 832
Overall Putting Average,1.667,161,EVEN,"# of Putts: 1,950","# of Holes: 1,170"
Birdie or Better Conversion Percentage,28.07%,159,EVEN,# Birdies: 233,Greens Hit: 830
Putts Per Round,30.00,161,EVEN,"Total Putts: 1,950",Total Rounds: 65
Putts per Round - Round 1,30.30,160,EVEN,Total Putts: 606,Total Rounds: 20
Putts per Round - Round 2,29.65,142,EVEN,Total Putts: 593,Total Rounds: 20
