Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.431,164,EVEN,Total SG:T: -65.816,Measured Rounds: 46
SG: Tee-to-Green,-1.095,158,EVEN,SG:OTT: -0.262,Measured Rounds: 46
SG: Off-the-Tee,-0.262,138,EVEN,Total SG:OTT: -12.049,Measured Rounds: 46
SG: Approach the Green,-0.640,159,EVEN,Total SG:APP: -29.420,Measured Rounds: 46
SG: Around-the-Green,-0.194,139,EVEN,Total SG:ARG: -8.918,Measured Rounds: 46
SG: Putting,-0.335,146,EVEN,Total SG:Putting: -15.431,Measured Rounds: 46
Longest Drives,373,177,EVEN,Tournament: Wyndham,Round: 2
Driving Distance,301.9,97,EVEN,"Total Distance: 31,998",Total Drives: 106
Driving Distance - All Drives,290.1,122,EVEN,"Total Distance: 184,519",# of Drives: 636
Driving Accuracy Percentage,58.58%,98,EVEN,Fairways Hit: 430,Possible Fairways: 734
Left Rough Tendency,15.03%,120,EVEN,Total Left rough: 95,Possible Fwys: 632
Right Rough Tendency,17.72%,137,EVEN,Total Right rough: 112,Possible Fwys: 632
Distance from Edge of Fairway,30' 6,123,EVEN,"Total Distance (Feet): 7,996.917",Total Strokes: 262
Club Head Speed,117.63,62,EVEN,"Total Club Head Speed: 23,879.78",Total Attempts: 203
Total Driving Efficiency,259,132,EVEN,: ,Carry Efficiency Rank: 128
Greens in Regulation Percentage,62.05%,155,EVEN,Greens Hit: 592,# Holes: 954
Proximity to Hole,36' 2,44,EVEN,"Total Distance (feet): 29,558.750",# of Attempts: 818
Approaches from > 275 yards,58' 3,3,EVEN,Total Distance (feet): 757.167,# of Attempts: 13
Approaches from 250-275 yards,70' 2,138,EVEN,Total Distance (feet): 631.417,# of Attempts: 9
Approaches from 225-250 yards,49' 10,80,EVEN,"Total Distance (feet): 2,091.667",# of Attempts: 42
Approaches from 200-225 yards,40' 4,65,EVEN,"Total Distance (feet): 3,307.917",# of Attempts: 82
Approaches from > 200 yards,46' 6,16,EVEN,"Total Distance (feet): 6,788.167",# of Attempts: 146
Approaches from 175-200 yards,32' 0,46,EVEN,"Total Distance (feet): 4,090.833",# of Attempts: 128
Approaches from 150-175 yards,30' 5,149,EVEN,"Total Distance (feet): 3,192.917",# of Attempts: 105
Approaches from 125-150 yards,23' 8,96,EVEN,"Total Distance (feet): 2,084.833",# of Attempts: 88
Approaches from 50-125 yards,18' 3,76,EVEN,"Total Distance (feet): 2,009.333",# of Attempts: 110
Approaches from 100-125 yards,18' 10,53,EVEN,"Total Distance (feet): 1,166.417",# of Attempts: 62
Approaches from 75-100 yards,17' 11,95,EVEN,Total Distance (feet): 538.500,# of Attempts: 30
Approaches from 50-75 yards,16' 11,109,EVEN,Total Distance (feet): 304.417,# of Attempts: 18
Approaches from inside 100 yards,17' 1,89,EVEN,Total Distance (feet): 854.417,# of Attempts: 50
Approaches from > 100 yards,32' 9,43,EVEN,"Total Distance (feet): 17,323.167",# of Attempts: 529
Fairway Proximity,31' 5,45,EVEN,: ,Attempts: 579
Rough Proximity,46' 1,117,EVEN,"Total Distance (inches): 108,423",Attempts: 196
Left Rough Proximity,44' 11,93,EVEN,: ,Attempts: 101
Right Rough Proximity,47' 4,121,EVEN,: ,Attempts: 95
Approaches from > 275 yards (Rgh),45' 10,3,EVEN,Total Distance (feet): 91.583,# of Attempts: 2
Approaches from 250-275 yards (Rgh),82' 9,103,EVEN,Total Distance (feet): 331.083,# of Attempts: 4
Approaches from 225-250 yards (Rgh),79' 1,125,EVEN,Total Distance (feet): 870.167,# of Attempts: 11
Approaches from 200-225 yards (Rgh),77' 3,151,EVEN,"Total Distance (feet): 1,081.917",# of Attempts: 14
Approaches from > 100 yards (Rgh),50' 1,134,EVEN,"Total Distance (feet): 8,507.833",# of Attempts: 170
Approaches from inside 100 yards (Rgh),20' 3,13,EVEN,Total Distance (feet): 527.417,# of Attempts: 26
Approaches from > 200 yards (Rgh),76' 7,124,EVEN,"Total Distance (feet): 2,374.750",# of Attempts: 31
Approaches from 175-200 yards (Rgh),64' 8,159,EVEN,"Total Distance (feet): 1,744.917",# of Attempts: 27
Approaches from 150-175 yards (Rgh),51' 5,152,EVEN,"Total Distance (feet): 2,414.667",# of Attempts: 47
Approaches from 125-150 yards (Rgh),33' 0,19,EVEN,"Total Distance (feet): 1,155.833",# of Attempts: 35
Approaches from 50-125 yards (Rgh),24' 4,12,EVEN,"Total Distance (feet): 1,287.750",# of Attempts: 53
Approaches from 100-125 yards (Rgh),27' 3,24,EVEN,Total Distance (feet): 817.667,# of Attempts: 30
Approaches from 75-100 yards (Rgh),20' 10,21,EVEN,Total Distance (feet): 354.333,# of Attempts: 17
Approaches from 50-75 yards (Rgh),19' 4,39,EVEN,Total Distance (feet): 115.750,# of Attempts: 6
Going for the Green,51.23%,145,EVEN,Attempts: 83,Non-Attempts: 79
Going for the Green - Hit Green Pct.,26.51%,48,EVEN,Successes: 22,Attempts: 83
Going for the Green - Birdie or Better,55.42%,147,EVEN,# of Birdie or Better: 46,Attempts: 83
Total Hole Outs,11,119,EVEN,: ,: 
Longest Hole Outs (in yards),38,129,EVEN,Tournament: THE CJ CUP,Round- Course: 4
Scrambling,57.46%,120,EVEN,Par or Better: 208,Missed GIR: 362
Scrambling from the Rough,59.21%,52,EVEN,Successes: 90,Attempts: 152
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,29.31%,94,EVEN,Successes: 17,Attempts: 58
Scrambling from 20-30 yards,46.03%,143,EVEN,Successes: 29,Attempts: 63
Scrambling from 10-20 yards,60.33%,146,EVEN,Successes: 73,Attempts: 121
Scrambling from < 10 yards,91.23%,29,EVEN,Successes: 52,Attempts: 57
Sand Save Percentage,50.00%,149,EVEN,# Saves: 46,# Bunkers: 92
Proximity to Hole from Sand,9' 10,107,EVEN,Total Distance (feet): 670.250,# of Shots: 68
Total Putting,281.9,159,EVEN,: ,: 
Putting Average,1.802,162,EVEN,"GIR Putts: 1,067",Greens Hit: 592
Overall Putting Average,1.628,130,EVEN,"# of Putts: 1,553",# of Holes: 954
