Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.293,73,EVEN,Total SG:T: 17.856,Measured Rounds: 61
SG: Tee-to-Green,0.503,44,EVEN,SG:OTT: 0.251,Measured Rounds: 61
SG: Off-the-Tee,0.251,42,EVEN,Total SG:OTT: 15.325,Measured Rounds: 61
SG: Approach the Green,-0.173,128,EVEN,Total SG:APP: -10.540,Measured Rounds: 61
SG: Around-the-Green,0.424,9,EVEN,Total SG:ARG: 25.885,Measured Rounds: 61
SG: Putting,-0.210,130,EVEN,Total SG:Putting: -12.813,Measured Rounds: 61
Longest Drives,383,117,EVEN,Tournament: AT&T Pebble Beach,Round: 2
Driving Distance,310.1,33,EVEN,"Total Distance: 39,694",Total Drives: 128
Driving Distance - All Drives,299.8,26,EVEN,"Total Distance: 253,618",# of Drives: 846
Driving Accuracy Percentage,56.87%,115,EVEN,Fairways Hit: 505,Possible Fairways: 888
Left Rough Tendency,11.79%,46,EVEN,Total Left rough: 99,Possible Fwys: 840
Right Rough Tendency,17.50%,131,EVEN,Total Right rough: 147,Possible Fwys: 840
Distance from Edge of Fairway,28' 9,95,EVEN,"Total Distance (Feet): 9,987.250",Total Strokes: 347
Club Head Speed,118.92,47,EVEN,"Total Club Head Speed: 33,535.76",Total Attempts: 282
Total Driving Efficiency,167,84,EVEN,: ,Carry Efficiency Rank: 79
Greens in Regulation Percentage,67.27%,66,EVEN,Greens Hit: 775,"# Holes: 1,152"
Proximity to Hole,38' 9,147,EVEN,"Total Distance (feet): 42,124.500","# of Attempts: 1,088"
Approaches from > 275 yards,71' 2,24,EVEN,Total Distance (feet): 925.000,# of Attempts: 13
Approaches from 250-275 yards,55' 1,28,EVEN,"Total Distance (feet): 1,212.500",# of Attempts: 22
Approaches from 225-250 yards,55' 4,150,EVEN,"Total Distance (feet): 3,044.167",# of Attempts: 55
Approaches from 200-225 yards,42' 9,124,EVEN,"Total Distance (feet): 4,228.583",# of Attempts: 99
Approaches from > 200 yards,49' 9,67,EVEN,"Total Distance (feet): 9,410.250",# of Attempts: 189
Approaches from 175-200 yards,35' 7,133,EVEN,"Total Distance (feet): 5,228.333",# of Attempts: 147
Approaches from 150-175 yards,31' 9,159,EVEN,"Total Distance (feet): 4,291.833",# of Attempts: 135
Approaches from 125-150 yards,24' 9,136,EVEN,"Total Distance (feet): 2,424.083",# of Attempts: 98
Approaches from 50-125 yards,19' 5,128,EVEN,"Total Distance (feet): 3,346.750",# of Attempts: 172
Approaches from 100-125 yards,21' 3,136,EVEN,"Total Distance (feet): 1,803.833",# of Attempts: 85
Approaches from 75-100 yards,18' 2,103,EVEN,"Total Distance (feet): 1,146.417",# of Attempts: 63
Approaches from 50-75 yards,16' 6,102,EVEN,Total Distance (feet): 396.500,# of Attempts: 24
Approaches from inside 100 yards,17' 5,103,EVEN,"Total Distance (feet): 1,563.750",# of Attempts: 90
Approaches from > 100 yards,35' 5,140,EVEN,"Total Distance (feet): 23,158.333",# of Attempts: 654
Fairway Proximity,33' 3,133,EVEN,: ,Attempts: 744
Rough Proximity,45' 11,109,EVEN,"Total Distance (inches): 122,318",Attempts: 222
Left Rough Proximity,45' 9,108,EVEN,: ,Attempts: 93
Right Rough Proximity,46' 0,91,EVEN,: ,Attempts: 129
Approaches from > 275 yards (Rgh),91' 5,69,EVEN,Total Distance (feet): 731.250,# of Attempts: 8
Approaches from 250-275 yards (Rgh),84' 0,114,EVEN,"Total Distance (feet): 1,091.583",# of Attempts: 13
Approaches from 225-250 yards (Rgh),57' 5,12,EVEN,Total Distance (feet): 632.000,# of Attempts: 11
Approaches from 200-225 yards (Rgh),71' 5,125,EVEN,Total Distance (feet): 999.500,# of Attempts: 14
Approaches from > 100 yards (Rgh),49' 9,127,EVEN,"Total Distance (feet): 8,953.750",# of Attempts: 180
Approaches from inside 100 yards (Rgh),29' 6,145,EVEN,"Total Distance (feet): 1,239.417",# of Attempts: 42
Approaches from > 200 yards (Rgh),75' 1,109,EVEN,"Total Distance (feet): 3,454.333",# of Attempts: 46
Approaches from 175-200 yards (Rgh),42' 9,8,EVEN,"Total Distance (feet): 1,324.083",# of Attempts: 31
Approaches from 150-175 yards (Rgh),52' 6,159,EVEN,"Total Distance (feet): 2,203.417",# of Attempts: 42
Approaches from 125-150 yards (Rgh),35' 7,46,EVEN,"Total Distance (feet): 1,244.333",# of Attempts: 35
Approaches from 50-125 yards (Rgh),28' 11,85,EVEN,"Total Distance (feet): 1,909.583",# of Attempts: 66
Approaches from 100-125 yards (Rgh),28' 0,32,EVEN,Total Distance (feet): 727.583,# of Attempts: 26
Approaches from 75-100 yards (Rgh),30' 9,135,EVEN,Total Distance (feet): 706.917,# of Attempts: 23
Approaches from 50-75 yards (Rgh),27' 11,122,EVEN,Total Distance (feet): 475.083,# of Attempts: 17
Going for the Green,66.09%,34,EVEN,Attempts: 152,Non-Attempts: 78
Going for the Green - Hit Green Pct.,30.07%,14,EVEN,Successes: 46,Attempts: 153
Going for the Green - Birdie or Better,65.36%,16,EVEN,# of Birdie or Better: 100,Attempts: 153
Total Hole Outs,12,111,EVEN,: ,: 
Longest Hole Outs (in yards),18,219,EVEN,Tournament: 3M Open,Round- Course: 1
Scrambling,60.21%,71,EVEN,Par or Better: 227,Missed GIR: 377
Scrambling from the Rough,58.57%,59,EVEN,Successes: 82,Attempts: 140
Scrambling from the Fringe,-,-,EVEN,,
