Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.664,32,EVEN,Total SG:T: 40.522,Measured Rounds: 61
SG: Tee-to-Green,0.706,29,EVEN,SG:OTT: 0.575,Measured Rounds: 61
SG: Off-the-Tee,0.575,8,EVEN,Total SG:OTT: 35.051,Measured Rounds: 61
SG: Approach the Green,0.225,55,EVEN,Total SG:APP: 13.717,Measured Rounds: 61
SG: Around-the-Green,-0.093,119,EVEN,Total SG:ARG: -5.687,Measured Rounds: 61
SG: Putting,-0.042,102,EVEN,Total SG:Putting: -2.560,Measured Rounds: 61
Longest Drives,407,24,EVEN,Tournament: Sentry,Round: 1
Driving Distance,308.8,27,EVEN,"Total Distance: 39,529",Total Drives: 128
Driving Distance - All Drives,303.7,13,EVEN,"Total Distance: 259,322",# of Drives: 854
Driving Accuracy Percentage,59.71%,86,EVEN,Fairways Hit: 535,Possible Fairways: 896
Left Rough Tendency,11.75%,47,EVEN,Total Left rough: 100,Possible Fwys: 851
Right Rough Tendency,16.69%,107,EVEN,Total Right rough: 142,Possible Fwys: 851
Distance from Edge of Fairway,28' 10,90,EVEN,"Total Distance (Feet): 9,167.500",Total Strokes: 318
Club Head Speed,120.37,29,EVEN,"Total Club Head Speed: 35,629.28",Total Attempts: 296
Total Driving Efficiency,134,63,EVEN,: ,Carry Efficiency Rank: 40
Greens in Regulation Percentage,69.10%,28,EVEN,Greens Hit: 796,"# Holes: 1,152"
Proximity to Hole,37' 4,82,EVEN,"Total Distance (feet): 40,797.167","# of Attempts: 1,094"
Approaches from > 275 yards,91' 7,145,EVEN,"Total Distance (feet): 1,648.750",# of Attempts: 18
Approaches from 250-275 yards,63' 0,90,EVEN,"Total Distance (feet): 1,574.250",# of Attempts: 25
Approaches from 225-250 yards,45' 8,22,EVEN,"Total Distance (feet): 2,283.333",# of Attempts: 50
Approaches from 200-225 yards,41' 7,80,EVEN,"Total Distance (feet): 3,947.167",# of Attempts: 95
Approaches from > 200 yards,50' 3,55,EVEN,"Total Distance (feet): 9,453.500",# of Attempts: 188
Approaches from 175-200 yards,33' 4,68,EVEN,"Total Distance (feet): 4,065.500",# of Attempts: 122
Approaches from 150-175 yards,27' 11,70,EVEN,"Total Distance (feet): 3,906.167",# of Attempts: 140
Approaches from 125-150 yards,25' 4,141,EVEN,"Total Distance (feet): 4,025.667",# of Attempts: 159
Approaches from 50-125 yards,21' 0,161,EVEN,"Total Distance (feet): 3,640.167",# of Attempts: 173
Approaches from 100-125 yards,23' 1,159,EVEN,"Total Distance (feet): 2,396.667",# of Attempts: 104
Approaches from 75-100 yards,18' 9,121,EVEN,"Total Distance (feet): 1,032.417",# of Attempts: 55
Approaches from 50-75 yards,15' 1,79,EVEN,Total Distance (feet): 211.083,# of Attempts: 14
Approaches from inside 100 yards,18' 0,121,EVEN,"Total Distance (feet): 1,278.583",# of Attempts: 71
Approaches from > 100 yards,33' 5,40,EVEN,"Total Distance (feet): 23,847.500",# of Attempts: 713
Fairway Proximity,32' 1,46,EVEN,: ,Attempts: 784
Rough Proximity,43' 10,58,EVEN,"Total Distance (inches): 110,021",Attempts: 209
Left Rough Proximity,41' 11,46,EVEN,: ,Attempts: 98
Right Rough Proximity,45' 7,92,EVEN,: ,Attempts: 111
Approaches from > 275 yards (Rgh),60' 3,12,EVEN,Total Distance (feet): 120.417,# of Attempts: 2
Approaches from 250-275 yards (Rgh),64' 11,32,EVEN,Total Distance (feet): 259.500,# of Attempts: 4
Approaches from 225-250 yards (Rgh),81' 2,139,EVEN,Total Distance (feet): 486.750,# of Attempts: 6
Approaches from 200-225 yards (Rgh),72' 11,140,EVEN,"Total Distance (feet): 1,093.333",# of Attempts: 15
Approaches from > 100 yards (Rgh),48' 4,86,EVEN,"Total Distance (feet): 8,173.000",# of Attempts: 169
Approaches from inside 100 yards (Rgh),24' 11,95,EVEN,Total Distance (feet): 995.417,# of Attempts: 40
Approaches from > 200 yards (Rgh),72' 7,96,EVEN,"Total Distance (feet): 1,960.000",# of Attempts: 27
Approaches from 175-200 yards (Rgh),57' 3,136,EVEN,"Total Distance (feet): 1,718.417",# of Attempts: 30
Approaches from 150-175 yards (Rgh),50' 4,150,EVEN,"Total Distance (feet): 1,810.583",# of Attempts: 36
Approaches from 125-150 yards (Rgh),40' 0,124,EVEN,"Total Distance (feet): 1,598.500",# of Attempts: 40
Approaches from 50-125 yards (Rgh),27' 2,73,EVEN,"Total Distance (feet): 1,930.250",# of Attempts: 71
Approaches from 100-125 yards (Rgh),30' 2,73,EVEN,"Total Distance (feet): 1,085.500",# of Attempts: 36
Approaches from 75-100 yards (Rgh),26' 1,99,EVEN,Total Distance (feet): 626.667,# of Attempts: 24
Approaches from 50-75 yards (Rgh),19' 10,54,EVEN,Total Distance (feet): 218.083,# of Attempts: 11
Going for the Green,63.98%,50,EVEN,Attempts: 151,Non-Attempts: 85
Going for the Green - Hit Green Pct.,27.74%,30,EVEN,Successes: 43,Attempts: 155
Going for the Green - Birdie or Better,61.94%,52,EVEN,# of Birdie or Better: 96,Attempts: 155
Total Hole Outs,14,36,EVEN,: ,: 
Longest Hole Outs (in yards),203,7,EVEN,Tournament: Sentry,Round- Course: 4
Scrambling,55.90%,150,EVEN,Par or Better: 199,Missed GIR: 356
Scrambling from the Rough,50.48%,155,EVEN,Successes: 53,Attempts: 105
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,25.71%,125,EVEN,Successes: 18,Attempts: 70
Scrambling from 20-30 yards,47.89%,133,EVEN,Successes: 34,Attempts: 71
Scrambling from 10-20 yards,59.69%,154,EVEN,Successes: 77,Attempts: 129
Scrambling from < 10 yards,91.30%,37,EVEN,Successes: 63,Attempts: 69
Sand Save Percentage,54.74%,129,EVEN,# Saves: 52,# Bunkers: 95
Proximity to Hole from Sand,9' 1,78,EVEN,Total Distance (feet): 765.000,# of Shots: 84
Total Putting,219.8,123,EVEN,: ,: 
Putting Average,1.775,133,EVEN,"GIR Putts: 1,413",Greens Hit: 796
Overall Putting Average,1.642,159,EVEN,"# of Putts: 1,892","# of Holes: 1,152"
Birdie or Better Conversion Percentage,30.90%,105,EVEN,# Birdies: 245,Greens Hit: 793
Putts Per Round,29.56,159,EVEN,"Total Putts: 1,892",Total Rounds: 64
Putts per Round - Round 1,30.11,162,EVEN,Total Putts: 542,Total Rounds: 18
Putts per Round - Round 2,29.67,151,EVEN,Total Putts: 534,Total Rounds: 18
Putts per Round - Round 3,28.71,82,EVEN,Total Putts: 402,Total Rounds: 14
Putts per Round - Round 4,29.57,135,EVEN,Total Putts: 414,Total Rounds: 14
One-Putt Percentage,36.81%,160,EVEN,# of 1 putts: 424,"# of holes: 1,152"
Longest Putts,47' 3,130,EVEN,Year/Tourn#: Sony Open,Round: 3
3-Putt Avoidance,3.47%,143,EVEN,Total 3 Putts: 40,"Total Holes (overall): 1,152"
Putting from - > 25',4.50%,117,EVEN,Attempts: 311,Putts made: 14
Putting from - 20-25',15.73%,37,EVEN,Attempts: 89,Putts made: 14
Putting from - 15-20',15.89%,126,EVEN,Attempts: 107,Putts made: 17
Putting from - 10-15',33.74%,41,EVEN,Attempts: 163,Putts made: 55
Putting - Inside 10',87.47%,111,EVEN,"Attempts: 1,125",Putts made: 984
Putting from 10',45.71%,49,EVEN,Attempts: 35,: 
Putting from 9',24.24%,168,EVEN,Attempts: 33,: 
Putting from 8',45.10%,141,EVEN,Attempts: 51,: 
Putting from 7',62.50%,68,EVEN,Attempts: 56,: 
Putting from 6',69.23%,105,EVEN,Attempts: 65,: 
Putting from 5',80.23%,101,EVEN,Attempts: 86,: 
Putting from 4-8',66.67%,113,EVEN,Attempts: 258,Putts made: 172
Putting from 4',91.51%,100,EVEN,Attempts: 106,: 
Putting from 3',99.71%,66,EVEN,Attempts: 693,: 
Average Distance of Putts made,69' 7,121,EVEN,"Total Dist. (inches): 50,937",Total Rounds: 61
Approach Putt Performance,2' 2,44,EVEN,: ,Attempts: 675
Scoring Average (Adjusted),70.562,37,EVEN,"Total Strokes: 4,492",Total Adjustment: 23.982
Scoring Average (Actual),70.19,59,EVEN,"Total Strokes: 4,492",Total Rounds: 64
Lowest Round,62,9,EVEN,Tourn/Course: Travelers/TPC R,Round: 3
Birdie Average,3.89,60,EVEN,# of Birdies: 249,Total Rounds: 64
Total Birdies,249,22,EVEN,: ,: 
Eagles (Holes per),144.0,55,EVEN,"# of Holes: 1,152",# of Eagles: 8
Total Eagles,8,23,EVEN,: ,: 
Par Breakers,22.31%,58,EVEN,# Birdies/Eagles: 257,"# Holes: 1,152"
Bounce Back,15.91%,163,EVEN,: ,: 
Par 3 Birdie or Better Leaders,14.84%,37,EVEN,Par 3 Birdies or Better: 38,Par 3 Holes: 256
Par 4 Birdie or Better Leaders,17.39%,75,EVEN,Par 4 Birdies or Better: 121,Par 4 Holes: 696
Par 5 Birdie or Better Leaders,49.00%,47,EVEN,Par 5 Birdies or Better: 98,Par 5 Holes: 200
Birdie or Better Percentage,22.31%,58,EVEN,Total Birdies: 257,"Total Holes: 1,152"
Bogey Avoidance,16.41%,109,EVEN,Bogeys: 189,"Holes Played: 1,152"
Final Round Scoring Average,69.43,26,EVEN,Total Strokes: 972,Total Rounds: 14
Final Round Performance,64.29%,43,EVEN,: ,: 
Round 1 Scoring Average,70.06,62,EVEN,"Total Strokes: 1,261",Total Rounds: 18
Round 2 Scoring Average,70.61,111,EVEN,"Total Strokes: 1,271",Total Rounds: 18
Round 3 Scoring Average,70.57,105,EVEN,Total Strokes: 988,Total Rounds: 14
Round 4 Scoring Average,69.43,26,EVEN,Total Strokes: 972,Total Rounds: 14
Par 3 Scoring Average,3.05,64,EVEN,Total Strokes: 781,Total Holes: 256
Par 4 Scoring Average,4.03,96,EVEN,"Total Strokes: 2,802",Total Holes: 696
Par 5 Scoring Average,4.55,26,EVEN,Total Strokes: 909,Total Holes: 200
Front 9 Scoring Average,34.73,26,EVEN,"Total Strokes: 2,223",Total Holes: 64
Back 9 Scoring Average,35.45,125,EVEN,"Total Strokes: 2,269",Total Holes: 64
Early Scoring Average,70.42,98,EVEN,"Total Strokes: 2,324",Total Early Rounds: 33
Late Scoring Average,69.94,33,EVEN,"Total Strokes: 2,168",Total Late Rounds: 31
Consecutive Cuts,6,23,EVEN,: ,: 
Current Streak without a 3-Putt,49,61,EVEN,: ,: 
Consecutive Fairways Hit,11,160,EVEN,Current Streak: 0,: 
Consecutive GIR,31,2,EVEN,Current Streak: 0,Round: 3
Consecutive Sand Saves,5,144,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,10,10,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,165,46,EVEN,Current Streak: 49,: 
YTD Par or Better Streak,17,15,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,70,EVEN,: ,: 
Official Money,"$3,296,030",33,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,975,34,EVEN,# of Wins: 0,# of Top 10's: 4
