Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.418,54,EVEN,Total SG:T: 25.485,Measured Rounds: 61
SG: Tee-to-Green,0.165,81,EVEN,SG:OTT: 0.238,Measured Rounds: 61
SG: Off-the-Tee,0.238,48,EVEN,Total SG:OTT: 14.546,Measured Rounds: 61
SG: Approach the Green,-0.068,114,EVEN,Total SG:APP: -4.159,Measured Rounds: 61
SG: Around-the-Green,-0.005,97,EVEN,Total SG:ARG: -0.305,Measured Rounds: 61
SG: Putting,0.253,36,EVEN,Total SG:Putting: 15.404,Measured Rounds: 61
Longest Drives,420,11,EVEN,Tournament: Sentry,Round: 1
Driving Distance,304.4,63,EVEN,"Total Distance: 38,959",Total Drives: 128
Driving Distance - All Drives,296.2,61,EVEN,"Total Distance: 251,746",# of Drives: 850
Driving Accuracy Percentage,57.62%,111,EVEN,Fairways Hit: 514,Possible Fairways: 892
Left Rough Tendency,11.56%,41,EVEN,Total Left rough: 98,Possible Fwys: 848
Right Rough Tendency,18.75%,149,EVEN,Total Right rough: 159,Possible Fwys: 848
Distance from Edge of Fairway,29' 3,94,EVEN,"Total Distance (Feet): 9,981.250",Total Strokes: 341
Club Head Speed,120.03,37,EVEN,"Total Club Head Speed: 30,728.08",Total Attempts: 256
Total Driving Efficiency,264,140,EVEN,: ,Carry Efficiency Rank: 115
Greens in Regulation Percentage,65.89%,82,EVEN,Greens Hit: 759,"# Holes: 1,152"
Proximity to Hole,37' 4,82,EVEN,"Total Distance (feet): 40,589.250","# of Attempts: 1,088"
Approaches from > 275 yards,74' 7,41,EVEN,"Total Distance (feet): 1,043.583",# of Attempts: 14
Approaches from 250-275 yards,74' 11,158,EVEN,"Total Distance (feet): 1,572.833",# of Attempts: 21
Approaches from 225-250 yards,51' 5,108,EVEN,"Total Distance (feet): 2,674.917",# of Attempts: 52
Approaches from 200-225 yards,42' 10,109,EVEN,"Total Distance (feet): 4,543.417",# of Attempts: 106
Approaches from > 200 yards,50' 11,73,EVEN,"Total Distance (feet): 9,834.750",# of Attempts: 193
Approaches from 175-200 yards,33' 3,66,EVEN,"Total Distance (feet): 4,452.333",# of Attempts: 134
Approaches from 150-175 yards,30' 5,146,EVEN,"Total Distance (feet): 4,232.083",# of Attempts: 139
Approaches from 125-150 yards,21' 6,18,EVEN,"Total Distance (feet): 3,012.417",# of Attempts: 140
Approaches from 50-125 yards,18' 7,80,EVEN,"Total Distance (feet): 3,255.000",# of Attempts: 175
Approaches from 100-125 yards,19' 5,64,EVEN,"Total Distance (feet): 1,981.833",# of Attempts: 102
Approaches from 75-100 yards,18' 5,110,EVEN,Total Distance (feet): 956.833,# of Attempts: 52
Approaches from 50-75 yards,15' 1,79,EVEN,Total Distance (feet): 316.333,# of Attempts: 21
Approaches from inside 100 yards,17' 4,99,EVEN,"Total Distance (feet): 1,317.333",# of Attempts: 76
Approaches from > 100 yards,33' 3,34,EVEN,"Total Distance (feet): 23,513.417",# of Attempts: 708
Fairway Proximity,31' 8,32,EVEN,: ,Attempts: 784
Rough Proximity,46' 10,136,EVEN,"Total Distance (inches): 118,617",Attempts: 211
Left Rough Proximity,46' 10,127,EVEN,: ,Attempts: 82
Right Rough Proximity,46' 10,111,EVEN,: ,Attempts: 129
Approaches from > 275 yards (Rgh),108' 8,121,EVEN,Total Distance (feet): 108.667,# of Attempts: 1
Approaches from 250-275 yards (Rgh),65' 3,33,EVEN,Total Distance (feet): 195.750,# of Attempts: 3
Approaches from 225-250 yards (Rgh),74' 9,108,EVEN,Total Distance (feet): 896.750,# of Attempts: 12
Approaches from 200-225 yards (Rgh),71' 1,127,EVEN,Total Distance (feet): 923.583,# of Attempts: 13
Approaches from > 100 yards (Rgh),49' 11,125,EVEN,"Total Distance (feet): 9,227.417",# of Attempts: 185
Approaches from inside 100 yards (Rgh),25' 3,100,EVEN,Total Distance (feet): 657.333,# of Attempts: 26
Approaches from > 200 yards (Rgh),73' 3,99,EVEN,"Total Distance (feet): 2,124.750",# of Attempts: 29
Approaches from 175-200 yards (Rgh),62' 6,157,EVEN,"Total Distance (feet): 2,249.250",# of Attempts: 36
Approaches from 150-175 yards (Rgh),45' 1,98,EVEN,"Total Distance (feet): 2,524.917",# of Attempts: 56
Approaches from 125-150 yards (Rgh),36' 5,79,EVEN,"Total Distance (feet): 1,455.667",# of Attempts: 40
Approaches from 50-125 yards (Rgh),30' 8,135,EVEN,"Total Distance (feet): 1,470.167",# of Attempts: 48
Approaches from 100-125 yards (Rgh),36' 4,145,EVEN,Total Distance (feet): 872.833,# of Attempts: 24
Approaches from 75-100 yards (Rgh),25' 10,94,EVEN,Total Distance (feet): 362.167,# of Attempts: 14
Approaches from 50-75 yards (Rgh),23' 6,95,EVEN,Total Distance (feet): 235.167,# of Attempts: 10
Going for the Green,54.08%,133,EVEN,Attempts: 126,Non-Attempts: 107
Going for the Green - Hit Green Pct.,23.81%,60,EVEN,Successes: 30,Attempts: 126
Going for the Green - Birdie or Better,62.70%,38,EVEN,# of Birdie or Better: 79,Attempts: 126
Total Hole Outs,8,126,EVEN,: ,: 
Longest Hole Outs (in yards),141,40,EVEN,Tournament: U.S. Open,Round- Course: 2
Scrambling,59.54%,95,EVEN,Par or Better: 234,Missed GIR: 393
Scrambling from the Rough,60.29%,55,EVEN,Successes: 82,Attempts: 136
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,36.36%,27,EVEN,Successes: 28,Attempts: 77
Scrambling from 20-30 yards,57.53%,43,EVEN,Successes: 42,Attempts: 73
Scrambling from 10-20 yards,66.67%,75,EVEN,Successes: 102,Attempts: 153
Scrambling from < 10 yards,86.67%,92,EVEN,Successes: 52,Attempts: 60
Sand Save Percentage,58.33%,89,EVEN,# Saves: 63,# Bunkers: 108
Proximity to Hole from Sand,9' 1,78,EVEN,Total Distance (feet): 805.083,# of Shots: 89
Total Putting,130.2,30,EVEN,: ,: 
Putting Average,1.756,88,EVEN,"GIR Putts: 1,333",Greens Hit: 759
Overall Putting Average,1.605,87,EVEN,"# of Putts: 1,849","# of Holes: 1,152"
Birdie or Better Conversion Percentage,31.57%,78,EVEN,# Birdies: 239,Greens Hit: 757
Putts Per Round,28.89,87,EVEN,"Total Putts: 1,849",Total Rounds: 64
Putts per Round - Round 1,29.39,128,EVEN,Total Putts: 529,Total Rounds: 18
Putts per Round - Round 2,28.33,41,EVEN,Total Putts: 510,Total Rounds: 18
Putts per Round - Round 3,28.93,98,EVEN,Total Putts: 405,Total Rounds: 14
Putts per Round - Round 4,28.93,101,EVEN,Total Putts: 405,Total Rounds: 14
One-Putt Percentage,40.89%,59,EVEN,# of 1 putts: 471,"# of holes: 1,152"
Longest Putts,53' 0,82,EVEN,Year/Tourn#: WM Phoenix Open,Round: 2
3-Putt Avoidance,2.69%,79,EVEN,Total 3 Putts: 31,"Total Holes (overall): 1,152"
Putting from - > 25',3.21%,152,EVEN,Attempts: 280,Putts made: 9
Putting from - 20-25',13.98%,56,EVEN,Attempts: 93,Putts made: 13
Putting from - 15-20',17.53%,105,EVEN,Attempts: 97,Putts made: 17
Putting from - 10-15',32.93%,52,EVEN,Attempts: 164,Putts made: 54
Putting - Inside 10',88.94%,39,EVEN,"Attempts: 1,121",Putts made: 997
Putting from 10',48.72%,30,EVEN,Attempts: 39,: 
Putting from 9',37.25%,134,EVEN,Attempts: 51,: 
Putting from 8',63.04%,24,EVEN,Attempts: 46,: 
Putting from 7',61.70%,79,EVEN,Attempts: 47,: 
Putting from 6',77.63%,26,EVEN,Attempts: 76,: 
Putting from 5',81.48%,87,EVEN,Attempts: 81,: 
Putting from 4-8',73.20%,26,EVEN,Attempts: 250,Putts made: 183
Putting from 4',96.43%,18,EVEN,Attempts: 112,: 
Putting from 3',99.85%,25,EVEN,Attempts: 669,: 
Average Distance of Putts made,70' 1,110,EVEN,"Total Dist. (inches): 51,290",Total Rounds: 61
Approach Putt Performance,2' 3,92,EVEN,: ,Attempts: 635
Scoring Average (Adjusted),70.734,52,EVEN,"Total Strokes: 4,505",Total Adjustment: 22.006
Scoring Average (Actual),70.39,93,EVEN,"Total Strokes: 4,505",Total Rounds: 64
Lowest Round,64,70,EVEN,Tourn/Course: WM Phoenix Open,Round: 2
Birdie Average,3.73,106,EVEN,# of Birdies: 239,Total Rounds: 64
Total Birdies,239,32,EVEN,: ,: 
Eagles (Holes per),192.0,91,EVEN,"# of Holes: 1,152",# of Eagles: 6
Total Eagles,6,60,EVEN,: ,: 
Par Breakers,21.27%,102,EVEN,# Birdies/Eagles: 245,"# Holes: 1,152"
Bounce Back,21.91%,79,EVEN,: ,: 
Par 3 Birdie or Better Leaders,12.69%,112,EVEN,Par 3 Birdies or Better: 33,Par 3 Holes: 260
Par 4 Birdie or Better Leaders,17.83%,59,EVEN,Par 4 Birdies or Better: 123,Par 4 Holes: 690
Par 5 Birdie or Better Leaders,44.06%,120,EVEN,Par 5 Birdies or Better: 89,Par 5 Holes: 202
Birdie or Better Percentage,21.27%,102,EVEN,Total Birdies: 245,"Total Holes: 1,152"
Bogey Avoidance,16.06%,96,EVEN,Bogeys: 185,"Holes Played: 1,152"
Final Round Scoring Average,69.93,56,EVEN,Total Strokes: 979,Total Rounds: 14
Final Round Performance,60.00%,60,EVEN,: ,: 
Round 1 Scoring Average,71.11,142,EVEN,"Total Strokes: 1,280",Total Rounds: 18
Round 2 Scoring Average,70.00,56,EVEN,"Total Strokes: 1,260",Total Rounds: 18
Round 3 Scoring Average,70.43,94,EVEN,Total Strokes: 986,Total Rounds: 14
Round 4 Scoring Average,69.93,56,EVEN,Total Strokes: 979,Total Rounds: 14
Par 3 Scoring Average,3.08,106,EVEN,Total Strokes: 802,Total Holes: 260
Par 4 Scoring Average,3.99,21,EVEN,"Total Strokes: 2,755",Total Holes: 690
Par 5 Scoring Average,4.69,152,EVEN,Total Strokes: 948,Total Holes: 202
Front 9 Scoring Average,35.41,137,EVEN,"Total Strokes: 2,266",Total Holes: 64
Back 9 Scoring Average,34.98,28,EVEN,"Total Strokes: 2,239",Total Holes: 64
Early Scoring Average,70.76,132,EVEN,"Total Strokes: 2,406",Total Early Rounds: 34
Late Scoring Average,69.97,35,EVEN,"Total Strokes: 2,099",Total Late Rounds: 30
Consecutive Cuts,4,43,EVEN,: ,: 
Current Streak without a 3-Putt,74,30,EVEN,: ,: 
Consecutive Fairways Hit,11,160,EVEN,Current Streak: 6,: 
Consecutive GIR,16,91,EVEN,Current Streak: 0,Round: 1
Consecutive Sand Saves,7,62,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,7,91,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,190,28,EVEN,Current Streak: 74,: 
YTD Par or Better Streak,8,112,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,5,10,EVEN,: ,: 
Consecutive Birdies Streak,4,40,EVEN,: ,: 
Consecutive Birdies/Eagles streak,5,2,EVEN,: ,: 
Official Money,"$3,421,380",30,EVEN,: ,YTD Victories: 1
Comcast Business TOUR TOP 10,"1,062",28,EVEN,# of Wins: 1,# of Top 10's: 2
