Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.245,130,EVEN,Total SG:T: -11.769,Measured Rounds: 48
SG: Tee-to-Green,0.475,45,EVEN,SG:OTT: 0.484,Measured Rounds: 48
SG: Off-the-Tee,0.484,16,EVEN,Total SG:OTT: 23.216,Measured Rounds: 48
SG: Approach the Green,0.316,37,EVEN,Total SG:APP: 15.179,Measured Rounds: 48
SG: Around-the-Green,-0.325,156,EVEN,Total SG:ARG: -15.581,Measured Rounds: 48
SG: Putting,-0.720,163,EVEN,Total SG:Putting: -34.584,Measured Rounds: 48
Longest Drives,375,161,EVEN,Tournament: ISCO Championship,Round: 2
Driving Distance,312.7,25,EVEN,"Total Distance: 36,894",Total Drives: 118
Driving Distance - All Drives,297.2,50,EVEN,"Total Distance: 197,326",# of Drives: 664
Driving Accuracy Percentage,62.22%,47,EVEN,Fairways Hit: 509,Possible Fairways: 818
Left Rough Tendency,13.01%,83,EVEN,Total Left rough: 86,Possible Fwys: 661
Right Rough Tendency,18.46%,152,EVEN,Total Right rough: 122,Possible Fwys: 661
Distance from Edge of Fairway,27' 6,81,EVEN,"Total Distance (Feet): 6,711.667",Total Strokes: 244
Club Head Speed,119.93,38,EVEN,"Total Club Head Speed: 27,343.84",Total Attempts: 228
Total Driving Efficiency,214,111,EVEN,: ,Carry Efficiency Rank: 130
Greens in Regulation Percentage,71.09%,9,EVEN,Greens Hit: 755,"# Holes: 1,062"
Proximity to Hole,35' 5,22,EVEN,"Total Distance (feet): 30,450.667",# of Attempts: 859
Approaches from > 275 yards,83' 3,86,EVEN,"Total Distance (feet): 1,082.167",# of Attempts: 13
Approaches from 250-275 yards,45' 1,1,EVEN,Total Distance (feet): 765.750,# of Attempts: 17
Approaches from 225-250 yards,52' 10,129,EVEN,"Total Distance (feet): 2,060.583",# of Attempts: 39
Approaches from 200-225 yards,39' 9,55,EVEN,"Total Distance (feet): 3,337.833",# of Attempts: 84
Approaches from > 200 yards,47' 4,27,EVEN,"Total Distance (feet): 7,246.333",# of Attempts: 153
Approaches from 175-200 yards,29' 6,7,EVEN,"Total Distance (feet): 3,422.750",# of Attempts: 116
Approaches from 150-175 yards,24' 5,6,EVEN,"Total Distance (feet): 3,079.417",# of Attempts: 126
Approaches from 125-150 yards,23' 5,84,EVEN,"Total Distance (feet): 2,461.417",# of Attempts: 105
Approaches from 50-125 yards,18' 8,95,EVEN,"Total Distance (feet): 2,413.333",# of Attempts: 129
Approaches from 100-125 yards,18' 2,29,EVEN,"Total Distance (feet): 1,091.500",# of Attempts: 60
Approaches from 75-100 yards,19' 6,138,EVEN,"Total Distance (feet): 1,035.500",# of Attempts: 53
Approaches from 50-75 yards,17' 11,119,EVEN,Total Distance (feet): 286.333,# of Attempts: 16
Approaches from inside 100 yards,18' 10,141,EVEN,"Total Distance (feet): 1,338.583",# of Attempts: 71
Approaches from > 100 yards,30' 11,6,EVEN,"Total Distance (feet): 17,301.417",# of Attempts: 560
Fairway Proximity,29' 6,6,EVEN,: ,Attempts: 631
Rough Proximity,47' 11,149,EVEN,"Total Distance (inches): 104,567",Attempts: 182
Left Rough Proximity,48' 9,155,EVEN,: ,Attempts: 77
Right Rough Proximity,47' 3,116,EVEN,: ,Attempts: 105
