Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.962,19,EVEN,Total SG:T: 40.424,Measured Rounds: 42
SG: Tee-to-Green,0.498,46,EVEN,SG:OTT: 0.133,Measured Rounds: 42
SG: Off-the-Tee,0.133,77,EVEN,Total SG:OTT: 5.593,Measured Rounds: 42
SG: Approach the Green,0.307,39,EVEN,Total SG:APP: 12.891,Measured Rounds: 42
SG: Around-the-Green,0.058,74,EVEN,Total SG:ARG: 2.432,Measured Rounds: 42
SG: Putting,0.464,15,EVEN,Total SG:Putting: 19.506,Measured Rounds: 42
Longest Drives,371,146,EVEN,Tournament: RBC Canadian,Round: 4
Driving Distance,305.0,56,EVEN,"Total Distance: 25,618",Total Drives: 84
Driving Distance - All Drives,296.0,63,EVEN,"Total Distance: 171,095",# of Drives: 578
Driving Accuracy Percentage,61.94%,56,EVEN,Fairways Hit: 358,Possible Fairways: 578
Left Rough Tendency,11.11%,29,EVEN,Total Left rough: 64,Possible Fwys: 576
Right Rough Tendency,17.36%,123,EVEN,Total Right rough: 100,Possible Fwys: 576
Distance from Edge of Fairway,25' 10,51,EVEN,"Total Distance (Feet): 5,270.167",Total Strokes: 204
Club Head Speed,116.62,81,EVEN,"Total Club Head Speed: 22,974.98",Total Attempts: 197
Total Driving Efficiency,85,38,EVEN,: ,Carry Efficiency Rank: 31
Greens in Regulation Percentage,68.25%,38,EVEN,Greens Hit: 516,# Holes: 756
Proximity to Hole,37' 7,97,EVEN,"Total Distance (feet): 28,338.583",# of Attempts: 754
Approaches from > 275 yards,63' 6,9,EVEN,"Total Distance (feet): 1,206.750",# of Attempts: 19
Approaches from 250-275 yards,54' 4,22,EVEN,Total Distance (feet): 760.833,# of Attempts: 14
Approaches from 225-250 yards,46' 11,30,EVEN,"Total Distance (feet): 2,251.167",# of Attempts: 48
Approaches from 200-225 yards,44' 6,135,EVEN,"Total Distance (feet): 2,894.750",# of Attempts: 65
Approaches from > 200 yards,48' 9,34,EVEN,"Total Distance (feet): 7,113.500",# of Attempts: 146
Approaches from 175-200 yards,31' 11,36,EVEN,"Total Distance (feet): 3,667.750",# of Attempts: 115
Approaches from 150-175 yards,30' 6,149,EVEN,"Total Distance (feet): 3,113.000",# of Attempts: 102
Approaches from 125-150 yards,25' 8,150,EVEN,"Total Distance (feet): 2,054.000",# of Attempts: 80
Approaches from 50-125 yards,18' 6,74,EVEN,"Total Distance (feet): 2,032.917",# of Attempts: 110
Approaches from 100-125 yards,19' 7,73,EVEN,"Total Distance (feet): 1,057.500",# of Attempts: 54
Approaches from 75-100 yards,18' 4,107,EVEN,Total Distance (feet): 696.333,# of Attempts: 38
Approaches from 50-75 yards,15' 6,88,EVEN,Total Distance (feet): 279.083,# of Attempts: 18
Approaches from inside 100 yards,16' 11,83,EVEN,Total Distance (feet): 981.333,# of Attempts: 58
Approaches from > 100 yards,34' 3,82,EVEN,"Total Distance (feet): 17,005.750",# of Attempts: 497
Fairway Proximity,32' 5,62,EVEN,: ,Attempts: 555
Rough Proximity,49' 10,166,EVEN,"Total Distance (inches): 92,077",Attempts: 154
Left Rough Proximity,46' 10,127,EVEN,: ,Attempts: 64
Right Rough Proximity,51' 11,164,EVEN,: ,Attempts: 90
Approaches from > 275 yards (Rgh),84' 7,52,EVEN,Total Distance (feet): 507.250,# of Attempts: 6
Approaches from 250-275 yards (Rgh),78' 2,89,EVEN,Total Distance (feet): 390.833,# of Attempts: 5
Approaches from 225-250 yards (Rgh),60' 9,33,EVEN,Total Distance (feet): 910.833,# of Attempts: 15
Approaches from 200-225 yards (Rgh),72' 7,137,EVEN,Total Distance (feet): 580.750,# of Attempts: 8
Approaches from > 100 yards (Rgh),54' 0,167,EVEN,"Total Distance (feet): 7,181.833",# of Attempts: 133
Approaches from inside 100 yards (Rgh),23' 5,70,EVEN,Total Distance (feet): 491.250,# of Attempts: 21
Approaches from > 200 yards (Rgh),70' 3,62,EVEN,"Total Distance (feet): 2,389.667",# of Attempts: 34
Approaches from 175-200 yards (Rgh),63' 1,158,EVEN,"Total Distance (feet): 1,702.833",# of Attempts: 27
Approaches from 150-175 yards (Rgh),48' 11,142,EVEN,"Total Distance (feet): 1,517.500",# of Attempts: 31
Approaches from 125-150 yards (Rgh),37' 5,90,EVEN,Total Distance (feet): 898.417,# of Attempts: 24
Approaches from 50-125 yards (Rgh),31' 11,152,EVEN,"Total Distance (feet): 1,116.000",# of Attempts: 35
Approaches from 100-125 yards (Rgh),39' 7,164,EVEN,Total Distance (feet): 673.417,# of Attempts: 17
Approaches from 75-100 yards (Rgh),15' 0,2,EVEN,Total Distance (feet): 104.833,# of Attempts: 7
Approaches from 50-75 yards (Rgh),30' 8,148,EVEN,Total Distance (feet): 337.750,# of Attempts: 11
Going for the Green,57.49%,99,EVEN,Attempts: 96,Non-Attempts: 71
Going for the Green - Hit Green Pct.,31.25%,10,EVEN,Successes: 30,Attempts: 96
Going for the Green - Birdie or Better,62.50%,40,EVEN,# of Birdie or Better: 60,Attempts: 96
Total Hole Outs,5,161,EVEN,: ,: 
Longest Hole Outs (in yards),15,207,EVEN,Tournament: Charles Schwab,Round- Course: 4
Scrambling,61.67%,49,EVEN,Par or Better: 148,Missed GIR: 240
Scrambling from the Rough,65.35%,12,EVEN,Successes: 66,Attempts: 101
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,26.00%,123,EVEN,Successes: 13,Attempts: 50
Scrambling from 20-30 yards,53.33%,90,EVEN,Successes: 32,Attempts: 60
Scrambling from 10-20 yards,77.17%,3,EVEN,Successes: 71,Attempts: 92
Scrambling from < 10 yards,86.49%,99,EVEN,Successes: 32,Attempts: 37
Sand Save Percentage,48.05%,164,EVEN,# Saves: 37,# Bunkers: 77
Proximity to Hole from Sand,10' 4,135,EVEN,Total Distance (feet): 733.000,# of Shots: 71
Total Putting,112.8,21,EVEN,: ,: 
Putting Average,1.758,93,EVEN,GIR Putts: 907,Greens Hit: 516
Overall Putting Average,1.615,112,EVEN,"# of Putts: 1,221",# of Holes: 756
Birdie or Better Conversion Percentage,31.26%,90,EVEN,# Birdies: 161,Greens Hit: 515
Putts Per Round,29.07,113,EVEN,"Total Putts: 1,221",Total Rounds: 42
Putts per Round - Round 1,28.25,32,EVEN,Total Putts: 339,Total Rounds: 12
Putts per Round - Round 2,29.50,142,EVEN,Total Putts: 354,Total Rounds: 12
Putts per Round - Round 3,30.33,160,EVEN,Total Putts: 273,Total Rounds: 9
Putts per Round - Round 4,28.33,49,EVEN,Total Putts: 255,Total Rounds: 9
One-Putt Percentage,39.02%,123,EVEN,# of 1 putts: 295,# of holes: 756
Longest Putts,35' 5,241,EVEN,Year/Tourn#: Houston Open,Round: 1
3-Putt Avoidance,1.85%,16,EVEN,Total 3 Putts: 14,Total Holes (overall): 756
Putting from - > 25',5.74%,68,EVEN,Attempts: 209,Putts made: 12
Putting from - 20-25',19.61%,10,EVEN,Attempts: 51,Putts made: 10
Putting from - 15-20',21.92%,45,EVEN,Attempts: 73,Putts made: 16
Putting from - 10-15',31.90%,67,EVEN,Attempts: 116,Putts made: 37
Putting - Inside 10',87.56%,107,EVEN,Attempts: 772,Putts made: 676
Putting from 10',37.50%,105,EVEN,Attempts: 32,: 
Putting from 9',48.72%,61,EVEN,Attempts: 39,: 
Putting from 8',64.86%,15,EVEN,Attempts: 37,: 
Putting from 7',50.00%,152,EVEN,Attempts: 36,: 
Putting from 6',63.16%,148,EVEN,Attempts: 38,: 
Putting from 5',87.93%,26,EVEN,Attempts: 58,: 
Putting from 4-8',69.23%,86,EVEN,Attempts: 169,Putts made: 117
Putting from 4',97.37%,7,EVEN,Attempts: 76,: 
Putting from 3',99.56%,100,EVEN,Attempts: 456,: 
Average Distance of Putts made,77' 1,23,EVEN,"Total Dist. (inches): 38,869",Total Rounds: 42
Approach Putt Performance,2' 4,121,EVEN,: ,Attempts: 456
Scoring Average (Adjusted),69.942,4,EVEN,"Total Strokes: 2,923",Total Adjustment: 14.572
Scoring Average (Actual),69.60,10,EVEN,"Total Strokes: 2,923",Total Rounds: 42
Lowest Round,61,2,EVEN,Tourn/Course: RBC Canadian/TP,Round: 1
Birdie Average,3.79,86,EVEN,# of Birdies: 159,Total Rounds: 42
Total Birdies,159,135,EVEN,: ,: 
Eagles (Holes per),108.0,17,EVEN,# of Holes: 756,# of Eagles: 7
Total Eagles,7,36,EVEN,: ,: 
Par Breakers,21.96%,74,EVEN,# Birdies/Eagles: 166,# Holes: 756
Bounce Back,23.53%,45,EVEN,: ,: 
Par 3 Birdie or Better Leaders,13.48%,80,EVEN,Par 3 Birdies or Better: 24,Par 3 Holes: 178
Par 4 Birdie or Better Leaders,17.71%,64,EVEN,Par 4 Birdies or Better: 79,Par 4 Holes: 446
Par 5 Birdie or Better Leaders,47.73%,66,EVEN,Par 5 Birdies or Better: 63,Par 5 Holes: 132
Birdie or Better Percentage,21.96%,74,EVEN,Total Birdies: 166,Total Holes: 756
Bogey Avoidance,14.02%,22,EVEN,Bogeys: 106,Holes Played: 756
Final Round Scoring Average,69.22,16,EVEN,Total Strokes: 623,Total Rounds: 9
Final Round Performance,66.67%,30,EVEN,: ,: 
Round 1 Scoring Average,69.25,24,EVEN,Total Strokes: 831,Total Rounds: 12
Round 2 Scoring Average,69.58,26,EVEN,Total Strokes: 835,Total Rounds: 12
Round 3 Scoring Average,70.44,96,EVEN,Total Strokes: 634,Total Rounds: 9
Round 4 Scoring Average,69.22,16,EVEN,Total Strokes: 623,Total Rounds: 9
Par 3 Scoring Average,2.98,6,EVEN,Total Strokes: 530,Total Holes: 178
Par 4 Scoring Average,4.02,75,EVEN,"Total Strokes: 1,793",Total Holes: 446
Par 5 Scoring Average,4.55,26,EVEN,Total Strokes: 600,Total Holes: 132
Front 9 Scoring Average,34.52,7,EVEN,"Total Strokes: 1,450",Total Holes: 42
Back 9 Scoring Average,35.07,40,EVEN,"Total Strokes: 1,473",Total Holes: 42
Early Scoring Average,69.74,40,EVEN,"Total Strokes: 1,604",Total Early Rounds: 23
Late Scoring Average,69.42,10,EVEN,"Total Strokes: 1,319",Total Late Rounds: 19
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,5,353,EVEN,: ,: 
Consecutive Fairways Hit,9,225,EVEN,Current Streak: 3,: 
Consecutive GIR,17,80,EVEN,Current Streak: 6,Round: 4
Consecutive Sand Saves,5,144,EVEN,Current Streak: 0,Round: 2
Best YTD 1-Putt or Better Streak,7,91,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,154,64,EVEN,Current Streak: 5,: 
YTD Par or Better Streak,6,164,EVEN,: ,: 
Consecutive Par 3 Birdies,3,12,EVEN,: ,: 
Consecutive Holes Below Par,3,162,EVEN,: ,: 
Consecutive Birdies Streak,3,158,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,70,EVEN,: ,: 
Official Money,"$738,497",122,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,251,117,EVEN,# of Wins: 0,# of Top 10's: 2
