Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.688,28,EVEN,Total SG:T: 39.923,Measured Rounds: 58
SG: Tee-to-Green,0.330,57,EVEN,SG:OTT: 0.172,Measured Rounds: 58
SG: Off-the-Tee,0.172,61,EVEN,Total SG:OTT: 9.974,Measured Rounds: 58
SG: Approach the Green,0.121,73,EVEN,Total SG:APP: 7.046,Measured Rounds: 58
SG: Around-the-Green,0.036,74,EVEN,Total SG:ARG: 2.090,Measured Rounds: 58
SG: Putting,0.359,23,EVEN,Total SG:Putting: 20.810,Measured Rounds: 58
Longest Drives,371,197,EVEN,Tournament: RBC Canadian,Round: 4
Driving Distance,306.3,63,EVEN,"Total Distance: 36,755",Total Drives: 120
Driving Distance - All Drives,295.5,68,EVEN,"Total Distance: 235,819",# of Drives: 798
Driving Accuracy Percentage,61.74%,52,EVEN,Fairways Hit: 510,Possible Fairways: 826
Left Rough Tendency,10.43%,14,EVEN,Total Left rough: 83,Possible Fwys: 796
Right Rough Tendency,16.21%,107,EVEN,Total Right rough: 129,Possible Fwys: 796
Distance from Edge of Fairway,26' 5,68,EVEN,"Total Distance (Feet): 7,481.083",Total Strokes: 283
Club Head Speed,116.38,86,EVEN,"Total Club Head Speed: 29,675.97",Total Attempts: 255
Total Driving Efficiency,91,41,EVEN,: ,Carry Efficiency Rank: 43
Greens in Regulation Percentage,69.63%,21,EVEN,Greens Hit: 752,"# Holes: 1,080"
Proximity to Hole,37' 4,96,EVEN,"Total Distance (feet): 38,864.333","# of Attempts: 1,040"
Approaches from > 275 yards,67' 0,11,EVEN,"Total Distance (feet): 1,541.833",# of Attempts: 23
Approaches from 250-275 yards,52' 2,13,EVEN,Total Distance (feet): 938.583,# of Attempts: 18
Approaches from 225-250 yards,45' 9,22,EVEN,"Total Distance (feet): 2,560.833",# of Attempts: 56
Approaches from 200-225 yards,45' 7,152,EVEN,"Total Distance (feet): 3,963.583",# of Attempts: 87
Approaches from > 200 yards,48' 11,49,EVEN,"Total Distance (feet): 9,004.833",# of Attempts: 184
Approaches from 175-200 yards,31' 4,28,EVEN,"Total Distance (feet): 4,701.500",# of Attempts: 150
Approaches from 150-175 yards,31' 1,154,EVEN,"Total Distance (feet): 4,439.250",# of Attempts: 143
Approaches from 125-150 yards,25' 5,150,EVEN,"Total Distance (feet): 2,816.917",# of Attempts: 111
Approaches from 50-125 yards,18' 4,80,EVEN,"Total Distance (feet): 2,765.167",# of Attempts: 151
Approaches from 100-125 yards,19' 9,94,EVEN,"Total Distance (feet): 1,601.833",# of Attempts: 81
Approaches from 75-100 yards,17' 5,80,EVEN,Total Distance (feet): 853.083,# of Attempts: 49
Approaches from 50-75 yards,14' 9,70,EVEN,Total Distance (feet): 310.250,# of Attempts: 21
Approaches from inside 100 yards,16' 3,62,EVEN,"Total Distance (feet): 1,169.250",# of Attempts: 72
Approaches from > 100 yards,33' 9,91,EVEN,"Total Distance (feet): 22,564.333",# of Attempts: 669
Fairway Proximity,32' 0,77,EVEN,: ,Attempts: 741
Rough Proximity,49' 4,159,EVEN,"Total Distance (inches): 114,821",Attempts: 194
Left Rough Proximity,46' 5,130,EVEN,: ,Attempts: 81
Right Rough Proximity,51' 5,158,EVEN,: ,Attempts: 113
Approaches from > 275 yards (Rgh),84' 7,49,EVEN,Total Distance (feet): 507.250,# of Attempts: 6
Approaches from 250-275 yards (Rgh),69' 1,50,EVEN,Total Distance (feet): 483.333,# of Attempts: 7
Approaches from 225-250 yards (Rgh),68' 5,62,EVEN,"Total Distance (feet): 1,163.250",# of Attempts: 17
Approaches from 200-225 yards (Rgh),79' 7,158,EVEN,Total Distance (feet): 716.583,# of Attempts: 9
Approaches from > 100 yards (Rgh),52' 5,160,EVEN,"Total Distance (feet): 8,915.167",# of Attempts: 170
Approaches from inside 100 yards (Rgh),27' 3,116,EVEN,Total Distance (feet): 653.250,# of Attempts: 24
Approaches from > 200 yards (Rgh),73' 7,99,EVEN,"Total Distance (feet): 2,870.417",# of Attempts: 39
Approaches from 175-200 yards (Rgh),59' 7,141,EVEN,"Total Distance (feet): 2,203.167",# of Attempts: 37
Approaches from 150-175 yards (Rgh),48' 4,128,EVEN,"Total Distance (feet): 1,787.083",# of Attempts: 37
Approaches from 125-150 yards (Rgh),37' 2,78,EVEN,"Total Distance (feet): 1,152.500",# of Attempts: 31
Approaches from 50-125 yards (Rgh),32' 1,142,EVEN,"Total Distance (feet): 1,506.583",# of Attempts: 47
Approaches from 100-125 yards (Rgh),34' 8,126,EVEN,Total Distance (feet): 902.000,# of Attempts: 26
Approaches from 75-100 yards (Rgh),24' 6,58,EVEN,Total Distance (feet): 220.750,# of Attempts: 9
Approaches from 50-75 yards (Rgh),32' 0,143,EVEN,Total Distance (feet): 383.833,# of Attempts: 12
Going for the Green,58.45%,103,EVEN,Attempts: 128,Non-Attempts: 91
Going for the Green - Hit Green Pct.,32.81%,7,EVEN,Successes: 42,Attempts: 128
Going for the Green - Birdie or Better,62.50%,39,EVEN,# of Birdie or Better: 80,Attempts: 128
Total Hole Outs,7,156,EVEN,: ,: 
Longest Hole Outs (in yards),209,7,EVEN,Tournament: 3M Open,Round- Course: 3
Scrambling,58.23%,111,EVEN,Par or Better: 191,Missed GIR: 328
Scrambling from the Rough,58.14%,61,EVEN,Successes: 75,Attempts: 129
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,24.62%,133,EVEN,Successes: 16,Attempts: 65
Scrambling from 20-30 yards,52.05%,100,EVEN,Successes: 38,Attempts: 73
Scrambling from 10-20 yards,70.87%,23,EVEN,Successes: 90,Attempts: 127
Scrambling from < 10 yards,83.33%,123,EVEN,Successes: 40,Attempts: 48
Sand Save Percentage,48.94%,155,EVEN,# Saves: 46,# Bunkers: 94
Proximity to Hole from Sand,10' 10,139,EVEN,Total Distance (feet): 930.417,# of Shots: 86
Total Putting,138.1,48,EVEN,: ,: 
Putting Average,1.775,123,EVEN,"GIR Putts: 1,335",Greens Hit: 752
Overall Putting Average,1.644,151,EVEN,"# of Putts: 1,775","# of Holes: 1,080"
Birdie or Better Conversion Percentage,30.13%,123,EVEN,# Birdies: 226,Greens Hit: 750
Putts Per Round,29.58,150,EVEN,"Total Putts: 1,775",Total Rounds: 60
Putts per Round - Round 1,28.78,62,EVEN,Total Putts: 518,Total Rounds: 18
Putts per Round - Round 2,30.11,160,EVEN,Total Putts: 542,Total Rounds: 18
Putts per Round - Round 3,30.83,162,EVEN,Total Putts: 370,Total Rounds: 12
Putts per Round - Round 4,28.75,71,EVEN,Total Putts: 345,Total Rounds: 12
One-Putt Percentage,36.67%,151,EVEN,# of 1 putts: 396,"# of holes: 1,080"
Longest Putts,49' 8,138,EVEN,Year/Tourn#: Wyndham,Round: 1
3-Putt Avoidance,2.31%,37,EVEN,Total 3 Putts: 25,"Total Holes (overall): 1,080"
Putting from - > 25',6.38%,38,EVEN,Attempts: 298,Putts made: 19
Putting from - 20-25',17.72%,12,EVEN,Attempts: 79,Putts made: 14
Putting from - 15-20',18.97%,85,EVEN,Attempts: 116,Putts made: 22
