Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.304,-,EVEN,Total SG:T: -8.198,Measured Rounds: 27
SG: Tee-to-Green,-0.244,-,EVEN,SG:OTT: 0.177,Measured Rounds: 27
SG: Off-the-Tee,0.177,-,EVEN,Total SG:OTT: 4.767,Measured Rounds: 27
SG: Approach the Green,-0.144,-,EVEN,Total SG:APP: -3.877,Measured Rounds: 27
SG: Around-the-Green,-0.277,-,EVEN,Total SG:ARG: -7.485,Measured Rounds: 27
SG: Putting,-0.059,-,EVEN,Total SG:Putting: -1.602,Measured Rounds: 27
Longest Drives,341,321,EVEN,Tournament: Valero,Round: 1
Driving Distance,295.5,-,EVEN,"Total Distance: 20,094",Total Drives: 68
Driving Distance - All Drives,291.5,-,EVEN,"Total Distance: 107,871",# of Drives: 370
Driving Accuracy Percentage,64.32%,-,EVEN,Fairways Hit: 301,Possible Fairways: 468
Left Rough Tendency,9.21%,-,EVEN,Total Left rough: 34,Possible Fwys: 369
Right Rough Tendency,15.45%,-,EVEN,Total Right rough: 57,Possible Fwys: 369
Distance from Edge of Fairway,22' 5,-,EVEN,"Total Distance (Feet): 2,733.417",Total Strokes: 122
Club Head Speed,114.09,-,EVEN,"Total Club Head Speed: 15,059.75",Total Attempts: 132
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.03%,-,EVEN,Greens Hit: 398,# Holes: 612
Proximity to Hole,39' 1,-,EVEN,"Total Distance (feet): 18,814.583",# of Attempts: 481
Approaches from > 275 yards,78' 7,-,EVEN,"Total Distance (feet): 1,571.167",# of Attempts: 20
Approaches from 250-275 yards,57' 5,-,EVEN,Total Distance (feet): 976.083,# of Attempts: 17
Approaches from 225-250 yards,53' 1,-,EVEN,"Total Distance (feet): 1,379.917",# of Attempts: 26
Approaches from 200-225 yards,41' 11,-,EVEN,"Total Distance (feet): 1,888.083",# of Attempts: 45
Approaches from > 200 yards,53' 10,-,EVEN,"Total Distance (feet): 5,815.250",# of Attempts: 108
Approaches from 175-200 yards,32' 6,-,EVEN,"Total Distance (feet): 2,402.250",# of Attempts: 74
Approaches from 150-175 yards,31' 8,-,EVEN,"Total Distance (feet): 2,124.167",# of Attempts: 67
Approaches from 125-150 yards,27' 2,-,EVEN,"Total Distance (feet): 1,438.583",# of Attempts: 53
Approaches from 50-125 yards,19' 9,-,EVEN,"Total Distance (feet): 1,185.250",# of Attempts: 60
Approaches from 100-125 yards,17' 7,-,EVEN,Total Distance (feet): 473.917,# of Attempts: 27
Approaches from 75-100 yards,22' 5,-,EVEN,Total Distance (feet): 583.667,# of Attempts: 26
Approaches from 50-75 yards,18' 3,-,EVEN,Total Distance (feet): 127.667,# of Attempts: 7
Approaches from inside 100 yards,21' 7,-,EVEN,Total Distance (feet): 711.333,# of Attempts: 33
Approaches from > 100 yards,37' 3,-,EVEN,"Total Distance (feet): 12,254.167",# of Attempts: 329
Fairway Proximity,35' 10,-,EVEN,: ,Attempts: 362
Rough Proximity,44' 2,-,EVEN,"Total Distance (inches): 45,050",Attempts: 85
Left Rough Proximity,40' 1,-,EVEN,: ,Attempts: 34
Right Rough Proximity,46' 11,-,EVEN,: ,Attempts: 51
Approaches from > 275 yards (Rgh),99' 3,-,EVEN,Total Distance (feet): 198.500,# of Attempts: 2
Approaches from 250-275 yards (Rgh),88' 11,-,EVEN,Total Distance (feet): 266.667,# of Attempts: 3
Approaches from 225-250 yards (Rgh),69' 7,-,EVEN,Total Distance (feet): 347.750,# of Attempts: 5
Approaches from 200-225 yards (Rgh),74' 0,-,EVEN,Total Distance (feet): 591.833,# of Attempts: 8
Approaches from > 100 yards (Rgh),48' 2,-,EVEN,"Total Distance (feet): 3,372.250",# of Attempts: 70
Approaches from inside 100 yards (Rgh),25' 6,-,EVEN,Total Distance (feet): 381.917,# of Attempts: 15
Approaches from > 200 yards (Rgh),78' 1,-,EVEN,"Total Distance (feet): 1,404.750",# of Attempts: 18
Approaches from 175-200 yards (Rgh),54' 7,-,EVEN,Total Distance (feet): 928.000,# of Attempts: 17
Approaches from 150-175 yards (Rgh),30' 10,-,EVEN,Total Distance (feet): 462.500,# of Attempts: 15
Approaches from 125-150 yards (Rgh),23' 7,-,EVEN,Total Distance (feet): 306.750,# of Attempts: 13
Approaches from 50-125 yards (Rgh),32' 4,-,EVEN,Total Distance (feet): 613.833,# of Attempts: 19
Approaches from 100-125 yards (Rgh),38' 7,-,EVEN,Total Distance (feet): 270.250,# of Attempts: 7
Approaches from 75-100 yards (Rgh),34' 11,-,EVEN,Total Distance (feet): 244.167,# of Attempts: 7
Approaches from 50-75 yards (Rgh),19' 11,-,EVEN,Total Distance (feet): 99.417,# of Attempts: 5
Going for the Green,58.18%,-,EVEN,Attempts: 64,Non-Attempts: 46
Going for the Green - Hit Green Pct.,21.54%,-,EVEN,Successes: 14,Attempts: 65
Going for the Green - Birdie or Better,58.46%,-,EVEN,# of Birdie or Better: 38,Attempts: 65
Total Hole Outs,6,-,EVEN,: ,: 
Longest Hole Outs (in yards),31,113,EVEN,Tournament: Rocket Classic,Round- Course: 3
Scrambling,54.21%,-,EVEN,Par or Better: 116,Missed GIR: 214
Scrambling from the Rough,53.01%,-,EVEN,Successes: 44,Attempts: 83
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,30.00%,-,EVEN,Successes: 9,Attempts: 30
Scrambling from 20-30 yards,48.15%,-,EVEN,Successes: 13,Attempts: 27
Scrambling from 10-20 yards,57.65%,-,EVEN,Successes: 49,Attempts: 85
Scrambling from < 10 yards,79.31%,-,EVEN,Successes: 23,Attempts: 29
Sand Save Percentage,48.78%,-,EVEN,# Saves: 20,# Bunkers: 41
Proximity to Hole from Sand,9' 7,-,EVEN,Total Distance (feet): 277.583,# of Shots: 29
Total Putting,-,-,EVEN,,
Putting Average,1.817,-,EVEN,GIR Putts: 723,Greens Hit: 398
Overall Putting Average,1.649,-,EVEN,"# of Putts: 1,009",# of Holes: 612
Birdie or Better Conversion Percentage,28.97%,-,EVEN,# Birdies: 115,Greens Hit: 397
Putts Per Round,29.68,-,EVEN,"Total Putts: 1,009",Total Rounds: 34
Putts per Round - Round 1,29.85,-,EVEN,Total Putts: 388,Total Rounds: 13
Putts per Round - Round 2,29.54,-,EVEN,Total Putts: 384,Total Rounds: 13
Putts per Round - Round 3,29.50,-,EVEN,Total Putts: 118,Total Rounds: 4
Putts per Round - Round 4,29.75,-,EVEN,Total Putts: 119,Total Rounds: 4
One-Putt Percentage,38.07%,-,EVEN,# of 1 putts: 233,# of holes: 612
Longest Putts,36' 4,231,EVEN,Year/Tourn#: PGA Championship,Round: 1
3-Putt Avoidance,4.90%,-,EVEN,Total 3 Putts: 30,Total Holes (overall): 612
Putting from - > 25',3.68%,-,EVEN,Attempts: 136,Putts made: 5
Putting from - 20-25',11.11%,-,EVEN,Attempts: 36,Putts made: 4
Putting from - 15-20',24.53%,-,EVEN,Attempts: 53,Putts made: 13
Putting from - 10-15',36.76%,-,EVEN,Attempts: 68,Putts made: 25
Putting - Inside 10',86.25%,-,EVEN,Attempts: 502,Putts made: 433
Putting from 10',35.29%,-,EVEN,Attempts: 17,: 
Putting from 9',42.86%,-,EVEN,Attempts: 21,: 
Putting from 8',52.17%,-,EVEN,Attempts: 23,: 
Putting from 7',37.50%,-,EVEN,Attempts: 16,: 
Putting from 6',59.26%,-,EVEN,Attempts: 27,: 
Putting from 5',80.56%,-,EVEN,Attempts: 36,: 
Putting from 4-8',61.76%,-,EVEN,Attempts: 102,Putts made: 63
Putting from 4',91.89%,-,EVEN,Attempts: 37,: 
Putting from 3',98.77%,-,EVEN,Attempts: 325,: 
Average Distance of Putts made,67' 11,-,EVEN,"Total Dist. (inches): 22,008",Total Rounds: 27
Approach Putt Performance,2' 2,-,EVEN,: ,Attempts: 292
Scoring Average (Adjusted),71.856,-,EVEN,"Total Strokes: 2,436",Total Adjustment: 7.112
Scoring Average (Actual),71.65,-,EVEN,"Total Strokes: 2,436",Total Rounds: 34
Lowest Round,65,129,EVEN,Tourn/Course: Mexico Open/Vid,Round: 2
Birdie Average,3.44,-,EVEN,# of Birdies: 117,Total Rounds: 34
Total Birdies,117,-,EVEN,: ,: 
Eagles (Holes per),204.0,-,EVEN,# of Holes: 612,# of Eagles: 3
Total Eagles,3,-,EVEN,: ,: 
Par Breakers,19.61%,-,EVEN,# Birdies/Eagles: 120,# Holes: 612
Bounce Back,17.50%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,11.81%,-,EVEN,Par 3 Birdies or Better: 17,Par 3 Holes: 144
Par 4 Birdie or Better Leaders,14.00%,-,EVEN,Par 4 Birdies or Better: 49,Par 4 Holes: 350
Par 5 Birdie or Better Leaders,45.76%,-,EVEN,Par 5 Birdies or Better: 54,Par 5 Holes: 118
Birdie or Better Percentage,19.61%,-,EVEN,Total Birdies: 120,Total Holes: 612
Bogey Avoidance,20.42%,-,EVEN,Bogeys: 125,Holes Played: 612
Final Round Scoring Average,72.00,-,EVEN,Total Strokes: 288,Total Rounds: 4
Final Round Performance,.00%,-,EVEN,: ,: 
Round 1 Scoring Average,71.85,-,EVEN,Total Strokes: 934,Total Rounds: 13
Round 2 Scoring Average,72.15,-,EVEN,Total Strokes: 938,Total Rounds: 13
Round 3 Scoring Average,69.00,-,EVEN,Total Strokes: 276,Total Rounds: 4
Round 4 Scoring Average,72.00,-,EVEN,Total Strokes: 288,Total Rounds: 4
Par 3 Scoring Average,3.13,-,EVEN,Total Strokes: 450,Total Holes: 144
Par 4 Scoring Average,4.10,-,EVEN,"Total Strokes: 1,436",Total Holes: 350
Par 5 Scoring Average,4.66,-,EVEN,Total Strokes: 550,Total Holes: 118
Front 9 Scoring Average,35.82,-,EVEN,"Total Strokes: 1,218",Total Holes: 34
Back 9 Scoring Average,35.82,-,EVEN,"Total Strokes: 1,218",Total Holes: 34
Early Scoring Average,71.76,-,EVEN,"Total Strokes: 1,220",Total Early Rounds: 17
Late Scoring Average,71.53,-,EVEN,"Total Strokes: 1,216",Total Late Rounds: 17
Consecutive Cuts,2,99,EVEN,: ,: 
Current Streak without a 3-Putt,64,36,EVEN,: ,: 
Consecutive Fairways Hit,17,31,EVEN,Current Streak: 0,: 
Consecutive GIR,12,189,EVEN,Current Streak: 2,Round: 1
Consecutive Sand Saves,5,144,EVEN,Current Streak: 1,Round: 2
Best YTD 1-Putt or Better Streak,5,221,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,113,146,EVEN,Current Streak: 64,: 
YTD Par or Better Streak,8,112,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,4,45,EVEN,: ,: 
Consecutive Birdies Streak,3,158,EVEN,: ,: 
Consecutive Birdies/Eagles streak,4,8,EVEN,: ,: 
Official Money,"$636,717",131,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,181,139,EVEN,# of Wins: 0,# of Top 10's: 1
