Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.867,-,EVEN,Total SG:T: -9.334,Measured Rounds: 5
SG: Tee-to-Green,-1.421,-,EVEN,SG:OTT: 0.395,Measured Rounds: 5
SG: Off-the-Tee,0.395,-,EVEN,Total SG:OTT: 1.977,Measured Rounds: 5
SG: Approach the Green,-0.918,-,EVEN,Total SG:APP: -4.592,Measured Rounds: 5
SG: Around-the-Green,-0.898,-,EVEN,Total SG:ARG: -4.492,Measured Rounds: 5
SG: Putting,-0.445,-,EVEN,Total SG:Putting: -2.227,Measured Rounds: 5
Longest Drives,332,489,EVEN,Tournament: Genesis,Round: 1
Driving Distance,295.8,-,EVEN,"Total Distance: 6,508",Total Drives: 22
Driving Distance - All Drives,288.6,-,EVEN,"Total Distance: 20,204",# of Drives: 70
Driving Accuracy Percentage,68.83%,-,EVEN,Fairways Hit: 106,Possible Fairways: 154
Left Rough Tendency,8.57%,-,EVEN,Total Left rough: 6,Possible Fwys: 70
Right Rough Tendency,5.71%,-,EVEN,Total Right rough: 4,Possible Fwys: 70
Distance from Edge of Fairway,30' 8,-,EVEN,Total Distance (Feet): 582.083,Total Strokes: 19
Club Head Speed,117.01,-,EVEN,"Total Club Head Speed: 2,340.20",Total Attempts: 20
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,49.49%,-,EVEN,Greens Hit: 98,# Holes: 198
Proximity to Hole,42' 0,-,EVEN,"Total Distance (feet): 3,777.167",# of Attempts: 90
Approaches from > 275 yards,70' 2,-,EVEN,Total Distance (feet): 210.583,# of Attempts: 3
Approaches from 250-275 yards,55' 0,-,EVEN,Total Distance (feet): 219.917,# of Attempts: 4
Approaches from 225-250 yards,55' 0,-,EVEN,Total Distance (feet): 329.833,# of Attempts: 6
Approaches from 200-225 yards,49' 10,-,EVEN,Total Distance (feet): 548.500,# of Attempts: 11
Approaches from > 200 yards,54' 6,-,EVEN,"Total Distance (feet): 1,308.833",# of Attempts: 24
Approaches from 175-200 yards,42' 11,-,EVEN,Total Distance (feet): 515.167,# of Attempts: 12
