Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.055,109,EVEN,Total SG:T: -3.036,Measured Rounds: 55
SG: Tee-to-Green,0.115,87,EVEN,SG:OTT: -0.096,Measured Rounds: 55
SG: Off-the-Tee,-0.096,121,EVEN,Total SG:OTT: -5.273,Measured Rounds: 55
SG: Approach the Green,0.056,91,EVEN,Total SG:APP: 3.059,Measured Rounds: 55
SG: Around-the-Green,0.156,44,EVEN,Total SG:ARG: 8.557,Measured Rounds: 55
SG: Putting,-0.171,133,EVEN,Total SG:Putting: -9.380,Measured Rounds: 55
Longest Drives,367,165,EVEN,Tournament: WM Phoenix Open,Round: 4
Driving Distance,301.0,89,EVEN,"Total Distance: 36,718",Total Drives: 122
Driving Distance - All Drives,289.3,129,EVEN,"Total Distance: 221,597",# of Drives: 766
Driving Accuracy Percentage,60.82%,69,EVEN,Fairways Hit: 517,Possible Fairways: 850
Left Rough Tendency,11.30%,32,EVEN,Total Left rough: 86,Possible Fwys: 761
Right Rough Tendency,15.24%,77,EVEN,Total Right rough: 116,Possible Fwys: 761
Distance from Edge of Fairway,23' 10,33,EVEN,"Total Distance (Feet): 6,786.417",Total Strokes: 285
Club Head Speed,113.93,138,EVEN,"Total Club Head Speed: 28,824.35",Total Attempts: 253
Total Driving Efficiency,72,34,EVEN,: ,Carry Efficiency Rank: 48
Greens in Regulation Percentage,62.30%,151,EVEN,Greens Hit: 684,"# Holes: 1,098"
Proximity to Hole,38' 0,107,EVEN,"Total Distance (feet): 37,339.750",# of Attempts: 982
Approaches from > 275 yards,88' 9,129,EVEN,"Total Distance (feet): 1,775.333",# of Attempts: 20
Approaches from 250-275 yards,69' 1,129,EVEN,"Total Distance (feet): 2,002.583",# of Attempts: 29
Approaches from 225-250 yards,59' 0,166,EVEN,"Total Distance (feet): 3,835.333",# of Attempts: 65
Approaches from 200-225 yards,46' 0,160,EVEN,"Total Distance (feet): 4,234.917",# of Attempts: 92
Approaches from > 200 yards,57' 6,166,EVEN,"Total Distance (feet): 11,848.167",# of Attempts: 206
Approaches from 175-200 yards,34' 9,112,EVEN,"Total Distance (feet): 4,897.333",# of Attempts: 141
Approaches from 150-175 yards,26' 8,30,EVEN,"Total Distance (feet): 3,734.167",# of Attempts: 140
Approaches from 125-150 yards,20' 2,3,EVEN,"Total Distance (feet): 2,099.917",# of Attempts: 104
Approaches from 50-125 yards,18' 2,62,EVEN,"Total Distance (feet): 2,266.083",# of Attempts: 125
Approaches from 100-125 yards,20' 1,96,EVEN,"Total Distance (feet): 1,165.333",# of Attempts: 58
Approaches from 75-100 yards,17' 5,79,EVEN,Total Distance (feet): 852.750,# of Attempts: 49
Approaches from 50-75 yards,13' 9,49,EVEN,Total Distance (feet): 248.000,# of Attempts: 18
Approaches from inside 100 yards,16' 5,65,EVEN,"Total Distance (feet): 1,133.167",# of Attempts: 69
Approaches from > 100 yards,36' 7,151,EVEN,"Total Distance (feet): 23,744.917",# of Attempts: 649
Fairway Proximity,34' 8,148,EVEN,: ,Attempts: 718
Rough Proximity,43' 9,54,EVEN,"Total Distance (inches): 94,999",Attempts: 181
Left Rough Proximity,46' 7,120,EVEN,: ,Attempts: 84
Right Rough Proximity,41' 4,25,EVEN,: ,Attempts: 97
Approaches from > 275 yards (Rgh),116' 6,131,EVEN,Total Distance (feet): 349.417,# of Attempts: 3
Approaches from 250-275 yards (Rgh),78' 10,93,EVEN,Total Distance (feet): 315.250,# of Attempts: 4
Approaches from 225-250 yards (Rgh),63' 3,44,EVEN,Total Distance (feet): 316.167,# of Attempts: 5
Approaches from 200-225 yards (Rgh),67' 4,100,EVEN,Total Distance (feet): 673.083,# of Attempts: 10
