Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.139,120,EVEN,Total SG:T: -8.608,Measured Rounds: 62
SG: Tee-to-Green,-0.021,108,EVEN,SG:OTT: -0.092,Measured Rounds: 62
SG: Off-the-Tee,-0.092,116,EVEN,Total SG:OTT: -5.688,Measured Rounds: 62
SG: Approach the Green,-0.135,120,EVEN,Total SG:APP: -8.386,Measured Rounds: 62
SG: Around-the-Green,0.206,28,EVEN,Total SG:ARG: 12.746,Measured Rounds: 62
SG: Putting,-0.117,116,EVEN,Total SG:Putting: -7.283,Measured Rounds: 62
Longest Drives,420,11,EVEN,Tournament: Sentry,Round: 4
Driving Distance,304.9,75,EVEN,"Total Distance: 43,292",Total Drives: 142
Driving Distance - All Drives,293.1,88,EVEN,"Total Distance: 254,387",# of Drives: 868
Driving Accuracy Percentage,56.94%,114,EVEN,Fairways Hit: 566,Possible Fairways: 994
Left Rough Tendency,17.19%,156,EVEN,Total Left rough: 148,Possible Fwys: 861
Right Rough Tendency,13.24%,35,EVEN,Total Right rough: 114,Possible Fwys: 861
Distance from Edge of Fairway,29' 2,101,EVEN,"Total Distance (Feet): 10,314.417",Total Strokes: 354
Club Head Speed,120.42,26,EVEN,"Total Club Head Speed: 33,958.41",Total Attempts: 282
Total Driving Efficiency,293,153,EVEN,: ,Carry Efficiency Rank: 137
Greens in Regulation Percentage,64.95%,120,EVEN,Greens Hit: 830,"# Holes: 1,278"
Proximity to Hole,38' 9,147,EVEN,"Total Distance (feet): 42,618.667","# of Attempts: 1,099"
Approaches from > 275 yards,89' 4,132,EVEN,"Total Distance (feet): 2,502.083",# of Attempts: 28
Approaches from 250-275 yards,63' 8,95,EVEN,"Total Distance (feet): 1,655.000",# of Attempts: 26
Approaches from 225-250 yards,47' 2,39,EVEN,"Total Distance (feet): 2,737.167",# of Attempts: 58
Approaches from 200-225 yards,40' 7,71,EVEN,"Total Distance (feet): 4,061.500",# of Attempts: 100
Approaches from > 200 yards,51' 8,121,EVEN,"Total Distance (feet): 10,955.750",# of Attempts: 212
Approaches from 175-200 yards,33' 3,80,EVEN,"Total Distance (feet): 5,219.833",# of Attempts: 157
Approaches from 150-175 yards,28' 3,95,EVEN,"Total Distance (feet): 3,951.750",# of Attempts: 140
Approaches from 125-150 yards,23' 6,87,EVEN,"Total Distance (feet): 2,871.667",# of Attempts: 122
Approaches from 50-125 yards,19' 7,132,EVEN,"Total Distance (feet): 2,961.583",# of Attempts: 151
Approaches from 100-125 yards,18' 10,53,EVEN,"Total Distance (feet): 1,902.000",# of Attempts: 101
Approaches from 75-100 yards,22' 1,162,EVEN,Total Distance (feet): 795.500,# of Attempts: 36
Approaches from 50-75 yards,18' 10,133,EVEN,Total Distance (feet): 264.083,# of Attempts: 14
Approaches from inside 100 yards,20' 9,161,EVEN,"Total Distance (feet): 1,101.417",# of Attempts: 53
Approaches from > 100 yards,34' 0,102,EVEN,"Total Distance (feet): 24,901.000",# of Attempts: 732
Fairway Proximity,33' 1,127,EVEN,: ,Attempts: 785
Rough Proximity,48' 6,156,EVEN,"Total Distance (inches): 129,731",Attempts: 223
Left Rough Proximity,47' 2,138,EVEN,: ,Attempts: 133
Right Rough Proximity,50' 5,152,EVEN,: ,Attempts: 90
Approaches from > 275 yards (Rgh),75' 1,19,EVEN,Total Distance (feet): 300.167,# of Attempts: 4
Approaches from 250-275 yards (Rgh),58' 9,15,EVEN,Total Distance (feet): 117.417,# of Attempts: 2
Approaches from 225-250 yards (Rgh),85' 1,144,EVEN,"Total Distance (feet): 1,276.083",# of Attempts: 15
