Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.934,-,EVEN,Total SG:T: 5.602,Measured Rounds: 6
SG: Tee-to-Green,-0.226,-,EVEN,SG:OTT: -0.840,Measured Rounds: 6
SG: Off-the-Tee,-0.840,-,EVEN,Total SG:OTT: -5.041,Measured Rounds: 6
SG: Approach the Green,0.334,-,EVEN,Total SG:APP: 2.005,Measured Rounds: 6
SG: Around-the-Green,0.280,-,EVEN,Total SG:ARG: 1.679,Measured Rounds: 6
SG: Putting,1.160,-,EVEN,Total SG:Putting: 6.959,Measured Rounds: 6
Longest Drives,366,172,EVEN,Tournament: Puerto Rico,Round: 4
Driving Distance,305.3,-,EVEN,"Total Distance: 6,105",Total Drives: 20
Driving Distance - All Drives,295.1,-,EVEN,"Total Distance: 24,790",# of Drives: 84
Driving Accuracy Percentage,42.86%,-,EVEN,Fairways Hit: 60,Possible Fairways: 140
Left Rough Tendency,16.67%,-,EVEN,Total Left rough: 14,Possible Fwys: 84
Right Rough Tendency,21.43%,-,EVEN,Total Right rough: 18,Possible Fwys: 84
Distance from Edge of Fairway,32' 9,-,EVEN,"Total Distance (Feet): 1,570.083",Total Strokes: 48
Club Head Speed,117.94,-,EVEN,"Total Club Head Speed: 3,184.27",Total Attempts: 27
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,67.78%,-,EVEN,Greens Hit: 122,# Holes: 180
Proximity to Hole,33' 11,-,EVEN,"Total Distance (feet): 3,666.667",# of Attempts: 108
Approaches from > 275 yards,100' 5,-,EVEN,Total Distance (feet): 100.417,# of Attempts: 1
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,36' 7,-,EVEN,Total Distance (feet): 109.750,# of Attempts: 3
Approaches from 200-225 yards,50' 8,-,EVEN,Total Distance (feet): 506.333,# of Attempts: 10
Approaches from > 200 yards,51' 2,-,EVEN,Total Distance (feet): 716.500,# of Attempts: 14
Approaches from 175-200 yards,29' 2,-,EVEN,Total Distance (feet): 408.333,# of Attempts: 14
Approaches from 150-175 yards,26' 8,-,EVEN,Total Distance (feet): 346.417,# of Attempts: 13
Approaches from 125-150 yards,15' 10,-,EVEN,Total Distance (feet): 158.083,# of Attempts: 10
Approaches from 50-125 yards,19' 10,-,EVEN,Total Distance (feet): 237.833,# of Attempts: 12
Approaches from 100-125 yards,21' 4,-,EVEN,Total Distance (feet): 192.000,# of Attempts: 9
Approaches from 75-100 yards,19' 8,-,EVEN,Total Distance (feet): 39.333,# of Attempts: 2
Approaches from 50-75 yards,6' 6,-,EVEN,Total Distance (feet): 6.500,# of Attempts: 1
Approaches from inside 100 yards,15' 3,-,EVEN,Total Distance (feet): 45.833,# of Attempts: 3
Approaches from > 100 yards,30' 4,-,EVEN,"Total Distance (feet): 1,821.333",# of Attempts: 60
Fairway Proximity,29' 8,-,EVEN,: ,Attempts: 63
Rough Proximity,35' 9,-,EVEN,"Total Distance (inches): 14,602",Attempts: 34
Left Rough Proximity,29' 11,-,EVEN,: ,Attempts: 14
Right Rough Proximity,39' 11,-,EVEN,: ,Attempts: 20
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),53' 2,-,EVEN,Total Distance (feet): 159.500,# of Attempts: 3
Approaches from 200-225 yards (Rgh),24' 1,-,EVEN,Total Distance (feet): 24.083,# of Attempts: 1
Approaches from > 100 yards (Rgh),36' 7,-,EVEN,"Total Distance (feet): 1,024.667",# of Attempts: 28
Approaches from inside 100 yards (Rgh),32' 0,-,EVEN,Total Distance (feet): 192.167,# of Attempts: 6
Approaches from > 200 yards (Rgh),45' 11,-,EVEN,Total Distance (feet): 183.583,# of Attempts: 4
Approaches from 175-200 yards (Rgh),26' 8,-,EVEN,Total Distance (feet): 80.083,# of Attempts: 3
Approaches from 150-175 yards (Rgh),41' 4,-,EVEN,Total Distance (feet): 289.083,# of Attempts: 7
Approaches from 125-150 yards (Rgh),34' 3,-,EVEN,Total Distance (feet): 342.083,# of Attempts: 10
Approaches from 50-125 yards (Rgh),34' 9,-,EVEN,Total Distance (feet): 277.667,# of Attempts: 8
Approaches from 100-125 yards (Rgh),32' 6,-,EVEN,Total Distance (feet): 129.833,# of Attempts: 4
Approaches from 75-100 yards (Rgh),9' 7,-,EVEN,Total Distance (feet): 19.167,# of Attempts: 2
Approaches from 50-75 yards (Rgh),64' 4,-,EVEN,Total Distance (feet): 128.667,# of Attempts: 2
Going for the Green,45.45%,-,EVEN,Attempts: 10,Non-Attempts: 12
Going for the Green - Hit Green Pct.,20.00%,-,EVEN,Successes: 2,Attempts: 10
Going for the Green - Birdie or Better,80.00%,-,EVEN,# of Birdie or Better: 8,Attempts: 10
Total Hole Outs,1,-,EVEN,: ,: 
Longest Hole Outs (in yards),14,221,EVEN,Tournament: ONEflight Myrtle,Round- Course: 3
Scrambling,60.34%,-,EVEN,Par or Better: 35,Missed GIR: 58
Scrambling from the Rough,50.00%,-,EVEN,Successes: 12,Attempts: 24
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,40.00%,-,EVEN,Successes: 2,Attempts: 5
Scrambling from 20-30 yards,75.00%,-,EVEN,Successes: 6,Attempts: 8
Scrambling from 10-20 yards,63.64%,-,EVEN,Successes: 7,Attempts: 11
Scrambling from < 10 yards,66.67%,-,EVEN,Successes: 6,Attempts: 9
Sand Save Percentage,63.64%,-,EVEN,# Saves: 7,# Bunkers: 11
Proximity to Hole from Sand,7' 11,-,EVEN,Total Distance (feet): 47.500,# of Shots: 6
Total Putting,-,-,EVEN,,
Putting Average,1.680,-,EVEN,GIR Putts: 205,Greens Hit: 122
Overall Putting Average,1.572,-,EVEN,# of Putts: 283,# of Holes: 180
Birdie or Better Conversion Percentage,37.70%,-,EVEN,# Birdies: 46,Greens Hit: 122
Putts Per Round,28.30,-,EVEN,Total Putts: 283,Total Rounds: 10
Putts per Round - Round 1,28.33,-,EVEN,Total Putts: 85,Total Rounds: 3
Putts per Round - Round 2,29.33,-,EVEN,Total Putts: 88,Total Rounds: 3
