Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-2.271,-,EVEN,Total SG:T: -6.813,Measured Rounds: 3
SG: Tee-to-Green,-1.664,-,EVEN,SG:OTT: -0.325,Measured Rounds: 3
SG: Off-the-Tee,-0.325,-,EVEN,Total SG:OTT: -0.976,Measured Rounds: 3
SG: Approach the Green,-0.886,-,EVEN,Total SG:APP: -2.659,Measured Rounds: 3
SG: Around-the-Green,-0.453,-,EVEN,Total SG:ARG: -1.358,Measured Rounds: 3
SG: Putting,-0.606,-,EVEN,Total SG:Putting: -1.819,Measured Rounds: 3
Longest Drives,327,371,EVEN,Tournament: Farmers,Round: 2
Driving Distance,293.8,-,EVEN,"Total Distance: 5,875",Total Drives: 20
Driving Distance - All Drives,284.8,-,EVEN,"Total Distance: 11,963",# of Drives: 42
Driving Accuracy Percentage,68.57%,-,EVEN,Fairways Hit: 96,Possible Fairways: 140
Left Rough Tendency,19.05%,-,EVEN,Total Left rough: 8,Possible Fwys: 42
Right Rough Tendency,21.43%,-,EVEN,Total Right rough: 9,Possible Fwys: 42
Distance from Edge of Fairway,30' 7,-,EVEN,Total Distance (Feet): 703.500,Total Strokes: 23
Club Head Speed,111.63,-,EVEN,"Total Club Head Speed: 1,451.14",Total Attempts: 13
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,61.67%,-,EVEN,Greens Hit: 111,# Holes: 180
Proximity to Hole,43' 1,-,EVEN,"Total Distance (feet): 2,326.333",# of Attempts: 54
Approaches from > 275 yards,126' 8,-,EVEN,Total Distance (feet): 126.667,# of Attempts: 1
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,40' 6,-,EVEN,Total Distance (feet): 81.000,# of Attempts: 2
Approaches from 200-225 yards,42' 3,-,EVEN,Total Distance (feet): 169.000,# of Attempts: 4
Approaches from > 200 yards,53' 10,-,EVEN,Total Distance (feet): 376.667,# of Attempts: 7
Approaches from 175-200 yards,37' 3,-,EVEN,Total Distance (feet): 297.917,# of Attempts: 8
