Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-5.516,-,EVEN,Total SG:T: -11.031,Measured Rounds: 2
SG: Tee-to-Green,-5.998,-,EVEN,SG:OTT: -1.962,Measured Rounds: 2
SG: Off-the-Tee,-1.962,-,EVEN,Total SG:OTT: -3.923,Measured Rounds: 2
SG: Approach the Green,-2.133,-,EVEN,Total SG:APP: -4.267,Measured Rounds: 2
SG: Around-the-Green,-1.902,-,EVEN,Total SG:ARG: -3.805,Measured Rounds: 2
SG: Putting,0.482,-,EVEN,Total SG:Putting: 0.965,Measured Rounds: 2
Longest Drives,342,317,EVEN,Tournament: Mexico Open,Round: 2
Driving Distance,308.3,-,EVEN,"Total Distance: 1,233",Total Drives: 4
Driving Distance - All Drives,300.9,-,EVEN,"Total Distance: 7,823",# of Drives: 26
Driving Accuracy Percentage,50.00%,-,EVEN,Fairways Hit: 13,Possible Fairways: 26
Left Rough Tendency,4.00%,-,EVEN,Total Left rough: 1,Possible Fwys: 25
Right Rough Tendency,20.00%,-,EVEN,Total Right rough: 5,Possible Fwys: 25
Distance from Edge of Fairway,55' 5,-,EVEN,Total Distance (Feet): 554.417,Total Strokes: 10
Club Head Speed,120.74,-,EVEN,"Total Club Head Speed: 1,207.43",Total Attempts: 10
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,52.78%,-,EVEN,Greens Hit: 19,# Holes: 36
Proximity to Hole,47' 5,-,EVEN,"Total Distance (feet): 1,705.667",# of Attempts: 36
Approaches from > 275 yards,69' 4,-,EVEN,Total Distance (feet): 138.583,# of Attempts: 2
Approaches from 250-275 yards,86' 8,-,EVEN,Total Distance (feet): 173.333,# of Attempts: 2
Approaches from 225-250 yards,-,-,EVEN,,
Approaches from 200-225 yards,48' 1,-,EVEN,Total Distance (feet): 144.250,# of Attempts: 3
Approaches from > 200 yards,65' 2,-,EVEN,Total Distance (feet): 456.167,# of Attempts: 7
Approaches from 175-200 yards,45' 3,-,EVEN,Total Distance (feet): 226.167,# of Attempts: 5
Approaches from 150-175 yards,39' 10,-,EVEN,Total Distance (feet): 278.917,# of Attempts: 7
Approaches from 125-150 yards,26' 3,-,EVEN,Total Distance (feet): 78.667,# of Attempts: 3
Approaches from 50-125 yards,19' 10,-,EVEN,Total Distance (feet): 99.083,# of Attempts: 5
Approaches from 100-125 yards,29' 4,-,EVEN,Total Distance (feet): 58.667,# of Attempts: 2
