Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.527,47,EVEN,Total SG:T: 25.816,Measured Rounds: 49
SG: Tee-to-Green,0.353,59,EVEN,SG:OTT: 0.226,Measured Rounds: 49
SG: Off-the-Tee,0.226,50,EVEN,Total SG:OTT: 11.087,Measured Rounds: 49
SG: Approach the Green,0.420,31,EVEN,Total SG:APP: 20.578,Measured Rounds: 49
SG: Around-the-Green,-0.293,154,EVEN,Total SG:ARG: -14.370,Measured Rounds: 49
SG: Putting,0.174,54,EVEN,Total SG:Putting: 8.519,Measured Rounds: 49
Longest Drives,395,63,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,301.7,82,EVEN,"Total Distance: 31,378",Total Drives: 104
Driving Distance - All Drives,292.9,89,EVEN,"Total Distance: 197,437",# of Drives: 674
Driving Accuracy Percentage,64.66%,30,EVEN,Fairways Hit: 463,Possible Fairways: 716
Left Rough Tendency,11.94%,51,EVEN,Total Left rough: 80,Possible Fwys: 670
Right Rough Tendency,14.18%,54,EVEN,Total Right rough: 95,Possible Fwys: 670
Distance from Edge of Fairway,21' 9,11,EVEN,"Total Distance (Feet): 5,019.333",Total Strokes: 231
Club Head Speed,117.15,76,EVEN,"Total Club Head Speed: 26,240.70",Total Attempts: 224
Total Driving Efficiency,215,108,EVEN,: ,Carry Efficiency Rank: 117
Greens in Regulation Percentage,70.41%,8,EVEN,Greens Hit: 659,# Holes: 936
Proximity to Hole,37' 1,70,EVEN,"Total Distance (feet): 32,553.083",# of Attempts: 877
Approaches from > 275 yards,94' 5,152,EVEN,"Total Distance (feet): 2,737.833",# of Attempts: 29
Approaches from 250-275 yards,56' 10,37,EVEN,"Total Distance (feet): 1,249.417",# of Attempts: 22
Approaches from 225-250 yards,52' 9,123,EVEN,"Total Distance (feet): 3,110.000",# of Attempts: 59
Approaches from 200-225 yards,44' 1,130,EVEN,"Total Distance (feet): 4,009.000",# of Attempts: 91
Approaches from > 200 yards,55' 3,157,EVEN,"Total Distance (feet): 11,106.250",# of Attempts: 201
Approaches from 175-200 yards,33' 9,86,EVEN,"Total Distance (feet): 4,418.167",# of Attempts: 131
Approaches from 150-175 yards,28' 4,88,EVEN,"Total Distance (feet): 3,766.667",# of Attempts: 133
Approaches from 125-150 yards,24' 5,107,EVEN,"Total Distance (feet): 2,244.833",# of Attempts: 92
Approaches from 50-125 yards,18' 3,66,EVEN,"Total Distance (feet): 1,824.833",# of Attempts: 100
Approaches from 100-125 yards,18' 1,30,EVEN,Total Distance (feet): 996.167,# of Attempts: 55
Approaches from 75-100 yards,18' 1,98,EVEN,Total Distance (feet): 669.667,# of Attempts: 37
Approaches from 50-75 yards,19' 11,145,EVEN,Total Distance (feet): 159.000,# of Attempts: 8
Approaches from inside 100 yards,18' 5,130,EVEN,Total Distance (feet): 828.667,# of Attempts: 45
Approaches from > 100 yards,36' 10,156,EVEN,"Total Distance (feet): 22,532.083",# of Attempts: 612
Fairway Proximity,35' 7,160,EVEN,: ,Attempts: 657
Rough Proximity,38' 6,1,EVEN,"Total Distance (inches): 75,733",Attempts: 164
Left Rough Proximity,38' 10,15,EVEN,: ,Attempts: 71
Right Rough Proximity,38' 3,2,EVEN,: ,Attempts: 93
Approaches from > 275 yards (Rgh),65' 8,14,EVEN,Total Distance (feet): 328.167,# of Attempts: 5
Approaches from 250-275 yards (Rgh),75' 0,76,EVEN,Total Distance (feet): 149.917,# of Attempts: 2
Approaches from 225-250 yards (Rgh),86' 7,152,EVEN,Total Distance (feet): 432.917,# of Attempts: 5
Approaches from 200-225 yards (Rgh),63' 5,77,EVEN,Total Distance (feet): 824.333,# of Attempts: 13
Approaches from > 100 yards (Rgh),42' 4,5,EVEN,"Total Distance (feet): 5,633.917",# of Attempts: 133
Approaches from inside 100 yards (Rgh),21' 10,40,EVEN,Total Distance (feet): 677.167,# of Attempts: 31
Approaches from > 200 yards (Rgh),69' 5,54,EVEN,"Total Distance (feet): 1,735.333",# of Attempts: 25
Approaches from 175-200 yards (Rgh),41' 7,9,EVEN,"Total Distance (feet): 1,081.750",# of Attempts: 26
Approaches from 150-175 yards (Rgh),38' 9,20,EVEN,"Total Distance (feet): 1,239.917",# of Attempts: 32
Approaches from 125-150 yards (Rgh),33' 11,46,EVEN,Total Distance (feet): 984.583,# of Attempts: 29
Approaches from 50-125 yards (Rgh),24' 11,28,EVEN,"Total Distance (feet): 1,120.333",# of Attempts: 45
Approaches from 100-125 yards (Rgh),28' 2,47,EVEN,Total Distance (feet): 592.333,# of Attempts: 21
Approaches from 75-100 yards (Rgh),25' 0,83,EVEN,Total Distance (feet): 324.750,# of Attempts: 13
Approaches from 50-75 yards (Rgh),18' 6,41,EVEN,Total Distance (feet): 203.250,# of Attempts: 11
Going for the Green,62.23%,61,EVEN,Attempts: 117,Non-Attempts: 71
Going for the Green - Hit Green Pct.,24.79%,53,EVEN,Successes: 29,Attempts: 117
Going for the Green - Birdie or Better,59.83%,82,EVEN,# of Birdie or Better: 70,Attempts: 117
Total Hole Outs,11,76,EVEN,: ,: 
Longest Hole Outs (in yards),192,12,EVEN,Tournament: U.S. Open,Round- Course: 2
Scrambling,59.93%,87,EVEN,Par or Better: 166,Missed GIR: 277
Scrambling from the Rough,54.39%,118,EVEN,Successes: 62,Attempts: 114
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,35.14%,35,EVEN,Successes: 13,Attempts: 37
Scrambling from 20-30 yards,55.56%,62,EVEN,Successes: 35,Attempts: 63
Scrambling from 10-20 yards,60.19%,150,EVEN,Successes: 62,Attempts: 103
Scrambling from < 10 yards,83.33%,135,EVEN,Successes: 45,Attempts: 54
Sand Save Percentage,50.98%,153,EVEN,# Saves: 26,# Bunkers: 51
Proximity to Hole from Sand,12' 0,161,EVEN,Total Distance (feet): 490.833,# of Shots: 41
Total Putting,164.9,62,EVEN,: ,: 
Putting Average,1.786,152,EVEN,"GIR Putts: 1,177",Greens Hit: 659
Overall Putting Average,1.654,166,EVEN,"# of Putts: 1,548",# of Holes: 936
Birdie or Better Conversion Percentage,28.16%,161,EVEN,# Birdies: 185,Greens Hit: 657
Putts Per Round,29.77,166,EVEN,"Total Putts: 1,548",Total Rounds: 52
Putts per Round - Round 1,29.27,113,EVEN,Total Putts: 439,Total Rounds: 15
Putts per Round - Round 2,29.73,155,EVEN,Total Putts: 446,Total Rounds: 15
Putts per Round - Round 3,29.91,148,EVEN,Total Putts: 329,Total Rounds: 11
Putts per Round - Round 4,30.36,164,EVEN,Total Putts: 334,Total Rounds: 11
One-Putt Percentage,35.04%,167,EVEN,# of 1 putts: 328,# of holes: 936
Longest Putts,56' 7,54,EVEN,Year/Tourn#: The American Express,Round: 2
3-Putt Avoidance,2.78%,85,EVEN,Total 3 Putts: 26,Total Holes (overall): 936
Putting from - > 25',4.14%,133,EVEN,Attempts: 266,Putts made: 11
Putting from - 20-25',12.05%,82,EVEN,Attempts: 83,Putts made: 10
Putting from - 15-20',13.92%,150,EVEN,Attempts: 79,Putts made: 11
Putting from - 10-15',36.43%,20,EVEN,Attempts: 140,Putts made: 51
Putting - Inside 10',88.44%,52,EVEN,Attempts: 891,Putts made: 788
Putting from 10',34.62%,126,EVEN,Attempts: 26,: 
Putting from 9',50.00%,51,EVEN,Attempts: 34,: 
Putting from 8',36.84%,165,EVEN,Attempts: 38,: 
Putting from 7',57.89%,111,EVEN,Attempts: 38,: 
Putting from 6',74.36%,61,EVEN,Attempts: 39,: 
Putting from 5',80.00%,102,EVEN,Attempts: 55,: 
Putting from 4-8',64.12%,148,EVEN,Attempts: 170,Putts made: 109
Putting from 4',94.62%,39,EVEN,Attempts: 93,: 
Putting from 3',99.47%,111,EVEN,Attempts: 568,: 
Average Distance of Putts made,69' 8,118,EVEN,"Total Dist. (inches): 40,941",Total Rounds: 49
Approach Putt Performance,2' 1,26,EVEN,: ,Attempts: 565
Scoring Average (Adjusted),70.443,32,EVEN,"Total Strokes: 3,634",Total Adjustment: 29.044
Scoring Average (Actual),69.88,25,EVEN,"Total Strokes: 3,634",Total Rounds: 52
Lowest Round,65,129,EVEN,Tourn/Course: RBC Canadian/TP,Round: 2
Birdie Average,3.63,124,EVEN,# of Birdies: 189,Total Rounds: 52
Total Birdies,189,96,EVEN,: ,: 
Eagles (Holes per),187.2,89,EVEN,# of Holes: 936,# of Eagles: 5
Total Eagles,5,82,EVEN,: ,: 
Par Breakers,20.73%,125,EVEN,# Birdies/Eagles: 194,# Holes: 936
Bounce Back,18.55%,134,EVEN,: ,: 
Par 3 Birdie or Better Leaders,9.55%,156,EVEN,Par 3 Birdies or Better: 21,Par 3 Holes: 220
Par 4 Birdie or Better Leaders,17.39%,75,EVEN,Par 4 Birdies or Better: 96,Par 4 Holes: 552
Par 5 Birdie or Better Leaders,46.95%,84,EVEN,Par 5 Birdies or Better: 77,Par 5 Holes: 164
Birdie or Better Percentage,20.73%,125,EVEN,Total Birdies: 194,Total Holes: 936
Bogey Avoidance,14.00%,21,EVEN,Bogeys: 131,Holes Played: 936
Final Round Scoring Average,70.64,99,EVEN,Total Strokes: 777,Total Rounds: 11
Final Round Performance,45.45%,116,EVEN,: ,: 
Round 1 Scoring Average,69.13,18,EVEN,"Total Strokes: 1,037",Total Rounds: 15
Round 2 Scoring Average,69.93,50,EVEN,"Total Strokes: 1,049",Total Rounds: 15
Round 3 Scoring Average,70.09,64,EVEN,Total Strokes: 771,Total Rounds: 11
Round 4 Scoring Average,70.64,99,EVEN,Total Strokes: 777,Total Rounds: 11
Par 3 Scoring Average,3.08,106,EVEN,Total Strokes: 678,Total Holes: 220
Par 4 Scoring Average,3.99,21,EVEN,"Total Strokes: 2,204",Total Holes: 552
Par 5 Scoring Average,4.59,63,EVEN,Total Strokes: 752,Total Holes: 164
Front 9 Scoring Average,34.63,15,EVEN,"Total Strokes: 1,801",Total Holes: 52
Back 9 Scoring Average,35.25,81,EVEN,"Total Strokes: 1,833",Total Holes: 52
Early Scoring Average,70.07,68,EVEN,"Total Strokes: 1,962",Total Early Rounds: 28
Late Scoring Average,69.67,18,EVEN,"Total Strokes: 1,672",Total Late Rounds: 24
Consecutive Cuts,4,43,EVEN,: ,: 
Current Streak without a 3-Putt,76,24,EVEN,: ,: 
Consecutive Fairways Hit,14,75,EVEN,Current Streak: 3,: 
Consecutive GIR,23,14,EVEN,Current Streak: 4,Round: 1
Consecutive Sand Saves,5,144,EVEN,Current Streak: 0,Round: 1
Best YTD 1-Putt or Better Streak,6,141,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,167,42,EVEN,Current Streak: 76,: 
YTD Par or Better Streak,7,143,EVEN,: ,: 
