Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
Total Driving,62,14,EVEN,Distance Rank: 17,Accuracy Rank: 45
Longest Drives,340,82,EVEN,Tournament: Boeing Classic,Round: 3
Driving Distance,294.0,17,EVEN,"Total Distance: 26,457",Total Drives: 90
Driving Accuracy Percentage,64.04%,45,EVEN,Fairways Hit: 399,Possible Fairways: 623
Greens in Regulation Percentage,69.14%,37,EVEN,Greens Hit: 560,# Holes: 810
Scrambling,62.40%,20,EVEN,Par or Better: 156,Missed GIR: 250
Sand Save Percentage,60.26%,21,EVEN,# Saves: 47,# Bunkers: 78
Putting Average,1.755,15,EVEN,GIR Putts: 983,Greens Hit: 560
Birdie or Better Conversion Percentage,33.09%,8,EVEN,# Birdies: 185,Greens Hit: 559
Putts Per Round,28.98,10,EVEN,"Total Putts: 1,304",Total Rounds: 45
Putts per Round - Round 1,29.00%,17,EVEN,Total Putts: 406,Total Rounds: 14
Putts per Round - Round 2,28.21%,4,EVEN,Total Putts: 395,Total Rounds: 14
Putts per Round - Round 3,29.71%,48,EVEN,Total Putts: 416,Total Rounds: 14
Putts per Round - Round 4,29.00%,19,EVEN,Total Putts: 87,Total Rounds: 3
Overall Putting Average,1.478,43,EVEN,"# of Putts: 1,304",# of Holes: 882
One Putt Percentage,36.51%,10,EVEN,# of 1 putts: 322,# of holes: 882
3 Putt Avoidance,2.95%,28,EVEN,Total 3 Putts: 26,Total Holes (overall): 882
Scoring Average (Actual),70.06,18,EVEN,"Total Strokes: 3,433",Total Rounds: 49
Bounce Back,21.01%,40,EVEN,: ,: 
Bogey Avoidance,-,-,EVEN,,
Round 1 Scoring Average,69.60,8,EVEN,"Total Strokes: 1,044",Total Rounds: 15
Round 2 Scoring Average,70.13,26,EVEN,"Total Strokes: 1,052",Total Rounds: 15
Round 3 Scoring Average,70.27,26,EVEN,"Total Strokes: 1,054",Total Rounds: 15
Round 4 Scoring Average,-,-,EVEN,,
Par 3 Scoring Average,3.07,36,EVEN,Total Strokes: 623,Total Holes: 203
Par 3 Birdie or Better Leaders,12.32%,43,EVEN,Par 3 Birdies or Better: 25,Par 3 Holes: 203
Par 4 Scoring Average,4.01,17,EVEN,"Total Strokes: 2,011",Total Holes: 501
Par 4 Birdie or Better Leaders,17.17%,18,EVEN,Par 4 Birdies or Better: 86,Par 4 Holes: 501
Par 5 Scoring Average,4.49,4,EVEN,Total Strokes: 799,Total Holes: 178
Par 5 Birdie or Better Leaders,54.49%,5,EVEN,Par 5 Birdies or Better: 97,Par 5 Holes: 178
Front 9 Scoring Average,-,-,EVEN,,
Back 9 Scoring Average,-,-,EVEN,,
Early Scoring Average,-,-,EVEN,,
Late Scoring Average,-,-,EVEN,,
Lowest Round,66,67,EVEN,Tourn/Course: Rogers Charity/,Round: 3
Birdie Average,4.06,12,EVEN,# of Birdies: 199,: 
Total Birdies,199,35,EVEN,: ,: 
Birdie or Better Percentage,23.58%,9,EVEN,Total Birdies: 208,Total Holes: 882
Eagles (Holes per),98.0,6,EVEN,# of Holes: 882,# of Eagles: 9
Total Eagles,9,10,EVEN,: ,: 
Par Breakers,23.58%,9,EVEN,# Birdies/Eagles: 208,# Holes: 882
Scoring Average Final Rnd,69.87,17,EVEN,"Total Strokes: 1,048",Total Rounds: 15
Final Round Performance,62.50%,23,EVEN,: ,: 
Consecutive Fairways Hit,13,80,EVEN,Current Streak: 5,: 
Consecutive Par 3 Birdies,2,32,EVEN,: ,: 
Consecutive Holes below Par,4,17,EVEN,: ,: 
Consecutive GIR,17,35,EVEN,Current Streak: 5,Round: 3
Consecutive Sand Saves,8,14,EVEN,Current Streak: 0,Round: 3
Best YTD Streak w/o a 3-Putt,72,86,EVEN,Current Streak: 62,: 
Current Streak without a 3 Putt,-,-,EVEN,,
YTD Par or Better Streak,12,22,EVEN,: ,: 
Consecutive Birdies Streak,4,15,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,25,EVEN,: ,: 
Charles Schwab Cup Money List,"$727,368",23,EVEN,: ,YTD Victories: 
2024 Charles Schwab Cup Points,-,-,EVEN,,
