Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-3.240,-,EVEN,Total SG:T: -38.883,Measured Rounds: 12
SG: Tee-to-Green,-1.493,-,EVEN,SG:OTT: -0.348,Measured Rounds: 12
SG: Off-the-Tee,-0.348,-,EVEN,Total SG:OTT: -4.180,Measured Rounds: 12
SG: Approach the Green,-0.487,-,EVEN,Total SG:APP: -5.842,Measured Rounds: 12
SG: Around-the-Green,-0.657,-,EVEN,Total SG:ARG: -7.886,Measured Rounds: 12
SG: Putting,-1.748,-,EVEN,Total SG:Putting: -20.974,Measured Rounds: 12
Longest Drives,361,206,EVEN,Tournament: Valero,Round: 2
Driving Distance,302.4,-,EVEN,"Total Distance: 9,677",Total Drives: 32
Driving Distance - All Drives,295.6,-,EVEN,"Total Distance: 48,481",# of Drives: 164
Driving Accuracy Percentage,60.00%,-,EVEN,Fairways Hit: 132,Possible Fairways: 220
Left Rough Tendency,12.96%,-,EVEN,Total Left rough: 21,Possible Fwys: 162
Right Rough Tendency,19.75%,-,EVEN,Total Right rough: 32,Possible Fwys: 162
Distance from Edge of Fairway,37' 3,-,EVEN,"Total Distance (Feet): 2,383.667",Total Strokes: 64
Club Head Speed,116.03,-,EVEN,"Total Club Head Speed: 6,730.02",Total Attempts: 58
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,68.06%,-,EVEN,Greens Hit: 196,# Holes: 288
Proximity to Hole,38' 0,-,EVEN,"Total Distance (feet): 8,062.917",# of Attempts: 212
Approaches from > 275 yards,49' 5,-,EVEN,Total Distance (feet): 148.250,# of Attempts: 3
Approaches from 250-275 yards,93' 6,-,EVEN,Total Distance (feet): 467.500,# of Attempts: 5
Approaches from 225-250 yards,59' 9,-,EVEN,"Total Distance (feet): 1,016.250",# of Attempts: 17
Approaches from 200-225 yards,43' 3,-,EVEN,Total Distance (feet): 864.417,# of Attempts: 20
Approaches from > 200 yards,55' 6,-,EVEN,"Total Distance (feet): 2,496.417",# of Attempts: 45
Approaches from 175-200 yards,31' 7,-,EVEN,"Total Distance (feet): 1,074.167",# of Attempts: 34
Approaches from 150-175 yards,28' 8,-,EVEN,Total Distance (feet): 802.667,# of Attempts: 28
Approaches from 125-150 yards,25' 4,-,EVEN,Total Distance (feet): 430.750,# of Attempts: 17
Approaches from 50-125 yards,16' 2,-,EVEN,Total Distance (feet): 436.917,# of Attempts: 27
Approaches from 100-125 yards,16' 8,-,EVEN,Total Distance (feet): 266.417,# of Attempts: 16
Approaches from 75-100 yards,19' 10,-,EVEN,Total Distance (feet): 138.750,# of Attempts: 7
Approaches from 50-75 yards,7' 11,-,EVEN,Total Distance (feet): 31.750,# of Attempts: 4
Approaches from inside 100 yards,14' 11,-,EVEN,Total Distance (feet): 178.917,# of Attempts: 12
Approaches from > 100 yards,36' 3,-,EVEN,"Total Distance (feet): 5,070.417",# of Attempts: 140
Fairway Proximity,34' 6,-,EVEN,: ,Attempts: 152
Rough Proximity,39' 11,-,EVEN,"Total Distance (inches): 22,506",Attempts: 47
Left Rough Proximity,40' 2,-,EVEN,: ,Attempts: 21
Right Rough Proximity,39' 8,-,EVEN,: ,Attempts: 26
Approaches from > 275 yards (Rgh),82' 5,-,EVEN,Total Distance (feet): 82.417,# of Attempts: 1
Approaches from 250-275 yards (Rgh),38' 2,-,EVEN,Total Distance (feet): 114.583,# of Attempts: 3
Approaches from 225-250 yards (Rgh),69' 8,-,EVEN,Total Distance (feet): 209.000,# of Attempts: 3
Approaches from 200-225 yards (Rgh),57' 5,-,EVEN,Total Distance (feet): 287.250,# of Attempts: 5
Approaches from > 100 yards (Rgh),43' 11,-,EVEN,"Total Distance (feet): 1,667.667",# of Attempts: 38
Approaches from inside 100 yards (Rgh),23' 1,-,EVEN,Total Distance (feet): 207.833,# of Attempts: 9
Approaches from > 200 yards (Rgh),57' 9,-,EVEN,Total Distance (feet): 693.250,# of Attempts: 12
Approaches from 175-200 yards (Rgh),39' 8,-,EVEN,Total Distance (feet): 277.833,# of Attempts: 7
Approaches from 150-175 yards (Rgh),41' 6,-,EVEN,Total Distance (feet): 331.667,# of Attempts: 8
Approaches from 125-150 yards (Rgh),27' 11,-,EVEN,Total Distance (feet): 251.417,# of Attempts: 9
Approaches from 50-125 yards (Rgh),29' 3,-,EVEN,Total Distance (feet): 321.333,# of Attempts: 11
Approaches from 100-125 yards (Rgh),56' 9,-,EVEN,Total Distance (feet): 113.500,# of Attempts: 2
Approaches from 75-100 yards (Rgh),25' 7,-,EVEN,Total Distance (feet): 204.333,# of Attempts: 8
Approaches from 50-75 yards (Rgh),3' 6,-,EVEN,Total Distance (feet): 3.500,# of Attempts: 1
Going for the Green,61.70%,-,EVEN,Attempts: 29,Non-Attempts: 18
Going for the Green - Hit Green Pct.,10.34%,-,EVEN,Successes: 3,Attempts: 29
Going for the Green - Birdie or Better,27.59%,-,EVEN,# of Birdie or Better: 8,Attempts: 29
Total Hole Outs,6,-,EVEN,: ,: 
Longest Hole Outs (in yards),22,159,EVEN,Tournament: RBC Canadian,Round- Course: 2
Scrambling,50.00%,-,EVEN,Par or Better: 46,Missed GIR: 92
Scrambling from the Rough,52.94%,-,EVEN,Successes: 18,Attempts: 34
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,17.65%,-,EVEN,Successes: 3,Attempts: 17
Scrambling from 20-30 yards,50.00%,-,EVEN,Successes: 6,Attempts: 12
Scrambling from 10-20 yards,42.86%,-,EVEN,Successes: 15,Attempts: 35
Scrambling from < 10 yards,90.00%,-,EVEN,Successes: 9,Attempts: 10
Sand Save Percentage,45.00%,-,EVEN,# Saves: 9,# Bunkers: 20
Proximity to Hole from Sand,14' 5,-,EVEN,Total Distance (feet): 201.417,# of Shots: 14
Total Putting,-,-,EVEN,,
Putting Average,1.837,-,EVEN,GIR Putts: 360,Greens Hit: 196
Overall Putting Average,1.701,-,EVEN,# of Putts: 490,# of Holes: 288
Birdie or Better Conversion Percentage,23.08%,-,EVEN,# Birdies: 45,Greens Hit: 195
Putts Per Round,30.63,-,EVEN,Total Putts: 490,Total Rounds: 16
Putts per Round - Round 1,31.71,-,EVEN,Total Putts: 222,Total Rounds: 7
Putts per Round - Round 2,29.71,-,EVEN,Total Putts: 208,Total Rounds: 7
Putts per Round - Round 3,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
Putts per Round - Round 4,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
One-Putt Percentage,30.56%,-,EVEN,# of 1 putts: 88,# of holes: 288
Longest Putts,39' 6,210,EVEN,Year/Tourn#: RBC Canadian,Round: 2
3-Putt Avoidance,4.86%,-,EVEN,Total 3 Putts: 14,Total Holes (overall): 288
Putting from - > 25',3.85%,-,EVEN,Attempts: 52,Putts made: 2
Putting from - 20-25',4.76%,-,EVEN,Attempts: 21,Putts made: 1
Putting from - 15-20',7.69%,-,EVEN,Attempts: 26,Putts made: 2
Putting from - 10-15',13.33%,-,EVEN,Attempts: 30,Putts made: 4
Putting - Inside 10',83.88%,-,EVEN,Attempts: 242,Putts made: 203
Putting from 10',40.00%,-,EVEN,Attempts: 10,: 
Putting from 9',58.33%,-,EVEN,Attempts: 12,: 
Putting from 8',18.18%,-,EVEN,Attempts: 11,: 
Putting from 7',50.00%,-,EVEN,Attempts: 6,: 
Putting from 6',58.33%,-,EVEN,Attempts: 12,: 
Putting from 5',65.38%,-,EVEN,Attempts: 26,: 
Putting from 4-8',52.73%,-,EVEN,Attempts: 55,Putts made: 29
Putting from 4',92.86%,-,EVEN,Attempts: 14,: 
Putting from 3',99.34%,-,EVEN,Attempts: 151,: 
Average Distance of Putts made,58' 7,-,EVEN,"Total Dist. (inches): 8,437",Total Rounds: 12
Approach Putt Performance,2' 3,-,EVEN,: ,Attempts: 150
Scoring Average (Adjusted),73.643,-,EVEN,"Total Strokes: 1,153",Total Adjustment: 25.291
Scoring Average (Actual),72.06,-,EVEN,"Total Strokes: 1,153",Total Rounds: 16
Lowest Round,67,222,EVEN,Tourn/Course: RBC Canadian/TP,Round: 2
Birdie Average,2.94,-,EVEN,# of Birdies: 47,Total Rounds: 16
Total Birdies,47,-,EVEN,: ,: 
Eagles (Holes per),96.0,-,EVEN,# of Holes: 288,# of Eagles: 3
Total Eagles,3,-,EVEN,: ,: 
Par Breakers,17.36%,-,EVEN,# Birdies/Eagles: 50,# Holes: 288
Bounce Back,29.09%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,8.82%,-,EVEN,Par 3 Birdies or Better: 6,Par 3 Holes: 68
Par 4 Birdie or Better Leaders,16.46%,-,EVEN,Par 4 Birdies or Better: 27,Par 4 Holes: 164
Par 5 Birdie or Better Leaders,30.36%,-,EVEN,Par 5 Birdies or Better: 17,Par 5 Holes: 56
Birdie or Better Percentage,17.36%,-,EVEN,Total Birdies: 50,Total Holes: 288
Bogey Avoidance,19.79%,-,EVEN,Bogeys: 57,Holes Played: 288
Final Round Scoring Average,67.00,-,EVEN,Total Strokes: 67,Total Rounds: 1
Final Round Performance,100.00%,-,EVEN,: ,: 
Round 1 Scoring Average,73.14,-,EVEN,Total Strokes: 512,Total Rounds: 7
Round 2 Scoring Average,71.71,-,EVEN,Total Strokes: 502,Total Rounds: 7
Round 3 Scoring Average,72.00,-,EVEN,Total Strokes: 72,Total Rounds: 1
Round 4 Scoring Average,67.00,-,EVEN,Total Strokes: 67,Total Rounds: 1
Par 3 Scoring Average,3.12,-,EVEN,Total Strokes: 212,Total Holes: 68
Par 4 Scoring Average,4.11,-,EVEN,Total Strokes: 674,Total Holes: 164
Par 5 Scoring Average,4.77,-,EVEN,Total Strokes: 267,Total Holes: 56
Front 9 Scoring Average,35.94,-,EVEN,Total Strokes: 575,Total Holes: 16
Back 9 Scoring Average,36.13,-,EVEN,Total Strokes: 578,Total Holes: 16
Early Scoring Average,72.38,-,EVEN,Total Strokes: 579,Total Early Rounds: 8
