Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.159,85,EVEN,Total SG:T: 7.139,Measured Rounds: 45
SG: Tee-to-Green,-0.048,108,EVEN,SG:OTT: 0.157,Measured Rounds: 45
SG: Off-the-Tee,0.157,68,EVEN,Total SG:OTT: 7.072,Measured Rounds: 45
SG: Approach the Green,-0.233,140,EVEN,Total SG:APP: -10.498,Measured Rounds: 45
SG: Around-the-Green,0.028,85,EVEN,Total SG:ARG: 1.264,Measured Rounds: 45
SG: Putting,0.207,47,EVEN,Total SG:Putting: 9.303,Measured Rounds: 45
Longest Drives,375,126,EVEN,Tournament: Corales Puntacana,Round: 3
Driving Distance,307.7,37,EVEN,"Total Distance: 34,459",Total Drives: 112
Driving Distance - All Drives,298.2,39,EVEN,"Total Distance: 186,088",# of Drives: 624
Driving Accuracy Percentage,53.08%,156,EVEN,Fairways Hit: 413,Possible Fairways: 778
Left Rough Tendency,17.89%,167,EVEN,Total Left rough: 110,Possible Fwys: 615
Right Rough Tendency,17.56%,129,EVEN,Total Right rough: 108,Possible Fwys: 615
Distance from Edge of Fairway,34' 9,156,EVEN,"Total Distance (Feet): 9,977.667",Total Strokes: 287
Club Head Speed,120.39,28,EVEN,"Total Club Head Speed: 25,402.83",Total Attempts: 211
Total Driving Efficiency,288,147,EVEN,: ,Carry Efficiency Rank: 154
Greens in Regulation Percentage,66.96%,58,EVEN,Greens Hit: 675,"# Holes: 1,008"
Proximity to Hole,38' 10,134,EVEN,"Total Distance (feet): 31,401.667",# of Attempts: 809
Approaches from > 275 yards,96' 4,157,EVEN,"Total Distance (feet): 1,252.083",# of Attempts: 13
Approaches from 250-275 yards,68' 9,126,EVEN,"Total Distance (feet): 1,307.000",# of Attempts: 19
Approaches from 225-250 yards,50' 9,92,EVEN,"Total Distance (feet): 2,183.583",# of Attempts: 43
Approaches from 200-225 yards,40' 2,57,EVEN,"Total Distance (feet): 2,328.750",# of Attempts: 58
Approaches from > 200 yards,53' 2,125,EVEN,"Total Distance (feet): 7,071.417",# of Attempts: 133
Approaches from 175-200 yards,30' 7,13,EVEN,"Total Distance (feet): 3,427.000",# of Attempts: 112
Approaches from 150-175 yards,32' 0,165,EVEN,"Total Distance (feet): 3,390.917",# of Attempts: 106
Approaches from 125-150 yards,25' 6,145,EVEN,"Total Distance (feet): 2,244.667",# of Attempts: 88
Approaches from 50-125 yards,19' 6,116,EVEN,"Total Distance (feet): 1,771.500",# of Attempts: 91
Approaches from 100-125 yards,21' 2,126,EVEN,Total Distance (feet): 951.167,# of Attempts: 45
Approaches from 75-100 yards,18' 6,113,EVEN,Total Distance (feet): 592.417,# of Attempts: 32
Approaches from 50-75 yards,16' 3,99,EVEN,Total Distance (feet): 227.917,# of Attempts: 14
Approaches from inside 100 yards,17' 10,114,EVEN,Total Distance (feet): 820.333,# of Attempts: 46
Approaches from > 100 yards,35' 4,116,EVEN,"Total Distance (feet): 17,085.167",# of Attempts: 484
Fairway Proximity,33' 9,122,EVEN,: ,Attempts: 530
Rough Proximity,45' 1,85,EVEN,"Total Distance (inches): 114,083",Attempts: 211
Left Rough Proximity,44' 4,86,EVEN,: ,Attempts: 112
Right Rough Proximity,45' 11,99,EVEN,: ,Attempts: 99
Approaches from > 275 yards (Rgh),83' 9,49,EVEN,Total Distance (feet): 502.250,# of Attempts: 6
Approaches from 250-275 yards (Rgh),76' 9,84,EVEN,Total Distance (feet): 614.250,# of Attempts: 8
Approaches from 225-250 yards (Rgh),66' 9,55,EVEN,Total Distance (feet): 734.583,# of Attempts: 11
