Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.612,-,EVEN,Total SG:T: -12.861,Measured Rounds: 21
SG: Tee-to-Green,0.208,-,EVEN,SG:OTT: 0.252,Measured Rounds: 21
SG: Off-the-Tee,0.252,-,EVEN,Total SG:OTT: 5.295,Measured Rounds: 21
SG: Approach the Green,0.302,-,EVEN,Total SG:APP: 6.348,Measured Rounds: 21
SG: Around-the-Green,-0.346,-,EVEN,Total SG:ARG: -7.265,Measured Rounds: 21
SG: Putting,-0.821,-,EVEN,Total SG:Putting: -17.237,Measured Rounds: 21
Longest Drives,373,132,EVEN,Tournament: Mexico Open,Round: 4
Driving Distance,312.3,-,EVEN,"Total Distance: 14,990",Total Drives: 48
Driving Distance - All Drives,300.5,-,EVEN,"Total Distance: 86,544",# of Drives: 288
Driving Accuracy Percentage,55.76%,-,EVEN,Fairways Hit: 184,Possible Fairways: 330
Left Rough Tendency,15.19%,-,EVEN,Total Left rough: 43,Possible Fwys: 283
Right Rough Tendency,18.37%,-,EVEN,Total Right rough: 52,Possible Fwys: 283
Distance from Edge of Fairway,34' 1,-,EVEN,"Total Distance (Feet): 4,163.167",Total Strokes: 122
Club Head Speed,122.29,-,EVEN,"Total Club Head Speed: 11,861.77",Total Attempts: 97
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,73.38%,-,EVEN,Greens Hit: 317,# Holes: 432
Proximity to Hole,39' 2,-,EVEN,"Total Distance (feet): 14,715.583",# of Attempts: 376
Approaches from > 275 yards,99' 6,-,EVEN,Total Distance (feet): 497.583,# of Attempts: 5
Approaches from 250-275 yards,72' 8,-,EVEN,"Total Distance (feet): 1,089.750",# of Attempts: 15
Approaches from 225-250 yards,35' 10,-,EVEN,Total Distance (feet): 430.417,# of Attempts: 12
Approaches from 200-225 yards,46' 1,-,EVEN,"Total Distance (feet): 1,520.500",# of Attempts: 33
Approaches from > 200 yards,54' 5,-,EVEN,"Total Distance (feet): 3,538.250",# of Attempts: 65
Approaches from 175-200 yards,35' 1,-,EVEN,"Total Distance (feet): 1,966.250",# of Attempts: 56
Approaches from 150-175 yards,27' 6,-,EVEN,"Total Distance (feet): 1,455.750",# of Attempts: 53
Approaches from 125-150 yards,23' 10,-,EVEN,"Total Distance (feet): 1,025.000",# of Attempts: 43
Approaches from 50-125 yards,18' 9,-,EVEN,Total Distance (feet): 882.250,# of Attempts: 47
Approaches from 100-125 yards,21' 7,-,EVEN,Total Distance (feet): 540.000,# of Attempts: 25
Approaches from 75-100 yards,15' 10,-,EVEN,Total Distance (feet): 301.000,# of Attempts: 19
Approaches from 50-75 yards,13' 9,-,EVEN,Total Distance (feet): 41.250,# of Attempts: 3
Approaches from inside 100 yards,15' 7,-,EVEN,Total Distance (feet): 342.250,# of Attempts: 22
Approaches from > 100 yards,35' 3,-,EVEN,"Total Distance (feet): 8,525.250",# of Attempts: 242
Fairway Proximity,33' 7,-,EVEN,: ,Attempts: 264
Rough Proximity,45' 0,-,EVEN,"Total Distance (inches): 44,825",Attempts: 83
Left Rough Proximity,42' 1,-,EVEN,: ,Attempts: 39
Right Rough Proximity,47' 8,-,EVEN,: ,Attempts: 44
Approaches from > 275 yards (Rgh),-,-,EVEN,,
Approaches from 250-275 yards (Rgh),107' 5,-,EVEN,Total Distance (feet): 322.250,# of Attempts: 3
Approaches from 225-250 yards (Rgh),61' 2,-,EVEN,Total Distance (feet): 305.667,# of Attempts: 5
Approaches from 200-225 yards (Rgh),68' 2,-,EVEN,Total Distance (feet): 613.250,# of Attempts: 9
Approaches from > 100 yards (Rgh),47' 10,-,EVEN,"Total Distance (feet): 3,347.500",# of Attempts: 70
Approaches from inside 100 yards (Rgh),29' 10,-,EVEN,Total Distance (feet): 387.917,# of Attempts: 13
Approaches from > 200 yards (Rgh),73' 0,-,EVEN,"Total Distance (feet): 1,241.167",# of Attempts: 17
Approaches from 175-200 yards (Rgh),65' 9,-,EVEN,Total Distance (feet): 723.000,# of Attempts: 11
Approaches from 150-175 yards (Rgh),39' 7,-,EVEN,Total Distance (feet): 672.333,# of Attempts: 17
Approaches from 125-150 yards (Rgh),25' 8,-,EVEN,Total Distance (feet): 411.167,# of Attempts: 16
Approaches from 50-125 yards (Rgh),33' 1,-,EVEN,Total Distance (feet): 628.917,# of Attempts: 19
Approaches from 100-125 yards (Rgh),33' 4,-,EVEN,Total Distance (feet): 299.833,# of Attempts: 9
Approaches from 75-100 yards (Rgh),31' 0,-,EVEN,Total Distance (feet): 216.833,# of Attempts: 7
Approaches from 50-75 yards (Rgh),37' 5,-,EVEN,Total Distance (feet): 112.250,# of Attempts: 3
Going for the Green,65.38%,-,EVEN,Attempts: 51,Non-Attempts: 27
Going for the Green - Hit Green Pct.,21.15%,-,EVEN,Successes: 11,Attempts: 52
Going for the Green - Birdie or Better,53.85%,-,EVEN,# of Birdie or Better: 28,Attempts: 52
Total Hole Outs,5,-,EVEN,: ,: 
Longest Hole Outs (in yards),96,67,EVEN,Tournament: The American Express,Round- Course: 1
Scrambling,53.04%,-,EVEN,Par or Better: 61,Missed GIR: 115
Scrambling from the Rough,50.00%,-,EVEN,Successes: 22,Attempts: 44
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,36.00%,-,EVEN,Successes: 9,Attempts: 25
Scrambling from 20-30 yards,36.00%,-,EVEN,Successes: 9,Attempts: 25
Scrambling from 10-20 yards,57.14%,-,EVEN,Successes: 20,Attempts: 35
Scrambling from < 10 yards,85.71%,-,EVEN,Successes: 12,Attempts: 14
Sand Save Percentage,51.35%,-,EVEN,# Saves: 19,# Bunkers: 37
Proximity to Hole from Sand,14' 6,-,EVEN,Total Distance (feet): 391.250,# of Shots: 27
Total Putting,-,-,EVEN,,
Putting Average,1.811,-,EVEN,GIR Putts: 574,Greens Hit: 317
Overall Putting Average,1.694,-,EVEN,# of Putts: 732,# of Holes: 432
Birdie or Better Conversion Percentage,25.40%,-,EVEN,# Birdies: 80,Greens Hit: 315
Putts Per Round,30.50,-,EVEN,Total Putts: 732,Total Rounds: 24
Putts per Round - Round 1,29.57,-,EVEN,Total Putts: 207,Total Rounds: 7
Putts per Round - Round 2,29.43,-,EVEN,Total Putts: 206,Total Rounds: 7
Putts per Round - Round 3,31.80,-,EVEN,Total Putts: 159,Total Rounds: 5
Putts per Round - Round 4,32.00,-,EVEN,Total Putts: 160,Total Rounds: 5
One-Putt Percentage,32.18%,-,EVEN,# of 1 putts: 139,# of holes: 432
Longest Putts,68' 11,14,EVEN,Year/Tourn#: Valspar,Round: 1
3-Putt Avoidance,3.94%,-,EVEN,Total 3 Putts: 17,Total Holes (overall): 432
Putting from - > 25',6.14%,-,EVEN,Attempts: 114,Putts made: 7
Putting from - 20-25',6.67%,-,EVEN,Attempts: 30,Putts made: 2
Putting from - 15-20',9.62%,-,EVEN,Attempts: 52,Putts made: 5
Putting from - 10-15',24.14%,-,EVEN,Attempts: 58,Putts made: 14
Putting - Inside 10',87.41%,-,EVEN,Attempts: 397,Putts made: 347
Putting from 10',33.33%,-,EVEN,Attempts: 18,: 
Putting from 9',41.18%,-,EVEN,Attempts: 17,: 
Putting from 8',58.33%,-,EVEN,Attempts: 12,: 
Putting from 7',55.56%,-,EVEN,Attempts: 9,: 
Putting from 6',52.63%,-,EVEN,Attempts: 19,: 
Putting from 5',78.95%,-,EVEN,Attempts: 19,: 
Putting from 4-8',62.71%,-,EVEN,Attempts: 59,Putts made: 37
Putting from 4',87.50%,-,EVEN,Attempts: 40,: 
Putting from 3',99.62%,-,EVEN,Attempts: 263,: 
Average Distance of Putts made,65' 10,-,EVEN,"Total Dist. (inches): 16,585",Total Rounds: 21
Approach Putt Performance,2' 3,-,EVEN,: ,Attempts: 260
Scoring Average (Adjusted),71.579,-,EVEN,"Total Strokes: 1,698",Total Adjustment: 19.889
Scoring Average (Actual),70.75,-,EVEN,"Total Strokes: 1,698",Total Rounds: 24
Lowest Round,65,129,EVEN,Tourn/Course: Sony Open/Waial,Round: 2
Birdie Average,3.38,-,EVEN,# of Birdies: 81,Total Rounds: 24
Total Birdies,81,-,EVEN,: ,: 
Eagles (Holes per),144.0,-,EVEN,# of Holes: 432,# of Eagles: 3
Total Eagles,3,-,EVEN,: ,: 
Par Breakers,19.44%,-,EVEN,# Birdies/Eagles: 84,# Holes: 432
Bounce Back,25.40%,-,EVEN,: ,: 
Par 3 Birdie or Better Leaders,10.78%,-,EVEN,Par 3 Birdies or Better: 11,Par 3 Holes: 102
Par 4 Birdie or Better Leaders,16.53%,-,EVEN,Par 4 Birdies or Better: 41,Par 4 Holes: 248
Par 5 Birdie or Better Leaders,39.02%,-,EVEN,Par 5 Birdies or Better: 32,Par 5 Holes: 82
Birdie or Better Percentage,19.44%,-,EVEN,Total Birdies: 84,Total Holes: 432
Bogey Avoidance,15.74%,-,EVEN,Bogeys: 68,Holes Played: 432
Final Round Scoring Average,72.00,-,EVEN,Total Strokes: 360,Total Rounds: 5
Final Round Performance,60.00%,-,EVEN,: ,: 
Round 1 Scoring Average,69.71,-,EVEN,Total Strokes: 488,Total Rounds: 7
Round 2 Scoring Average,70.00,-,EVEN,Total Strokes: 490,Total Rounds: 7
Round 3 Scoring Average,72.00,-,EVEN,Total Strokes: 360,Total Rounds: 5
Round 4 Scoring Average,72.00,-,EVEN,Total Strokes: 360,Total Rounds: 5
Par 3 Scoring Average,3.09,-,EVEN,Total Strokes: 315,Total Holes: 102
Par 4 Scoring Average,4.03,-,EVEN,"Total Strokes: 1,000",Total Holes: 248
Par 5 Scoring Average,4.67,-,EVEN,Total Strokes: 383,Total Holes: 82
Front 9 Scoring Average,35.00,-,EVEN,Total Strokes: 840,Total Holes: 24
Back 9 Scoring Average,35.75,-,EVEN,Total Strokes: 858,Total Holes: 24
Early Scoring Average,71.08,-,EVEN,Total Strokes: 853,Total Early Rounds: 12
Late Scoring Average,70.42,-,EVEN,Total Strokes: 845,Total Late Rounds: 12
Consecutive Cuts,-,-,EVEN,,
Current Streak without a 3-Putt,4,372,EVEN,: ,: 
Consecutive Fairways Hit,8,250,EVEN,Current Streak: 0,: 
Consecutive GIR,16,91,EVEN,Current Streak: 0,Round: 4
Consecutive Sand Saves,4,196,EVEN,Current Streak: 3,Round: 2
Best YTD 1-Putt or Better Streak,5,221,EVEN,: ,: 
Best YTD Streak w/o a 3-Putt,61,227,EVEN,Current Streak: 4,: 
YTD Par or Better Streak,8,112,EVEN,: ,: 
Consecutive Par 3 Birdies,2,75,EVEN,: ,: 
Consecutive Holes Below Par,3,162,EVEN,: ,: 
Consecutive Birdies Streak,3,158,EVEN,: ,: 
Consecutive Birdies/Eagles streak,2,70,EVEN,: ,: 
Official Money,"$168,514",184,EVEN,: ,YTD Victories: 
Comcast Business TOUR TOP 10,63,179,EVEN,# of Wins: 0,# of Top 10's: 0
