Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.329,-,EVEN,Total SG:T: 9.874,Measured Rounds: 30
SG: Tee-to-Green,0.568,-,EVEN,SG:OTT: 0.063,Measured Rounds: 30
SG: Off-the-Tee,0.063,-,EVEN,Total SG:OTT: 1.881,Measured Rounds: 30
SG: Approach the Green,0.096,-,EVEN,Total SG:APP: 2.882,Measured Rounds: 30
SG: Around-the-Green,0.409,-,EVEN,Total SG:ARG: 12.285,Measured Rounds: 30
SG: Putting,-0.239,-,EVEN,Total SG:Putting: -7.175,Measured Rounds: 30
Longest Drives,378,148,EVEN,Tournament: Rocket Classic,Round: 1
Driving Distance,310.2,-,EVEN,"Total Distance: 18,612",Total Drives: 60
Driving Distance - All Drives,294.7,-,EVEN,"Total Distance: 123,190",# of Drives: 418
Driving Accuracy Percentage,58.37%,-,EVEN,Fairways Hit: 244,Possible Fairways: 418
Left Rough Tendency,17.48%,-,EVEN,Total Left rough: 72,Possible Fwys: 412
Right Rough Tendency,14.32%,-,EVEN,Total Right rough: 59,Possible Fwys: 412
Distance from Edge of Fairway,29' 0,-,EVEN,"Total Distance (Feet): 4,872.583",Total Strokes: 168
Club Head Speed,114.47,-,EVEN,"Total Club Head Speed: 17,513.95",Total Attempts: 153
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,67.78%,-,EVEN,Greens Hit: 366,# Holes: 540
Proximity to Hole,34' 4,-,EVEN,"Total Distance (feet): 18,471.417",# of Attempts: 538
Approaches from > 275 yards,86' 7,-,EVEN,Total Distance (feet): 865.583,# of Attempts: 10
Approaches from 250-275 yards,47' 3,-,EVEN,Total Distance (feet): 236.333,# of Attempts: 5
Approaches from 225-250 yards,40' 5,-,EVEN,"Total Distance (feet): 1,132.667",# of Attempts: 28
Approaches from 200-225 yards,37' 0,-,EVEN,"Total Distance (feet): 1,368.417",# of Attempts: 37
Approaches from > 200 yards,45' 0,-,EVEN,"Total Distance (feet): 3,603.000",# of Attempts: 80
Approaches from 175-200 yards,31' 3,-,EVEN,"Total Distance (feet): 2,404.917",# of Attempts: 77
Approaches from 150-175 yards,27' 8,-,EVEN,"Total Distance (feet): 2,128.750",# of Attempts: 77
Approaches from 125-150 yards,22' 7,-,EVEN,"Total Distance (feet): 1,353.833",# of Attempts: 60
Approaches from 50-125 yards,18' 7,-,EVEN,"Total Distance (feet): 1,747.417",# of Attempts: 94
Approaches from 100-125 yards,19' 11,-,EVEN,"Total Distance (feet): 1,153.583",# of Attempts: 58
Approaches from 75-100 yards,18' 3,-,EVEN,Total Distance (feet): 492.917,# of Attempts: 27
Approaches from 50-75 yards,11' 3,-,EVEN,Total Distance (feet): 100.917,# of Attempts: 9
Approaches from inside 100 yards,16' 6,-,EVEN,Total Distance (feet): 593.833,# of Attempts: 36
Approaches from > 100 yards,30' 3,-,EVEN,"Total Distance (feet): 10,644.083",# of Attempts: 352
Fairway Proximity,29' 0,-,EVEN,: ,Attempts: 388
Rough Proximity,45' 10,-,EVEN,"Total Distance (inches): 60,511",Attempts: 110
Left Rough Proximity,39' 6,-,EVEN,: ,Attempts: 58
Right Rough Proximity,52' 11,-,EVEN,: ,Attempts: 52
Approaches from > 275 yards (Rgh),104' 5,-,EVEN,Total Distance (feet): 313.333,# of Attempts: 3
Approaches from 250-275 yards (Rgh),74' 0,-,EVEN,Total Distance (feet): 370.083,# of Attempts: 5
Approaches from 225-250 yards (Rgh),80' 0,-,EVEN,Total Distance (feet): 240.000,# of Attempts: 3
Approaches from 200-225 yards (Rgh),72' 10,-,EVEN,Total Distance (feet): 364.333,# of Attempts: 5
Approaches from > 100 yards (Rgh),49' 9,-,EVEN,"Total Distance (feet): 4,677.417",# of Attempts: 94
Approaches from inside 100 yards (Rgh),22' 10,-,EVEN,Total Distance (feet): 365.167,# of Attempts: 16
Approaches from > 200 yards (Rgh),80' 6,-,EVEN,"Total Distance (feet): 1,287.750",# of Attempts: 16
Approaches from 175-200 yards (Rgh),59' 1,-,EVEN,Total Distance (feet): 944.833,# of Attempts: 16
Approaches from 150-175 yards (Rgh),34' 6,-,EVEN,Total Distance (feet): 586.917,# of Attempts: 17
Approaches from 125-150 yards (Rgh),45' 10,-,EVEN,"Total Distance (feet): 1,374.333",# of Attempts: 30
Approaches from 50-125 yards (Rgh),27' 5,-,EVEN,Total Distance (feet): 848.750,# of Attempts: 31
Approaches from 100-125 yards (Rgh),32' 3,-,EVEN,Total Distance (feet): 483.583,# of Attempts: 15
Approaches from 75-100 yards (Rgh),24' 4,-,EVEN,Total Distance (feet): 267.417,# of Attempts: 11
Approaches from 50-75 yards (Rgh),19' 7,-,EVEN,Total Distance (feet): 97.750,# of Attempts: 5
Going for the Green,60.19%,-,EVEN,Attempts: 62,Non-Attempts: 41
Going for the Green - Hit Green Pct.,30.65%,-,EVEN,Successes: 19,Attempts: 62
Going for the Green - Birdie or Better,64.52%,-,EVEN,# of Birdie or Better: 40,Attempts: 62
Total Hole Outs,7,-,EVEN,: ,: 
Longest Hole Outs (in yards),45,120,EVEN,Tournament: Rocket Classic,Round- Course: 2
Scrambling,64.94%,-,EVEN,Par or Better: 113,Missed GIR: 174
Scrambling from the Rough,63.64%,-,EVEN,Successes: 35,Attempts: 55
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,31.25%,-,EVEN,Successes: 10,Attempts: 32
Scrambling from 20-30 yards,51.72%,-,EVEN,Successes: 15,Attempts: 29
Scrambling from 10-20 yards,71.25%,-,EVEN,Successes: 57,Attempts: 80
Scrambling from < 10 yards,96.88%,-,EVEN,Successes: 31,Attempts: 32
Sand Save Percentage,73.17%,-,EVEN,# Saves: 30,# Bunkers: 41
Proximity to Hole from Sand,5' 8,-,EVEN,Total Distance (feet): 226.833,# of Shots: 40
Total Putting,-,-,EVEN,,
Putting Average,1.787,-,EVEN,GIR Putts: 654,Greens Hit: 366
Overall Putting Average,1.620,-,EVEN,# of Putts: 875,# of Holes: 540
Birdie or Better Conversion Percentage,30.14%,-,EVEN,# Birdies: 110,Greens Hit: 365
Putts Per Round,29.17,-,EVEN,Total Putts: 875,Total Rounds: 30
Putts per Round - Round 1,28.90,-,EVEN,Total Putts: 289,Total Rounds: 10
Putts per Round - Round 2,29.70,-,EVEN,Total Putts: 297,Total Rounds: 10
Putts per Round - Round 3,29.20,-,EVEN,Total Putts: 146,Total Rounds: 5
Putts per Round - Round 4,28.60,-,EVEN,Total Putts: 143,Total Rounds: 5
One-Putt Percentage,38.89%,-,EVEN,# of 1 putts: 210,# of holes: 540
