Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.144,-,EVEN,Total SG:T: -0.575,Measured Rounds: 4
SG: Tee-to-Green,-0.697,-,EVEN,SG:OTT: -0.828,Measured Rounds: 4
SG: Off-the-Tee,-0.828,-,EVEN,Total SG:OTT: -3.310,Measured Rounds: 4
SG: Approach the Green,0.369,-,EVEN,Total SG:APP: 1.475,Measured Rounds: 4
SG: Around-the-Green,-0.238,-,EVEN,Total SG:ARG: -0.953,Measured Rounds: 4
SG: Putting,0.553,-,EVEN,Total SG:Putting: 2.213,Measured Rounds: 4
Longest Drives,365,257,EVEN,Tournament: Farmers,Round: 4
Driving Distance,302.9,-,EVEN,"Total Distance: 5,452",Total Drives: 18
Driving Distance - All Drives,296.8,-,EVEN,"Total Distance: 16,622",# of Drives: 56
Driving Accuracy Percentage,39.68%,-,EVEN,Fairways Hit: 50,Possible Fairways: 126
Left Rough Tendency,13.21%,-,EVEN,Total Left rough: 7,Possible Fwys: 53
Right Rough Tendency,33.96%,-,EVEN,Total Right rough: 18,Possible Fwys: 53
Distance from Edge of Fairway,53' 4,-,EVEN,"Total Distance (Feet): 1,866.083",Total Strokes: 35
Club Head Speed,113.38,-,EVEN,"Total Club Head Speed: 1,814.12",Total Attempts: 16
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,62.96%,-,EVEN,Greens Hit: 102,# Holes: 162
Proximity to Hole,42' 9,-,EVEN,"Total Distance (feet): 3,075.000",# of Attempts: 72
Approaches from > 275 yards,76' 9,-,EVEN,Total Distance (feet): 153.500,# of Attempts: 2
Approaches from 250-275 yards,-,-,EVEN,,
Approaches from 225-250 yards,36' 0,-,EVEN,Total Distance (feet): 108.083,# of Attempts: 3
Approaches from 200-225 yards,34' 4,-,EVEN,Total Distance (feet): 240.083,# of Attempts: 7
Approaches from > 200 yards,41' 10,-,EVEN,Total Distance (feet): 501.667,# of Attempts: 12
Approaches from 175-200 yards,37' 2,-,EVEN,Total Distance (feet): 260.417,# of Attempts: 7
Approaches from 150-175 yards,35' 6,-,EVEN,Total Distance (feet): 213.000,# of Attempts: 6
Approaches from 125-150 yards,24' 5,-,EVEN,Total Distance (feet): 97.583,# of Attempts: 4
Approaches from 50-125 yards,17' 2,-,EVEN,Total Distance (feet): 171.333,# of Attempts: 10
Approaches from 100-125 yards,16' 3,-,EVEN,Total Distance (feet): 48.750,# of Attempts: 3
Approaches from 75-100 yards,14' 2,-,EVEN,Total Distance (feet): 56.583,# of Attempts: 4
Approaches from 50-75 yards,22' 0,-,EVEN,Total Distance (feet): 66.000,# of Attempts: 3
Approaches from inside 100 yards,16' 2,-,EVEN,Total Distance (feet): 129.333,# of Attempts: 8
Approaches from > 100 yards,35' 1,-,EVEN,"Total Distance (feet): 1,121.417",# of Attempts: 32
Fairway Proximity,31' 3,-,EVEN,: ,Attempts: 40
Rough Proximity,53' 2,-,EVEN,"Total Distance (inches): 14,038",Attempts: 22
Left Rough Proximity,45' 3,-,EVEN,: ,Attempts: 8
Right Rough Proximity,57' 8,-,EVEN,: ,Attempts: 14
Approaches from > 275 yards (Rgh),115' 4,-,EVEN,Total Distance (feet): 115.333,# of Attempts: 1
Approaches from 250-275 yards (Rgh),-,-,EVEN,,
Approaches from 225-250 yards (Rgh),-,-,EVEN,,
Approaches from 200-225 yards (Rgh),115' 7,-,EVEN,Total Distance (feet): 115.583,# of Attempts: 1
Approaches from > 100 yards (Rgh),60' 5,-,EVEN,"Total Distance (feet): 1,087.083",# of Attempts: 18
Approaches from inside 100 yards (Rgh),20' 8,-,EVEN,Total Distance (feet): 82.750,# of Attempts: 4
Approaches from > 200 yards (Rgh),115' 6,-,EVEN,Total Distance (feet): 230.917,# of Attempts: 2
Approaches from 175-200 yards (Rgh),83' 10,-,EVEN,Total Distance (feet): 251.417,# of Attempts: 3
Approaches from 150-175 yards (Rgh),49' 3,-,EVEN,Total Distance (feet): 295.500,# of Attempts: 6
Approaches from 125-150 yards (Rgh),45' 7,-,EVEN,Total Distance (feet): 273.500,# of Attempts: 6
Approaches from 50-125 yards (Rgh),25' 2,-,EVEN,Total Distance (feet): 100.500,# of Attempts: 4
Approaches from 100-125 yards (Rgh),35' 9,-,EVEN,Total Distance (feet): 35.750,# of Attempts: 1
Approaches from 75-100 yards (Rgh),35' 3,-,EVEN,Total Distance (feet): 35.250,# of Attempts: 1
Approaches from 50-75 yards (Rgh),14' 9,-,EVEN,Total Distance (feet): 29.500,# of Attempts: 2
Going for the Green,43.75%,-,EVEN,Attempts: 7,Non-Attempts: 9
Going for the Green - Hit Green Pct.,.00%,-,EVEN,Successes: 0,Attempts: 8
Going for the Green - Birdie or Better,25.00%,-,EVEN,# of Birdie or Better: 2,Attempts: 8
Total Hole Outs,1,-,EVEN,: ,: 
Longest Hole Outs (in yards),10,291,EVEN,Tournament: Farmers,Round- Course: 3
Scrambling,55.00%,-,EVEN,Par or Better: 33,Missed GIR: 60
Scrambling from the Rough,50.00%,-,EVEN,Successes: 12,Attempts: 24
Scrambling from the Fringe,-,-,EVEN,,
Scrambling from > 30 yards,12.50%,-,EVEN,Successes: 1,Attempts: 8
Scrambling from 20-30 yards,50.00%,-,EVEN,Successes: 4,Attempts: 8
Scrambling from 10-20 yards,61.54%,-,EVEN,Successes: 8,Attempts: 13
Scrambling from < 10 yards,100.00%,-,EVEN,Successes: 7,Attempts: 7
Sand Save Percentage,40.00%,-,EVEN,# Saves: 8,# Bunkers: 20
Proximity to Hole from Sand,13' 11,-,EVEN,Total Distance (feet): 152.667,# of Shots: 11
Total Putting,-,-,EVEN,,
Putting Average,1.725,-,EVEN,GIR Putts: 176,Greens Hit: 102
Overall Putting Average,1.580,-,EVEN,# of Putts: 256,# of Holes: 162
Birdie or Better Conversion Percentage,30.39%,-,EVEN,# Birdies: 31,Greens Hit: 102
Putts Per Round,28.44,-,EVEN,Total Putts: 256,Total Rounds: 9
Putts per Round - Round 1,29.67,-,EVEN,Total Putts: 89,Total Rounds: 3
Putts per Round - Round 2,28.67,-,EVEN,Total Putts: 86,Total Rounds: 3
Putts per Round - Round 3,25.50,-,EVEN,Total Putts: 51,Total Rounds: 2
Putts per Round - Round 4,30.00,-,EVEN,Total Putts: 30,Total Rounds: 1
