Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-1.268,159,EVEN,Total SG:T: -65.918,Measured Rounds: 52
SG: Tee-to-Green,-1.113,159,EVEN,SG:OTT: -0.112,Measured Rounds: 52
SG: Off-the-Tee,-0.112,120,EVEN,Total SG:OTT: -5.831,Measured Rounds: 52
SG: Approach the Green,-1.027,165,EVEN,Total SG:APP: -53.380,Measured Rounds: 52
SG: Around-the-Green,0.026,79,EVEN,Total SG:ARG: 1.345,Measured Rounds: 52
SG: Putting,-0.155,122,EVEN,Total SG:Putting: -8.053,Measured Rounds: 52
Longest Drives,373,177,EVEN,Tournament: U.S. Open,Round: 1
Driving Distance,301.2,103,EVEN,"Total Distance: 36,440",Total Drives: 121
Driving Distance - All Drives,290.9,114,EVEN,"Total Distance: 209,465",# of Drives: 720
Driving Accuracy Percentage,59.46%,86,EVEN,Fairways Hit: 503,Possible Fairways: 846
Left Rough Tendency,16.53%,143,EVEN,Total Left rough: 118,Possible Fwys: 714
Right Rough Tendency,13.59%,41,EVEN,Total Right rough: 97,Possible Fwys: 714
Distance from Edge of Fairway,30' 6,123,EVEN,"Total Distance (Feet): 8,778.667",Total Strokes: 288
Club Head Speed,114.03,130,EVEN,"Total Club Head Speed: 29,420.49",Total Attempts: 258
Total Driving Efficiency,96,44,EVEN,: ,Carry Efficiency Rank: 59
Greens in Regulation Percentage,61.75%,156,EVEN,Greens Hit: 678,"# Holes: 1,098"
Proximity to Hole,40' 4,162,EVEN,"Total Distance (feet): 37,320.667",# of Attempts: 926
Approaches from > 275 yards,87' 10,122,EVEN,"Total Distance (feet): 1,756.500",# of Attempts: 20
Approaches from 250-275 yards,55' 5,30,EVEN,Total Distance (feet): 830.667,# of Attempts: 15
Approaches from 225-250 yards,60' 11,162,EVEN,"Total Distance (feet): 3,471.667",# of Attempts: 57
Approaches from 200-225 yards,48' 6,163,EVEN,"Total Distance (feet): 3,732.167",# of Attempts: 77
Approaches from > 200 yards,57' 11,163,EVEN,"Total Distance (feet): 9,791.000",# of Attempts: 169
Approaches from 175-200 yards,38' 0,161,EVEN,"Total Distance (feet): 4,595.750",# of Attempts: 121
Approaches from 150-175 yards,28' 3,95,EVEN,"Total Distance (feet): 3,814.750",# of Attempts: 135
Approaches from 125-150 yards,27' 2,161,EVEN,"Total Distance (feet): 2,337.667",# of Attempts: 86
Approaches from 50-125 yards,20' 11,157,EVEN,"Total Distance (feet): 3,070.417",# of Attempts: 147
Approaches from 100-125 yards,22' 8,158,EVEN,"Total Distance (feet): 2,062.500",# of Attempts: 91
Approaches from 75-100 yards,17' 2,73,EVEN,Total Distance (feet): 737.833,# of Attempts: 43
Approaches from 50-75 yards,20' 9,149,EVEN,Total Distance (feet): 270.083,# of Attempts: 13
Approaches from inside 100 yards,18' 1,125,EVEN,"Total Distance (feet): 1,048.417",# of Attempts: 58
Approaches from > 100 yards,37' 7,164,EVEN,"Total Distance (feet): 22,601.667",# of Attempts: 602
