Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.366,137,EVEN,Total SG:T: -12.086,Measured Rounds: 33
SG: Tee-to-Green,0.007,98,EVEN,SG:OTT: 0.199,Measured Rounds: 33
SG: Off-the-Tee,0.199,58,EVEN,Total SG:OTT: 6.567,Measured Rounds: 33
SG: Approach the Green,0.051,93,EVEN,Total SG:APP: 1.689,Measured Rounds: 33
SG: Around-the-Green,-0.244,146,EVEN,Total SG:ARG: -8.036,Measured Rounds: 33
SG: Putting,-0.373,150,EVEN,Total SG:Putting: -12.304,Measured Rounds: 33
Longest Drives,378,115,EVEN,Tournament: Farmers,Round: 2
Driving Distance,313.1,14,EVEN,"Total Distance: 22,544",Total Drives: 72
Driving Distance - All Drives,300.6,25,EVEN,"Total Distance: 137,069",# of Drives: 456
Driving Accuracy Percentage,56.02%,131,EVEN,Fairways Hit: 279,Possible Fairways: 498
Left Rough Tendency,16.78%,153,EVEN,Total Left rough: 76,Possible Fwys: 453
Right Rough Tendency,15.23%,76,EVEN,Total Right rough: 69,Possible Fwys: 453
Distance from Edge of Fairway,31' 0,121,EVEN,"Total Distance (Feet): 6,173.750",Total Strokes: 199
Club Head Speed,124.57,5,EVEN,"Total Club Head Speed: 18,934.79",Total Attempts: 152
Total Driving Efficiency,322,164,EVEN,: ,Carry Efficiency Rank: 165
Greens in Regulation Percentage,70.37%,9,EVEN,Greens Hit: 456,# Holes: 648
Proximity to Hole,36' 5,40,EVEN,"Total Distance (feet): 21,384.250",# of Attempts: 587
Approaches from > 275 yards,66' 8,13,EVEN,Total Distance (feet): 333.167,# of Attempts: 5
Approaches from 250-275 yards,65' 8,105,EVEN,Total Distance (feet): 787.833,# of Attempts: 12
Approaches from 225-250 yards,40' 8,5,EVEN,"Total Distance (feet): 1,098.167",# of Attempts: 27
Approaches from 200-225 yards,41' 2,77,EVEN,"Total Distance (feet): 2,181.167",# of Attempts: 53
Approaches from > 200 yards,45' 4,3,EVEN,"Total Distance (feet): 4,400.333",# of Attempts: 97
Approaches from 175-200 yards,30' 4,11,EVEN,"Total Distance (feet): 2,151.750",# of Attempts: 71
Approaches from 150-175 yards,29' 7,132,EVEN,"Total Distance (feet): 2,692.667",# of Attempts: 91
Approaches from 125-150 yards,27' 5,166,EVEN,"Total Distance (feet): 2,030.917",# of Attempts: 74
Approaches from 50-125 yards,19' 7,119,EVEN,"Total Distance (feet): 1,352.417",# of Attempts: 69
Approaches from 100-125 yards,21' 8,139,EVEN,Total Distance (feet): 910.167,# of Attempts: 42
