Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.155,-,EVEN,Total SG:T: 5.564,Measured Rounds: 36
SG: Tee-to-Green,0.673,-,EVEN,SG:OTT: 0.137,Measured Rounds: 36
SG: Off-the-Tee,0.137,-,EVEN,Total SG:OTT: 4.928,Measured Rounds: 36
SG: Approach the Green,0.452,-,EVEN,Total SG:APP: 16.260,Measured Rounds: 36
SG: Around-the-Green,0.085,-,EVEN,Total SG:ARG: 3.055,Measured Rounds: 36
SG: Putting,-0.519,-,EVEN,Total SG:Putting: -18.679,Measured Rounds: 36
Longest Drives,401,44,EVEN,Tournament: Sentry,Round: 4
Driving Distance,299.3,-,EVEN,"Total Distance: 23,944",Total Drives: 80
Driving Distance - All Drives,287.6,-,EVEN,"Total Distance: 144,937",# of Drives: 504
Driving Accuracy Percentage,61.96%,-,EVEN,Fairways Hit: 347,Possible Fairways: 560
Left Rough Tendency,11.73%,-,EVEN,Total Left rough: 59,Possible Fwys: 503
Right Rough Tendency,16.50%,-,EVEN,Total Right rough: 83,Possible Fwys: 503
Distance from Edge of Fairway,25' 7,-,EVEN,"Total Distance (Feet): 5,061.000",Total Strokes: 198
Club Head Speed,117.73,-,EVEN,"Total Club Head Speed: 20,131.95",Total Attempts: 171
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,69.31%,-,EVEN,Greens Hit: 499,# Holes: 720
Proximity to Hole,35' 1,-,EVEN,"Total Distance (feet): 22,538.417",# of Attempts: 642
Approaches from > 275 yards,104' 0,-,EVEN,Total Distance (feet): 832.083,# of Attempts: 8
Approaches from 250-275 yards,61' 9,-,EVEN,"Total Distance (feet): 1,358.167",# of Attempts: 22
Approaches from 225-250 yards,44' 0,-,EVEN,"Total Distance (feet): 1,539.000",# of Attempts: 35
Approaches from 200-225 yards,43' 7,-,EVEN,"Total Distance (feet): 2,395.667",# of Attempts: 55
Approaches from > 200 yards,51' 0,-,EVEN,"Total Distance (feet): 6,124.917",# of Attempts: 120
Approaches from 175-200 yards,32' 4,-,EVEN,"Total Distance (feet): 2,848.333",# of Attempts: 88
Approaches from 150-175 yards,24' 4,-,EVEN,"Total Distance (feet): 1,944.250",# of Attempts: 80
Approaches from 125-150 yards,21' 2,-,EVEN,"Total Distance (feet): 1,670.917",# of Attempts: 79
Approaches from 50-125 yards,18' 6,-,EVEN,"Total Distance (feet): 1,777.167",# of Attempts: 96
Approaches from 100-125 yards,20' 3,-,EVEN,"Total Distance (feet): 1,034.833",# of Attempts: 51
Approaches from 75-100 yards,18' 1,-,EVEN,Total Distance (feet): 542.167,# of Attempts: 30
Approaches from 50-75 yards,13' 4,-,EVEN,Total Distance (feet): 200.167,# of Attempts: 15
Approaches from inside 100 yards,16' 4,-,EVEN,Total Distance (feet): 802.167,# of Attempts: 49
