Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.714,155,EVEN,Total SG:T: -24.263,Measured Rounds: 34
SG: Tee-to-Green,-0.697,155,EVEN,SG:OTT: 0.363,Measured Rounds: 34
SG: Off-the-Tee,0.363,27,EVEN,Total SG:OTT: 12.338,Measured Rounds: 34
SG: Approach the Green,-0.570,163,EVEN,Total SG:APP: -19.383,Measured Rounds: 34
SG: Around-the-Green,-0.490,167,EVEN,Total SG:ARG: -16.648,Measured Rounds: 34
SG: Putting,-0.017,98,EVEN,Total SG:Putting: -0.570,Measured Rounds: 34
Longest Drives,378,115,EVEN,Tournament: Charles Schwab,Round: 2
Driving Distance,306.3,46,EVEN,"Total Distance: 27,571",Total Drives: 90
Driving Distance - All Drives,298.1,42,EVEN,"Total Distance: 139,513",# of Drives: 468
Driving Accuracy Percentage,57.56%,113,EVEN,Fairways Hit: 358,Possible Fairways: 622
Left Rough Tendency,17.13%,160,EVEN,Total Left rough: 80,Possible Fwys: 467
Right Rough Tendency,17.56%,129,EVEN,Total Right rough: 82,Possible Fwys: 467
Distance from Edge of Fairway,30' 3,108,EVEN,"Total Distance (Feet): 6,141.583",Total Strokes: 203
Club Head Speed,117.20,72,EVEN,"Total Club Head Speed: 16,876.85",Total Attempts: 144
Total Driving Efficiency,94,44,EVEN,: ,Carry Efficiency Rank: 40
Greens in Regulation Percentage,66.30%,71,EVEN,Greens Hit: 537,# Holes: 810
Proximity to Hole,38' 8,125,EVEN,"Total Distance (feet): 23,390.833",# of Attempts: 605
Approaches from > 275 yards,81' 2,77,EVEN,"Total Distance (feet): 1,380.083",# of Attempts: 17
Approaches from 250-275 yards,51' 9,7,EVEN,Total Distance (feet): 517.583,# of Attempts: 10
Approaches from 225-250 yards,54' 5,144,EVEN,"Total Distance (feet): 1,849.583",# of Attempts: 34
Approaches from 200-225 yards,43' 10,124,EVEN,"Total Distance (feet): 2,366.500",# of Attempts: 54
Approaches from > 200 yards,53' 2,125,EVEN,"Total Distance (feet): 6,113.750",# of Attempts: 115
Approaches from 175-200 yards,30' 10,16,EVEN,"Total Distance (feet): 2,494.750",# of Attempts: 81
Approaches from 150-175 yards,30' 9,152,EVEN,"Total Distance (feet): 2,304.333",# of Attempts: 75
Approaches from 125-150 yards,25' 1,137,EVEN,"Total Distance (feet): 1,830.833",# of Attempts: 73
Approaches from 50-125 yards,19' 9,128,EVEN,"Total Distance (feet): 1,461.833",# of Attempts: 74
Approaches from 100-125 yards,19' 3,58,EVEN,Total Distance (feet): 788.333,# of Attempts: 41
Approaches from 75-100 yards,22' 9,167,EVEN,Total Distance (feet): 522.833,# of Attempts: 23
Approaches from 50-75 yards,15' 1,79,EVEN,Total Distance (feet): 150.667,# of Attempts: 10
Approaches from inside 100 yards,20' 8,162,EVEN,Total Distance (feet): 724.000,# of Attempts: 35
Approaches from > 100 yards,35' 2,113,EVEN,"Total Distance (feet): 13,532.000",# of Attempts: 385
Fairway Proximity,33' 11,130,EVEN,: ,Attempts: 420
Rough Proximity,46' 8,131,EVEN,"Total Distance (inches): 79,545",Attempts: 142
Left Rough Proximity,48' 9,155,EVEN,: ,Attempts: 67
Right Rough Proximity,44' 10,69,EVEN,: ,Attempts: 75
Approaches from > 275 yards (Rgh),93' 2,83,EVEN,Total Distance (feet): 372.583,# of Attempts: 4
Approaches from 250-275 yards (Rgh),136' 2,169,EVEN,Total Distance (feet): 136.167,# of Attempts: 1
Approaches from 225-250 yards (Rgh),93' 10,164,EVEN,Total Distance (feet): 656.833,# of Attempts: 7
Approaches from 200-225 yards (Rgh),73' 5,142,EVEN,Total Distance (feet): 880.750,# of Attempts: 12
Approaches from > 100 yards (Rgh),50' 1,127,EVEN,"Total Distance (feet): 6,014.917",# of Attempts: 120
Approaches from inside 100 yards (Rgh),27' 11,140,EVEN,Total Distance (feet): 613.833,# of Attempts: 22
Approaches from > 200 yards (Rgh),85' 3,167,EVEN,"Total Distance (feet): 2,046.333",# of Attempts: 24
