Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,0.246,79,EVEN,Total SG:T: 16.210,Measured Rounds: 66
SG: Tee-to-Green,0.104,90,EVEN,SG:OTT: 0.092,Measured Rounds: 66
SG: Off-the-Tee,0.092,79,EVEN,Total SG:OTT: 6.055,Measured Rounds: 66
SG: Approach the Green,-0.284,142,EVEN,Total SG:APP: -18.758,Measured Rounds: 66
SG: Around-the-Green,0.296,19,EVEN,Total SG:ARG: 19.564,Measured Rounds: 66
SG: Putting,0.142,60,EVEN,Total SG:Putting: 9.348,Measured Rounds: 66
Longest Drives,403,39,EVEN,Tournament: Sentry,Round: 1
Driving Distance,312.9,23,EVEN,"Total Distance: 47,559",Total Drives: 152
Driving Distance - All Drives,304.8,8,EVEN,"Total Distance: 280,435",# of Drives: 920
Driving Accuracy Percentage,55.09%,132,EVEN,Fairways Hit: 584,"Possible Fairways: 1,060"
Left Rough Tendency,14.00%,96,EVEN,Total Left rough: 127,Possible Fwys: 907
Right Rough Tendency,18.19%,147,EVEN,Total Right rough: 165,Possible Fwys: 907
Distance from Edge of Fairway,33' 5,151,EVEN,"Total Distance (Feet): 12,905.917",Total Strokes: 386
Club Head Speed,123.51,10,EVEN,"Total Club Head Speed: 29,767.10",Total Attempts: 241
Total Driving Efficiency,256,129,EVEN,: ,Carry Efficiency Rank: 110
Greens in Regulation Percentage,65.72%,100,EVEN,Greens Hit: 899,"# Holes: 1,368"
Proximity to Hole,37' 8,114,EVEN,"Total Distance (feet): 44,382.500","# of Attempts: 1,179"
Approaches from > 275 yards,86' 10,113,EVEN,Total Distance (feet): 781.750,# of Attempts: 9
Approaches from 250-275 yards,75' 6,158,EVEN,"Total Distance (feet): 1,811.833",# of Attempts: 24
Approaches from 225-250 yards,51' 1,101,EVEN,"Total Distance (feet): 2,504.833",# of Attempts: 49
Approaches from 200-225 yards,42' 7,122,EVEN,"Total Distance (feet): 4,726.250",# of Attempts: 111
Approaches from > 200 yards,50' 11,100,EVEN,"Total Distance (feet): 9,824.667",# of Attempts: 193
Approaches from 175-200 yards,34' 0,103,EVEN,"Total Distance (feet): 4,554.833",# of Attempts: 134
Approaches from 150-175 yards,27' 5,56,EVEN,"Total Distance (feet): 3,728.583",# of Attempts: 136
Approaches from 125-150 yards,24' 2,115,EVEN,"Total Distance (feet): 3,022.417",# of Attempts: 125
Approaches from 50-125 yards,19' 3,121,EVEN,"Total Distance (feet): 3,883.833",# of Attempts: 202
Approaches from 100-125 yards,20' 6,121,EVEN,"Total Distance (feet): 2,276.500",# of Attempts: 111
Approaches from 75-100 yards,17' 8,84,EVEN,"Total Distance (feet): 1,216.750",# of Attempts: 69
