Stat Title,Value,Rank,Above/Below,Supporting Stat,Supporting Value
SG: Total,-0.180,-,EVEN,Total SG:T: -6.127,Measured Rounds: 34
SG: Tee-to-Green,-0.004,-,EVEN,SG:OTT: -0.484,Measured Rounds: 34
SG: Off-the-Tee,-0.484,-,EVEN,Total SG:OTT: -16.445,Measured Rounds: 34
SG: Approach the Green,0.379,-,EVEN,Total SG:APP: 12.871,Measured Rounds: 34
SG: Around-the-Green,0.101,-,EVEN,Total SG:ARG: 3.438,Measured Rounds: 34
SG: Putting,-0.176,-,EVEN,Total SG:Putting: -5.990,Measured Rounds: 34
Longest Drives,336,495,EVEN,Tournament: ISCO Championship,Round: 4
Driving Distance,289.7,-,EVEN,"Total Distance: 24,912",Total Drives: 86
Driving Distance - All Drives,283.3,-,EVEN,"Total Distance: 134,834",# of Drives: 476
Driving Accuracy Percentage,64.62%,-,EVEN,Fairways Hit: 389,Possible Fairways: 602
Left Rough Tendency,11.63%,-,EVEN,Total Left rough: 55,Possible Fwys: 473
Right Rough Tendency,15.43%,-,EVEN,Total Right rough: 73,Possible Fwys: 473
Distance from Edge of Fairway,21' 4,-,EVEN,"Total Distance (Feet): 3,583.083",Total Strokes: 168
Club Head Speed,109.25,-,EVEN,"Total Club Head Speed: 18,463.89",Total Attempts: 169
Total Driving Efficiency,"1,998",-,EVEN,: ,Carry Efficiency Rank: 999
Greens in Regulation Percentage,65.89%,-,EVEN,Greens Hit: 510,# Holes: 774
Proximity to Hole,36' 0,-,EVEN,"Total Distance (feet): 21,981.750",# of Attempts: 610
Approaches from > 275 yards,71' 8,-,EVEN,Total Distance (feet): 788.417,# of Attempts: 11
Approaches from 250-275 yards,63' 3,-,EVEN,"Total Distance (feet): 1,074.833",# of Attempts: 17
Approaches from 225-250 yards,45' 1,-,EVEN,"Total Distance (feet): 1,667.917",# of Attempts: 37
Approaches from 200-225 yards,37' 3,-,EVEN,"Total Distance (feet): 2,644.250",# of Attempts: 71
Approaches from > 200 yards,45' 5,-,EVEN,"Total Distance (feet): 6,175.417",# of Attempts: 136
Approaches from 175-200 yards,39' 1,-,EVEN,"Total Distance (feet): 3,284.833",# of Attempts: 84
Approaches from 150-175 yards,30' 4,-,EVEN,"Total Distance (feet): 2,272.667",# of Attempts: 75
Approaches from 125-150 yards,24' 0,-,EVEN,"Total Distance (feet): 1,753.417",# of Attempts: 73
Approaches from 50-125 yards,18' 6,-,EVEN,"Total Distance (feet): 1,718.500",# of Attempts: 93
Approaches from 100-125 yards,19' 0,-,EVEN,Total Distance (feet): 722.083,# of Attempts: 38
Approaches from 75-100 yards,15' 11,-,EVEN,Total Distance (feet): 684.083,# of Attempts: 43
Approaches from 50-75 yards,26' 0,-,EVEN,Total Distance (feet): 312.333,# of Attempts: 12
Approaches from inside 100 yards,17' 11,-,EVEN,"Total Distance (feet): 1,004.167",# of Attempts: 56
Approaches from > 100 yards,35' 0,-,EVEN,"Total Distance (feet): 14,208.417",# of Attempts: 406
Fairway Proximity,32' 11,-,EVEN,: ,Attempts: 462
Rough Proximity,43' 7,-,EVEN,"Total Distance (inches): 63,278",Attempts: 121
Left Rough Proximity,44' 3,-,EVEN,: ,Attempts: 54
Right Rough Proximity,43' 1,-,EVEN,: ,Attempts: 67
Approaches from > 275 yards (Rgh),120' 8,-,EVEN,Total Distance (feet): 241.250,# of Attempts: 2
