,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tiger Woods,1,69,65,71,70,275,-13,"$1,080,000.00"
1,Graeme McDowell,2,72,63,71,74,280,-8,"$648,000.00"
2,Ian Poulter,3,71,69,68,74,282,-6,"$408,000.00"
3,Kevin Na,T4,73,68,69,73,283,-5,"$209,571.43"
4,Bubba Watson,T4,69,70,72,72,283,-5,"$209,571.43"
5,Ryan Moore,T4,71,71,71,70,283,-5,"$209,571.43"
6,Johnson Wagner,T4,71,69,69,74,283,-5,"$209,571.43"
7,Ernie Els,T4,71,70,67,75,283,-5,"$209,571.42"
8,Brian Davis,T4,70,73,70,70,283,-5,"$209,571.43"
9,Bud Cauley,T4,70,73,68,72,283,-5,"$209,571.43"
10,Tim Herron,T11,74,71,68,71,284,-4,"$132,000.00"
11,Jim Furyk,T11,72,72,70,70,284,-4,"$132,000.00"
12,Trevor Immelman,T11,73,69,71,71,284,-4,"$132,000.00"
13,Zach Johnson,T11,71,68,72,73,284,-4,"$132,000.00"
14,Justin Rose,T15,69,69,74,73,285,-3,"$96,000.00"
15,Brian Harman,T15,77,69,71,68,285,-3,"$96,000.00"
16,Jason Dufner,T15,66,69,77,73,285,-3,"$96,000.00"
17,Henrik Stenson,T15,72,74,69,70,285,-3,"$96,000.00"
18,Chris Stroud,T15,70,69,72,74,285,-3,"$96,000.00"
19,S.Y. Noh,T20,73,73,67,73,286,-2,"$69,900.00"
20,Greg Owen,T20,73,74,67,72,286,-2,"$69,900.00"
21,John Rollins,T20,71,72,71,72,286,-2,"$69,900.00"
22,Charles Howell III,T20,73,68,68,77,286,-2,"$69,900.00"
23,Jimmy Walker,T24,69,72,76,70,287,-1,"$49,800.00"
24,Vijay Singh,T24,71,68,75,73,287,-1,"$49,800.00"
25,Phil Mickelson,T24,73,71,71,72,287,-1,"$49,800.00"
26,Matt Every,T24,73,72,72,70,287,-1,"$49,800.00"
27,Kevin Chappell,T24,73,69,73,72,287,-1,"$49,800.00"
28,Charlie Wi,T29,66,68,76,78,288,E,"$39,900.00"
29,J.B. Holmes,T29,71,75,74,68,288,E,"$39,900.00"
30,Sean O'Hair,T29,69,72,70,77,288,E,"$39,900.00"
31,Bill Haas,T29,73,72,72,71,288,E,"$39,900.00"
32,George McNeill,T33,73,72,73,71,289,+1,"$33,900.00"
33,Daniel Summerhays,T33,72,70,73,74,289,+1,"$33,900.00"
34,Sergio Garcia,T33,72,67,75,75,289,+1,"$33,900.00"
35,Rod Pampling,T36,75,70,73,72,290,+2,"$27,650.00"
36,K.J. Choi,T36,69,72,72,77,290,+2,"$27,650.00"
37,Martin Laird,T36,72,68,74,76,290,+2,"$27,650.00"
38,Kris Blanks,T36,71,72,73,74,290,+2,"$27,650.00"
39,Webb Simpson,T36,73,66,73,78,290,+2,"$27,650.00"
40,Michael Thompson,T36,74,72,72,72,290,+2,"$27,650.00"
41,Camilo Villegas,T42,73,69,74,75,291,+3,"$20,400.00"
42,Hunter Mahan,T42,72,73,71,75,291,+3,"$20,400.00"
43,Andres Romero,T42,73,74,73,71,291,+3,"$20,400.00"
44,Chad Campbell,T42,71,76,69,75,291,+3,"$20,400.00"
45,Brian Gay,T42,72,73,71,75,291,+3,"$20,400.00"
46,Josh Teater,T42,74,73,67,77,291,+3,"$20,400.00"
47,Scott Stallings,T48,74,72,75,71,292,+4,"$15,264.00"
48,Dicky Pride,T48,74,73,72,73,292,+4,"$15,264.00"
49,Robert Allenby,T48,72,75,72,73,292,+4,"$15,264.00"
50,Marc Leishman,T48,70,71,72,79,292,+4,"$15,264.00"
51,Gary Woodland,T48,75,68,70,79,292,+4,"$15,264.00"
52,D.J. Trahan,T53,76,70,70,77,293,+5,"$13,760.00"
53,Freddie Jacobson,T53,77,70,73,73,293,+5,"$13,760.00"
54,Lee Janzen,T53,74,72,71,76,293,+5,"$13,760.00"
55,Skip Kendall,T53,71,73,75,74,293,+5,"$13,760.00"
56,Boo Weekley,T53,74,72,72,75,293,+5,"$13,760.00"
57,Ryo Ishikawa,T53,73,74,71,75,293,+5,"$13,760.00"
58,Justin Leonard,T59,75,70,73,76,294,+6,"$13,140.00"
59,Mark Wilson,T59,77,70,71,76,294,+6,"$13,140.00"
60,Charley Hoffman,T59,76,71,72,75,294,+6,"$13,140.00"
61,Nick Watney,T59,68,73,79,74,294,+6,"$13,140.00"
62,William McGirt,T63,73,74,77,71,295,+7,"$12,720.00"
63,Bobby Gates,T63,74,72,75,74,295,+7,"$12,720.00"
64,Brandt Snedeker,T63,73,73,77,72,295,+7,"$12,720.00"
65,Anthony Kim,T66,69,74,72,83,298,+10,"$12,300.00"
66,Billy Hurley III,T66,75,72,75,76,298,+10,"$12,300.00"
67,Colt Knost,T66,76,71,76,75,298,+10,"$12,300.00"
68,Martin Flores,T66,74,72,73,79,298,+10,"$12,300.00"
