,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Mark Wilson,1,66,62,67,69,264,-24,"$1,008,000.00"
1,Robert Garrigus,T2,73,64,61,68,266,-22,"$418,133.33"
2,Johnson Wagner,T2,68,67,66,65,266,-22,"$418,133.34"
3,John Mallinger,T2,67,65,68,66,266,-22,"$418,133.33"
4,Jeff Maggert,5,69,65,69,64,267,-21,"$224,000.00"
5,John Senden,T6,69,64,68,67,268,-20,"$194,600.00"
6,David Toms,T6,63,65,72,68,268,-20,"$194,600.00"
7,Ben Crane,T8,65,63,70,71,269,-19,"$156,800.00"
8,Zach Johnson,T8,68,65,65,71,269,-19,"$156,800.00"
9,Brandt Snedeker,T8,64,68,66,71,269,-19,"$156,800.00"
10,Bobby Gates,T8,68,63,71,67,269,-19,"$156,800.00"
11,Brendon de Jonge,T12,65,71,70,64,270,-18,"$123,200.00"
12,Jason Dufner,T12,71,63,68,68,270,-18,"$123,200.00"
13,Pat Perez,T14,67,67,74,63,271,-17,"$95,200.00"
14,Gary Christian,T14,66,68,73,64,271,-17,"$95,200.00"
15,Rory Sabbatini,T14,68,68,68,67,271,-17,"$95,200.00"
16,Martin Laird,T14,66,69,67,69,271,-17,"$95,200.00"
17,Sangmoon Bae,T14,64,69,72,66,271,-17,"$95,200.00"
18,Camilo Villegas,T19,63,68,72,69,272,-16,"$72,800.00"
19,Steve Marino,T19,65,68,68,71,272,-16,"$72,800.00"
20,Harris English,T19,69,62,73,68,272,-16,"$72,800.00"
21,Matt Kuchar,T22,71,67,70,65,273,-15,"$56,000.00"
22,Josh Teater,T22,71,66,67,69,273,-15,"$56,000.00"
23,Bob Estes,T22,64,70,71,68,273,-15,"$56,000.00"
24,Stephen Ames,T22,66,67,70,70,273,-15,"$56,000.00"
25,Paul Goydos,T26,70,69,69,66,274,-14,"$42,280.00"
26,Jarrod Lyle,T26,68,67,67,72,274,-14,"$42,280.00"
27,James Driscoll,T26,69,70,68,67,274,-14,"$42,280.00"
28,Brendon Todd,T26,66,67,69,72,274,-14,"$42,280.00"
29,William McGirt,T30,67,71,68,69,275,-13,"$31,857.78"
30,Cameron Tringale,T30,68,64,71,72,275,-13,"$31,857.77"
31,Bud Cauley,T30,66,67,71,71,275,-13,"$31,857.78"
32,Kevin Chappell,T30,65,68,72,70,275,-13,"$31,857.78"
33,Miguel Angel Carballo,T30,69,66,70,70,275,-13,"$31,857.78"
34,Jason Bohn,T30,68,70,71,66,275,-13,"$31,857.77"
35,Kevin Na,T30,66,68,73,68,275,-13,"$31,857.78"
36,Chris DiMarco,T30,68,64,72,71,275,-13,"$31,857.78"
37,Brett Quigley,T30,67,68,70,70,275,-13,"$31,857.78"
38,Chez Reavie,T39,70,70,70,66,276,-12,"$24,080.00"
39,Lee Janzen,T39,69,66,72,69,276,-12,"$24,080.00"
40,Ken Duke,T39,67,65,74,70,276,-12,"$24,080.00"
41,Brian Gay,T42,69,68,72,68,277,-11,"$18,512.00"
42,Carl Pettersson,T42,71,70,67,69,277,-11,"$18,512.00"
43,Ryan Moore,T42,72,61,75,69,277,-11,"$18,512.00"
44,Erik Compton,T42,67,69,72,69,277,-11,"$18,512.00"
45,Kyle Reifers,T42,69,69,67,72,277,-11,"$18,512.00"
46,Roberto Castro,T42,68,70,70,69,277,-11,"$18,512.00"
