,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Ryan Moore,1,61,68,65,66,260,-24,"$810,000.00"
1,Brendon de Jonge,2,62,66,66,67,261,-23,"$486,000.00"
2,Jonas Blixt,3,64,64,66,70,264,-20,"$306,000.00"
3,Jason Day,4,69,68,64,65,266,-18,"$216,000.00"
4,Bill Lunde,5,67,69,67,66,269,-15,"$180,000.00"
5,Scott Piercy,T6,67,66,73,64,270,-14,"$156,375.00"
6,Richard Lee,T6,66,68,71,65,270,-14,"$156,375.00"
7,Blake Adams,T8,65,70,68,68,271,-13,"$135,000.00"
8,Jason Bohn,T8,71,66,64,70,271,-13,"$135,000.00"
9,Jimmy Walker,T10,67,66,66,73,272,-12,"$112,500.00"
10,Nick Watney,T10,66,66,71,69,272,-12,"$112,500.00"
11,Tim Herron,T10,63,68,68,73,272,-12,"$112,500.00"
12,Mathew Goggin,T13,68,69,70,66,273,-11,"$72,500.00"
13,Heath Slocum,T13,67,67,74,65,273,-11,"$72,500.00"
14,Colt Knost,T13,68,67,66,72,273,-11,"$72,500.00"
15,Jeff Overton,T13,70,66,68,69,273,-11,"$72,500.00"
16,Brendan Steele,T13,69,67,70,67,273,-11,"$72,500.00"
17,Michael Thompson,T13,70,66,68,69,273,-11,"$72,500.00"
18,Bobby Gates,T13,70,67,66,70,273,-11,"$72,500.00"
19,Russell Knox,T13,66,67,68,72,273,-11,"$72,500.00"
20,John Huh,T13,63,69,72,69,273,-11,"$72,500.00"
21,Patrick Reed,T22,65,69,70,70,274,-10,"$39,487.50"
22,Bob Estes,T22,69,68,68,69,274,-10,"$39,487.50"
23,Ángel Cabrera,T22,68,70,67,69,274,-10,"$39,487.50"
24,Josh Teater,T22,70,65,67,72,274,-10,"$39,487.50"
25,John Mallinger,T22,70,65,72,67,274,-10,"$39,487.50"
26,Kevin Streelman,T22,68,67,68,71,274,-10,"$39,487.50"
27,Kevin Na,T22,68,66,70,70,274,-10,"$39,487.50"
28,Robert Garrigus,T22,66,68,73,67,274,-10,"$39,487.50"
29,Camilo Villegas,T30,70,66,68,71,275,-9,"$29,250.00"
30,Kevin Stadler,T30,66,68,72,69,275,-9,"$29,250.00"
31,David Hearn,T30,68,70,69,68,275,-9,"$29,250.00"
32,Justin Leonard,T33,64,69,71,72,276,-8,"$25,425.00"
33,Ricky Barnes,T33,68,69,70,69,276,-8,"$25,425.00"
34,Chris Riley,T33,68,70,69,69,276,-8,"$25,425.00"
35,Vijay Singh,T36,66,66,71,74,277,-7,"$18,922.50"
36,Ken Duke,T36,66,68,68,75,277,-7,"$18,922.50"
37,Stewart Cink,T36,68,69,68,72,277,-7,"$18,922.50"
38,Andres Romero,T36,68,66,72,71,277,-7,"$18,922.50"
39,Daniel Summerhays,T36,68,63,72,74,277,-7,"$18,922.50"
