,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Bill Haas,1,72,68,68,69,277,-7,"$1,188,000.00"
1,Phil Mickelson,T2,66,70,70,71,277,-7,"$580,800.00"
2,Keegan Bradley,T2,71,69,66,71,277,-7,"$580,800.00"
3,Dustin Johnson,T4,71,70,67,71,279,-5,"$259,875.00"
4,Jimmy Walker,T4,72,66,72,69,279,-5,"$259,875.00"
5,Jarrod Lyle,T4,73,65,71,70,279,-5,"$259,875.00"
6,Sergio Garcia,T4,69,76,70,64,279,-5,"$259,875.00"
7,Bo Van Pelt,T8,74,68,68,70,280,-4,"$191,400.00"
8,Jonathan Byrd,T8,68,70,69,73,280,-4,"$191,400.00"
9,J.B. Holmes,T8,67,73,70,70,280,-4,"$191,400.00"
10,Aaron Baddeley,T11,73,69,66,73,281,-3,"$158,400.00"
11,Jim Furyk,T11,72,70,69,70,281,-3,"$158,400.00"
12,Justin Rose,T13,70,70,71,71,282,-2,"$123,750.00"
13,Freddie Jacobson,T13,72,72,71,67,282,-2,"$123,750.00"
14,Pat Perez,T13,72,65,70,75,282,-2,"$123,750.00"
15,Bubba Watson,T13,70,69,72,71,282,-2,"$123,750.00"
16,Marc Leishman,T17,70,69,71,73,283,-1,"$86,365.71"
17,Ryan Moore,T17,72,69,68,74,283,-1,"$86,365.71"
18,Adam Scott,T17,73,71,69,70,283,-1,"$86,365.72"
19,Bryce Molder,T17,74,67,66,76,283,-1,"$86,365.71"
20,Zach Johnson,T17,71,69,71,72,283,-1,"$86,365.71"
21,Michael Thompson,T17,72,72,71,68,283,-1,"$86,365.72"
22,Brandt Snedeker,T17,75,70,68,70,283,-1,"$86,365.72"
23,Johnson Wagner,T24,73,71,68,72,284,E,"$49,940.00"
24,Kyle Stanley,T24,74,68,70,72,284,E,"$49,940.00"
25,Kevin Chappell,T24,73,67,73,71,284,E,"$49,940.00"
26,Cameron Tringale,T24,70,74,69,71,284,E,"$49,940.00"
27,Kevin Stadler,T24,71,71,72,70,284,E,"$49,940.00"
28,K.J. Choi,T24,69,71,74,70,284,E,"$49,940.00"
29,Matt Kuchar,T24,69,69,75,71,284,E,"$49,940.00"
30,Ryan Palmer,T24,76,69,68,71,284,E,"$49,940.00"
31,Hunter Mahan,T24,67,75,70,72,284,E,"$49,940.00"
32,Vijay Singh,33,74,70,71,70,285,+1,"$38,940.00"
33,Retief Goosen,T34,73,67,72,74,286,+2,"$31,927.50"
34,Charlie Wi,T34,75,69,70,72,286,+2,"$31,927.50"
35,Briny Baird,T34,71,70,72,73,286,+2,"$31,927.50"
36,Carl Pettersson,T34,68,70,76,72,286,+2,"$31,927.50"
37,Y.E. Yang,T34,72,72,69,73,286,+2,"$31,927.50"
38,Jason Kokrak,T34,76,67,70,73,286,+2,"$31,927.50"
39,J.J. Killeen,T34,71,69,71,75,286,+2,"$31,927.50"
40,Nick Watney,T34,73,70,69,74,286,+2,"$31,927.50"
41,Brendon de Jonge,T42,73,69,71,74,287,+3,"$25,080.00"
42,Erik Compton,T42,73,72,69,73,287,+3,"$25,080.00"
43,John Senden,T44,73,70,72,73,288,+4,"$20,512.80"
44,Padraig Harrington,T44,74,70,74,70,288,+4,"$20,512.80"
45,David Hearn,T44,70,73,74,71,288,+4,"$20,512.80"
46,Jeff Overton,T44,73,72,71,72,288,+4,"$20,512.80"
47,Graham DeLaet,T44,73,68,73,74,288,+4,"$20,512.80"
48,Bobby Gates,T49,73,72,69,75,289,+5,"$16,676.00"
49,Harrison Frazar,T49,71,74,74,70,289,+5,"$16,676.00"
50,George McNeill,T49,76,67,73,73,289,+5,"$16,676.00"
51,Tommy Gainey,T52,70,73,70,77,290,+6,"$15,477.00"
52,Jason Dufner,T52,72,72,73,73,290,+6,"$15,477.00"
53,Bud Cauley,T52,74,70,71,75,290,+6,"$15,477.00"
54,Spencer Levin,T52,73,66,73,78,290,+6,"$15,477.00"
55,John Mallinger,T56,71,71,75,74,291,+7,"$14,916.00"
56,Kevin Streelman,T56,74,70,71,76,291,+7,"$14,916.00"
57,Luke Donald,T56,70,72,71,78,291,+7,"$14,916.00"
58,Vaughn Taylor,T59,72,71,73,76,292,+8,"$14,520.00"
59,Ken Duke,T59,69,72,78,73,292,+8,"$14,520.00"
60,Ernie Els,T59,73,68,73,78,292,+8,"$14,520.00"
61,Billy Mayfair,T62,72,73,72,76,293,+9,"$13,992.00"
62,Joe Ogilvie,T62,71,71,72,79,293,+9,"$13,992.00"
63,Ricky Barnes,T62,71,71,77,74,293,+9,"$13,992.00"
64,Jason Day,T62,73,71,75,74,293,+9,"$13,992.00"
65,Rickie Fowler,T62,75,69,70,79,293,+9,"$13,992.00"
66,Cameron Beckman,T67,70,75,71,78,294,+10,"$13,530.00"
67,Stewart Cink,T67,69,71,74,80,294,+10,"$13,530.00"
68,Troy Matteson,T69,68,75,77,75,295,+11,"$13,200.00"
69,Gary Woodland,T69,73,71,74,77,295,+11,"$13,200.00"
