,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,George McNeill,1,66,70,67,69,272,-16,"$630,000.00"
1,Ryo Ishikawa,2,70,67,69,68,274,-14,"$378,000.00"
2,Henrik Stenson,T3,70,69,65,71,275,-13,"$203,000.00"
3,Boo Weekley,T3,70,68,71,66,275,-13,"$203,000.00"
4,Matt Jones,T5,66,67,72,71,276,-12,"$133,000.00"
5,Scott Brown,T5,69,72,65,70,276,-12,"$133,000.00"
6,Kevin Stadler,T7,69,69,66,73,277,-11,"$112,875.00"
7,Daniel Summerhays,T7,68,70,68,71,277,-11,"$112,875.00"
8,Graham DeLaet,T9,69,70,68,71,278,-10,"$94,500.00"
9,Brandt Jobe,T9,76,69,67,66,278,-10,"$94,500.00"
10,Blake Adams,T9,74,68,68,68,278,-10,"$94,500.00"
11,Todd Hamilton,T12,68,69,73,69,279,-9,"$77,000.00"
12,Roland Thatcher,T12,69,71,68,71,279,-9,"$77,000.00"
13,Ben Curtis,T14,67,73,68,72,280,-8,"$57,750.00"
14,Brendon Todd,T14,70,73,66,71,280,-8,"$57,750.00"
15,William McGirt,T14,71,69,68,72,280,-8,"$57,750.00"
16,J.J. Killeen,T14,70,69,69,72,280,-8,"$57,750.00"
17,Jeff Overton,T14,68,73,69,70,280,-8,"$57,750.00"
18,Roberto Castro,T14,69,69,70,72,280,-8,"$57,750.00"
19,Jamie Lovemark,T20,70,72,68,71,281,-7,"$40,775.00"
20,Andres Romero,T20,71,67,70,73,281,-7,"$40,775.00"
21,Will Claxton,T20,69,72,70,70,281,-7,"$40,775.00"
22,Dicky Pride,T20,71,72,67,71,281,-7,"$40,775.00"
23,Ángel Cabrera,24,69,75,69,69,282,-6,"$33,600.00"
24,David Mathis,T25,70,75,71,67,283,-5,"$26,150.00"
25,Edward Loar,T25,75,70,70,68,283,-5,"$26,150.00"
26,Rod Pampling,T25,71,74,69,69,283,-5,"$26,150.00"
27,Jerry Kelly,T25,71,70,70,72,283,-5,"$26,150.00"
28,Miguel Angel Carballo,T25,71,72,72,68,283,-5,"$26,150.00"
29,S.Y. Noh,T25,71,74,69,69,283,-5,"$26,150.00"
30,Kevin Kisner,T25,68,70,71,74,283,-5,"$26,150.00"
31,Joe Durant,T32,71,73,71,69,284,-4,"$17,780.00"
32,Lee Janzen,T32,69,71,74,70,284,-4,"$17,780.00"
33,Kent Jones,T32,71,72,68,73,284,-4,"$17,780.00"
34,Shaun Micheel,T32,69,72,70,73,284,-4,"$17,780.00"
35,Derek Tolan,T32,73,72,70,69,284,-4,"$17,780.00"
36,Will MacKenzie,T32,74,71,67,72,284,-4,"$17,780.00"
37,Richard Johnson,T32,71,69,73,71,284,-4,"$17,780.00"
38,Troy Matteson,T32,71,72,72,69,284,-4,"$17,780.00"
39,James Driscoll,T32,70,73,70,71,284,-4,"$17,780.00"
40,Patrick Sheehan,T32,74,71,66,73,284,-4,"$17,780.00"
41,Vaughn Taylor,T42,70,70,70,75,285,-3,"$11,900.00"
42,Erik Compton,T42,71,71,71,72,285,-3,"$11,900.00"
43,Nathan Green,T42,71,71,72,71,285,-3,"$11,900.00"
44,Emiliano Grillo,T42,72,73,73,67,285,-3,"$11,900.00"
45,Michael Bradley,T42,72,71,72,70,285,-3,"$11,900.00"
46,Garrett Willis,T42,72,72,68,73,285,-3,"$11,900.00"
47,Briny Baird,T48,71,74,69,72,286,-2,"$8,484.00"
48,Matt Bettencourt,T48,72,72,75,67,286,-2,"$8,484.00"
49,Danny Lee,T48,70,70,71,75,286,-2,"$8,484.00"
50,Duffy Waldorf,T48,73,69,74,70,286,-2,"$8,484.00"
51,"Ted Potter, Jr.",T48,72,71,72,71,286,-2,"$8,484.00"
52,Brendon de Jonge,T48,69,70,69,78,286,-2,"$8,484.00"
53,Gavin Coles,T48,69,71,72,74,286,-2,"$8,484.00"
54,Charlie Beljan,T48,71,73,68,74,286,-2,"$8,484.00"
55,Matt Every,T48,71,73,70,72,286,-2,"$8,484.00"
56,Kyle Reifers,T48,75,70,69,72,286,-2,"$8,484.00"
57,Heath Slocum,T58,75,70,71,71,287,-1,"$7,700.00"
58,J.J. Henry,T58,73,72,74,68,287,-1,"$7,700.00"
59,Robert Gamez,T58,73,72,73,69,287,-1,"$7,700.00"
60,Marc Turnesa,T58,73,71,71,72,287,-1,"$7,700.00"
61,Mark Anderson,T58,70,75,74,68,287,-1,"$7,700.00"
62,Rocco Mediate,T63,74,68,76,70,288,E,"$7,385.00"
63,Bill Lunde,T63,73,71,70,74,288,E,"$7,385.00"
64,Brian Davis,T63,69,70,72,77,288,E,"$7,385.00"
65,Billy Horschel,T63,72,73,69,74,288,E,"$7,385.00"
66,Peter Lonard,67,72,70,71,76,289,+1,"$7,210.00"
67,J.B. Holmes,T68,73,72,73,72,290,+2,"$7,105.00"
68,Marco Dawson,T68,72,73,72,73,290,+2,"$7,105.00"
69,Ken Duke,70,73,70,73,75,291,+3,"$7,000.00"
70,Stephen Gangluff,T71,74,67,75,77,293,+5,"$6,895.00"
71,Jeff Curl,T71,72,73,77,71,293,+5,"$6,895.00"
72,Tommy Biershenk,73,77,68,72,77,294,+6,"$6,790.00"
73,Chris DiMarco,CUT,78,68,,,146,+2,$0.00
74,Arjun Atwal,CUT,74,72,,,146,+2,$0.00
75,Kyle Thompson,CUT,76,70,,,146,+2,$0.00
76,Kirk Triplett,CUT,73,73,,,146,+2,$0.00
77,Tim Petrovic,CUT,73,73,,,146,+2,$0.00
78,Paul Stankowski,CUT,74,72,,,146,+2,$0.00
79,David Duval,CUT,72,74,,,146,+2,$0.00
80,Sung Kang,CUT,71,75,,,146,+2,$0.00
81,Maximiliano Godoy,CUT,73,73,,,146,+2,$0.00
82,Nicholas Thompson,CUT,70,76,,,146,+2,$0.00
83,Gary Christian,CUT,73,73,,,146,+2,$0.00
84,Woody Austin,CUT,72,74,,,146,+2,$0.00
85,Jhonattan Vegas,CUT,71,75,,,146,+2,$0.00
86,Martin Flores,CUT,73,73,,,146,+2,$0.00
