,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scott Piercy,1,62,67,67,67,263,-17,"$936,000.00"
1,Robert Garrigus,T2,64,66,64,70,264,-16,"$457,600.00"
2,William McGirt,T2,63,66,66,69,264,-16,"$457,600.00"
3,Bud Cauley,T4,70,63,67,66,266,-14,"$214,933.33"
4,Chris Kirk,T4,69,66,63,68,266,-14,"$214,933.33"
5,Josh Teater,T4,67,65,68,66,266,-14,"$214,933.34"
6,Bo Van Pelt,T7,65,66,67,70,268,-12,"$162,066.67"
7,Vijay Singh,T7,65,67,69,67,268,-12,"$162,066.67"
8,Scott Stallings,T7,69,66,63,70,268,-12,"$162,066.66"
9,Kevin Kisner,T10,69,65,67,69,270,-10,"$119,600.00"
10,Gary Christian,T10,71,68,65,66,270,-10,"$119,600.00"
11,Retief Goosen,T10,68,70,63,69,270,-10,"$119,600.00"
12,Nathan Green,T10,70,67,65,68,270,-10,"$119,600.00"
13,Troy Matteson,T10,65,68,69,68,270,-10,"$119,600.00"
14,J.B. Holmes,T15,68,68,64,71,271,-9,"$85,800.00"
15,Tim Clark,T15,70,62,72,67,271,-9,"$85,800.00"
16,Brian Davis,T15,69,68,65,69,271,-9,"$85,800.00"
17,S.Y. Noh,T15,72,66,68,65,271,-9,"$85,800.00"
18,Martin Flores,T19,69,67,68,68,272,-8,"$54,715.56"
19,Will Claxton,T19,70,66,68,68,272,-8,"$54,715.56"
20,Brendon Todd,T19,69,66,66,71,272,-8,"$54,715.55"
21,Cameron Tringale,T19,67,69,67,69,272,-8,"$54,715.55"
22,Gavin Coles,T19,65,69,70,68,272,-8,"$54,715.56"
23,Tom Gillis,T19,70,65,73,64,272,-8,"$54,715.56"
24,Ken Duke,T19,70,65,67,70,272,-8,"$54,715.55"
25,Ryan Palmer,T19,69,67,64,72,272,-8,"$54,715.55"
26,Brian Harman,T19,74,63,71,64,272,-8,"$54,715.56"
27,Jhonattan Vegas,T28,65,74,67,67,273,-7,"$34,580.00"
28,Jimmy Walker,T28,68,68,69,68,273,-7,"$34,580.00"
29,Thomas Aiken,T28,69,66,69,69,273,-7,"$34,580.00"
30,Stuart Appleby,T28,65,69,69,70,273,-7,"$34,580.00"
31,Brian Gay,T28,70,67,70,66,273,-7,"$34,580.00"
32,Arjun Atwal,T28,69,67,67,70,273,-7,"$34,580.00"
