,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,J.J. Henry,1,+10,+12,+14,+7,+43,+43,"$540,000.00"
1,Alexandre Rocha,2,+8,+16,+9,+9,+42,+42,"$324,000.00"
2,Andres Romero,3,+14,+7,+10,+6,+37,+37,"$204,000.00"
3,John Mallinger,4,+11,+11,+10,+2,+34,+34,"$144,000.00"
4,John Daly,T5,+10,+9,+9,+5,+33,+33,"$114,000.00"
5,Justin Leonard,T5,+5,+10,+11,+7,+33,+33,"$114,000.00"
6,Josh Teater,7,+11,-3,+14,+9,+31,+31,"$100,500.00"
7,Todd Hamilton,T8,+9,+6,+8,+7,+30,+30,"$87,000.00"
8,Tom Pernice Jr.,T8,+7,+6,+11,+6,+30,+30,"$87,000.00"
9,Brendan Steele,T8,+6,+10,+7,+7,+30,+30,"$87,000.00"
10,Kevin Stadler,11,+5,+8,+11,+5,+29,+29,"$75,000.00"
11,J.B. Holmes,T12,+1,+17,+5,+5,+28,+28,"$66,000.00"
12,Richard Lee,T12,+4,+5,+8,+11,+28,+28,"$66,000.00"
13,Kevin Chappell,T14,+7,+5,+9,+6,+27,+27,"$55,500.00"
14,John Merrick,T14,+6,+11,+7,+3,+27,+27,"$55,500.00"
15,Joe Durant,T16,+8,+9,+7,+2,+26,+26,"$49,500.00"
16,Stuart Appleby,T16,+8,+1,+10,+7,+26,+26,"$49,500.00"
17,Bill Lunde,18,+4,+10,+14,-3,+25,+25,"$45,000.00"
18,Jason Bohn,T19,+4,+6,+8,+6,+24,+24,"$40,500.00"
19,Padraig Harrington,T19,+7,+7,+9,+1,+24,+24,"$40,500.00"
20,Scott Dunlap,T21,+3,+9,+2,+9,+23,+23,"$31,200.00"
21,Matt Bettencourt,T21,+8,+12,0,+3,+23,+23,"$31,200.00"
22,Gary Christian,T21,+5,+11,+12,-5,+23,+23,"$31,200.00"
23,Brett Wetterich,T21,+4,+11,+4,+4,+23,+23,"$31,200.00"
24,Ricky Barnes,T21,+11,+5,+7,0,+23,+23,"$31,200.00"
25,D.J. Trahan,T26,-2,+10,+10,+4,+22,+22,"$22,200.00"
26,Glen Day,T26,+6,+1,+8,+7,+22,+22,"$22,200.00"
27,Cameron Beckman,T26,+6,+4,+3,+9,+22,+22,"$22,200.00"
28,Chris Kirk,T26,+9,+8,+5,0,+22,+22,"$22,200.00"
