,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brandt Snedeker,1,68,70,64,68,270,-10,"$1,440,000.00"
1,Justin Rose,2,66,68,68,71,273,-7,"$864,000.00"
2,Luke Donald,T3,71,69,67,67,274,-6,"$468,000.00"
3,Ryan Moore,T3,69,70,65,70,274,-6,"$468,000.00"
4,Bubba Watson,T5,69,66,70,70,275,-5,"$304,000.00"
5,Webb Simpson,T5,71,68,70,66,275,-5,"$304,000.00"
6,Jim Furyk,7,69,64,72,72,277,-3,"$272,000.00"
7,Tiger Woods,T8,66,73,67,72,278,-2,"$248,000.00"
8,Hunter Mahan,T8,68,73,71,66,278,-2,"$248,000.00"
9,Robert Garrigus,T10,68,69,69,73,279,-1,"$205,760.00"
10,Matt Kuchar,T10,67,69,70,73,279,-1,"$205,760.00"
11,Bo Van Pelt,T10,67,68,71,73,279,-1,"$205,760.00"
12,Dustin Johnson,T10,69,67,73,70,279,-1,"$205,760.00"
13,Rory McIlroy,T10,69,68,68,74,279,-1,"$205,760.00"
14,Scott Piercy,T15,67,73,71,70,281,+1,"$167,200.00"
15,Zach Johnson,T15,68,69,70,74,281,+1,"$167,200.00"
16,Phil Mickelson,T15,69,71,72,69,281,+1,"$167,200.00"
17,Sergio Garcia,T15,69,73,71,68,281,+1,"$167,200.00"
18,Adam Scott,19,68,73,70,72,283,+3,"$156,800.00"
19,Carl Pettersson,T20,71,67,75,71,284,+4,"$152,000.00"
20,Jason Dufner,T20,70,70,71,73,284,+4,"$152,000.00"
21,Steve Stricker,22,67,73,73,73,286,+6,"$147,200.00"
22,Louis Oosthuizen,T23,70,71,69,77,287,+7,"$140,800.00"
23,Rickie Fowler,T23,71,68,72,76,287,+7,"$140,800.00"
24,Keegan Bradley,T23,70,73,70,74,287,+7,"$140,800.00"
25,John Senden,26,72,68,73,75,288,+8,"$134,400.00"
26,Ernie Els,27,72,75,71,71,289,+9,"$132,800.00"
27,Nick Watney,28,75,74,70,74,293,+13,"$131,200.00"
28,John Huh,29,74,70,73,77,294,+14,"$129,600.00"
29,Lee Westwood,30,72,73,76,74,295,+15,"$128,000.00"
