,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tommy Gainey,1,69,67,68,60,264,-16,"$720,000.00"
1,David Toms,2,65,67,70,63,265,-15,"$432,000.00"
2,Jim Furyk,3,66,65,66,69,266,-14,"$272,000.00"
3,Davis Love III,T4,65,66,66,71,268,-12,"$165,333.33"
4,Brendon de Jonge,T4,66,69,68,65,268,-12,"$165,333.34"
5,D.J. Trahan,T4,66,67,66,69,268,-12,"$165,333.33"
6,Charles Howell III,T7,66,68,67,68,269,-11,"$124,666.66"
7,Chad Campbell,T7,66,67,69,67,269,-11,"$124,666.67"
8,Greg Owen,T7,64,69,71,65,269,-11,"$124,666.67"
9,Arjun Atwal,T10,67,63,69,71,270,-10,"$92,000.00"
10,Mark Wilson,T10,68,69,66,67,270,-10,"$92,000.00"
11,David Mathis,T10,69,69,65,67,270,-10,"$92,000.00"
12,Michael Thompson,T10,65,68,69,68,270,-10,"$92,000.00"
13,Charlie Beljan,T10,66,71,68,65,270,-10,"$92,000.00"
14,Kyle Reifers,T15,67,68,67,69,271,-9,"$64,000.00"
15,Daniel Chopra,T15,68,69,66,68,271,-9,"$64,000.00"
16,Blake Adams,T15,68,68,69,66,271,-9,"$64,000.00"
17,Scott Stallings,T15,68,70,67,66,271,-9,"$64,000.00"
18,Harris English,T15,71,66,66,68,271,-9,"$64,000.00"
19,Ken Duke,T20,67,68,68,69,272,-8,"$41,714.28"
20,Sean O'Hair,T20,73,66,67,66,272,-8,"$41,714.29"
21,Bill Lunde,T20,68,68,68,68,272,-8,"$41,714.28"
22,Camilo Villegas,T20,65,71,68,68,272,-8,"$41,714.29"
23,Scott Brown,T20,67,70,70,65,272,-8,"$41,714.29"
24,Brendan Steele,T20,67,71,66,68,272,-8,"$41,714.29"
25,Bud Cauley,T20,62,70,68,72,272,-8,"$41,714.28"
26,Russell Knox,T27,71,68,67,67,273,-7,"$22,550.00"
27,Roberto Castro,T27,69,66,68,70,273,-7,"$22,550.00"
28,Danny Lee,T27,65,70,69,69,273,-7,"$22,550.00"
29,Jason Kokrak,T27,68,70,66,69,273,-7,"$22,550.00"
30,Will Claxton,T27,70,66,65,72,273,-7,"$22,550.00"
31,Rory Sabbatini,T27,69,65,67,72,273,-7,"$22,550.00"
32,James Driscoll,T27,67,69,71,66,273,-7,"$22,550.00"
33,Ben Crane,T27,68,71,62,72,273,-7,"$22,550.00"
34,Henrik Stenson,T27,67,68,69,69,273,-7,"$22,550.00"
35,Ben Curtis,T27,68,69,66,70,273,-7,"$22,550.00"
36,Stuart Appleby,T27,69,68,67,69,273,-7,"$22,550.00"
37,Mathew Goggin,T27,67,66,68,72,273,-7,"$22,550.00"
38,Vijay Singh,T27,66,68,68,71,273,-7,"$22,550.00"
39,Joe Durant,T27,65,71,67,70,273,-7,"$22,550.00"
40,Boo Weekley,T27,64,71,69,69,273,-7,"$22,550.00"
41,Brian Harman,T27,67,72,65,69,273,-7,"$22,550.00"
42,Rocco Mediate,T43,70,68,67,69,274,-6,"$12,826.67"
43,Brian Gay,T43,65,68,69,72,274,-6,"$12,826.66"
44,Peter Tomasulo,T43,67,67,68,72,274,-6,"$12,826.66"
45,Garth Mulroy,T43,68,70,66,70,274,-6,"$12,826.67"
46,Billy Horschel,T43,68,69,66,71,274,-6,"$12,826.67"
47,Kevin Chappell,T43,71,66,68,69,274,-6,"$12,826.67"
48,Tim Herron,T49,69,66,71,69,275,-5,"$10,240.00"
49,Zach Johnson,T49,65,70,70,70,275,-5,"$10,240.00"
50,Gavin Coles,T51,67,65,70,74,276,-4,"$9,413.33"
51,David Hearn,T51,66,71,71,68,276,-4,"$9,413.33"
52,Matt Jones,T51,72,67,66,71,276,-4,"$9,413.33"
53,Jeff Overton,T51,69,70,69,68,276,-4,"$9,413.34"
54,Nathan Green,T51,72,67,68,69,276,-4,"$9,413.33"
55,Mark Anderson,T51,69,70,69,68,276,-4,"$9,413.34"
56,Jason Day,T57,67,67,72,71,277,-3,"$8,920.00"
57,Martin Flores,T57,65,69,72,71,277,-3,"$8,920.00"
58,Billy Hurley III,T57,66,71,70,70,277,-3,"$8,920.00"
59,Matt Every,T57,67,72,68,70,277,-3,"$8,920.00"
60,Alexandre Rocha,T61,68,68,70,72,278,-2,"$8,640.00"
61,Kyle Thompson,T61,67,72,69,70,278,-2,"$8,640.00"
62,Heath Slocum,T61,69,68,71,70,278,-2,"$8,640.00"
63,Stewart Cink,T64,69,70,67,73,279,-1,"$8,360.00"
64,Chris Kirk,T64,69,70,68,72,279,-1,"$8,360.00"
65,Zack Miller,T64,68,71,68,72,279,-1,"$8,360.00"
66,Chase Wright,T64,67,71,68,73,279,-1,"$8,360.00"
67,Marco Dawson,68,62,75,70,73,280,E,"$8,160.00"
68,Justin Leonard,69,68,70,70,75,283,+3,"$8,080.00"
69,Rod Pampling,70,64,71,72,77,284,+4,"$8,000.00"
70,Cameron Beckman,71,66,73,68,80,287,+7,"$7,920.00"
71,Ángel Cabrera,T72,68,71,70,,209,-1,"$7,600.00"
72,Billy Mayfair,T72,72,66,71,,209,-1,"$7,600.00"
73,Ryuji Imada,T72,70,69,70,,209,-1,"$7,600.00"
74,Gary Christian,T72,67,69,73,,209,-1,"$7,600.00"
75,Jason Bohn,T72,69,67,73,,209,-1,"$7,600.00"
76,Steven Bowditch,T72,68,66,75,,209,-1,"$7,600.00"
77,Richard Lee,T72,67,71,71,,209,-1,"$7,600.00"
78,Edward Loar,T79,68,70,72,,210,E,"$7,120.00"
79,Brian Davis,T79,74,65,71,,210,E,"$7,120.00"
80,John Rollins,T79,69,70,71,,210,E,"$7,120.00"
81,Carl Paulson,T79,68,71,71,,210,E,"$7,120.00"
82,Robert Allenby,T79,69,70,71,,210,E,"$7,120.00"
83,Erik Compton,T84,69,69,73,,211,+1,"$6,840.00"
84,Jonas Blixt,T84,72,67,72,,211,+1,"$6,840.00"
85,Alex Cejka,T86,70,67,75,,212,+2,"$6,680.00"
86,J.J. Killeen,T86,66,71,75,,212,+2,"$6,680.00"
87,Chris DiMarco,88,72,67,75,,214,+4,"$6,560.00"
88,Tim Petrovic,CUT,69,71,,,140,E,$0.00
89,Jeff Maggert,CUT,70,70,,,140,E,$0.00
90,"Ted Potter, Jr.",CUT,68,72,,,140,E,$0.00
91,Chris Stroud,CUT,72,68,,,140,E,$0.00
92,Chez Reavie,CUT,69,71,,,140,E,$0.00
93,Vaughn Taylor,CUT,68,72,,,140,E,$0.00
94,Gary Woodland,CUT,70,70,,,140,E,$0.00
95,Bobby Gates,CUT,69,71,,,140,E,$0.00
96,Jordan Mitchell,CUT,69,71,,,140,E,$0.00
97,Colt Knost,CUT,72,69,,,141,+1,$0.00
98,Tommy Biershenk,CUT,72,69,,,141,+1,$0.00
99,Stephen Gangluff,CUT,71,70,,,141,+1,$0.00
100,Nick O'Hern,CUT,70,71,,,141,+1,$0.00
101,D.A. Points,CUT,73,68,,,141,+1,$0.00
102,Scott Dunlap,CUT,73,68,,,141,+1,$0.00
103,Paul Stankowski,CUT,68,73,,,141,+1,$0.00
104,Tim Weinhart,CUT,72,70,,,142,+2,$0.00
105,Garrett Willis,CUT,70,72,,,142,+2,$0.00
106,Jerry Kelly,CUT,68,74,,,142,+2,$0.00
107,John Daly,CUT,70,72,,,142,+2,$0.00
108,Bart Bryant,CUT,69,74,,,143,+3,$0.00
109,Shane Bertsch,CUT,69,74,,,143,+3,$0.00
110,Daniel Summerhays,CUT,71,72,,,143,+3,$0.00
111,Troy Kelly,CUT,70,73,,,143,+3,$0.00
112,Kevin Kisner,CUT,71,72,,,143,+3,$0.00
113,Hunter Hamrick,CUT,70,73,,,143,+3,$0.00
114,Cameron Tringale,CUT,76,68,,,144,+4,$0.00
115,Derek Lamely,CUT,72,72,,,144,+4,$0.00
116,Todd Hamilton,CUT,70,74,,,144,+4,$0.00
117,Tom Pernice Jr.,CUT,67,77,,,144,+4,$0.00
118,Stephen Ames,CUT,69,76,,,145,+5,$0.00
119,Ricky Barnes,CUT,70,75,,,145,+5,$0.00
120,Brendon Todd,CUT,72,73,,,145,+5,$0.00
121,Roland Thatcher,CUT,74,71,,,145,+5,$0.00
122,Jhonattan Vegas,CUT,73,73,,,146,+6,$0.00
123,Sung Kang,CUT,73,73,,,146,+6,$0.00
124,Dean Wilson,CUT,71,75,,,146,+6,$0.00
125,Michael Bradley,CUT,74,74,,,148,+8,$0.00
126,Steve Wheatcroft,CUT,74,74,,,148,+8,$0.00
127,Patrick Sheehan,CUT,77,71,,,148,+8,$0.00
128,Miguel Angel Carballo,CUT,74,74,,,148,+8,$0.00
129,David Hutsell,CUT,71,78,,,149,+9,$0.00
130,Matt Bettencourt,CUT,75,74,,,149,+9,$0.00
131,Robert Karlsson,CUT,72,79,,,151,+11,$0.00
