,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Graeme McDowell,1,69,66,68,68,271,-17,"$1,000,000.00"
1,Keegan Bradley,2,69,69,67,69,274,-14,"$500,000.00"
2,Bo Van Pelt,3,70,68,70,70,278,-10,"$300,000.00"
3,Tiger Woods,T4,70,69,69,71,279,-9,"$201,667.00"
4,Jim Furyk,T4,69,69,71,70,279,-9,"$201,667.00"
5,Rickie Fowler,T4,73,67,70,69,279,-9,"$201,666.00"
6,Webb Simpson,7,70,73,69,69,281,-7,"$160,000.00"
7,Steve Stricker,8,73,71,68,70,282,-6,"$150,000.00"
8,Hunter Mahan,T9,71,73,71,68,283,-5,"$142,500.00"
9,Bubba Watson,T9,71,74,67,71,283,-5,"$142,500.00"
10,Nick Watney,T11,67,73,71,73,284,-4,"$132,500.00"
11,Matt Kuchar,T11,73,69,72,70,284,-4,"$132,500.00"
12,Brandt Snedeker,T13,75,68,73,69,285,-3,"$124,500.00"
13,Dustin Johnson,T13,74,68,72,71,285,-3,"$124,500.00"
14,Jason Day,T15,71,75,72,69,287,-1,"$122,500.00"
15,Jason Dufner,T15,73,68,75,71,287,-1,"$122,500.00"
16,Ian Poulter,17,73,72,71,72,288,E,"$121,000.00"
17,Zach Johnson,18,74,70,70,79,293,+5,"$120,000.00"
