,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Sergio Garcia,1,67,63,66,66,262,-18,"$936,000.00"
1,Tim Clark,2,63,67,67,67,264,-16,"$561,600.00"
2,Bud Cauley,3,66,65,66,68,265,-15,"$353,600.00"
3,Carl Pettersson,T4,62,68,68,68,266,-14,"$214,933.33"
4,Jimmy Walker,T4,66,62,71,67,266,-14,"$214,933.33"
5,Chad Campbell,T4,71,64,65,66,266,-14,"$214,933.34"
6,Jason Dufner,T7,68,67,63,69,267,-13,"$162,066.66"
7,Nicolas Colsaerts,T7,67,65,69,66,267,-13,"$162,066.67"
8,Bill Haas,T7,68,65,67,67,267,-13,"$162,066.67"
9,Troy Matteson,T10,64,68,68,68,268,-12,"$124,800.00"
10,Davis Love III,T10,67,66,66,69,268,-12,"$124,800.00"
11,Harris English,T10,66,64,68,70,268,-12,"$124,800.00"
12,John Merrick,T10,66,69,67,66,268,-12,"$124,800.00"
13,Matt Every,T14,65,66,68,70,269,-11,"$88,400.00"
14,Scott Stallings,T14,64,70,67,68,269,-11,"$88,400.00"
15,Richard Lee,T14,66,69,65,69,269,-11,"$88,400.00"
16,Charl Schwartzel,T14,67,68,66,68,269,-11,"$88,400.00"
17,Brendon de Jonge,T14,68,68,67,66,269,-11,"$88,400.00"
18,Bobby Gates,T19,69,67,65,69,270,-10,"$67,600.00"
19,Justin Leonard,T19,68,68,64,70,270,-10,"$67,600.00"
20,John Huh,T19,69,65,69,67,270,-10,"$67,600.00"
21,Chris Kirk,T22,66,69,69,67,271,-9,"$48,273.34"
22,Webb Simpson,T22,66,63,71,71,271,-9,"$48,273.33"
23,Graham DeLaet,T22,69,67,67,68,271,-9,"$48,273.33"
24,Rocco Mediate,T22,70,65,68,68,271,-9,"$48,273.33"
25,Trevor Immelman,T22,67,68,68,68,271,-9,"$48,273.33"
26,Ángel Cabrera,T22,67,71,66,67,271,-9,"$48,273.34"
27,Tim Herron,T28,76,61,67,68,272,-8,"$36,920.00"
28,Rod Pampling,T28,68,66,70,68,272,-8,"$36,920.00"
29,Brandt Snedeker,T28,67,67,68,70,272,-8,"$36,920.00"
30,Will Claxton,T31,69,66,65,73,273,-7,"$30,160.00"
31,Patrick Cantlay,T31,70,68,66,69,273,-7,"$30,160.00"
32,Charles Howell III,T31,67,69,71,66,273,-7,"$30,160.00"
33,Heath Slocum,T31,68,67,67,71,273,-7,"$30,160.00"
34,Kyle Thompson,T31,69,67,68,69,273,-7,"$30,160.00"
35,Nick Watney,T31,66,69,70,68,273,-7,"$30,160.00"
36,Kevin Streelman,T37,68,66,68,72,274,-6,"$21,320.00"
37,Ryan Moore,T37,71,68,68,67,274,-6,"$21,320.00"
38,D.A. Points,T37,68,68,67,71,274,-6,"$21,320.00"
39,Y.E. Yang,T37,67,69,69,69,274,-6,"$21,320.00"
40,Gary Christian,T37,67,70,67,70,274,-6,"$21,320.00"
41,Russell Knox,T37,68,68,69,69,274,-6,"$21,320.00"
42,Jeff Overton,T37,69,69,67,69,274,-6,"$21,320.00"
43,Kyle Reifers,T37,67,72,66,69,274,-6,"$21,320.00"
44,Josh Teater,T37,67,71,69,67,274,-6,"$21,320.00"
45,Billy Horschel,T46,69,67,66,73,275,-5,"$14,742.00"
46,Kevin Kisner,T46,68,71,70,66,275,-5,"$14,742.00"
47,Nick O'Hern,T46,68,71,67,69,275,-5,"$14,742.00"
48,Kevin Stadler,T46,73,65,68,69,275,-5,"$14,742.00"
49,Jamie Donaldson,T50,68,66,71,71,276,-4,"$12,542.40"
50,Alexandre Rocha,T50,68,68,69,71,276,-4,"$12,542.40"
51,Dicky Pride,T50,69,68,67,72,276,-4,"$12,542.40"
52,Jerry Kelly,T50,72,67,69,68,276,-4,"$12,542.40"
53,Tommy Gainey,T50,66,67,68,75,276,-4,"$12,542.40"
54,Derek Lamely,T55,69,68,70,70,277,-3,"$11,856.00"
55,Jonas Blixt,T55,72,67,67,71,277,-3,"$11,856.00"
56,David Mathis,T55,63,71,73,70,277,-3,"$11,856.00"
57,Scott Dunlap,T58,70,69,67,72,278,-2,"$11,440.00"
58,Ryuji Imada,T58,67,70,70,71,278,-2,"$11,440.00"
59,Charlie Wi,T58,72,67,70,69,278,-2,"$11,440.00"
60,Chez Reavie,T58,67,69,71,71,278,-2,"$11,440.00"
61,Blake Adams,T58,67,71,67,73,278,-2,"$11,440.00"
62,Troy Kelly,63,71,68,69,71,279,-1,"$11,128.00"
63,Billy Mayfair,64,69,70,74,67,280,E,"$11,024.00"
