,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,D.A. Points,1,64,71,71,66,272,-16,"$1,116,000.00"
1,Henrik Stenson,T2,69,70,68,66,273,-15,"$545,600.00"
2,Billy Horschel,T2,68,72,67,66,273,-15,"$545,600.00"
3,Dustin Johnson,T4,69,70,70,65,274,-14,"$272,800.00"
4,Ben Crane,T4,69,70,67,68,274,-14,"$272,800.00"
5,Brian Davis,T6,67,70,71,67,275,-13,"$207,700.00"
6,Stewart Cink,T6,71,66,68,70,275,-13,"$207,700.00"
7,Kevin Chappell,T6,70,70,67,68,275,-13,"$207,700.00"
8,Jason Kokrak,9,66,69,71,70,276,-12,"$179,800.00"
9,Keegan Bradley,T10,70,70,67,70,277,-11,"$137,433.33"
10,Lee Westwood,T10,68,72,67,70,277,-11,"$137,433.33"
11,Charles Howell III,T10,69,72,70,66,277,-11,"$137,433.34"
12,Bill Haas,T10,68,70,67,72,277,-11,"$137,433.33"
13,Brendon de Jonge,T10,71,68,72,66,277,-11,"$137,433.34"
14,Louis Oosthuizen,T10,70,72,65,70,277,-11,"$137,433.33"
15,Ángel Cabrera,T16,66,72,69,71,278,-10,"$96,100.00"
16,Phil Mickelson,T16,72,71,67,68,278,-10,"$96,100.00"
17,Cameron Tringale,T16,65,73,69,71,278,-10,"$96,100.00"
18,Bud Cauley,T16,68,74,65,71,278,-10,"$96,100.00"
19,Charley Hoffman,T20,68,71,70,70,279,-9,"$77,500.00"
20,John Rollins,T20,65,74,71,69,279,-9,"$77,500.00"
21,Doug LaBelle II,T22,71,71,72,66,280,-8,"$59,520.00"
22,Steve Wheatcroft,T22,67,67,72,74,280,-8,"$59,520.00"
23,Greg Owen,T22,68,73,68,71,280,-8,"$59,520.00"
24,Robert Streb,T22,70,71,71,68,280,-8,"$59,520.00"
25,Chris Kirk,T22,71,70,72,67,280,-8,"$59,520.00"
26,Jeff Overton,T27,67,73,71,70,281,-7,"$44,950.00"
27,Kevin Stadler,T27,70,73,69,69,281,-7,"$44,950.00"
28,Nick Watney,T27,71,71,72,67,281,-7,"$44,950.00"
29,Pat Perez,T27,72,71,70,68,281,-7,"$44,950.00"
30,Aaron Baddeley,T31,70,71,72,69,282,-6,"$35,162.86"
31,Graham DeLaet,T31,71,71,68,72,282,-6,"$35,162.85"
32,Ross Fisher,T31,73,69,72,68,282,-6,"$35,162.86"
33,Chez Reavie,T31,72,70,68,72,282,-6,"$35,162.85"
34,Jin Park,T31,69,74,69,70,282,-6,"$35,162.86"
35,Daniel Summerhays,T31,72,71,69,70,282,-6,"$35,162.86"
36,Tim Herron,T31,69,73,69,71,282,-6,"$35,162.86"
37,Bob Estes,T38,71,69,74,69,283,-5,"$25,420.00"
38,Steve Stricker,T38,73,68,71,71,283,-5,"$25,420.00"
39,Matt Jones,T38,68,73,70,72,283,-5,"$25,420.00"
40,Chris Stroud,T38,71,72,71,69,283,-5,"$25,420.00"
41,Josh Teater,T38,74,67,69,73,283,-5,"$25,420.00"
42,Brendan Steele,T38,70,71,71,71,283,-5,"$25,420.00"
43,Charlie Beljan,T38,71,72,70,70,283,-5,"$25,420.00"
44,Russell Henley,T45,72,70,74,68,284,-4,"$18,153.60"
45,Scott Stallings,T45,70,69,73,72,284,-4,"$18,153.60"
46,Rory McIlroy,T45,73,70,71,70,284,-4,"$18,153.60"
47,John Merrick,T45,68,72,69,75,284,-4,"$18,153.60"
48,Boo Weekley,T45,70,69,75,70,284,-4,"$18,153.60"
49,Jimmy Walker,T50,68,71,78,68,285,-3,"$14,838.67"
50,Justin Leonard,T50,71,72,70,72,285,-3,"$14,838.66"
51,Jordan Spieth,T50,72,70,74,69,285,-3,"$14,838.67"
52,Harris English,T50,69,74,73,69,285,-3,"$14,838.67"
53,Gary Woodland,T50,72,70,73,70,285,-3,"$14,838.67"
54,Kelly Kraft,T50,70,72,72,71,285,-3,"$14,838.66"
55,James Hahn,T56,74,69,68,75,286,-2,"$13,950.00"
56,Troy Matteson,T56,71,71,73,71,286,-2,"$13,950.00"
57,Steven Bowditch,T56,73,70,69,74,286,-2,"$13,950.00"
58,David Lynn,T56,72,70,72,72,286,-2,"$13,950.00"
59,Chad Campbell,T60,72,71,74,70,287,-1,"$13,392.00"
60,Brandt Jobe,T60,69,73,70,75,287,-1,"$13,392.00"
61,Jerry Kelly,T60,71,72,75,69,287,-1,"$13,392.00"
62,D.H. Lee,T60,72,71,68,76,287,-1,"$13,392.00"
63,Nicholas Thompson,T60,70,73,71,73,287,-1,"$13,392.00"
64,Henrik Norlander,T65,74,68,73,73,288,E,"$12,834.00"
65,Carl Pettersson,T65,74,69,74,71,288,E,"$12,834.00"
66,Scott Verplank,T65,72,68,70,78,288,E,"$12,834.00"
67,Hunter Haas,T65,69,71,74,74,288,E,"$12,834.00"
68,Ricky Barnes,69,73,68,73,75,289,+1,"$12,524.00"
69,Cameron Percy,T70,73,70,71,76,290,+2,"$12,276.00"
70,"Wes Short, Jr.",T70,71,70,75,74,290,+2,"$12,276.00"
71,George Coetzee,T70,72,71,72,75,290,+2,"$12,276.00"
72,Stuart Appleby,CUT,73,71,,,144,E,$0.00
73,Martin Laird,CUT,75,69,,,144,E,$0.00
74,John Mallinger,CUT,72,72,,,144,E,$0.00
75,S.Y. Noh,CUT,72,72,,,144,E,$0.00
76,Scott Brown,CUT,70,74,,,144,E,$0.00
77,Martin Flores,CUT,73,72,,,145,+1,$0.00
78,Brandt Snedeker,CUT,74,71,,,145,+1,$0.00
79,Randy Lowry,CUT,71,74,,,145,+1,$0.00
80,Kyle Stanley,CUT,72,73,,,145,+1,$0.00
81,Richard Lee,CUT,72,73,,,145,+1,$0.00
82,Hunter Mahan,CUT,74,71,,,145,+1,$0.00
83,Ben Curtis,CUT,72,73,,,145,+1,$0.00
84,Ryan Palmer,CUT,74,71,,,145,+1,$0.00
85,Hank Kuehne,CUT,73,72,,,145,+1,$0.00
86,Justin Hicks,CUT,71,74,,,145,+1,$0.00
87,Branden Grace,CUT,75,70,,,145,+1,$0.00
88,David Hearn,CUT,75,70,,,145,+1,$0.00
89,Scott Langley,CUT,71,74,,,145,+1,$0.00
90,Michael Bradley,CUT,73,72,,,145,+1,$0.00
91,Jason Bohn,CUT,71,75,,,146,+2,$0.00
92,Michael Thompson,CUT,72,74,,,146,+2,$0.00
93,Retief Goosen,CUT,73,73,,,146,+2,$0.00
94,Arron Oberholser,CUT,71,75,,,146,+2,$0.00
95,Bryce Molder,CUT,75,71,,,146,+2,$0.00
96,James Driscoll,CUT,74,72,,,146,+2,$0.00
97,Tag Ridings,CUT,70,76,,,146,+2,$0.00
98,Brian Harman,CUT,73,73,,,146,+2,$0.00
99,Shane Lowry,CUT,71,75,,,146,+2,$0.00
100,Brad Fritsch,CUT,73,73,,,146,+2,$0.00
101,Jonas Blixt,CUT,71,75,,,146,+2,$0.00
102,Lee Williams,CUT,73,73,,,146,+2,$0.00
103,Sangmoon Bae,CUT,74,72,,,146,+2,$0.00
104,Troy Kelly,CUT,73,74,,,147,+3,$0.00
105,Fabián Gómez,CUT,74,73,,,147,+3,$0.00
106,Paul Haley II,CUT,78,69,,,147,+3,$0.00
107,Eric Meierdierks,CUT,78,69,,,147,+3,$0.00
108,John Huh,CUT,75,72,,,147,+3,$0.00
109,David Lingmerth,CUT,69,78,,,147,+3,$0.00
110,John Senden,CUT,72,75,,,147,+3,$0.00
111,Colt Knost,CUT,71,76,,,147,+3,$0.00
112,Joe Ogilvie,CUT,70,77,,,147,+3,$0.00
113,Joey Snyder III,CUT,74,73,,,147,+3,$0.00
114,Robert Allenby,CUT,76,71,,,147,+3,$0.00
115,Greg Chalmers,CUT,74,73,,,147,+3,$0.00
116,Patrick Reed,CUT,72,77,,,149,+5,$0.00
117,Trevor Immelman,CUT,72,77,,,149,+5,$0.00
118,George McNeill,CUT,74,75,,,149,+5,$0.00
119,Luke List,CUT,77,72,,,149,+5,$0.00
120,Peter Tomasulo,CUT,82,67,,,149,+5,$0.00
121,Brian Stuard,CUT,74,75,,,149,+5,$0.00
122,Roberto Castro,CUT,79,70,,,149,+5,$0.00
123,Ben Kohles,CUT,76,73,,,149,+5,$0.00
124,Michael Putnam,CUT,75,74,,,149,+5,$0.00
125,Ryo Ishikawa,CUT,77,72,,,149,+5,$0.00
126,William McGirt,CUT,72,78,,,150,+6,$0.00
127,Marc Leishman,CUT,75,75,,,150,+6,$0.00
128,Bo Van Pelt,CUT,72,78,,,150,+6,$0.00
129,J.J. Henry,CUT,78,72,,,150,+6,$0.00
130,Will Claxton,CUT,75,75,,,150,+6,$0.00
131,Alistair Presnell,CUT,73,77,,,150,+6,$0.00
132,Jeff Maggert,CUT,80,70,,,150,+6,$0.00
133,Ken Duke,CUT,70,80,,,150,+6,$0.00
134,Mark O'Meara,CUT,78,72,,,150,+6,$0.00
135,Scott Gardiner,CUT,77,74,,,151,+7,$0.00
136,Justin Bolli,CUT,74,77,,,151,+7,$0.00
137,Jonathan Byrd,CUT,72,79,,,151,+7,$0.00
138,Andres Romero,CUT,77,74,,,151,+7,$0.00
139,Luke Guthrie,CUT,77,74,,,151,+7,$0.00
140,David Mathis,CUT,73,79,,,152,+8,$0.00
141,Shawn Stefani,CUT,79,73,,,152,+8,$0.00
